t,o,c,h,l,v
1204066800,3.3,2.85,3.8,2.8,47705
1204153200,2.81,2.88,2.89,2.7,7156
1204239600,2.88,2.88,2.88,2.7,4522
1204498800,2.7,2.88,2.88,2.7,319
1204585200,2.7,2.88,2.88,2.55,5137
1204671600,2.7,2.7,2.7,2.7,100
1204758000,2.7,2.7,2.7,2.7,100
1204844400,2.82,2.7,2.82,2.35,11539
1205103600,2.78,2.78,2.78,2.78,44
1205190000,2.72,2.84,2.84,2.6,6850
1205276400,2.68,2.7,2.7,2.66,630
1205362800,2.6,2.7,2.7,2.35,7362
1205449200,2.64,2.5,2.64,2.5,834
1205708400,2.5,2.5,2.64,2.35,11654
1205794800,2.45,2.5,2.5,2.35,8901
1205881200,2.4,2.49,2.5,2.35,3077
1205967600,2.38,2.36,2.38,2.36,900
1206399600,2.35,2.4,2.45,2.35,679
1206486000,2.35,2.28,2.35,2.28,15017
1206572400,2.39,2.29,2.39,2.29,1335
1206658800,2.29,2.29,2.29,2.22,823
1206914400,2.25,2.25,2.25,2.25,1108
1207000800,2.15,2.15,2.15,2.13,3336
1207087200,2.15,2.36,2.36,2.15,11781
1207173600,2.17,2.32,2.32,2.17,2324
1207260000,2.25,2.25,2.25,2.13,922
1207519200,2.24,2.25,2.25,2.23,1120
1207605600,2.25,2.25,2.25,2.17,442
1207692000,2.25,2.25,2.25,2.1,6086
1207778400,2.13,2.25,2.25,2.13,716
1207864800,2.25,2.25,2.25,2.12,856
1208124000,2.11,2.25,2.25,2.11,1981
1208210400,2.15,2.25,2.25,2.15,1007
1208296800,2.15,2.1,2.15,2.1,1900
1208383200,2.2,2.1,2.2,2.08,5643
1208469600,2.1,2.2,2.36,2.1,16097
1208728800,2.2,2.25,2.28,2.2,14901
1208815200,2.24,2.25,2.25,2.12,876
1208901600,2.1,2.09,2.19,1.93,33603
1208988000,2.06,2.06,2.06,2.06,1600
1209074400,2.06,2.08,2.1,2.06,1204
1209333600,2.08,2.08,2.08,2.01,2876
1209420000,2,1.93,2,1.89,13327
1209506400,1.93,1.99,1.99,1.8,5996
1209938400,1.98,1.99,1.99,1.95,18798
1210024800,1.99,2.26,2.28,1.97,57741
1210111200,2.28,2.31,2.65,2.21,88873
1210197600,2.23,2.17,2.3,2.11,13570
1210284000,2.17,2.07,2.2,2.05,28760
1210543200,2,1.98,2.07,1.9,18085
1210629600,1.95,1.81,1.95,1.75,24409
1210716000,1.83,1.9,1.9,1.8,32422
1210802400,1.82,1.91,1.92,1.76,8136
1210888800,1.92,1.81,1.92,1.81,6995
1211148000,1.81,1.8,1.82,1.8,2631
1211234400,1.88,1.83,1.88,1.76,2733
1211320800,1.84,1.85,1.85,1.8,3413
1211493600,1.8,1.81,1.81,1.8,8600
1211752800,1.85,1.89,1.93,1.75,18407
1211839200,1.94,2.05,2.1,1.82,19899
1211925600,1.95,2.1,2.2,1.95,28811
1212012000,2.18,2.12,2.18,2.09,6824
1212098400,2.13,2.25,2.25,2.13,18791
1212357600,2.3,2.3,2.32,2.09,18869
1212444000,2.15,2.19,2.31,1.97,19145
1212530400,2.25,2.25,2.3,2,132219
1212616800,2.16,2.22,2.22,2.16,551
1212703200,2.12,2.12,2.3,2.12,11164
1212962400,2.14,2.29,2.29,2.14,27907
1213048800,2.3,2.29,2.4,2.1,70731
1213135200,2.28,2.53,2.6,2.17,46578
1213221600,2.5,2.35,2.5,2.28,10047
1213308000,2.48,2.4,2.48,2.32,3711
1213567200,2.47,2.4,2.48,2.4,3255
1213653600,2.48,2.48,2.48,2.48,17
1213740000,2.48,2.35,2.48,2.19,4557
1213826400,2.3,2.25,2.3,2.11,2722
