t,o,c,h,l,v
1324508400,22.9,22.9,22.9,22.9,61
1324594800,22.9,22.9,22.9,22.9,60
1324940400,22.9,22.9,22.9,22.9,1
1325026800,0,22.9,22.9,22.9,0
1325113200,0,22.9,22.9,22.9,0
1325199600,0,22.9,22.9,22.9,0
1325458800,0,22.9,22.9,22.9,0
1325545200,0,22.9,22.9,22.9,0
1325631600,0,22.9,22.9,22.9,0
1325718000,0,22.9,22.9,22.9,0
1326063600,0,22.9,22.9,22.9,0
1326150000,0,22.9,22.9,22.9,0
1326236400,0,22.9,22.9,22.9,0
1326322800,0,22.9,22.9,22.9,0
1326409200,0,22.9,22.9,22.9,0
1326668400,0,22.9,22.9,22.9,0
1326754800,0,22.9,22.9,22.9,0
1326841200,0,22.9,22.9,22.9,0
1326927600,0,22.9,22.9,22.9,0
1327014000,0,22.9,22.9,22.9,0
1327273200,0,22.9,22.9,22.9,0
1327359600,0,22.9,22.9,22.9,0
1327446000,0,22.9,22.9,22.9,0
1327532400,0,22.9,22.9,22.9,0
1327618800,0,22.9,22.9,22.9,0
1327878000,0,22.9,22.9,22.9,0
1327964400,0,22.9,22.9,22.9,0
1328050800,0,22.9,22.9,22.9,0
1328137200,0,22.9,22.9,22.9,0
1328223600,0,22.9,22.9,22.9,0
1328482800,0,22.9,22.9,22.9,0
1328569200,0,22.9,22.9,22.9,0
1328655600,0,22.9,22.9,22.9,0
1328742000,0,22.9,22.9,22.9,0
1328828400,0,22.9,22.9,22.9,0
1329087600,0,22.9,22.9,22.9,0
1329174000,0,22.9,22.9,22.9,0
1329260400,0,22.9,22.9,22.9,0
1329346800,0,22.9,22.9,22.9,0
1329433200,0,22.9,22.9,22.9,0
1329692400,0,22.9,22.9,22.9,0
1329778800,23,23,23,23,50
1329865200,0,23,23,23,0
1329951600,0,23,23,23,0
1330038000,0,23,23,23,0
1330297200,23.02,23.02,23.02,23.02,110
1330383600,25.9,27,27,25.9,200
1330470000,27,32,32.4,27,200
1330556400,32.03,33.5,33.5,31,696
1330642800,32.5,32.6,32.6,32.5,210
1330902000,32.49,32.9,32.9,32.49,259
1330988400,35.7,32.8,35.7,32.8,308
1331074800,0,32.8,32.8,32.8,0
1331161200,0,32.8,32.8,32.8,0
1331247600,0,32.8,32.8,32.8,0
1331506800,0,32.8,32.8,32.8,0
1331593200,28.01,28,28.01,28,347
1331679600,28,28,28,28,90
1331766000,28,28,28,28,76
1331852400,0,28,28,28,0
1332111600,0,28,28,28,0
1332198000,29.3,29.3,29.3,29.3,178
1332284400,0,29.3,29.3,29.3,0
1332370800,0,29.3,29.3,29.3,0
1332457200,0,29.3,29.3,29.3,0
1332712800,0,29.3,29.3,29.3,0
1332799200,0,29.3,29.3,29.3,0
1332885600,0,29.3,29.3,29.3,0
1332972000,0,29.3,29.3,29.3,0
1333058400,0,29.3,29.3,29.3,0
1333317600,0,29.3,29.3,29.3,0
1333404000,0,29.3,29.3,29.3,0
1333490400,0,29.3,29.3,29.3,0
1333576800,0,29.3,29.3,29.3,0
1334008800,0,29.3,29.3,29.3,0
1334095200,0,29.3,29.3,29.3,0
1334181600,0,29.3,29.3,29.3,0
1334268000,0,29.3,29.3,29.3,0
1334527200,28,28,28,28,1
1334613600,28.98,28.98,28.98,28.98,1
1334700000,24,28.98,28.98,24,723
1334786400,26,28.98,28.98,26,585
1334872800,25.6,28.97,28.97,25.6,4
1335132000,25.5,28.95,28.95,25.5,44
1335218400,25,25,25,25,20
1335304800,0,25,25,25,0
1335391200,0,25,25,25,0
1335477600,0,25,25,25,0
1335736800,0,25,25,25,0
1335909600,0,25,25,25,0
1336082400,0,25,25,25,0
1336341600,0,25,25,25,0
1336428000,28.95,28.95,28.95,28.95,4
1336514400,0,28.95,28.95,28.95,0
1336600800,0,28.95,28.95,28.95,0
1336687200,0,28.95,28.95,28.95,0
1336946400,0,28.95,28.95,28.95,0
1337032800,0,28.95,28.95,28.95,0
1337119200,0,28.95,28.95,28.95,0
1337205600,24.12,24.12,24.12,24.12,84
1337292000,24.12,28.98,28.98,24.12,299
1337551200,27.99,28.98,28.98,27.99,11
1337637600,0,28.98,28.98,28.98,0
1337724000,28.98,28.98,28.98,28.98,20
1337810400,25.1,25.1,25.1,25.1,102
1337896800,0,25.1,25.1,25.1,0
1338156000,0,25.1,25.1,25.1,0
1338242400,0,25.1,25.1,25.1,0
1338328800,0,25.1,25.1,25.1,0
1338415200,0,25.1,25.1,25.1,0
1338501600,0,25.1,25.1,25.1,0
1338760800,0,25.1,25.1,25.1,0
1338847200,0,25.1,25.1,25.1,0
1338933600,0,25.1,25.1,25.1,0
1339106400,28.8,28.8,28.8,28.8,20
1339365600,28.7,28.7,28.7,28.7,20
1339452000,28.7,28.7,28.7,28.7,20
1339538400,0,28.7,28.7,28.7,0
1339624800,28.7,28.7,28.7,28.7,20
1339711200,0,28.7,28.7,28.7,0
1339970400,0,28.7,28.7,28.7,0
1340056800,28.7,28.7,28.7,28.7,20
1340143200,28.7,28.7,28.7,28.7,20
1340229600,28.7,28.7,28.7,28.7,20
1340316000,0,28.7,28.7,28.7,0
1340575200,0,28.7,28.7,28.7,0
1340661600,0,28.7,28.7,28.7,0
1340748000,0,28.7,28.7,28.7,0
1340834400,0,28.7,28.7,28.7,0
1340920800,0,28.7,28.7,28.7,0
1341180000,0,28.7,28.7,28.7,0
1341266400,0,28.7,28.7,28.7,0
1341352800,0,28.7,28.7,28.7,0
1341439200,0,28.7,28.7,28.7,0
1341525600,0,28.7,28.7,28.7,0
1341784800,0,28.7,28.7,28.7,0
1341871200,0,28.7,28.7,28.7,0
1341957600,0,28.7,28.7,28.7,0
1342044000,0,28.7,28.7,28.7,0
1342130400,28.79,28.7,28.79,28.7,40
1342389600,0,28.7,28.7,28.7,0
1342476000,0,28.7,28.7,28.7,0
1342562400,0,28.7,28.7,28.7,0
1342648800,0,28.7,28.7,28.7,0
1342735200,24.51,24.51,24.51,24.51,10
1342994400,0,24.51,24.51,24.51,0
1343080800,20,20,20,20,70
1343167200,0,20,20,20,0
1343253600,0,20,20,20,0
1343340000,0,20,20,20,0
1343599200,0,20,20,20,0
1343685600,0,20,20,20,0
1343772000,25,28.7,28.7,25,71
1343858400,26,26,26,26,70
1343944800,0,26,26,26,0
1344204000,0,26,26,26,0
1344290400,0,26,26,26,0
1344376800,0,26,26,26,0
1344463200,28,28,28,28,20
1344549600,0,28,28,28,0
1344808800,0,28,28,28,0
1344895200,0,28,28,28,0
1345068000,0,28,28,28,0
1345154400,0,28,28,28,0
1345413600,0,28,28,28,0
1345500000,0,28,28,28,0
