t,o,c,h,l,v
1193090400,73.3,75,77,67.5,12614
1193176800,75,74.3,77,67.5,5008
1193263200,71,65,72,64,6366
1193349600,64.8,57.2,64.8,52.75,72402
1193612400,60,57.6,63.5,57.5,27373
1193698800,56.1,53.9,56.2,52.8,21182
1193785200,53,52.8,53.5,52,3993
1193958000,52.1,53.1,56.8,51,8516
1194217200,53.1,53.7,55,52.25,3059
1194303600,53.9,53.1,54,52,4463
1194390000,52,50,52.1,47.81,2743
1194476400,47,51.5,51.5,45.52,4601
1194562800,53,50,53,46.71,2152
1194822000,50,50,50,48.5,314
1194908400,51,49.9,51.7,47.62,1274
1194994800,51.9,50.65,51.9,49.9,1064
1195081200,48.4,46.3,50.9,45.6,2545
1195167600,42.3,43,45,41.5,2832
1195426800,45.1,41,45.1,40.2,840
1195513200,40,37.16,40,37.16,1807
1195599600,37.1,37.99,39.4,35,3180
1195686000,39,39.45,39.45,36.43,5428
1195772400,39.75,37.25,39.75,37.03,1942
1196031600,39.49,37.98,39.5,37,6668
1196118000,35.5,35.52,37,35.4,1198
1196204400,37.98,39.2,39.59,35.1,3042
1196290800,41,53.8,53.8,40.8,12529
1196377200,55.3,54.4,60.05,52,22258
1196636400,54.4,53.85,55.4,50.65,3305
1196722800,51.75,48.48,51.75,47.3,8409
1196809200,48,51.8,53,46,6312
1196895600,50.8,49.8,55,48,4198
1196982000,49.95,49.7,50,48,2543
1197241200,49,47.5,51.75,47,5703
1197327600,48.9,48.37,49.05,46.5,1792
1197414000,46.55,46.9,47.6,45.05,3815
1197500400,45.2,46.29,46.8,45,2851
1197586800,44.1,45.25,45.25,44.1,973
1197846000,45.5,46.6,49.8,43.96,2315
1197932400,47,45,47.1,43.58,1754
1198018800,45.3,44.48,45.3,44.35,1261
1198105200,44.4,43.11,44.8,43.11,1018
1198191600,44.79,44,44.79,41,3209
1198710000,42.01,44.5,45,42.01,224
1198796400,42.5,43,43.95,41.85,1631
1199228400,44,44,44.5,42.22,419
1199314800,44,43,44.2,41.8,2267
1199401200,43,43.49,43.79,40.1,2197
1199660400,42.95,42.5,42.95,41,356
1199746800,42,40.87,42.49,40.22,566
1199833200,40.87,39.99,40.87,38.5,1002
1199919600,40,39.03,41.75,38.35,1864
1200006000,38,39.94,40,37,776
1200265200,38.05,38.98,39,37,1080
1200351600,37.5,38.96,38.99,37.2,483
1200438000,37.06,37.3,37.3,34,1457
1200524400,38.3,37.8,38.3,36.51,1028
1200610800,36.22,38.8,38.95,36,1092
1200870000,36.52,37,37.4,35.3,728
1200956400,34.5,35.95,36,34,971
1201042800,36,36.49,37.4,34.16,516
1201129200,37,39.49,39.49,37,1287
1201215600,41.48,41.95,42.49,40,767
1201474800,40,40.9,40.9,38.25,133
1201561200,41,43.9,44,40,1655
1201647600,44,43.99,45,43,1254
1201734000,41.35,41,43,41,872
1201820400,42,42.9,42.9,40.7,1394
1202079600,44.1,42.99,46,41.6,1775
1202166000,42.99,44,44,42.5,1097
1202252400,43.5,48.1,52.5,43.5,12360
1202338800,48,48.15,49,46.05,1136
1202425200,46.4,47.9,48.4,46.4,892
1202684400,47.5,47.88,48,46.21,1984
1202770800,48.2,50.3,52.8,46.8,3497
1202857200,48.75,46.1,48.75,45.52,5522
1202943600,47,45,48.48,44.05,3248
1203030000,44.13,41.1,44.13,41,4212
1203289200,41.85,42,42.5,41.2,1415
1203375600,41,42.43,42.43,40.21,1130
1203462000,41,41.75,41.75,40.15,1291
1203548400,42.5,40.75,42.5,40.75,1719
1203634800,40.61,41,41.65,40.6,925
1203894000,41.12,40.3,41.89,40,860
1203980400,40.31,40.06,41,40,1427
1204066800,41,41,41,40.2,414
1204153200,40.25,40.5,40.5,40.12,705
1204239600,40.01,40.5,41.48,40.01,564
1204498800,38.1,39.6,40.4,38.1,730
1204585200,39,39.7,39.7,38.28,568
1204671600,40.5,39.6,40.5,39.6,184
1204758000,39.8,40.6,40.99,39.2,1779
1204844400,39,40.9,40.9,38.06,853
1205103600,40.91,39,40.91,38.42,770
1205190000,39.1,39.51,39.9,39,1606
1205276400,40.97,40.9,40.97,38.42,227
1205362800,40,39.6,40.6,38,978
1205449200,38.23,39.8,39.8,38.1,1112
1205708400,39,38.8,39,37.98,485
1205794800,38,38.4,38.98,37.65,597
1205881200,37.8,37.65,37.8,37.65,370
1205967600,39.95,38.9,39.95,36,1115
1206399600,39.25,39.4,39.4,39,951
1206486000,39.5,38.1,39.5,38.01,81
1206572400,37.12,37.5,38.7,37.12,130
1206658800,36.5,38,38,36.5,69
1206914400,38.5,38.1,39.4,38.1,198
1207000800,37.2,39.2,39.2,37,90
1207087200,37,39,39,37,1023
1207173600,37,37.2,38.5,37,1091
1207260000,38.19,38.12,38.19,37.1,158
1207519200,37.2,37.25,37.25,37.2,29
1207605600,37,37.25,37.3,37,337
1207692000,37.2,37.22,37.22,36.07,1466
1207778400,36.11,36.99,36.99,36,821
1207864800,36.9,36.07,36.9,36.07,562
1208124000,36.15,36.59,37.08,36.01,367
1208210400,36.55,36.15,36.55,34.69,426
1208296800,36.55,36,36.55,35,491
1208383200,36.5,39.16,39.17,36.5,2928
1208469600,38.55,37.99,39,36.5,523
1208728800,35.6,34.02,35.6,34,4502
1208815200,34.02,33.99,34.4,31.4,867
1208901600,33.99,33.99,33.99,32,231
1208988000,33.99,36.43,36.43,32.72,84
1209074400,37.98,36.6,37.98,35.3,507
1209333600,36.6,35.6,36.6,34,253
1209420000,34,35,35,33.51,299
1209506400,34.5,36.9,36.9,34.5,82
1209938400,36.7,36.42,36.9,34.6,1107
1210024800,35.6,36.35,36.35,35.6,48
1210111200,35.01,33.6,36,33.6,1735
1210197600,33,33.85,33.85,32.1,2638
1210284000,34.8,34.18,34.8,32.26,61
1210543200,33.99,33.99,33.99,33.99,1
1210629600,33.95,32.79,33.95,32,426
1210716000,31.4,32.49,32.49,31.3,80
1210802400,32.32,31.33,32.98,31.3,862
1210888800,32,28.85,32,28.81,379
1211148000,26,26.51,30.49,26,209
1211234400,26.25,26.2,27,26.2,1112
1211320800,27.4,27.9,28,26.5,233
1211493600,27.8,27.88,27.9,26.4,312
1211752800,27.4,27.96,27.96,26.12,221
1211839200,27.98,27.98,27.98,27.98,30
1211925600,29.3,27.9,29.3,25.3,423
1212012000,26.01,27.5,27.5,26.01,417
1212098400,26.5,27.2,27.2,26.5,69
1212357600,25.55,27,27.2,25,439
1212444000,27.7,27.5,27.7,25.21,326
1212530400,27.5,26,27.5,25.91,236
1212616800,25.82,27.4,27.4,25.1,518
1212703200,25.22,25.3,25.9,25.22,205
1212962400,25.3,26,26,24.9,507
1213048800,24.3,24.8,25.9,23.5,571
1213135200,24.4,24.8,24.8,23.65,346
1213221600,23.5,23.5,23.5,23.5,49
1213308000,23,21.16,23.5,21.16,175
