t,o,c,h,l,v
1297810800,7.2,7.45,7.45,7,1782
1297897200,7.32,7.23,7.44,7.2,3218
1297983600,7.2,7.23,7.23,7.2,2937
1298242800,7.29,7.22,7.29,7.22,712
1298329200,7.29,7.21,7.4,7.01,2574
1298415600,7.3,7.25,7.4,7.25,19364
1298502000,7.29,7.25,7.29,7.15,15620
1298588400,7.25,7.25,7.28,7.2,6363
1298847600,7.3,7.37,7.55,7.29,8343
1298934000,7.3,7.45,7.5,7.3,1559
1299020400,7.4,7.45,7.55,7.4,990
1299106800,7.59,7.5,7.59,7.5,810
1299193200,7.5,7.5,7.5,7.42,1128
1299452400,7.55,7.6,7.6,7.42,7015
1299538800,7.65,7.68,7.68,7.6,2110
1299625200,7.68,7.65,7.68,7.6,3146
1299711600,7.6,8.09,8.1,7.6,3670
1299798000,8.09,7.91,8.09,7.9,542
1300057200,7.92,8,8.17,7.6,5459
1300143600,7.97,7.8,7.97,7.6,3575
1300230000,7.89,7.79,7.89,7.6,2960
1300316400,7.65,7.7,7.7,7.65,890
1300402800,7.7,7.6,7.7,7.55,911
1300662000,7.6,7.69,7.7,7.3,2825
1300748400,7.69,7.68,7.69,7.6,845
1300834800,7.68,7.67,7.68,7.5,824
1300921200,7.67,7.65,7.67,7.55,1490
1301007600,7.68,7.68,7.68,7.55,2571
1301263200,7.69,7.6,7.69,7.55,2828
1301349600,7.65,7.6,7.65,7.55,851
1301436000,7.69,7.61,7.69,7.55,5114
1301522400,7.69,7.6,7.69,7.56,841
1301608800,7.6,7.58,7.6,7.57,965
1301868000,7.54,7.8,7.9,7.54,168727
1301954400,7.78,7.8,7.8,7.7,31975
1302040800,7.9,7.85,7.9,7.73,51472
1302127200,7.85,7.85,7.85,7.8,3838
1302213600,7.89,7.89,7.89,7.8,1400
1302472800,7.89,7.85,7.89,7.75,830
1302559200,7.75,7.85,7.85,7.7,56366
1302645600,7.85,7.87,7.88,7.81,2862
1302732000,7.88,7.84,7.88,7.8,380
1302818400,7.84,7.8,7.84,7.8,100550
1303077600,7.75,7.7,7.79,7.6,5466
1303164000,7.6,7.72,7.72,7.5,5314
1303250400,7.45,7.69,7.73,7.45,15485
1303336800,7.7,7.59,7.7,7.59,211809
1303768800,7.69,7.48,7.69,7.47,180970
1303855200,7.49,7.4,7.49,7.4,793
1303941600,7.47,7.28,7.48,7.21,8144
1304028000,7.38,7.46,7.48,7.34,11444
1304287200,7.48,7.45,7.48,7.45,210
1304460000,7.45,7.38,7.48,7.17,3130
1304546400,7.45,7.45,7.48,7.4,17848
1304632800,7.48,7.45,7.48,7.3,49106
1304892000,7.45,7.4,7.45,7.3,10204
1304978400,7.45,7.45,7.45,7.44,27830
1305064800,7.45,7.4,7.51,7.4,1690
1305151200,7.4,7.4,7.4,7.3,3864
1305237600,7.46,7.55,7.8,7.46,103941
1305496800,7.5,7.56,7.56,7.45,2680
1305583200,7.56,7.6,7.6,7.55,440
1305669600,7.6,7.6,7.6,7.5,59112
1305756000,7.6,7.55,7.6,7.5,26510
1305842400,7.55,7.53,7.56,7.53,4701
1306101600,7.55,7.6,7.6,7.51,10430
1306188000,7.6,7.6,7.6,7.55,10415
1306274400,7.6,7.7,7.75,7.6,2484
1306360800,7.7,7.68,7.71,7.68,620
1306447200,7.67,7.7,7.72,7.6,2880
1306706400,7.65,7.8,7.8,7.65,8675
1306792800,7.8,8,8.1,7.79,81796
1306879200,8.05,8.2,8.44,8.05,26318
1306965600,8.49,8.2,8.49,8.2,25190
1307052000,8.37,8.2,8.37,8,13225
1307311200,8.2,8.1,8.2,8.1,3274
1307397600,7.95,8.05,8.07,7.95,13730
1307484000,8.12,8.05,8.12,8.05,6110
1307570400,8.05,8.1,8.19,8.05,9989
1307656800,8.05,8.15,8.15,8.05,12430
1307916000,8.05,8.17,8.2,8.05,360
1308002400,8.17,8.07,8.17,8.07,2560
1308088800,8.05,8.05,8.24,8.05,292104
1308175200,8.16,8.05,8.16,8.05,1492
1308261600,8.06,8.05,8.06,8.05,1190
1308520800,8.08,7.85,8.08,7.71,1500
1308607200,7.99,7.9,7.99,7.77,1033
1308693600,7.77,7.8,7.8,7.77,405
1308866400,7.8,7.74,7.8,7.18,7656
1309125600,7.75,7.3,7.75,7.3,74248
1309212000,7.31,7.16,7.31,7.1,230225
1309298400,7.16,7.5,7.5,7.16,30124
1309384800,7.55,7.7,7.7,7.55,27009
1309471200,7.75,7.73,7.75,7.43,5384
1309730400,7.73,7.7,7.73,7.55,5232
1309816800,7.78,7.75,7.78,7.5,80026
1309903200,7.77,7.7,7.77,7.69,1140
1309989600,7.7,7.69,7.7,7.69,186
1310076000,7.68,7.68,7.68,7.6,2040
1310335200,7.6,7.54,7.6,7.45,2741
1310421600,7.5,7.54,7.54,7,21734
1310508000,7.6,8.1,8.1,7.4,14412
1310594400,8.17,7.8,8.17,7.8,580
1310680800,8,7.95,8,7.95,100
1310940000,8,7.85,8,7.65,1290
1311026400,7.85,7.79,7.85,7.7,5230
1311112800,7.8,7.78,7.8,7.78,110
1311199200,7.78,7.78,7.78,7.7,220
1311285600,7.78,7.85,7.85,7.75,2165
1311544800,7.85,7.75,7.85,7.63,1060
1311631200,7.8,7.78,7.8,7.78,110
1311717600,7.76,7.74,7.76,7.74,105
1311804000,7.7,7.67,7.7,7.5,1431
1311890400,7.68,7.85,7.85,7.68,15104
1312149600,7.8,7.85,7.85,7.6,1572
1312236000,7.8,7.8,7.8,7.8,170
1312322400,7.8,7.39,7.8,7.39,961
1312408800,7.4,7.49,7.5,7.15,5267
1312495200,7.25,7.5,7.53,6.8,4900
1312754400,7.1,7.19,7.4,7.1,13050
1312840800,6.95,6.8,7,6.6,9413
1312927200,6.8,6.7,6.9,6.5,15203
1313013600,6.7,6.65,7,6.5,38358
1313100000,6.7,6.68,6.85,6.5,11851
1313445600,6.85,6.85,6.96,6.85,1120
1313532000,6.85,6.85,6.85,6.85,210
1313618400,6.85,6.85,6.85,6.4,39535
1313704800,6.85,6.84,6.85,6.56,32834
1313964000,6.87,6.92,6.92,6.87,30561
1314050400,6.95,7.14,7.14,6.65,32090
1314136800,7.14,7.05,7.14,6.9,9695
1314223200,7,7,7,6.99,220
1314309600,7,7,7,6.99,900
1314568800,7,7,7,6.99,410
1314655200,7.12,7,7.2,7,102051
1314741600,6.99,7.4,7.4,6.76,10700
1314828000,7.35,7.4,7.4,7.01,5051
1314914400,7.49,7.3,7.49,7.3,469
1315173600,7,7,7.1,6.6,7929
1315260000,7,7,7,6.8,795
1315346400,7.24,7.23,7.24,7.1,260
1315432800,7.11,7.2,7.2,7.11,565
1315519200,7.2,7.2,7.2,7.03,1140
1315778400,7.2,6.98,7.2,6.98,1193
1315864800,7,6.91,7,6.8,3191
1315951200,7,7,7,7,210
1316037600,7,7,7,6.85,2308
1316124000,7,7,7,7,20
1316383200,7,6.99,7,6.8,760
1316469600,7,7,7,6.55,1050
1316556000,7,7.03,7.05,6.94,239053
1316642400,7.05,6.9,7.05,6.9,225
1316728800,6.99,6.99,6.99,6.95,180
1316988000,6.99,6.9,6.99,6.9,1520
1317074400,6.98,6.96,6.98,6.88,180
1317160800,6.95,6.95,6.95,6.92,175
1317247200,6.95,6.95,6.95,6.95,490
1317333600,6.94,6.95,6.95,6.94,100
1317592800,6.94,6.94,6.94,6.94,70
1317679200,6.93,6.89,6.93,6.45,3860
1317765600,6.8,6.85,6.85,6.8,910
1317852000,6.8,7.05,7.05,6.6,14500
1317938400,7.09,7.07,7.15,6.94,3819
1318197600,7.07,7.06,7.07,6.96,390
1318284000,7,7,7.1,6.97,11650
1318370400,6.99,7.2,7.2,6.99,1120
1318456800,7.2,7.2,7.2,7.2,180
1318543200,7.2,7.19,7.2,7.1,20780
1318802400,7.15,7,7.15,6.85,3159
