t,o,c,h,l,v
1309903200,140.5,136,140.9,135.8,7298093
1309989600,136,139.7,140.3,136,2778004
1310076000,140.2,141,142.7,139,1099377
1310335200,140.3,138,141.9,137.1,441968
1310421600,137,138.9,139.4,136,831778
1310508000,138.4,141.3,141.4,138.4,798412
1310594400,140.3,141,141,139.1,244994
1310680800,140.2,141.5,141.7,140,450583
1310940000,141,140,141.5,138,521098
1311026400,140.2,140,141.8,139.8,3562762
1311112800,139.5,137.5,140,136.5,341265
1311199200,137.7,137,138,136.2,312364
1311285600,137.7,136.5,137.7,136.4,164511
1311544800,136.5,136,136.5,136,774734
1311631200,136,136.2,136.6,136,1967827
1311717600,136,134.6,136.1,133.6,3102984
1311804000,133.1,135.5,135.5,132.6,174217
1311890400,134.2,136.5,136.7,134.2,390032
1312149600,136.1,137,137.6,136.1,427811
1312236000,136.5,134.4,136.5,133.8,133132
1312322400,131.6,126,133.4,123.1,474007
1312408800,125.5,117.9,126.9,113.8,690419
1312495200,108,113.5,116,108,623970
1312754400,110.5,101.9,112.4,101.5,436986
1312840800,101,94.3,104.6,89,967015
1312927200,100,86,102.3,85.5,518657
1313013600,89.9,100,100,86,816454
1313100000,103.6,105,108,101,421377
1313445600,107.9,106.1,107.9,104,226850
1313532000,105.9,106.9,106.9,104.2,160493
1313618400,105.4,96.3,105.4,93,343083
1313704800,93.1,99.95,102.1,91,392089
1313964000,99.6,100.6,103.1,97.5,187416
1314050400,102.6,105,105,101.8,238245
1314136800,106.1,104.6,106.5,103.5,121306
1314223200,105.9,106.5,106.8,104.6,82625
1314309600,105.5,105,105.9,102.5,58873
1314568800,106,108.6,109.2,105.8,89032
1314655200,110,111,113.3,109,203074
1314741600,106.5,108,109.6,104.5,631573
1314828000,107.7,103.7,107.7,102.1,156419
1314914400,102.5,99.8,103,97.2,228075
1315173600,95.95,93,97.5,93,152650
1315260000,93.95,93,97,90.5,208731
1315346400,95.9,98.6,98.6,95,164972
1315432800,99.9,102.5,103.1,99.5,204478
1315519200,100.6,100,102.5,98.9,205167
1315778400,97.2,96.05,98.45,95,172653
1315864800,99,96.5,99.4,94.15,128590
1315951200,97.8,99,99,95.75,255658
1316037600,100,100,101.5,99.1,292634
1316124000,101,104,104,100.2,1199377
1316383200,100.2,101.9,102,100,174860
1316469600,102.5,102.5,104,100.6,134921
1316556000,102.4,100.5,102.9,99.55,113655
1316642400,97.5,90,97.8,90,456956
1316728800,88.9,89,93,84,575314
1316988000,86.5,88.75,92,85.5,319412
1317074400,92.1,90,92.5,90,144720
1317160800,90,89,91.5,87.3,228215
1317247200,88.15,87.5,89.75,87.05,469356
1317333600,87.85,85,87.85,84.5,198139
1317592800,84,83.4,85.45,81.45,166269
1317679200,82.1,81.3,82.5,78.25,327312
1317765600,83,84,84.5,82.55,284238
1317852000,86.2,87.65,89,85.3,280512
1317938400,89,88.7,90.75,87,327979
1318197600,90.15,93,93,88.9,202496
1318284000,93,93.65,94.4,91.7,271267
1318370400,93,99.25,99.25,89.9,488093
1318456800,98.3,98,102.6,97,362847
1318543200,98,98.55,99.4,96.4,99594
1318802400,99.8,95,101,93.05,153949
1318888800,93.95,93.5,93.95,92,249495
1318975200,94.5,91.4,94.9,90.8,188500
