t,o,c,h,l,v
1212703200,23.75,22.5,23.75,22.5,134
1212962400,22.6,23.4,23.4,22.6,101
1213048800,23.4,23,23.4,22.6,423
1213135200,22,22,22.4,21.2,1837
1213221600,22.5,22.6,23.8,22.5,462
1213308000,22.99,22.99,22.99,22.99,1
1213567200,22.99,22.99,22.99,22.99,2
1213653600,22.99,22.99,22.99,22.99,2
1213740000,22.99,22.98,22.99,21,3001
1213826400,21.01,22.98,22.98,21.01,712
1213912800,22.98,22.98,22.98,22.98,2
1214172000,22.97,22.97,22.97,22.97,1
1214258400,22.95,22,22.95,21.2,89
1214344800,22.5,22.5,22.5,22.5,10
1214431200,22.5,22.5,22.5,22.5,1
1214517600,22,22.5,22.5,21,290
1214776800,22.5,20.7,22.5,20.4,1611
1214863200,21.4,21.3,21.4,20.2,42
1214949600,0,21.3,21.3,21.3,0
1215036000,0,21.3,21.3,21.3,0
1215122400,20.3,20.7,20.7,20,211
1215381600,0,20.7,20.7,20.7,0
1215468000,20,19.95,20,18.82,471
1215554400,19.85,19.85,19.85,19,101
1215640800,19.95,19.9,19.95,19.9,162
1215727200,20.45,20.45,20.45,20.45,1
1215986400,20.45,20.45,20.45,20.45,1
1216072800,18.82,20.99,20.99,18.82,70
1216159200,20.99,19.9,20.99,18.85,293
1216245600,19.9,19.67,19.9,17.9,643
1216332000,0,19.67,19.67,19.67,0
1216591200,19.3,19.3,19.3,19.3,1
1216677600,19.5,19.5,19.5,19.5,1
1216764000,19.49,19.49,19.49,19.49,1
1216850400,19.48,19.48,19.48,19.48,10
1216936800,19.45,19.45,19.45,19.45,1
1217196000,19.42,18.98,19.42,17.8,773
1217282400,0,18.98,18.98,18.98,0
1217368800,18.89,19.3,19.3,17.15,1555
1217455200,19.4,19.39,19.4,19.39,20
1217541600,19.4,19.4,19.4,19.4,1
1217800800,19.4,19.35,19.4,19.35,69
1217887200,19.18,18.99,19.18,17.5,136
1217973600,18.99,18.98,18.99,18,142
1218060000,19.18,19.1,19.18,19.1,7
1218146400,19.09,19.09,19.09,19.09,1
1218405600,19.17,19.17,19.17,19.17,1
1218492000,19.15,19.15,19.15,19.15,1
1218578400,19.14,19.14,19.14,19.14,1
1218664800,19.15,19.15,19.15,19.15,1
1219010400,19.13,19.13,19.13,19.13,1
1219096800,19.14,19.14,19.14,19.14,1
1219183200,19.13,19.13,19.13,19.13,10
1219269600,19.11,19.14,19.14,19.09,322
1219356000,19.08,19.08,19.08,19.08,1
1219615200,19.08,19.08,19.08,19.08,1
1219701600,18.11,19.08,19.08,18.11,411
1219788000,19.08,19.08,19.08,19.08,1
1219874400,19.08,19.08,19.08,19.08,1
1219960800,19.08,19.08,19.08,19.08,1
1220220000,19,19,19,19,1
1220306400,18.98,18.98,18.98,18.98,1
1220392800,18.99,18.99,18.99,18.99,1
1220479200,18.99,18.99,18.99,18.99,1
1220565600,18.99,18.99,18.99,18.99,51
1220824800,18.99,18.99,18.99,18.99,1
1220911200,18.99,18.99,18.99,18.99,1
1220997600,18.9,18.9,18.9,18.9,1
1221084000,18.88,18.88,18.88,18.88,1
1221170400,18.88,18.88,18.88,18.88,1
1221429600,18.85,18.85,18.85,18.85,1
1221516000,18.84,17.79,18.84,16,893
1221602400,17.79,17.79,17.79,17.79,1
1221688800,17.77,17.73,17.77,17.72,80
1221775200,17.76,17.76,17.76,17.76,1
1222034400,17.69,17.69,17.69,17.69,1
1222120800,17.66,17.66,17.66,17.66,1
1222207200,15.99,16,16,15.99,920
1222293600,16,15.99,16,15.8,154
1222380000,15.99,15.99,15.99,15.2,165
1222639200,15.99,15.99,15.99,15,203
1222725600,15.99,16,16,15.7,549
1222812000,15.99,15.99,15.99,15.99,20
1222898400,15.2,15.7,15.89,14.5,3757
1222984800,15.79,15.79,15.79,15.79,1
1223244000,15.59,15.79,15.79,15.59,1000
1223330400,0,15.79,15.79,15.79,0
1223416800,15.79,15.79,15.79,15.79,1
1223503200,15.78,15.78,15.78,15.78,1
1223589600,15.78,15.78,15.78,14.5,102
1223848800,15.78,15.78,15.78,15.78,1
1223935200,15.75,15.75,15.75,15.75,1
1224021600,15.75,15.75,15.75,14.3,371
1224108000,15.75,15.75,15.75,15.75,1
1224194400,15.75,15.75,15.75,15.75,1
1224453600,15.75,15.75,15.75,15.75,1
1224540000,15.75,15.49,15.75,15,854
1224626400,15.49,15.49,15.49,15.49,1
1224712800,15.49,15.49,15.49,15.49,1
1224799200,15.3,15.3,15.3,15.3,1
1225062000,15.3,15.3,15.3,15.3,1
1225148400,15.3,15.3,15.3,15.3,1
1225234800,15.3,15.3,15.3,15.3,1
1225321200,14.5,13.6,14.5,13.6,545
1225407600,13.8,13.8,13.8,13.8,201
1225666800,14.3,14.1,14.3,14.1,11
1225753200,14.3,14.3,14.3,14.3,1
1225839600,14.25,14.25,14.25,14.25,15
1225926000,14.3,14.3,14.3,14.3,1
1226012400,14.05,14.05,14.05,14.05,5
1226271600,14.2,14.2,14.2,14.2,1
1226444400,14,14,14,14,1
1226530800,14,14,14,14,1
1226617200,14,14,14,14,1
1226876400,14,13.8,14,13.7,12
1226962800,13.99,13.9,13.99,13.9,2
1227049200,13.9,13.9,13.9,13.2,112
1227135600,13.8,13.78,13.8,12.8,158
1227222000,14,14,14,14,1
1227481200,14,14,14,14,1
1227567600,14,14,14,14,1
1227654000,14,14,14,13.8,47
1227740400,14,14,14,14,1
1227826800,14,14,14,14,1
1228086000,14,14,14,14,1
1228172400,14,14,14,13,206
1228258800,14,14,14,14,1
1228345200,14,14,14,14,1
1228431600,14,14,14,12.7,8397
1228690800,13.99,13.99,13.99,13.99,27
1228777200,13.99,13.99,13.99,13.99,1
1228863600,13.99,13.99,13.99,13.99,1
1228950000,13.99,13.99,13.99,13.99,1
1229036400,13.99,13.99,13.99,13.99,1
1229295600,13.99,13.99,13.99,13.99,1
1229382000,13.99,13.99,13.99,13.99,1
1229468400,13.99,13.99,13.99,13.99,1
1229554800,13.99,13.8,13.99,13.8,11
1229641200,13.99,13.99,13.99,13.99,1
1229900400,13.99,13.99,13.99,13.99,1
1229986800,13.99,13.99,13.99,13.99,2
1230505200,13.99,13.99,13.99,13.99,1
1230591600,13.99,13.99,13.99,13.99,1
1230678000,13.99,13.99,13.99,13.99,1
1231110000,13.97,13.97,13.97,13.97,10
1231196400,13.98,13.93,13.98,13.9,152
1231282800,13.98,13.98,13.98,13.98,1
1231369200,13.98,13.98,13.98,13.98,1
1231455600,13.98,13.9,13.98,12,441
1231714800,13.89,13.89,13.89,12.6,59
1231801200,13.89,13.89,13.89,13.89,1
1231887600,13.89,13.89,13.89,13.89,1
1231974000,13.89,13.89,13.89,13.89,1
1232060400,13.89,13.89,13.89,13.89,1
1232319600,13.89,13.89,13.89,13.89,1
1232406000,13,13.8,13.8,13,601
1232492400,13.89,13.89,13.89,13.89,1
1232578800,13.89,13.89,13.89,13.89,1
1232665200,13.89,13.89,13.89,13.89,1
1232924400,13.89,13.89,13.89,13.89,1
1233010800,13.89,13.89,13.89,13.89,1
1233097200,14,14,14,14,1000
1233183600,14,14,14,14,1
1233270000,14,14,14,14,1
1233529200,14,14,14,14,1
1233615600,14,14,14,14,1
1233702000,14,14.01,14.01,12.6,974
1233788400,14.01,14.01,14.01,14.01,1
1233874800,14.09,14.09,14.09,14.09,1
1234134000,14.09,14.09,14.09,14.09,1
1234220400,14.09,14.09,14.09,14.09,1
1234306800,14.09,14.09,14.09,14.09,1
1234393200,14.19,14.19,14.19,14.19,1
1234479600,14.19,14.19,14.19,14.19,1
1234738800,14.19,14.19,14.19,14.19,1
1234825200,14.19,12.5,14.19,12.5,937
1234911600,12.1,12,12.1,12,400
1234998000,11.71,11.6,11.71,11.6,161
1235084400,12.39,12.39,12.39,12.39,1
1235343600,12.99,12.99,12.99,12.99,1
1235430000,12.4,11.7,12.4,11.7,227
1235516400,12,12.5,12.5,12,40
1235602800,0,12.5,12.5,12.5,0
1235689200,0,12.5,12.5,12.5,0
1235948400,12.8,13.49,13.49,12.8,300
1236034800,13.49,13.44,13.49,13.44,2
1236121200,13.44,13.44,13.44,13.44,1
1236207600,13.79,13.79,13.79,13.79,1
1236294000,13.79,13.79,13.79,13.79,1
1236553200,13.79,13.79,13.79,13.79,1
1236639600,13.79,13.79,13.79,13.79,22
1236726000,13.8,13,13.8,13,110
1236812400,13,13,13,13,2
1236898800,0,13,13,13,0
1237158000,13.5,13.5,13.5,13.5,10
1237244400,13.5,12.5,13.5,12.5,100
1237330800,12.5,11.9,12.5,11.9,55
1237417200,0,11.9,11.9,11.9,0
1237503600,11.9,11.6,11.9,11.6,100
1237762800,12,12.6,12.6,12,110
1237849200,13,13.2,13.2,13,20
1237935600,0,13.2,13.2,13.2,0
1238022000,13.6,13.9,14.1,13.6,408
1238108400,0,13.9,13.9,13.9,0
1238364000,13.9,13.9,13.9,13.9,1
1238450400,0,13.9,13.9,13.9,0
1238536800,13.95,13,13.95,13,22
1238623200,13.95,13.95,13.95,13.95,20
1238709600,13.95,13,13.95,12.6,1600
1238968800,13,13,13.6,13,122
1239055200,13.9,13.9,13.9,13.9,1
1239141600,13.9,13.7,13.9,13,1121
1239228000,13.7,13.74,13.74,13,397
1239660000,12.37,13,13.3,12.37,1564
1239746400,13.3,13.4,13.4,13.3,312
1239832800,13.7,13.7,13.7,13.7,1
1239919200,13.7,13.7,13.7,13.7,31
1240178400,13.5,13.25,13.5,12.9,70
1240264800,13.24,13.24,13.24,13.24,2
1240351200,13.7,13.7,13.7,13.7,1
1240437600,13.7,13.7,13.7,13.7,1
1240524000,13.69,13.6,13.69,12.5,526
1240783200,13.7,13.88,13.88,13,9211
1240869600,13.87,13.87,13.87,13.87,32
1240956000,13.9,14,14.1,13.87,237
1241042400,14,13.7,14,13.7,55
1241388000,14.18,13.6,14.18,13.6,328
1241474400,14.19,13.79,14.19,13,105
1241560800,14.19,13.2,14.19,12.9,280
1241647200,13.19,13.55,13.55,13.06,52
1241733600,13.5,13.5,13.5,13.5,1
1241992800,13.7,13.7,13.7,13,129
1242079200,13.5,13.01,13.5,12.8,1071
1242165600,13.05,13.49,13.49,13.01,675
1242252000,13.49,13.49,13.49,13.49,1
1242338400,13.49,13.49,13.49,13.49,1
1242597600,13.48,13.02,13.48,12.91,757
1242684000,13.02,13,13.02,12.6,142
1242770400,12.95,12.95,12.95,12.9,64
1242856800,13.02,13.02,13.02,13.02,1
1242943200,13,13,13,13,1
1243202400,13,13,13,13,1
1243288800,13,13,13,13,1
1243375200,13,13,13,13,601
1243461600,13,13.05,13.05,13,71
1243548000,13,13,13,13,1
1243807200,13.47,13.47,13.47,13.47,1
1243893600,13.47,13.4,13.47,13.4,201
1243980000,13.4,13.4,13.4,13.4,1
1244066400,14.35,13.8,14.35,13.4,834
1244152800,13.4,13,13.4,13,263
1244412000,13.15,12.9,13.15,12,2310
1244498400,13,12.1,13,12.03,1596
1244584800,12.15,11.8,12.2,11.8,3156
1244757600,12.2,12,12.5,11.8,530
1245016800,12.15,12,12.2,12,466
1245103200,12.09,12.05,12.09,11.5,1071
1245189600,12.18,11.45,12.18,11,2347
1245276000,11.98,10.94,11.98,10.94,1081
1245362400,11.2,10.76,11.28,10.73,1063
1245621600,11.09,11.6,11.97,10.8,18519
1245708000,11.6,11.4,11.6,11.01,7856
1245794400,11.95,11.29,11.95,11.25,5016
1245880800,11.26,11.15,11.26,11,560
1245967200,11.3,11.2,12.2,11,2654
1246226400,11.2,11,11.2,10.7,405
1246312800,10.8,11.8,11.8,10.8,1045
1246399200,11.75,11.7,11.75,11.7,11
1246485600,11.8,12.2,12.2,11.8,1581
1246572000,12.32,12.25,12.32,12.25,536
1246831200,12.51,12.25,12.51,12.25,501
1246917600,12.32,12.32,12.32,12.32,1
1247004000,12.3,12.3,12.3,12.3,2
1247090400,12.3,12.3,12.3,12.3,1
1247176800,12.25,12.25,12.25,12.25,2
1247436000,12.48,11.4,12.48,11,2378
1247522400,11.48,10.93,11.48,10.9,1253
1247608800,10.99,10.5,10.99,10.16,2770
1247695200,10.53,10.55,10.55,10.49,3476
1247781600,10.55,10.6,10.6,10.18,1804
1248040800,11,10.71,11.25,10.7,12812
1248127200,10.95,10.8,11.42,10.71,5015
1248213600,11.09,10.7,11.09,10.42,4231
1248300000,10.99,10.8,10.99,10.56,11983
1248386400,10.99,11,11.27,10.6,5971
1248645600,11.24,10.5,11.24,10.49,5486
1248732000,10.7,10.3,10.7,10.3,4143
1248818400,10.5,9.85,10.5,9.8,4060
1248904800,10.2,10,10.2,9.9,3304
1248991200,10.85,10.3,10.9,10.1,12950
1249250400,10.74,10.6,10.89,10.45,12915
1249336800,10.6,10.5,10.6,10.38,5404
1249423200,10.5,10.5,10.5,10.5,578
1249509600,10.5,10.5,10.5,10.5,370
1249596000,10.5,10.36,10.5,10.35,598
1249855200,10.5,10.5,10.5,10.5,747
1249941600,10.55,10.67,10.67,10.55,415
1250028000,10.65,10.57,10.65,10.45,501
1250114400,10.65,10.68,10.68,10.65,528
1250200800,10.7,10.8,10.87,10.7,1400
1250460000,10.8,10.59,10.8,10.2,1862
1250546400,10.49,10.5,10.5,10.49,549
1250632800,10.7,10.65,10.7,10.6,383
1250719200,10.65,10.3,10.65,10.15,2146
1250805600,10.49,10.4,10.49,10.15,1734
1251064800,10.4,10.64,10.65,10.2,4339
1251151200,10.64,10.3,10.64,10.22,3586
1251237600,10.57,10.3,10.57,10.3,1295
1251324000,10.15,10.41,10.62,10.15,2160
1251410400,10.6,10.69,10.69,10.46,5727
1251669600,10.6,11.41,11.74,10.6,11013
1251756000,11.01,10.5,11.01,10.35,5114
1251842400,10.55,10.4,10.89,10.4,8968
1251928800,10.74,10.4,10.74,10.3,1578
1252015200,10.59,10.6,10.74,10.59,7080
1252274400,10.75,10.4,10.75,10.4,759
1252360800,10.4,10.21,10.42,10.21,787
1252447200,10.2,10.4,10.4,10.2,506
1252533600,0,10.4,10.4,10.4,0
1252620000,10.02,10.2,10.2,10.01,610
1252879200,10.02,10.2,10.2,10.02,10360
1252965600,10.2,10.2,10.2,10.2,102
1253052000,10.19,10.19,10.19,10.19,2
1253138400,10.03,9.5,10.15,9.2,2734
1253224800,10,10.2,10.2,9.8,1801
1253484000,10.2,10,10.3,9.55,354
1253570400,10.2,10.2,10.2,10.2,5
1253656800,10.2,10.1,10.2,10.1,105
1253743200,10.1,10.2,10.2,10.1,1144
1253829600,10.2,10.2,10.2,10.2,195
1254088800,10.2,9.9,10.2,9.9,1352
1254175200,9.86,10.04,10.04,9.62,8955
1254261600,10.04,10,10.04,9.5,4544
1254348000,9.53,9.6,9.6,9.52,215
1254434400,9.8,9.8,9.8,9.8,5
1254693600,9.79,9.79,9.79,9.79,2
1254780000,9.65,9.6,9.65,9.6,393
1254866400,9.78,9.65,9.78,9.61,28503
1254952800,9.77,9.98,10.13,9.77,773
1255039200,9.98,9.62,9.98,9.62,743
1255298400,9.65,9.67,9.67,9.65,127
1255384800,9.72,9.72,9.72,9.72,138
1255471200,9.85,9.85,9.85,9.84,85
1255557600,9.9,9.9,9.95,9.9,920
1255644000,9.95,9.95,9.95,9.95,5
1255903200,9.98,9.85,10.02,9.85,801
1255989600,8.9,9.19,9.39,8.9,3935
1256076000,9.23,9.28,9.28,9.23,156
