t,o,c,h,l,v
959292000,0,52,52,52,263274
959551200,0,52.5,52.5,52.5,99550
959637600,0,54,54,54,79039
959724000,0,56,56,56,119573
959810400,0,56.8,56.8,56.8,87088
959896800,0,54,54,54,18254
960156000,0,54.5,54.5,54.5,35544
960242400,0,54,54,54,96489
960328800,0,55.8,55.8,55.8,71301
960415200,0,56,56,56,33755
960501600,0,56.9,56.9,56.9,38441
960760800,0,55.5,55.5,55.5,8474
960847200,0,56,56,56,14983
960933600,0,56,56,56,12283
961020000,0,54.5,54.5,54.5,7708
961106400,0,55,55,55,9162
961365600,0,53.3,53.3,53.3,5572
961452000,0,54,54,54,6163
961538400,0,53.3,53.3,53.3,2412
961711200,0,53.3,53.3,53.3,8035
961970400,0,53,53,53,10016
962056800,0,53.2,53.2,53.2,9735
962143200,0,54,54,54,7793
962229600,0,53.5,53.5,53.5,7025
962316000,0,53,53,53,3640
962575200,0,53.5,53.5,53.5,5104
962661600,0,52.6,52.6,52.6,680
962748000,0,52.6,52.6,52.6,4240
962834400,0,53,53,53,4114
962920800,0,53,53,53,3788
963180000,0,53,53,53,2000
963266400,0,51.9,51.9,51.9,1180
963352800,0,52,52,52,3121
963439200,0,51.3,51.3,51.3,3636
963525600,0,50.9,50.9,50.9,7600
963784800,0,49.8,49.8,49.8,8185
963871200,0,46.1,46.1,46.1,6815
963957600,0,48.7,48.7,48.7,7085
964044000,0,48.7,48.7,48.7,6802
964130400,0,49.2,49.2,49.2,7955
964389600,0,48.8,48.8,48.8,2300
964476000,0,48.7,48.7,48.7,3081
964562400,0,49.5,49.5,49.5,10382
964648800,0,49.4,49.4,49.4,2100
964735200,0,49.7,49.7,49.7,1008
964994400,0,48.8,48.8,48.8,2354
965080800,0,49,49,49,2000
965167200,0,48.7,48.7,48.7,2019
965253600,0,48.8,48.8,48.8,2296
965340000,0,48.8,48.8,48.8,7898
965599200,0,48.8,48.8,48.8,1399
965685600,0,49,49,49,2017
965772000,0,49,49,49,8500
965858400,0,48.8,48.8,48.8,4750
965944800,0,48.7,48.7,48.7,9078
966204000,0,49,49,49,1900
966376800,0,49,49,49,1600
966463200,0,49,49,49,7984
966549600,0,49,49,49,810
966808800,0,48,48,48,1158
966895200,0,48,48,48,890
966981600,0,48,48,48,1748
967068000,0,49,49,49,500
967154400,0,48,48,48,600
967413600,0,48.5,48.5,48.5,959
967500000,0,49,49,49,285
967586400,0,48.5,48.5,48.5,3809
967672800,0,48.5,48.5,48.5,1120
967759200,0,48.5,48.5,48.5,223
968018400,0,48.5,48.5,48.5,1762
968104800,0,48.9,48.9,48.9,2202
968191200,0,49,49,49,7026
968277600,0,49,49,49,1296
968364000,0,48.5,48.5,48.5,631
968623200,0,49,49,49,1200
968709600,0,48.5,48.5,48.5,1371
968796000,0,48.7,48.7,48.7,1800
968882400,0,48.8,48.8,48.8,1341
968968800,0,49,49,49,800
969228000,0,49,49,49,1974
969314400,0,48.9,48.9,48.9,400
969400800,0,48.5,48.5,48.5,1795
969487200,0,48.5,48.5,48.5,2378
969573600,0,48,48,48,1839
969832800,0,47.5,47.5,47.5,707
969919200,0,48,48,48,1105
970005600,0,47,47,47,1522
970092000,0,48.5,48.5,48.5,1500
970178400,0,48,48,48,500
970437600,0,48,48,48,1169
970524000,0,43.2,43.2,43.2,1851
970610400,0,47.5,47.5,47.5,6790
970696800,0,48,48,48,1319
970783200,0,47.8,47.8,47.8,1100
971042400,0,48.5,48.5,48.5,1000
971128800,0,48,48,48,2000
971215200,0,48.1,48.1,48.1,5001
971301600,0,48,48,48,4554
971388000,0,48.5,48.5,48.5,3156
971647200,0,49,49,49,800
971733600,0,48.3,48.3,48.3,499
971820000,0,49,49,49,2885
971906400,0,49.2,49.2,49.2,1500
971992800,0,50,50,50,2985
972252000,0,51,51,51,1850
972338400,0,51.5,51.5,51.5,1550
972424800,0,52,52,52,2320
972511200,0,52,52,52,3005
972597600,0,52.3,52.3,52.3,4500
972860400,0,52,52,52,1224
972946800,0,52,52,52,1023
973119600,0,50,50,50,1000
973206000,0,49,49,49,4176
973465200,0,51.8,51.8,51.8,6040
973551600,0,52.8,52.8,52.8,8000
973638000,0,53.4,53.4,53.4,5362
973724400,0,53.1,53.1,53.1,5183
973810800,0,53,53,53,6710
974070000,0,48.4,48.4,48.4,25
974156400,0,50.8,50.8,50.8,1355
974242800,0,51,51,51,2125
974329200,0,51.2,51.2,51.2,1920
974415600,51.3,51.3,51.3,51.3,721
974674800,51.3,51.3,51.3,51.3,1000
974761200,51.3,51.3,51.3,49,1271
974847600,51.3,51,51.3,49.5,1482
974934000,51.1,51,51.2,51,768
975020400,51.3,51.3,51.5,51.3,560
975279600,50,50,51,50,201
975366000,50,50,50,50,106
975452400,50,50,50,50,262
975538800,50,51,51,48,258
975625200,51,51,51,49.1,120
975884400,50.5,50.5,51,49.1,506
975970800,51,50.5,51,49.5,849
976057200,51,51,51,49.9,533
976143600,50.5,51,51,50.5,547
976230000,51,51,51,50,453
976489200,50.9,50.9,50.9,50,685
976575600,51,51,51,50.5,249
976662000,51,52,52,50.5,1359
976748400,52,51.6,52,51.6,302
976834800,52,53.9,54,51,2252
977094000,53.9,53.8,53.9,49.8,782
977180400,53,53.8,53.8,51.7,599
977266800,51.2,51,51.2,51,207
977353200,51,51.5,51.5,49.6,56
977439600,0,51.5,51.5,51.5,0
977871600,52,52,52,52,10
977958000,52,52,52,52,10
978044400,49.5,52,52,49.5,7037
978390000,49.4,51.9,51.9,49.4,130
978476400,51.5,51.5,51.5,51.5,10
978562800,50.7,51,51,46,2260
978649200,50,50,50,48.5,231
978908400,50.3,50,50.3,50,36
978994800,50,49,50,47.6,39
979081200,49,49,49,47.3,400
979167600,49,50,50,48,1933
979254000,50.5,50.5,50.5,50,478
979513200,50.6,50.5,50.6,50,4650
979599600,50.9,50.8,50.9,50.8,1230
979686000,50.5,50.7,50.7,50.4,1550
979772400,50.5,50.7,50.8,50.5,4070
979858800,50.5,50.5,50.7,50.5,3700
980118000,50.7,50.7,50.7,48.3,3826
980204400,48.6,50.6,50.6,48.6,2062
980290800,50.5,50.5,50.7,50.4,5600
980377200,50.5,50.5,50.5,50.5,50
980463600,50.5,50.5,50.5,50,168
980722800,50.5,50.5,50.5,48.4,297
980809200,50.5,50.5,50.5,49.5,384
980895600,50.4,50.5,50.5,48.8,232
980982000,50.4,50.5,50.5,50.4,200
981068400,50.5,50.5,50.5,50.5,30
981327600,50.4,50.4,50.5,48.7,489
