t,o,c,h,l,v
1101769200,12,11.35,12,11.05,122569
1101855600,11.45,12.25,12.45,11.45,24122
1101942000,12.55,12,12.55,11.9,21326
1102028400,11.9,11.9,12.2,11.8,14360
1102287600,12.3,11.95,12.3,11.8,1240
1102374000,11.8,11.8,12,11.8,4197
1102460400,11.8,12,12,11.8,1568
1102546800,12.1,11.7,12.1,11.55,3477
1102633200,11.7,11.7,11.7,11.7,2180
1102892400,11.4,11.4,11.4,11.4,60
1102978800,11.4,11.4,11.4,11.4,230
1103065200,11.35,11.35,11.35,11.35,476
1103151600,11.35,11.5,11.5,11.15,875
1103238000,11.7,11.7,11.7,11.6,1469
1103497200,11.7,11.75,11.75,11.7,723
1103583600,11.7,12.1,12.1,11.7,10985
1103670000,12.05,11.8,12.05,11.8,515
1103756400,12,12,12,12,1542
1103842800,0,12,12,12,0
1104102000,12,11.9,12.1,11.9,15661
1104188400,12,12.05,12.05,11.95,10298
1104274800,12,12,12.1,12,13207
1104361200,12.05,11.95,12.1,11.9,13741
1104447600,11.95,12.05,12.05,11.95,5350
1104706800,12,12,12.05,12,5368
1104793200,12,12.05,12.05,12,7983
1104879600,12.05,12.6,12.9,12,70475
1104966000,12.65,12.65,12.7,12.25,12341
1105052400,12.6,12.65,12.7,12.5,7022
1105311600,12.6,12.6,12.6,12.5,9314
1105398000,12.5,12.65,12.65,12.5,5143
1105484400,12.6,12.65,12.65,12.55,3539
1105570800,12.6,12.6,12.65,12.55,11274
1105657200,12.4,12.65,12.65,12.35,2513
1105916400,12.6,12.65,12.7,12.6,2754
1106002800,12.6,12.65,12.65,12.55,4761
1106089200,12.55,12.6,12.6,12.55,7391
1106175600,12.6,12.5,12.6,12.5,8447
1106262000,12.6,12.6,12.7,12.4,13955
1106521200,12.6,12.6,12.6,12.55,26279
1106607600,12.6,12.6,12.65,12.55,54489
1106694000,12.7,12.7,12.7,12.6,16764
1106780400,12.7,12.7,12.7,12.65,6148
1106866800,12.6,12.6,12.6,12.6,1846
1107126000,12.7,13,13.3,12.7,5689
1107212400,13.2,13,13.3,13,8165
1107298800,13.1,13.15,13.15,13.1,2576
1107385200,13.35,13.2,13.35,13.2,730
1107471600,13.4,13.2,13.4,13.2,28109
1107730800,13.2,13.1,13.25,13.1,18365
1107817200,13.3,13.2,13.35,13.05,7248
1107903600,13,13.2,13.2,13,56231
1107990000,13.05,13,13.1,13,2773
1108076400,13.05,13.1,13.15,13,4333
1108335600,13.2,13.3,13.3,13.2,2670
1108422000,13.35,13.25,13.4,13.2,2900
1108508400,13.3,13.4,13.5,13.3,536
1108594800,13.45,13.85,13.9,13.45,17994
1108681200,13.9,14,14.4,13.9,6467
1108940400,14.4,14.3,14.4,14,133324
1109026800,14.5,14.45,15.2,14.3,9839
1109113200,14.5,15.45,15.8,14.5,22171
