t,o,c,h,l,v
848358000,0,28,28,28,22352
848444400,0,29,29,29,13975
848530800,0,31,31,31,13526
848617200,0,35,35,35,59493
848876400,0,35,35,35,17898
848962800,0,34,34,34,8360
849049200,0,33,33,33,10248
849135600,0,32,32,32,5779
849222000,0,34,34,34,9348
849481200,0,35,35,35,25285
849567600,0,36,36,36,19016
849654000,0,39,39,39,25386
849740400,0,40,40,40,31178
849826800,0,43,43,43,40288
850086000,0,41,41,41,26286
850172400,0,42,42,42,15347
850258800,0,45,45,45,9914
850345200,0,47,47,47,23605
850431600,0,47,47,47,25863
850690800,0,46,46,46,26067
850777200,0,45,45,45,17663
850863600,0,42,42,42,15532
850950000,0,45,45,45,16194
851036400,0,44,44,44,13355
851295600,0,41,41,41,14099
851382000,0,40,40,40,4554
851900400,0,42,42,42,16917
851986800,0,42,42,42,8050
852159600,0,42,42,42,4064
852246000,0,42,42,42,6784
852505200,0,42,42,42,5675
852591600,0,41,41,41,1658
852678000,0,43,43,43,7052
852764400,0,43,43,43,4641
852850800,0,43,43,43,5648
853110000,0,41,41,41,5506
853196400,0,41,41,41,6159
853282800,0,40,40,40,5839
853369200,0,40,40,40,29162
853455600,0,42,42,42,22584
853714800,0,46,46,46,25721
853801200,0,45,45,45,8293
853887600,0,42,42,42,28466
853974000,0,42,42,42,23621
854060400,0,41,41,41,27895
854319600,0,40,40,40,11141
854406000,0,41,41,41,6829
854492400,0,36,36,36,7491
854578800,0,38,38,38,32479
854665200,0,36,36,36,21782
854924400,0,38,38,38,17214
855010800,0,36,36,36,11587
855097200,0,37,37,37,6718
855183600,0,39,39,39,17020
855270000,0,42,42,42,27812
855529200,0,43,43,43,13003
855615600,0,41,41,41,14756
855702000,0,43,43,43,11540
855788400,0,41,41,41,8596
855874800,0,42,42,42,11405
856134000,0,41,41,41,8285
856220400,0,44,44,44,24195
856306800,0,44,44,44,19024
856393200,0,44,44,44,18752
856479600,0,45,45,45,16123
856738800,0,49,49,49,26337
856825200,0,51,51,51,25775
856911600,0,49,49,49,28253
856998000,0,44,44,44,33314
857084400,0,41,41,41,14647
857343600,0,42,42,42,16985
857430000,0,43,43,43,26996
857516400,0,43,43,43,15141
857602800,0,44,44,44,17214
857689200,0,46,46,46,16050
857948400,0,45,45,45,15143
858034800,0,47,47,47,11657
858121200,0,48,48,48,28674
858207600,0,48,48,48,26828
858294000,0,46,46,46,31031
858553200,0,48,48,48,11111
858639600,0,50,50,50,31008
858726000,0,49,49,49,21341
858812400,0,47,47,47,26958
858898800,0,47,47,47,6820
859158000,0,50,50,50,14649
859244400,0,52,52,52,25236
859330800,0,55,55,55,26841
859417200,0,55,55,55,18656
859845600,0,49,49,49,20442
859932000,0,50,50,50,20759
860018400,0,48,48,48,17046
860104800,0,49,49,49,10351
860364000,0,53,53,53,24643
860450400,0,53,53,53,6991
860536800,0,52,52,52,19755
860623200,0,50,50,50,14056
860709600,0,51,51,51,11568
860968800,0,50,50,50,20308
861055200,0,50,50,50,11456
861141600,0,52,52,52,17320
861228000,0,50,50,50,14061
861314400,0,50,50,50,8602
861573600,0,52,52,52,81343
861660000,0,55,55,55,24665
861746400,0,60,60,60,26038
861832800,0,59,59,59,19045
861919200,0,58,58,58,8918
862178400,0,53,53,53,6528
862264800,0,55,55,55,12902
862351200,0,58,58,58,17814
862783200,0,63,63,63,17652
862869600,0,62,62,62,12785
862956000,0,61,61,61,11622
863042400,0,61,61,61,8238
863128800,0,61,61,61,10983
863388000,0,60,60,60,13225
863474400,0,61,61,61,8532
863560800,0,60,60,60,15779
863647200,0,60,60,60,9601
863733600,0,58,58,58,8298
863992800,0,58,58,58,4539
864079200,0,57,57,57,7051
864165600,0,57,57,57,17038
864252000,0,56,56,56,8302
864338400,0,54,54,54,9371
864597600,0,54,54,54,9579
864684000,0,54,54,54,9751
864770400,0,54,54,54,10614
865202400,0,55.5,55.5,55.5,2789
865288800,0,55,55,55,9826
865375200,0,52,52,52,10078
865461600,0,52.5,52.5,52.5,8173
865548000,0,52.5,52.5,52.5,6230
865807200,0,52,52,52,2958
865893600,0,51,51,51,1161
865980000,0,50.5,50.5,50.5,7542
866066400,0,51,51,51,4218
866152800,0,50.5,50.5,50.5,4350
866412000,0,50,50,50,4327
866498400,0,48.9,48.9,48.9,1965
866584800,0,48.5,48.5,48.5,2528
866671200,0,48.4,48.4,48.4,5489
866757600,0,50.5,50.5,50.5,1751
867016800,0,49.4,49.4,49.4,2839
867103200,0,48.9,48.9,48.9,3097
867189600,0,49.4,49.4,49.4,5049
867276000,0,48.8,48.8,48.8,3314
867362400,0,49.3,49.3,49.3,2754
867621600,0,50.5,50.5,50.5,6341
867708000,0,49.5,49.5,49.5,3332
867794400,0,50,50,50,3631
867880800,0,50,50,50,4528
867967200,0,51.5,51.5,51.5,3379
868226400,0,51.5,51.5,51.5,2659
868312800,0,51,51,51,3721
868399200,0,50,50,50,3012
868485600,0,51.5,51.5,51.5,6852
868572000,0,51,51,51,2897
868831200,0,49.9,49.9,49.9,3928
868917600,0,48.6,48.6,48.6,4039
869004000,0,48.4,48.4,48.4,6358
869090400,0,48.2,48.2,48.2,4652
869176800,0,48.1,48.1,48.1,2715
869436000,0,43.3,43.3,43.3,4279
869522400,0,43.5,43.5,43.5,3918
869608800,0,43.6,43.6,43.6,3908
869695200,0,42.9,42.9,42.9,1479
869781600,0,38.7,38.7,38.7,2971
870040800,0,38,38,38,7236
870127200,0,37.1,37.1,37.1,2347
870213600,0,37.1,37.1,37.1,3976
870300000,0,37.2,37.2,37.2,6318
870386400,0,37.8,37.8,37.8,7383
870645600,0,39.1,39.1,39.1,5515
870732000,0,39.9,39.9,39.9,8456
870818400,0,42,42,42,9674
870904800,0,42,42,42,5324
870991200,0,43.1,43.1,43.1,5778
871250400,0,43.1,43.1,43.1,8255
871336800,0,43,43,43,4360
871423200,0,42.9,42.9,42.9,6093
871509600,0,42.7,42.7,42.7,11243
871855200,0,42.8,42.8,42.8,4330
871941600,0,43.5,43.5,43.5,9245
872028000,0,44,44,44,5884
872114400,0,44.1,44.1,44.1,3486
872200800,0,43.6,43.6,43.6,1712
872460000,0,43,43,43,3772
872546400,0,42.9,42.9,42.9,6358
872632800,0,43.5,43.5,43.5,5901
872719200,0,43,43,43,3309
872805600,0,42.6,42.6,42.6,5019
873064800,0,41.6,41.6,41.6,6332
873151200,0,41,41,41,4750
873237600,0,41,41,41,7821
873324000,0,40.9,40.9,40.9,3031
873410400,0,40.5,40.5,40.5,10321
873669600,0,41,41,41,1472
873756000,0,40.5,40.5,40.5,5469
873842400,0,40.6,40.6,40.6,3395
873928800,0,40.4,40.4,40.4,4982
874015200,0,40,40,40,5000
874274400,0,40,40,40,2641
874360800,0,40,40,40,4408
874447200,0,39.5,39.5,39.5,3040
874533600,0,37.3,37.3,37.3,1263
874620000,0,38.5,38.5,38.5,6890
874879200,0,39.7,39.7,39.7,15135
874965600,0,39.4,39.4,39.4,6320
875052000,0,38.8,38.8,38.8,2523
875138400,0,37.4,37.4,37.4,4723
875224800,0,37.1,37.1,37.1,11227
875484000,0,37.5,37.5,37.5,7772
875570400,0,39.4,39.4,39.4,8545
875656800,0,39,39,39,6435
875743200,0,39,39,39,2607
875829600,0,38.7,38.7,38.7,2060
876088800,0,37.4,37.4,37.4,4411
876175200,0,37,37,37,6806
876261600,0,37,37,37,5479
876348000,0,37,37,37,4902
876434400,0,35.6,35.6,35.6,3486
876693600,0,35.6,35.6,35.6,0
876780000,0,35,35,35,15724
876866400,0,36,36,36,14600
876952800,0,36.9,36.9,36.9,9387
877039200,0,37.2,37.2,37.2,6602
877298400,0,37.2,37.2,37.2,4485
877384800,0,37.4,37.4,37.4,9104
877471200,0,37.8,37.8,37.8,4330
877557600,0,37.4,37.4,37.4,9895
877644000,0,35.2,35.2,35.2,5489
877906800,0,33.6,33.6,33.6,7384
877993200,0,30.3,30.3,30.3,0
878079600,0,31.9,31.9,31.9,20154
878166000,0,29.2,29.2,29.2,7333
878252400,0,28.2,28.2,28.2,4934
878511600,0,28.9,28.9,28.9,15559
878598000,0,29.7,29.7,29.7,13198
878684400,0,30.3,30.3,30.3,2749
878770800,0,29.1,29.1,29.1,1100
878857200,0,29.9,29.9,29.9,6832
879289200,0,29,29,29,2544
879375600,0,29,29,29,2638
