t,o,c,h,l,v
1192572000,121,115.8,121,111,6343
1192658400,115.9,113.3,115.9,109,2485
1192744800,107,111.8,112,105,3112
1193004000,107,103.3,108,103.2,2836
1193090400,106,107,108,105.9,1866
1193176800,108.5,107.5,108.5,105.4,1447
1193263200,104.5,103.8,105,100.3,7428
1193349600,101.1,105.4,105.9,98.1,2253
1193612400,105,105.9,105.9,104.5,623
1193698800,104,105.6,106.7,103,966
1193785200,105.6,104.6,105.6,102.1,680
1193958000,102.7,105.5,105.5,102.7,816
1194217200,104,107.5,107.9,103,1488
1194303600,110,109.5,113.2,106.4,6756
1194390000,109.9,97.3,109.9,97.3,2496
1194476400,95,98,98.4,89,1930
1194562800,99,97.6,99,91.1,2317
1194822000,97.5,93.3,97.5,90,2918
1194908400,91.1,95,95.8,88,899
1194994800,97.5,95,97.5,94,649
1195081200,90.8,89.4,92,86.15,3017
1195167600,87,86,87,80.7,10821
1195426800,83.5,85.8,85.8,81.5,1001
1195513200,80.9,84.4,85.6,79.5,1565
1195599600,80.4,83.5,83.5,77.6,841
1195686000,79,84.6,86,75,2330
1195772400,84.1,83.8,85,80,1076
1196031600,83.45,82.5,83.5,80.3,374
1196118000,80.9,81,81,78.55,1330
1196204400,81.95,83,83.2,81.95,212
1196290800,84.5,84.35,85,80,708
1196377200,82.1,86.5,86.5,81.2,615
1196636400,83.2,87.9,87.9,83.2,127
1196722800,84.7,85,88.55,84.4,192
1196809200,85,89.7,89.7,84.1,1669
1196895600,90,85.5,90,85.5,544
1196982000,85.6,88.7,88.7,85.3,358
1197241200,88.7,89.9,89.9,85.05,266
1197327600,88.8,85.5,88.8,85.5,240
1197414000,85,86.9,86.9,83,275
1197500400,85,85.9,86,83.05,467
1197586800,85.7,85.4,85.7,83,136
1197846000,81.1,83.9,84,81,1085
1197932400,84,86.8,86.8,80.6,2936
1198018800,81,79,82.95,75.1,3885
1198105200,79.9,83.5,83.95,79.9,4693
1198191600,83.9,82,83.95,82,1697
1198710000,83.95,83.75,84,81,618
1198796400,82.95,83.65,83.9,81,1029
1199228400,77.1,81,84,77.1,358
1199314800,79.8,80,80.9,79.8,2763
1199401200,79.8,80,82.85,79.8,2196
1199660400,79,78,80,78,95
