t,o,c,h,l,v
1183932000,15.1,16,17.35,15,17258
1184018400,16.13,15.05,16.13,14.81,15973
1184104800,15.49,15.05,16.1,14.4,6701
1184191200,15,14.93,15,14.4,4495
1184277600,14.7,14.6,14.97,14,21294
1184536800,14.6,14.1,14.8,13.81,73659
1184623200,14.14,14.44,14.54,13.98,18989
1184709600,14.54,15.1,15.1,14.1,2772
1184796000,14.76,14.2,14.76,14.2,5742
1184882400,14.2,14.01,14.98,13.75,3359
1185141600,14.25,14.74,14.75,13.62,3919
1185228000,14.7,14.4,14.7,13.7,3196
1185314400,14.39,13.72,14.39,13.72,3387
1185400800,14.6,14.05,14.7,14,7257
1185487200,13.7,14.14,14.5,13.7,4340
1185746400,13.72,14.5,14.5,13.72,172
1185832800,14.5,14.45,14.6,14.3,22203
1185919200,13.99,14.4,14.4,13.99,3386
1186005600,14.4,14.24,14.4,14.24,57
1186092000,14.4,14.2,14.45,14.2,5567
1186351200,13.71,13.72,14.38,13.71,1323
1186437600,14,13.3,14,13.3,2386
1186524000,13.95,13.8,13.95,13.8,1130
1186610400,13.9,13.1,13.9,12.5,7365
1186696800,13.69,13.7,13.7,12.23,21527
1186956000,13.7,14.18,14.25,13.02,3881
1187042400,13.51,12.91,13.9,12.91,4623
1187215200,12.23,11,13,11,5256
1187301600,10.99,11.6,12.4,10.99,4645
1187560800,12.5,12.2,12.55,12.1,5565
1187647200,11.7,11.59,12,11.57,2766
1187733600,10.92,12,12,10.6,21132
1187820000,12,12.2,12.89,12,6650
1187906400,11.43,12.15,12.15,11.43,6814
1188165600,12.1,12,12.1,11.61,5317
1188252000,11.95,11.8,12,11.7,78622
1188338400,11.6,11.8,12.2,11.6,1598
1188424800,12,11.99,12.14,11.31,11877
1188511200,11.9,12.1,12.2,11.9,4304
1188770400,12.2,12.2,12.5,12.2,2995
1188856800,12.2,12.2,12.2,12.2,235
1188943200,11.52,12.34,12.5,11.45,18582
1189029600,12.45,12.4,12.55,11.9,18242
1189116000,12.85,12.49,12.85,12.1,1656
1189375200,12.49,12.65,13,11.8,24660
1189461600,12.65,12.6,12.65,11.81,18084
1189548000,12.65,12.63,12.65,12.41,2442
1189634400,12.41,12.55,12.69,12.2,2807
1189720800,12.3,12.66,12.9,12.3,9901
1189980000,12.98,13.89,14.19,12.98,11574
1190066400,14.01,14.99,15.41,14.01,40423
1190152800,15.9,15.5,16.98,15.2,58775
1190239200,15.85,14.44,15.85,14.42,9674
1190325600,15.4,14.99,15.4,14.95,1077
1190584800,14.99,14.5,15,14.3,6958
1190671200,15.1,15,15.5,14.7,6452
1190757600,15.47,14.82,15.5,14.56,13444
1190844000,15.2,15.99,16.47,14.65,29619
1190930400,16.46,16.4,16.46,15.5,21168
1191189600,16.4,16,16.4,15.84,8163
1191276000,16,15.5,16.49,15.45,25093
1191362400,15.5,15.5,15.7,15.1,4136
1191448800,15.1,14.65,15.3,14.65,13847
1191535200,14.81,14.85,15.4,14.81,3287
1191794400,14.8,15.15,15.42,14.75,11076
1191880800,15.5,15.18,15.5,14.57,23279
1191967200,15.3,15.45,15.5,14.8,3243
1192053600,14.9,15,15.2,14.85,4985
1192140000,14.85,15.27,15.28,14.5,14468
1192399200,14.81,14.9,15.4,14.81,3608
1192485600,14.9,14.35,14.9,14.3,18195
1192572000,14.41,14.35,14.41,14.35,1000
1192658400,14.41,14.2,14.41,14.18,11904
1192744800,14.18,14.5,14.8,13.6,5565
1193004000,14.05,14.74,14.94,13.91,4351
1193090400,14.93,14.02,14.93,14.01,4185
1193176800,13.93,14.2,14.2,13.93,9749
1193263200,13.97,14,14.1,13.91,2041
1193349600,13.96,13.95,13.96,13.21,20897
1193612400,13.6,14.45,14.45,13.55,2507
1193698800,13.71,14.01,14.2,13.71,2814
1193785200,14.01,14,14.35,13.8,3365
1193958000,13.9,13.8,13.9,13.79,1959
1194217200,13.94,13.7,13.94,13.6,18398
1194303600,13.7,13.51,13.7,13.51,994
1194390000,13.51,13.17,13.51,12.85,9712
1194476400,12.81,13.49,13.76,12,1350
1194562800,13.5,12.7,13.5,12.7,2792
1194822000,12.7,12.7,12.89,12.7,2767
1194908400,13.83,12.5,13.83,12.5,1310
1194994800,12.53,12.6,12.6,12.53,2102
1195081200,12.6,12.55,12.6,12.55,4667
1195167600,12.55,12.1,12.6,12,4851
1195426800,12,11.81,12.69,11.8,1766
