t,o,c,h,l,v
1191794400,6.8,6.16,6.8,6.15,16130
1191880800,6.35,6.13,6.35,5.87,7404
1191967200,6,5.86,6.1,5.85,16065
1192053600,5.85,5.9,5.93,5.8,15827
1192140000,5.76,5.8,5.9,5.5,16725
1192399200,5.7,5.76,5.94,5.7,8175
1192485600,5.8,5.8,5.8,5.65,7072
1192572000,5.8,5.9,6,5.7,10127
1192658400,5.95,5.85,5.95,5.75,17542
1192744800,5.9,5.84,5.9,5.75,5618
1193004000,5.84,5.69,5.84,5.68,13394
1193090400,5.8,5.8,5.81,5.69,3586
1193176800,5.7,5.84,5.89,5.7,1626
1193263200,5.84,5.83,5.84,5.73,1006
1193349600,5.74,5.82,5.82,5.69,9382
1193612400,5.71,5.67,5.87,5.67,14367
1193698800,5.67,5.81,5.83,5.6,43964
1193785200,5.8,5.95,5.98,5.76,11521
1193958000,5.79,5.95,6.08,5.78,6891
1194217200,6.02,5.94,6.02,5.76,2694
1194303600,5.92,5.74,5.93,5.73,4637
1194390000,5.8,5.36,5.8,5.35,14085
1194476400,4.68,5.36,5.45,4.68,36788
1194562800,5.5,5.2,5.69,5.11,17339
1194822000,5.01,5.08,5.15,4.94,19518
1194908400,4.9,4.95,4.97,4.8,18620
1194994800,4.97,4.9,4.97,4.75,29427
1195081200,4.9,4.45,4.94,4.41,47617
1195167600,4.45,4.32,4.45,4.1,16442
1195426800,4.35,4.18,4.59,4.1,4188
1195513200,4.1,4.09,4.12,3.77,62308
1195599600,4.01,3.79,4.1,3.69,37780
1195686000,3.79,3.8,3.84,3.43,35450
1195772400,4.3,3.65,4.39,3.65,32798
1196031600,3.63,3.55,3.87,3.55,31454
1196118000,3.55,3.9,3.9,3.5,28423
1196204400,3.97,4.09,4.09,3.8,43380
1196290800,4.21,4.1,4.35,3.93,29782
1196377200,4.1,4.2,4.26,4,15291
1196636400,4.1,4.1,4.1,4,4530
1196722800,3.97,4.04,4.1,3.8,7976
1196809200,3.88,4.25,4.26,3.88,18554
1196895600,4.25,4.29,4.32,4.14,22870
1196982000,4.27,4.24,4.29,4.1,10953
1197241200,4.27,4.22,4.31,4.06,20721
1197327600,4.13,4.04,4.19,4,17146
1197414000,3.97,4.04,4.05,3.96,14996
1197500400,3.97,4,4,3.85,15318
1197586800,3.99,4,4,3.9,10921
1197846000,3.95,3.9,3.95,3.82,52335
1197932400,3.8,3.9,3.95,3.7,20464
1198018800,3.85,3.91,3.96,3.85,36667
1198105200,3.86,3.92,3.97,3.75,69012
1198191600,3.8,3.94,3.95,3.78,129880
1198710000,3.95,4,4.28,3.95,9540
1198796400,4.18,3.95,4.18,3.95,2426
1199228400,3.92,3.97,3.97,3.87,12608
1199314800,3.9,3.97,3.97,3.87,45090
1199401200,3.91,3.9,3.96,3.86,22977
1199660400,3.86,3.88,3.9,3.86,9419
1199746800,3.89,3.9,3.94,3.88,64495
1199833200,3.84,3.85,3.85,3.78,16822
1199919600,3.89,3.85,3.89,3.75,5259
1200006000,3.86,3.71,3.86,3.7,8532
1200265200,3.65,3.63,3.65,3.31,36008
1200351600,3.6,3.4,3.6,3.4,7660
1200438000,3.24,3.25,3.37,3.1,18161
1200524400,3.45,3.3,3.45,3.2,55320
1200610800,3.3,3.56,3.56,3.23,43538
1200870000,3.5,3.3,3.5,3.16,10976
1200956400,3.25,3.22,3.34,3.1,31221
1201042800,3.33,3.4,3.4,3.25,101982
1201129200,3.45,3.65,3.67,3.45,19660
1201215600,3.68,3.7,3.83,3.66,16521
1201474800,3.65,3.6,3.65,3.5,22039
1201561200,3.69,3.69,3.69,3.64,8980
1201647600,3.7,3.76,3.85,3.7,7900
1201734000,3.71,3.7,3.71,3.66,12759
1201820400,3.7,3.74,3.74,3.67,893
1202079600,3.69,3.72,3.74,3.69,14342
1202166000,3.7,3.71,3.75,3.7,25365
1202252400,3.58,3.79,3.79,3.58,2657
1202338800,3.79,3.71,3.79,3.71,5962
1202425200,3.85,3.78,3.85,3.71,36581
1202684400,3.72,3.78,3.82,3.71,7509
1202770800,3.84,3.95,3.95,3.79,14111
1202857200,3.95,3.94,3.95,3.88,28200
1202943600,3.94,3.91,3.94,3.9,111263
1203030000,3.88,3.88,3.9,3.88,9065
1203289200,3.89,3.9,3.92,3.89,68112
1203375600,3.92,4.25,4.32,3.92,64476
1203462000,4.28,4.2,4.38,4.18,39872
1203548400,4.4,4.3,4.4,4.25,35367
1203634800,4.41,4.48,4.49,4.3,47187
1203894000,4.49,4.46,4.55,4.36,7389
1203980400,4.55,4.45,4.61,4.45,53052
1204066800,4.57,4.4,4.57,4.26,50283
1204153200,4.23,4.3,4.4,4.23,2953
1204239600,4.18,4.21,4.51,4.05,29510
1204498800,3.93,3.95,3.98,3.84,24504
1204585200,4.03,3.83,4.19,3.79,30350
1204671600,3.82,3.99,4.2,3.8,24011
1204758000,4.02,4,4.1,3.85,14037
1204844400,3.89,3.88,3.97,3.87,14784
1205103600,3.99,3.97,3.99,3.8,8347
1205190000,3.86,3.95,3.97,3.86,3799
1205276400,3.98,3.98,3.98,3.89,15514
1205362800,3.9,3.78,3.9,3.78,5318
1205449200,3.78,3.93,3.93,3.67,13745
1205708400,3.9,3.81,3.9,3.65,13519
1205794800,3.65,3.76,3.85,3.65,12595
1205881200,3.76,3.84,3.84,3.7,1773
1205967600,3.7,3.83,3.84,3.7,7930
1206399600,3.82,3.8,3.84,3.68,10740
1206486000,3.82,3.81,3.82,3.81,3772
1206572400,3.95,3.87,3.95,3.73,815
1206658800,3.9,3.87,3.9,3.75,1160
1206914400,3.85,3.8,3.85,3.8,6210
1207000800,3.83,3.8,3.84,3.79,8454
1207087200,3.8,3.78,3.83,3.78,3136
1207173600,3.79,3.7,3.79,3.7,3558
1207260000,3.7,3.82,3.82,3.7,2166
1207519200,3.82,3.82,3.92,3.82,20921
1207605600,3.73,3.84,3.84,3.73,4820
1207692000,3.83,4.05,4.13,3.78,151783
1207778400,3.99,3.86,3.99,3.86,13938
1207864800,4.04,3.79,4.04,3.78,12639
1208124000,3.79,3.77,3.83,3.76,19764
1208210400,3.76,3.83,3.85,3.7,21233
1208296800,3.87,3.7,3.87,3.7,2571
1208383200,3.75,3.72,3.84,3.72,8320
1208469600,3.71,3.8,3.8,3.71,4250
1208728800,3.8,3.69,3.8,3.69,5200
1208815200,3.66,3.75,3.75,3.5,8402
1208901600,3.55,3.7,3.7,3.55,6073
1208988000,3.73,3.73,3.75,3.6,4151
1209074400,3.65,3.77,3.78,3.65,2976
1209333600,3.78,3.82,3.89,3.77,9590
1209420000,3.79,3.72,3.8,3.67,19688
1209506400,3.79,3.66,3.79,3.65,1013
1209938400,3.73,3.7,3.76,3.7,4948
1210024800,0,3.7,3.7,3.7,0
1210111200,3.85,3.67,3.85,3.67,1510
1210197600,3.8,3.69,3.8,3.65,9511
1210284000,3.68,3.76,3.76,3.65,1405
1210543200,3.6,3.84,3.84,3.55,7326
1210629600,3.8,3.79,3.87,3.77,13525
1210716000,3.81,3.84,3.87,3.74,17865
1210802400,3.8,3.8,3.8,3.8,1000
1210888800,3.72,3.82,3.82,3.72,11740
1211148000,3.68,3.8,3.8,3.68,450
1211234400,0,3.8,3.8,3.8,0
1211320800,0,3.8,3.8,3.8,0
1211493600,3.66,3.78,3.78,3.65,9141
1211752800,3.74,3.46,3.74,3.46,53376
1211839200,3.45,3.58,3.58,3.4,12666
1211925600,3.48,3.37,3.56,3.37,16024
1212012000,3.4,3.49,3.49,3.35,18450
1212098400,3.35,3.55,3.56,3.35,885
1212357600,3.38,3.3,3.38,3.3,16993
1212444000,3.45,3.45,3.45,3.45,10
1212530400,3.3,3.44,3.44,3.3,531
1212616800,3.32,3.43,3.43,3.31,1985
1212703200,3.44,3.4,3.44,3.31,1605
1212962400,3.27,3.37,3.37,3.26,1914
1213048800,3.2,3.08,3.34,3.08,10854
1213135200,3.1,2.99,3.1,2.93,5787
1213221600,3.19,3.29,3.29,3.09,5510
1213308000,3.11,3.28,3.28,3.04,1454
1213567200,3.28,3.16,3.28,3.16,400
1213653600,3.1,3.19,3.19,3.1,244
1213740000,3.3,3.3,3.3,3.3,1000
1213826400,3,3.05,3.19,3,911
1213912800,3.14,3.05,3.14,3.05,1015
1214172000,3.04,3.09,3.09,2.97,1200
1214258400,2.96,2.92,2.96,2.8,6485
1214344800,2.76,2.9,2.9,2.73,5960
1214431200,2.74,2.75,2.91,2.74,13399
1214517600,2.73,2.69,2.73,2.6,9798
1214776800,2.7,2.78,2.78,2.55,3961
1214863200,2.6,2.7,2.7,2.51,5522
1214949600,2.55,2.67,2.68,2.52,3423
1215036000,2.69,2.67,2.69,2.67,1451
1215122400,2.59,2.67,2.67,2.49,3122
1215381600,2.51,2.6,2.6,2.41,10449
1215468000,2.41,2.59,2.59,2.41,7431
1215554400,2.59,2.59,2.59,2.5,1580
1215640800,2.5,2.52,2.58,2.5,2727
1215727200,2.52,2.57,2.57,2.5,5823
1215986400,2.45,2.55,2.55,2.45,409
1216072800,2.42,2.41,2.42,2.41,13381
1216159200,2.41,2.4,2.42,2.4,17210
1216245600,2.41,2.52,2.52,2.41,4789
1216332000,2.51,2.4,2.51,2.4,4600
1216591200,2.54,2.54,2.55,2.45,3867
1216677600,2.47,2.41,2.47,2.4,15554
1216764000,2.45,2.42,2.5,2.42,5500
1216850400,2.43,2.5,2.53,2.43,1389
1216936800,2.5,2.65,2.71,2.5,14028
1217196000,2.65,2.75,2.75,2.65,379
1217282400,2.55,2.72,2.72,2.55,2324
1217368800,2.74,2.62,2.8,2.6,9275
1217455200,2.65,2.62,2.7,2.62,3424
1217541600,2.73,2.73,2.73,2.73,400
1217800800,2.67,2.67,2.67,2.67,2820
1217887200,2.69,2.65,2.71,2.51,10257
1217973600,2.69,2.69,2.7,2.68,5880
1218060000,2.75,2.6,2.75,2.55,2433
1218146400,2.55,2.55,2.55,2.55,1000
1218405600,2.5,2.65,2.65,2.5,5355
1218492000,2.72,2.7,2.75,2.7,1270
1218578400,0,2.7,2.7,2.7,0
1218664800,2.6,2.6,2.6,2.6,2050
1219010400,2.6,2.5,2.6,2.5,4110
1219096800,2.51,2.37,2.51,2.35,4278
1219183200,0,2.37,2.37,2.37,0
1219269600,2.57,2.57,2.57,2.57,300
1219356000,0,2.57,2.57,2.57,0
1219615200,2.59,2.57,2.59,2.57,130
1219701600,2.55,2.56,2.56,2.55,1000
1219788000,2.4,2.56,2.56,2.4,291
1219874400,0,2.56,2.56,2.56,0
1219960800,0,2.56,2.56,2.56,0
1220220000,0,2.56,2.56,2.56,0
1220306400,2.41,2.5,2.54,2.41,2162
1220392800,2.5,2.42,2.5,2.42,4358
1220479200,2.56,2.5,2.57,2.5,12411
1220565600,2.55,2.5,2.55,2.41,2381
1220824800,2.4,2.4,2.4,2.4,268
1220911200,2.32,2.3,2.49,2.3,16830
1220997600,2.33,2.44,2.44,2.33,1966
1221084000,2.45,2.45,2.45,2.45,250
1221170400,0,2.45,2.45,2.45,0
1221429600,2.33,2.32,2.33,2.32,710
1221516000,2.16,2.35,2.35,2.16,2076
1221602400,2.22,2.22,2.22,2.22,853
1221688800,2.3,2.25,2.3,2.22,248
1221775200,2.15,2.33,2.33,2.1,6270
1222034400,0,2.33,2.33,2.33,0
1222120800,2.11,2.18,2.18,2.1,24448
1222207200,2.08,2.15,2.15,2.08,3825
1222293600,2.15,2.25,2.25,2.12,3846
1222380000,2.15,2.21,2.21,2.12,6079
1222639200,2.12,2.11,2.12,2.11,1550
1222725600,2.05,2.06,2.1,2.02,4858
1222812000,2.17,2.18,2.21,2.08,8350
1222898400,0,2.18,2.18,2.18,0
1222984800,2.16,2.07,2.16,2.05,1689
1223244000,2.05,2.03,2.11,1.99,15464
1223330400,2.04,1.94,2.04,1.87,18375
1223416800,1.89,1.86,1.89,1.64,39782
1223503200,1.81,1.84,1.84,1.81,415
1223589600,1.72,1.66,1.72,1.66,21850
1223848800,1.7,1.79,1.79,1.7,5610
1223935200,1.96,1.88,1.96,1.88,5641
1224021600,1.9,1.79,1.91,1.72,7267
1224108000,1.77,1.75,1.77,1.62,15401
1224194400,1.88,1.88,1.88,1.88,60
1224453600,1.89,1.75,1.89,1.75,2039
1224540000,1.73,1.81,1.81,1.73,40635
1224626400,1.8,1.68,1.8,1.68,37652
1224712800,1.68,1.68,1.7,1.65,4550
1224799200,1.72,1.74,1.76,1.7,10762
1225062000,1.74,1.8,1.83,1.74,5923
1225148400,1.8,1.85,1.85,1.8,4450
1225234800,1.85,1.92,1.93,1.85,7118
1225321200,1.96,1.96,1.96,1.92,6230
1225407600,1.96,1.92,1.96,1.88,13962
1225666800,1.91,1.94,1.94,1.9,2123
1225753200,2.01,2.07,2.07,2,11127
1225839600,2.14,2.07,2.14,2.07,3346
1225926000,2.07,2,2.07,2,5733
1226012400,2.03,1.96,2.1,1.96,4540
1226271600,1.97,2,2,1.97,120
1226444400,1.99,1.99,1.99,1.99,380
1226530800,1.9,2,2,1.9,3600
1226617200,2.05,2.02,2.05,2.02,2000
1226876400,2.02,2.04,2.05,2.02,530
1226962800,2,1.93,2.04,1.9,14219
1227049200,2.09,2.01,2.09,1.95,4495
1227135600,1.95,2,2,1.92,2700
1227222000,1.98,2.09,2.09,1.98,1008
1227481200,2.1,2,2.1,2,5739
1227567600,2,1.95,2,1.95,705
1227654000,1.95,1.95,1.95,1.95,255
1227740400,2.05,1.95,2.05,1.85,7835
1227826800,1.93,1.93,1.93,1.82,4066
1228086000,1.94,1.95,1.95,1.85,3920
1228172400,1.96,1.96,1.96,1.84,3851
1228258800,2.03,1.98,2.03,1.92,962
1228345200,1.98,1.92,1.99,1.8,17792
1228431600,1.91,1.92,1.92,1.82,1337
1228690800,1.9,1.9,1.9,1.86,1018
1228777200,1.86,1.85,1.86,1.85,450
1228863600,1.92,1.92,1.93,1.89,5623
1228950000,1.93,1.85,1.93,1.85,7934
1229036400,1.85,1.72,1.85,1.71,7772
1229295600,1.68,1.68,1.68,1.68,50
1229382000,1.7,1.71,1.71,1.68,400
1229468400,1.71,1.7,1.71,1.7,7768
1229554800,1.75,1.7,1.75,1.66,8658
1229641200,1.66,1.6,1.7,1.6,11200
1229900400,1.6,1.45,1.6,1.45,6415
1229986800,1.49,1.48,1.49,1.44,2055
1230505200,1.49,1.5,1.5,1.49,666
1230591600,1.5,1.56,1.56,1.49,1329
1230678000,1.56,1.57,1.57,1.55,375
1231110000,1.57,1.63,1.63,1.55,7070
1231196400,1.62,1.72,1.72,1.62,9365
1231282800,1.73,1.73,1.75,1.73,2600
1231369200,1.73,1.71,1.73,1.71,140
1231455600,1.8,1.71,1.8,1.66,2048
1231714800,1.7,1.79,1.79,1.67,1132
1231801200,1.79,1.79,1.79,1.79,20
1231887600,1.82,1.81,1.82,1.81,30
1231974000,1.71,1.76,1.76,1.71,210
1232060400,1.76,1.76,1.76,1.75,2594
1232319600,1.75,1.65,1.75,1.65,5335
1232406000,1.61,1.65,1.65,1.61,3560
1232492400,1.65,1.65,1.65,1.65,130
1232578800,1.65,1.62,1.65,1.62,770
1232665200,1.65,1.65,1.65,1.65,1810
1232924400,1.62,1.67,1.7,1.62,2550
1233010800,1.7,1.83,1.83,1.7,7900
