t,o,c,h,l,v
1454454000,19.4,18.98,19.4,18.6,10327
1454540400,18.95,19,19,18.95,213
1454626800,18.85,18.6,19,18.6,2256
1454886000,18.78,19,19,18.78,95
1454972400,18.65,18.65,18.9,18.2,2129
1455058800,18.64,18.64,18.64,18.64,5
1455145200,18.63,18.9,18.9,18.63,72
1455231600,0,18.9,18.9,18.9,0
1455490800,0,18.9,18.9,18.9,0
1455577200,0,18.9,18.9,18.9,0
1455663600,18.62,18.9,18.9,18.62,81
1455750000,0,18.9,18.9,18.9,0
1455836400,0,18.9,18.9,18.9,0
1456095600,18.8,18.8,18.8,18.8,3
1456182000,0,18.8,18.8,18.8,0
1456268400,0,18.8,18.8,18.8,0
1456354800,18.79,18.89,18.89,18.79,2100
1456441200,0,18.89,18.89,18.89,0
1456700400,0,18.89,18.89,18.89,0
1456786800,19,19,19.1,18.8,1592
1456873200,18.9,18.99,18.99,18.45,1151
1456959600,0,18.99,18.99,18.99,0
1457046000,0,18.99,18.99,18.99,0
1457305200,0,18.99,18.99,18.99,0
1457391600,0,18.99,18.99,18.99,0
1457478000,18.88,18.93,18.93,18.88,173
1457564400,0,18.93,18.93,18.93,0
1457650800,18.91,19,19,18.91,73
1457910000,18.99,19,19,18.99,2100
1457996400,18.99,18.99,18.99,18.99,70
1458082800,18.9,18.9,18.9,18.9,113
1458169200,18.9,18.9,18.9,18.9,147
1458255600,18.89,19,19,18.89,800
1458514800,18.9,18.9,18.9,18.9,170
1458601200,18.89,18.42,19.09,18.42,11700
1458687600,18.9,18.9,18.9,18.9,10
1458774000,18.9,18.9,18.9,18.41,105
1459202400,0,18.9,18.9,18.9,0
1459288800,18.9,18.9,18.9,18.9,100
1459375200,0,18.9,18.9,18.9,0
1459461600,0,18.9,18.9,18.9,0
1459720800,18.9,18.9,18.9,18.9,45
1459807200,18.9,18.9,18.9,18.9,68
1459893600,0,18.9,18.9,18.9,0
1459980000,0,18.9,18.9,18.9,0
1460066400,18.89,18.9,18.9,18.89,3000
1460325600,18.9,19.4,19.4,18.9,14452
1460412000,19.48,20,20.49,19.47,18803
1460498400,20.2,20.9,20.9,19.9,9498
1460584800,20.69,19.8,20.69,19.5,4622
1460671200,20.69,22,22,20,13086
1460930400,21.4,22,22,21,869
1461016800,21.9,22.4,22.85,21.9,7286
1461103200,22.2,22.2,22.4,22.2,10105
1461189600,21.8,22,22,21.8,1617
1461276000,0,22,22,22,0
1461535200,21.2,22,22,21.2,42
1461621600,21.2,21.2,21.2,21.2,885
1461708000,21.1,21.1,21.1,21.1,393
1461794400,21.1,21.1,21.1,21.1,500
1461880800,22,21.9,22.8,21.9,2373
1462140000,0,21.9,21.9,21.9,0
1462312800,21.5,21.5,21.5,21.5,325
1462399200,21.7,21.7,21.7,21.7,208
1462485600,0,21.7,21.7,21.7,0
1462744800,0,21.7,21.7,21.7,0
1462831200,21.7,21.7,21.7,21.7,152
1462917600,22.2,22.69,22.69,22.2,252
1463004000,0,22.69,22.69,22.69,0
1463090400,0,22.69,22.69,22.69,0
1463349600,0,22.69,22.69,22.69,0
1463436000,22.29,22.29,22.29,22.29,180
1463522400,22.29,22.29,22.29,22.29,45
1463608800,21.99,21.99,21.99,21.99,10
1463695200,21.99,22,22,21.99,615
1463954400,22,22,22,22,8500
1464040800,0,22,22,22,0
1464127200,0,22,22,22,0
1464300000,22,22,22,22,100
1464559200,21.8,21.8,21.8,21.8,75
1464645600,0,21.8,21.8,21.8,0
1464732000,21.8,21.8,21.8,21.8,435
1464818400,0,21.8,21.8,21.8,0
1464904800,0,21.8,21.8,21.8,0
1465164000,21.8,21.8,21.8,21.8,77
1465250400,22.35,22.35,22.35,22.35,2
1465336800,0,22.35,22.35,22.35,0
1465423200,22.35,21.8,22.35,21.8,501
1465509600,0,21.8,21.8,21.8,0
1465768800,0,21.8,21.8,21.8,0
1465855200,0,21.8,21.8,21.8,0
1465941600,22.8,22.8,22.8,20.7,625
1466028000,21,20.7,22,20.7,3351
1466114400,22.5,22.5,22.5,22.5,5
1466373600,21.95,21.95,21.95,21.95,120
1466460000,21.65,21.65,21.65,21.65,13
1466546400,22.3,22.3,22.3,22.3,5
1466632800,21.65,21.65,21.65,21.65,1
1466719200,21.65,21,21.65,21,526
1466978400,0,21,21,21,0
1467064800,0,21,21,21,0
1467151200,21,21.64,21.64,21,1018
1467237600,0,21.64,21.64,21.64,0
1467324000,0,21.64,21.64,21.64,0
1467583200,0,21.64,21.64,21.64,0
1467669600,21.64,21.65,21.65,20.7,210
1467756000,0,21.65,21.65,21.65,0
1467842400,0,21.65,21.65,21.65,0
1467928800,0,21.65,21.65,21.65,0
1468188000,0,21.65,21.65,21.65,0
1468274400,21.6,21.6,21.6,20.7,225
1468360800,0,21.6,21.6,21.6,0
1468447200,20.7,21.7,21.7,20.7,49
1468533600,0,21.7,21.7,21.7,0
1468792800,0,21.7,21.7,21.7,0
1468879200,21.5,21.5,21.5,21.5,230
1468965600,0,21.5,21.5,21.5,0
1469052000,0,21.5,21.5,21.5,0
1469138400,0,21.5,21.5,21.5,0
1469397600,21.5,21.5,21.5,21.5,140
1469484000,21.5,21.5,21.5,21.5,80
1469570400,0,21.5,21.5,21.5,0
1469656800,0,21.5,21.5,21.5,0
1469743200,0,21.5,21.5,21.5,0
1470002400,0,21.5,21.5,21.5,0
1470088800,0,21.5,21.5,21.5,0
1470175200,0,21.5,21.5,21.5,0
1470261600,0,21.5,21.5,21.5,0
1470348000,21.5,21.5,21.5,21.5,25
1470607200,0,21.5,21.5,21.5,0
1470693600,0,21.5,21.5,21.5,0
1470780000,0,21.5,21.5,21.5,0
1470866400,21.45,21.45,21.45,21.45,51
1470952800,0,21.45,21.45,21.45,0
1471298400,21.45,21.45,21.45,21.45,10
1471384800,0,21.45,21.45,21.45,0
1471471200,0,21.45,21.45,21.45,0
1471557600,21.4,21.5,21.5,21.4,2
1471816800,21.5,21.5,21.5,21.5,10
1471903200,21.5,21.5,21.5,21.5,100
1471989600,0,21.5,21.5,21.5,0
1472076000,0,21.5,21.5,21.5,0
1472162400,0,21.5,21.5,21.5,0
1472421600,0,21.5,21.5,21.5,0
1472508000,0,21.5,21.5,21.5,0
1472594400,0,21.5,21.5,21.5,0
1472680800,20.7,21,21,20.7,810
1472767200,0,21,21,21,0
1473026400,20.4,20.4,20.4,20.4,2075
1473112800,0,20.4,20.4,20.4,0
1473199200,20.1,20.1,20.1,20.1,3
1473285600,20.1,20.1,20.1,20.1,482
1473372000,21,21,21,21,30
1473631200,0,21,21,21,0
1473717600,20.1,21.1,21.1,20.1,352
1473804000,0,21.1,21.1,21.1,0
1473890400,0,21.1,21.1,21.1,0
1473976800,0,21.1,21.1,21.1,0
1474236000,0,21.1,21.1,21.1,0
1474322400,0,21.1,21.1,21.1,0
1474408800,0,21.1,21.1,21.1,0
1474495200,0,21.1,21.1,21.1,0
1474581600,0,21.1,21.1,21.1,0
1474840800,21.09,21.08,21.09,21.08,505
1474927200,21.09,21.09,21.09,21.09,13
1475013600,21.09,21.09,21.09,21.09,100
1475100000,0,21.09,21.09,21.09,0
1475186400,21.06,21.06,21.06,21.06,7
1475445600,21.09,21.09,21.09,21.09,1
1475532000,21.05,21.05,21.05,21.05,100
1475618400,0,21.05,21.05,21.05,0
1475704800,0,21.05,21.05,21.05,0
1475791200,0,21.05,21.05,21.05,0
1476050400,0,21.05,21.05,21.05,0
1476136800,0,21.05,21.05,21.05,0
1476223200,0,21.05,21.05,21.05,0
1476309600,0,21.05,21.05,21.05,0
1476396000,0,21.05,21.05,21.05,0
1476655200,0,21.05,21.05,21.05,0
1476741600,0,21.05,21.05,21.05,0
1476828000,20.11,21,21,20.11,26
1476914400,0,21,21,21,0
1477000800,0,21,21,21,0
1477260000,0,21,21,21,0
1477346400,0,21,21,21,0
1477432800,20.99,20.99,20.99,20.99,220
1477519200,0,20.99,20.99,20.99,0
1477605600,0,20.99,20.99,20.99,0
1477868400,20.99,20.99,20.99,20.99,10
1478041200,20.99,20.99,20.99,20.99,100
1478127600,20.99,20.99,20.99,20.99,10
1478214000,0,20.99,20.99,20.99,0
1478473200,0,20.99,20.99,20.99,0
1478559600,20.9,20.9,20.9,20.9,100
1478646000,20.99,20.99,20.99,20.99,10
1478732400,0,20.99,20.99,20.99,0
1479078000,20.9,20.9,20.9,20.9,5
1479164400,20.99,20.99,20.99,20.99,40
1479250800,20.9,20.9,20.9,20.9,40
1479337200,0,20.9,20.9,20.9,0
1479423600,20.76,20.9,20.9,20.11,97
1479682800,20.9,20.9,20.9,20.9,5
1479769200,0,20.9,20.9,20.9,0
1479855600,0,20.9,20.9,20.9,0
1479942000,0,20.9,20.9,20.9,0
1480028400,20.9,20.99,20.99,20.68,1447
1480287600,20.9,20.99,20.99,20.9,24
1480374000,20.99,20.99,20.99,20.99,12
1480460400,0,20.99,20.99,20.99,0
1480546800,0,20.99,20.99,20.99,0
1480633200,0,20.99,20.99,20.99,0
1480892400,0,20.99,20.99,20.99,0
1480978800,0,20.99,20.99,20.99,0
1481065200,20.99,21,21.9,20.99,1797
1481151600,20.99,20.8,20.99,20.8,762
1481238000,20.8,20.5,20.8,20.5,1013
1481497200,20.5,20.5,20.5,20.5,50
1481583600,0,20.5,20.5,20.5,0
1481670000,0,20.5,20.5,20.5,0
1481756400,20.64,21.9,21.9,20.64,2439
1481842800,0,21.9,21.9,21.9,0
1482102000,0,21.9,21.9,21.9,0
1482188400,0,21.9,21.9,21.9,0
1482274800,21,21,21,21,2059
1482361200,20.9,21.01,21.01,20.4,1237
1482447600,20.5,20.5,20.5,20.5,26
1482793200,0,20.5,20.5,20.5,0
1482879600,0,20.5,20.5,20.5,0
1482966000,20.7,21,21,20.7,5297
1483052400,21.01,20.5,21.43,20.5,1955
1483311600,20.99,20.99,20.99,20.99,20
1483398000,0,20.99,20.99,20.99,0
1483484400,0,20.99,20.99,20.99,0
1483570800,20.99,20.99,20.99,20.99,10
1483916400,0,20.99,20.99,20.99,0
1484002800,0,20.99,20.99,20.99,0
1484089200,20.01,20.01,20.01,20.01,1
1484175600,0,20.01,20.01,20.01,0
1484262000,0,20.01,20.01,20.01,0
1484521200,0,20.01,20.01,20.01,0
1484607600,20.99,20.99,20.99,20.99,5
1484694000,0,20.99,20.99,20.99,0
1484780400,0,20.99,20.99,20.99,0
1484866800,0,20.99,20.99,20.99,0
1485126000,20.99,20.99,20.99,20.99,10
1485212400,0,20.99,20.99,20.99,0
1485298800,0,20.99,20.99,20.99,0
1485385200,20.98,20.99,20.99,20.05,102
1485471600,0,20.99,20.99,20.99,0
1485730800,0,20.99,20.99,20.99,0
1485817200,20.98,20.98,20.98,20.98,257
1485903600,0,20.98,20.98,20.98,0
1485990000,0,20.98,20.98,20.98,0
1486076400,20.99,20.99,20.99,20.99,10
1486335600,20.99,20.99,20.99,20.99,101
1486422000,20.99,20.99,20.99,20.99,50
1486508400,21.5,21.3,22,21.3,127
1486594800,0,21.3,21.3,21.3,0
1486681200,21.48,22.5,23.4,21.48,3573
1486940400,0,22.5,22.5,22.5,0
1487026800,0,22.5,22.5,22.5,0
1487113200,0,22.5,22.5,22.5,0
1487199600,0,22.5,22.5,22.5,0
1487286000,22.5,22.7,22.7,22.5,1937
1487545200,0,22.7,22.7,22.7,0
1487631600,23.5,25.15,25.45,23.5,2391
1487718000,25.1,27.58,27.6,25,1610
1487804400,27.59,26.8,27.59,26,274
1487890800,25.99,25.8,25.99,25.8,539
1488150000,25.98,27.49,28,25.9,17389
1488236400,0,27.49,27.49,27.49,0
1488322800,26.99,28.15,29.67,26.99,1626
1488409200,29.8,29.99,30.9,28.5,1683
1488495600,29,29.99,30.06,28.6,1349
1488754800,29.2,29.2,29.2,29.2,950
1488841200,28.3,28.9,28.9,27.8,351
1488927600,27.8,28.4,28.4,27,362
1489014000,26.9,28,28,26.9,11
1489100400,28,28,28,28,1
1489359600,0,28,28,28,0
1489446000,0,28,28,28,0
1489532400,0,28,28,28,0
1489618800,0,28,28,28,0
1489705200,0,28,28,28,0
1489964400,27.3,27.3,27.3,27.3,1159
1490050800,28,28,28.9,27.1,391
1490137200,0,28,28,28,0
1490223600,0,28,28,28,0
1490310000,25.5,25.51,26.79,25.5,559
1490565600,27,26.6,27,25.4,317
1490652000,28.9,25.4,28.9,25.4,31283
1490738400,26.9,26.87,26.9,26.4,10102
1490824800,27,26.79,27,26.79,20000
1490911200,25.4,25.5,25.8,25.4,540
1491170400,26,24.9,26,24.85,1185
1491256800,25.4,25.1,25.4,25.04,3
1491343200,0,25.1,25.1,25.1,0
1491429600,24.4,25.25,25.25,24.4,1076
1491516000,25.4,25.2,25.4,25.2,2
1491775200,24.39,25,25,24.39,290
1491861600,27.5,26.22,27.5,25,426
1491948000,26,26,26,26,71
1492034400,24.2,25.3,25.4,24.2,248
1492466400,0,25.3,25.3,25.3,0
1492552800,0,25.3,25.3,25.3,0
1492639200,25.4,25.3,25.4,25,467
1492725600,26,25,27.28,25,134
1492984800,25.4,25.3,25.4,25.3,2
1493071200,25.4,25.4,25.4,25.4,1300
1493157600,25.4,25.2,25.4,25,268
1493244000,25.4,25.39,25.4,25.39,2
1493330400,25.38,25.38,25.38,25.38,12
1493676000,0,25.38,25.38,25.38,0
1493848800,27.91,27.91,27.91,27.91,10
1493935200,28.44,28.44,28.44,28.44,2
1494194400,26.9,25.6,26.9,25.6,600
1494280800,26.8,26,26.8,26,2
1494367200,0,26,26,26,0
1494453600,0,26,26,26,0
1494540000,28,28.44,28.44,28,6
1494799200,0,28.44,28.44,28.44,0
1494885600,0,28.44,28.44,28.44,0
1494972000,0,28.44,28.44,28.44,0
1495058400,0,28.44,28.44,28.44,0
1495144800,25.7,25.5,26.3,25.2,9434
1495404000,25.99,25.99,25.99,25.99,1
