t,o,c,h,l,v
1450220400,12.24,11.7,12.25,10.55,27442
1450306800,11.7,12,12,11.15,9746
1450393200,12,11.71,12.24,11.71,473
1450652400,11.43,12,12,11.43,985
1450738800,12.1,12,12.1,12,7
1450825200,12,12,12,11.8,27
1451257200,11.99,11.95,11.99,11.7,52
1451343600,11.94,11.95,11.95,11.7,1251
1451430000,12,12.1,12.1,11.7,1647
1451862000,12.1,12.1,12.1,11.7,4681
1451948400,12.05,12,12.05,12,3128
1452121200,12.05,12,12.05,11.8,3589
1452207600,12.05,12,12.05,12,6
1452466800,12.1,11.5,12.1,11.49,974
1452553200,11.5,11.2,11.59,11.05,939
1452639600,11.31,11.31,11.31,11.31,51
1452726000,11.29,10.6,11.29,10.5,15043
1452812400,10.6,10.4,10.6,10.4,1205
1453071600,10.4,9.92,10.4,9.92,206
1453158000,10,9.96,10,9.91,209
1453244400,9.99,9.4,9.99,9.4,2397
1453330800,9.65,9.39,9.65,9,1499
1453417200,9.39,9.39,9.39,9.39,99
1453676400,9.05,9.13,9.13,9.01,8175
1453762800,9.13,9.39,9.39,9.13,250
1453849200,9.45,10.2,10.2,9.38,3492
1453935600,10.1,10.79,10.8,10,1168
1454022000,10.79,10.74,10.8,10.3,1470
1454281200,10.8,10.8,10.8,10.8,281
1454367600,10.99,10.02,10.99,10.02,1381
1454454000,10.1,10.1,10.1,10.1,208
1454540400,10.01,10.1,10.1,9.74,147
1454626800,10.1,10.15,10.15,10,465
1454886000,10.01,10.16,10.16,10.01,24
1454972400,10.16,10.7,10.7,9.9,844
1455058800,10.7,10.6,10.7,10.6,3
1455145200,10.6,10.6,10.6,10.6,4
1455231600,10.6,10.6,10.6,10.6,6
1455490800,10.6,10.6,10.6,10.6,2
1455577200,10.6,10.6,10.6,10.6,5
1455663600,10.6,10.6,10.6,10.6,2
1455750000,10.6,10.25,10.6,10.25,1174
1455836400,10.25,10.25,10.25,10.25,50
1456095600,10.25,10.01,10.25,10.01,218
1456182000,10,10,10.1,10,10430
1456268400,10,10,10.01,10,3557
1456354800,10,10,10,9.86,297
1456441200,10,10.01,10.01,10,256
1456700400,10,10.15,10.15,9.78,1528
1456786800,10.12,10,10.12,10,386
1456873200,10.01,10.13,10.15,10.01,943
1456959600,10.13,10.5,10.5,10.13,139
1457046000,10.5,10.45,10.5,10.13,76
1457305200,10.47,10.5,10.5,10.47,2
1457391600,10.15,10.3,10.5,10.15,1392
1457478000,10.15,10.2,10.2,10.15,10
1457564400,10.2,10.62,10.62,10.2,509
1457650800,10.25,10.6,10.6,10.25,330
1457910000,10.98,10.7,10.98,10.7,7
1457996400,10.98,10.99,10.99,10.65,381
1458082800,11.14,10.95,11.14,10.95,38
1458169200,10.95,10.8,10.95,10.73,702
1458255600,10.8,10.8,10.8,10.8,2
1458514800,10.98,10.48,10.98,10.48,701
1458601200,10.6,10.4,10.6,10.4,18557
1458687600,10.59,10.1,10.59,10.1,1218
1458774000,10.8,10.11,10.8,9.74,6544
1459202400,10.1,10.1,10.1,10.1,566
1459288800,10.21,10.21,10.21,10.21,2
1459375200,10.31,10.31,10.31,10.21,205
1459461600,10.3,10.91,10.91,10.05,1986
1459720800,10.9,10.9,10.9,10.9,67
1459807200,10.8,10.79,10.8,10.55,21
1459893600,10.7,10.79,10.79,10.7,51
1459980000,10.79,10.7,10.79,10.7,2
1460066400,10.55,10.75,10.75,10.55,196
1460325600,10.75,10.55,10.75,10.5,812
1460412000,10.5,10.5,10.5,10.5,1
1460498400,10.5,10.5,10.5,10.5,2
1460584800,10.45,10.5,10.5,10.45,195
1460671200,10.1,10.5,10.5,10.1,133
1460930400,10.5,10.55,10.55,10.5,142
1461016800,10.91,11.02,11.02,10.5,27767
1461103200,11.01,12.18,12.18,10.95,8071
1461189600,12.1,12.09,12.1,11.8,861
1461276000,12.18,12.15,12.18,12,3448
1461535200,11.88,12,12,11.88,50026
1461621600,12.18,12.15,12.18,12.15,152
1461708000,12.15,11.7,12.15,11.7,491
1461794400,12.15,11.7,12.15,11.7,640
1461880800,11.99,12,12,11.7,1017
1462140000,12,12,12,12,51
1462312800,12,12,12,11.85,721
1462399200,12,11.99,12,11.99,2
1462485600,12,11.99,12,11.99,2
1462744800,11.99,11.99,11.99,11.99,2
1462831200,11.99,11.25,11.99,10.8,935
1462917600,11.25,11.25,11.25,11.25,200
1463004000,0,11.25,11.25,11.25,0
1463090400,11.9,11.5,11.9,11.4,215
1463349600,11.8,11.34,11.8,11.34,503
1463436000,11.34,11.59,11.59,11.34,17
1463522400,11.8,11.8,11.8,11.8,6
1463608800,11.5,11.5,11.5,11.26,203
1463695200,11.26,11.5,11.5,11.26,39
