t,o,c,h,l,v
1393455600,0,1.5,1.5,1.5,0
1393542000,0,1.5,1.5,1.5,0
1393801200,0,1.5,1.5,1.5,0
1393887600,2.5,3,3,2.5,1178
1393974000,3.6,3.82,4.3,3.6,19527
1394060400,3.96,4.3,4.69,3.96,6352
1394146800,4.34,4.09,4.34,3.5,3534
1394406000,3.81,4,4,3.7,2389
1394492400,3.8,3.8,3.8,3.8,219
1394578800,3.73,3.77,3.77,3.52,2797
1394665200,3.7,3.97,3.97,3.7,376
1394751600,3.87,3.9,4.1,3.87,885
1395010800,3.95,3.9,3.95,3.9,1231
1395097200,3.9,3.91,3.91,3.9,36
1395183600,3.87,3.87,3.87,3.87,3
1395270000,4,4.39,4.39,4,1130
1395356400,4.4,4.2,4.4,3.95,710
1395615600,3.94,3.99,3.99,3.94,120
1395702000,4.04,4.1,4.23,4,2094
1395788400,4.1,4.1,4.1,4.1,25
1395874800,4.1,4.1,4.1,4.1,15
1395961200,4.1,4.2,4.2,4.1,20
1396216800,4.11,4.11,4.11,4.11,16
1396303200,4.12,4.45,4.45,3.87,4848
1396389600,4.33,4.45,4.45,4.33,3679
1396476000,4.69,5.52,5.62,4.61,2175
1396562400,5.39,6.61,6.61,5.39,2227
1396821600,6.99,6.3,6.99,5.6,1716
1396908000,6.4,5.82,6.5,5.82,373
1396994400,0,5.82,5.82,5.82,0
1397080800,6.07,6,6.78,6,1452
1397167200,5.85,5.81,5.85,5.81,50
1397426400,5.8,6.02,6.02,5.2,1494
1397512800,6.49,5.95,6.49,5.95,30
1397599200,6.1,6.2,6.2,6.1,292
1397685600,6.32,6.99,6.99,6.32,474
1398117600,6.97,6.24,6.97,6.24,1387
1398204000,6.2,6.28,6.28,5.75,1567
1398290400,6,6.59,6.59,5.75,1825
1398376800,6.58,6.58,6.58,6.58,10
1398636000,6.44,6.44,6.44,6.44,10
1398722400,6.01,6.01,6.01,6.01,15
1398808800,6.27,6.27,6.27,6.27,10
1398981600,6.27,6.27,6.27,6.27,10
1399240800,6.27,6.27,6.27,6.27,10
1399327200,6.27,6.27,6.27,6.27,10
1399413600,6.27,6.23,6.27,5.6,1510
1399500000,0,6.23,6.23,6.23,0
1399586400,5.6,6.23,6.23,5.07,1231
1399845600,5.85,5.26,5.99,5.26,2017
1399932000,5.89,5.89,5.89,5.89,10
1400018400,0,5.89,5.89,5.89,0
1400104800,0,5.89,5.89,5.89,0
1400191200,0,5.89,5.89,5.89,0
1400450400,5.25,5.15,5.25,5.15,327
1400536800,5,5.4,5.4,4.7,1745
1400623200,5.4,6,6,4.55,1516
1400709600,6,6,6,6,10
1400796000,6,5.9,6,5,318
