t,o,c,h,l,v
1303941600,4.69,4.64,4.69,4.61,1225954
1304028000,4.63,4.66,4.66,4.55,194339
1304287200,4.66,4.65,4.66,4.62,38795
1304460000,4.65,4.64,4.65,4.6,74958
1304546400,4.63,4.63,4.64,4.6,63139
1304632800,4.6,4.65,4.66,4.6,70219
1304892000,4.65,4.65,4.66,4.64,181222
1304978400,4.66,4.65,4.66,4.65,24395
1305064800,4.65,4.65,4.66,4.63,71927
1305151200,4.64,4.65,4.65,4.57,109013
1305237600,4.65,4.65,4.66,4.62,61914
1305496800,4.65,4.65,4.66,4.64,184075
1305583200,4.64,4.62,4.64,4.59,766504
1305669600,4.6,4.64,4.64,4.57,132497
1305756000,4.64,4.64,4.65,4.63,189021
1305842400,4.64,4.61,4.64,4.61,481
1306101600,4.6,4.6,4.6,4.58,14024
1306188000,4.6,4.55,4.6,4.55,11317
1306274400,4.55,4.68,4.68,4.53,96391
1306360800,4.68,4.66,4.68,4.64,11219
1306447200,4.64,4.65,4.65,4.63,7277
1306706400,4.65,4.64,4.66,4.64,7146
1306792800,4.63,4.64,4.65,4.63,9870
1306879200,4.6,4.65,4.65,4.6,14102
1306965600,4.65,4.65,4.66,4.65,51195
1307052000,4.66,4.65,4.66,4.64,7755
1307311200,4.63,4.64,4.65,4.63,17601
1307397600,4.64,4.64,4.65,4.58,3672
1307484000,4.63,4.56,4.63,4.56,1303
1307570400,4.55,4.55,4.6,4.53,2746
1307656800,4.55,4.53,4.55,4.5,2461
1307916000,4.55,4.55,4.55,4.53,4905
1308002400,4.5,4.45,4.5,4.3,28381
1308088800,4.33,4.35,4.35,4.25,13244
1308175200,4.3,4.35,4.35,4.2,9239
1308261600,4.26,4.33,4.33,4.2,7622
1308520800,4.3,4.33,4.33,4.26,10401
1308607200,4.26,4.32,4.32,4.25,5179
1308693600,4.26,4.3,4.32,4.26,3106
1308866400,4.3,4.3,4.3,4.25,8658
1309125600,0,4.3,4.3,4.3,0
1309212000,4.25,4.07,4.25,4.06,4544
1309298400,3.97,3.99,4,3.85,15389
1309384800,3.9,3.91,3.91,3.9,10412
1309471200,3.86,3.91,3.91,3.85,6909
1309730400,3.8,3.84,4.15,3.8,7992
1309816800,3.91,3.99,3.99,3.9,1355
1309903200,3.99,3.9,3.99,3.9,2674
1309989600,3.95,4.05,4.05,3.95,2498
1310076000,4,3.9,4,3.75,8184
1310335200,4.05,3.85,4.05,3.85,2774
1310421600,3.85,3.85,3.85,3.62,5642
1310508000,3.8,3.85,3.85,3.8,350
1310594400,3.9,3.9,3.9,3.8,350
1310680800,3.92,3.92,3.92,3.92,128
1310940000,3.92,3.9,3.92,3.76,5098
1311026400,3.89,3.86,3.89,3.73,853
1311112800,3.8,3.82,3.82,3.74,6656
1311199200,3.8,3.8,3.85,3.74,1800
1311285600,3.95,3.86,3.95,3.76,221285
1311544800,3.82,3.95,3.95,3.79,802
1311631200,0,3.95,3.95,3.95,0
1311717600,3.79,3.79,3.79,3.79,44
1311804000,3.8,3.79,3.8,3.79,2946
1311890400,3.79,3.8,3.94,3.73,2016
1312149600,3.75,3.75,3.8,3.7,4566
1312236000,3.77,3.65,3.77,3.65,794
1312322400,3.59,3.59,3.65,3.4,18450
1312408800,3.9,3.75,3.9,3.51,4415
1312495200,3.5,3.5,3.65,3.4,82848
1312754400,3.36,3.3,3.5,3.3,48352
1312840800,3.21,3.1,3.4,2.98,82318
1312927200,3.1,3.27,3.59,3.1,38472
1313013600,3.11,3.5,3.5,3.11,38313
1313100000,3.69,3.7,3.7,3.69,2020
1313445600,3.86,3.45,3.86,3.45,2077
1313532000,3.7,3.5,3.7,3.5,24
1313618400,3.51,3.65,3.65,3.51,6205
1313704800,3.66,3.8,3.87,3.35,2018
1313964000,3.55,3.52,3.6,3.5,1750
1314050400,3.52,3.77,3.77,3.52,54
1314136800,3.46,3.47,3.55,3.46,970
1314223200,3.8,3.55,3.8,3.5,9628
1314309600,3.48,3.45,3.55,3.45,1670
1314568800,3.48,3.7,3.7,3.48,40
1314655200,3.52,3.65,3.65,3.52,28744
1314741600,3.54,3.5,3.7,3.5,2210
1314828000,3.7,3.55,3.7,3.55,1954
1314914400,3.55,3.55,3.55,3.55,2077
1315173600,3.6,3.4,3.6,3.4,10212
1315260000,3.49,3.49,3.49,3.49,10
1315346400,3.49,3.52,3.6,3.49,1480
1315432800,3.51,3.59,3.59,3.51,185
1315519200,3.5,3.3,3.5,3.3,180955
1315778400,3.21,3.2,3.21,3.2,17287
