t,o,c,h,l,v
1117576800,7.85,7.5,7.85,7.35,179905
1117663200,7.85,8.25,8.35,7.8,87731
1117749600,8.45,8.05,8.45,7.75,50724
1118008800,8.1,8.05,8.1,7.9,24358
1118095200,8,8,8,7.95,4336
1118181600,8.1,8.1,8.15,8,16630
1118268000,8,8.35,8.35,7.95,27064
1118354400,8.35,8.7,9.1,8.35,61584
1118613600,8.75,8.7,8.75,8.55,17769
1118700000,8.6,8.4,8.65,8.4,16348
1118786400,8.4,8.55,8.6,8.3,18340
1118872800,8.55,8.5,8.65,8.3,46818
1118959200,8.4,8.55,8.55,8.4,3570
1119218400,8.35,8.5,8.5,8.35,67
1119304800,8.35,8.4,8.4,8.25,2867
1119391200,8.1,8.35,8.4,7.95,22340
1119477600,8.05,8.35,8.35,8,22296
1119564000,0,8.35,8.35,8.35,0
1119823200,8.15,8.3,8.3,8.15,4367
1119909600,8.25,8.25,8.25,8.25,350
1119996000,8.05,8.1,8.1,8,4146
1120082400,8.15,8.2,8.2,8.15,1590
1120168800,8.1,8.15,8.15,8.1,5001
1120428000,8.2,8.2,8.2,8.2,300
1120514400,0,8.2,8.2,8.2,0
1120600800,8.1,8.15,8.15,8.1,2480
1120687200,8.15,8.2,8.2,8,12251
1120773600,8,8.2,8.2,8,9520
1121032800,8.2,8.2,8.2,8.2,891
1121119200,8.05,8.05,8.05,8.05,490
1121205600,8.1,8.1,8.1,8.05,7012
1121292000,8.1,8.1,8.1,8.1,100
1121378400,8.1,8.1,8.1,8.1,517
1121637600,8.15,8.1,8.2,8.1,4155
1121724000,8.1,8.15,8.15,8.1,5788
1121810400,8.2,8.5,8.5,8.2,42581
1121896800,8.4,8.5,8.5,8.35,1771
1121983200,8.45,8.45,8.45,8.4,5366
1122242400,8.55,8.55,8.55,8.55,3900
1122328800,8.55,8.4,8.55,8.4,4569
1122415200,8.4,8.4,8.4,8.35,3511
1122501600,8.45,8.25,8.45,8.25,1625
1122588000,8.25,8.3,8.3,8.25,126
1122847200,8.5,8.7,8.75,8.25,23880
1122933600,8.7,8.7,8.7,8.7,650
1123020000,8.7,8.6,8.7,8.5,3243
1123106400,8.4,8.95,8.95,8.4,21076
1123192800,8.75,8.85,8.95,8.7,16010
1123452000,8.85,8.85,9.15,8.85,6943
1123538400,0,8.85,8.85,8.85,0
1123624800,8.9,8.8,8.9,8.8,429
1123711200,0,8.8,8.8,8.8,0
1123797600,8.35,8.45,8.65,8.35,2000
1124143200,8.25,8.25,8.25,8.25,475
1124229600,8.4,8.5,8.5,8.25,2450
1124316000,8.5,8.5,8.5,8.5,580
1124402400,8.45,8.4,8.5,8.2,2361
1124661600,8.25,8.25,8.25,8.25,250
1124748000,8.25,8.25,8.25,8.25,106050
1124834400,8.2,8.25,8.25,8.2,24822
1124920800,8.25,8.25,8.25,8.25,3550
1125007200,8.2,8.2,8.2,8.2,21
1125266400,8.2,8.05,8.2,8,5266
1125352800,8.2,8.65,8.65,8.2,6500
