t,o,c,h,l,v
863042400,0,33,33,33,134940
863128800,0,36,36,36,159296
863388000,0,38,38,38,151448
863474400,0,36,36,36,22181
863560800,0,34,34,34,36008
863647200,0,33,33,33,37749
863733600,0,33,33,33,54497
863992800,0,34,34,34,6233
864079200,0,33,33,33,9001
864165600,0,32,32,32,19571
864252000,0,32,32,32,15894
864338400,0,31,31,31,90421
864597600,0,30,30,30,106064
864684000,0,30,30,30,38674
864770400,0,29,29,29,11929
865202400,0,30,30,30,13568
865288800,0,29,29,29,25589
865375200,0,28.5,28.5,28.5,16556
865461600,0,28.2,28.2,28.2,22943
865548000,0,29,29,29,8681
865807200,0,30,30,30,38040
865893600,0,31,31,31,36631
865980000,0,32.1,32.1,32.1,14829
866066400,0,33.5,33.5,33.5,26850
866152800,0,33.5,33.5,33.5,20148
866412000,0,33.5,33.5,33.5,13901
866498400,0,33.3,33.3,33.3,10578
866584800,0,33,33,33,22046
866671200,0,34.3,34.3,34.3,20718
866757600,0,34.6,34.6,34.6,27351
867016800,0,33,33,33,19762
867103200,0,32,32,32,8796
867189600,0,32.5,32.5,32.5,12283
867276000,0,31.5,31.5,31.5,12274
867362400,0,31.2,31.2,31.2,2902
867621600,0,32.4,32.4,32.4,3640
867708000,0,31.2,31.2,31.2,4095
867794400,0,31.5,31.5,31.5,9857
867880800,0,31.7,31.7,31.7,12938
867967200,0,32.5,32.5,32.5,9910
868226400,0,33,33,33,22492
868312800,0,33.8,33.8,33.8,11309
868399200,0,34.1,34.1,34.1,13803
868485600,0,33.8,33.8,33.8,8235
868572000,0,33.9,33.9,33.9,14600
868831200,0,34,34,34,71634
868917600,0,35.4,35.4,35.4,31118
869004000,0,36.2,36.2,36.2,22571
869090400,0,37.9,37.9,37.9,66669
869176800,0,37,37,37,27766
869436000,0,37,37,37,24694
869522400,0,37.6,37.6,37.6,6319
869608800,0,38.1,38.1,38.1,22017
869695200,0,38.4,38.4,38.4,50865
869781600,0,38.5,38.5,38.5,40487
870040800,0,38,38,38,32538
870127200,0,38,38,38,33793
870213600,0,37.9,37.9,37.9,33213
870300000,0,37.5,37.5,37.5,38695
870386400,0,37.4,37.4,37.4,30572
870645600,0,37.5,37.5,37.5,41461
870732000,0,37.4,37.4,37.4,40189
870818400,0,38.5,38.5,38.5,20212
870904800,0,38.4,38.4,38.4,26856
870991200,0,39,39,39,49641
871250400,0,39.9,39.9,39.9,59980
871336800,0,39.5,39.5,39.5,25510
871423200,0,39.7,39.7,39.7,52255
871509600,0,40,40,40,46995
871855200,0,39.7,39.7,39.7,39282
871941600,0,40,40,40,21168
872028000,0,41.5,41.5,41.5,16868
872114400,0,41.9,41.9,41.9,9718
872200800,0,40.1,40.1,40.1,8197
872460000,0,40.5,40.5,40.5,9369
872546400,0,40.6,40.6,40.6,14858
872632800,0,41,41,41,9868
872719200,0,42,42,42,12824
872805600,0,43.5,43.5,43.5,21751
873064800,0,43,43,43,7532
873151200,0,45,45,45,15479
873237600,0,46.7,46.7,46.7,9866
873324000,0,46.7,46.7,46.7,32098
873410400,0,46.5,46.5,46.5,25863
873669600,0,45.3,45.3,45.3,7575
873756000,0,45.5,45.5,45.5,31012
