t,o,c,h,l,v
1450134000,10.02,12.49,12.49,10.02,1089
1450220400,0,12.49,12.49,12.49,0
1450306800,12.2,12.2,12.2,12.2,100
1450393200,12.37,12.37,12.37,12.37,5
1450652400,11.02,11.67,11.67,11.02,130
1450738800,11.02,11.8,11.8,11,1213
1450825200,12,12,12,12,300
1451257200,12,12,12,12,1360
1451343600,12,12,12,12,3000
1451430000,12,12.5,12.5,11,7490
1451862000,0,12.5,12.5,12.5,0
1451948400,0,12.5,12.5,12.5,0
1452121200,0,12.5,12.5,12.5,0
1452207600,0,12.5,12.5,12.5,0
1452466800,0,12.5,12.5,12.5,0
1452553200,0,12.5,12.5,12.5,0
1452639600,12.2,12.2,12.2,12.2,1
1452726000,0,12.2,12.2,12.2,0
1452812400,0,12.2,12.2,12.2,0
1453071600,0,12.2,12.2,12.2,0
1453158000,0,12.2,12.2,12.2,0
1453244400,10,10.05,10.05,10,522
1453330800,10,10.95,10.95,10,111
1453417200,0,10.95,10.95,10.95,0
1453676400,0,10.95,10.95,10.95,0
1453762800,0,10.95,10.95,10.95,0
1453849200,11,11,11,10,310
1453935600,0,11,11,11,0
1454022000,12.05,12.05,12.05,12.05,100
1454281200,0,12.05,12.05,12.05,0
1454367600,0,12.05,12.05,12.05,0
1454454000,12,12,12,12,85
1454540400,0,12,12,12,0
1454626800,0,12,12,12,0
1454886000,0,12,12,12,0
1454972400,0,12,12,12,0
1455058800,0,12,12,12,0
1455145200,0,12,12,12,0
1455231600,11,11.8,11.8,11,159
1455490800,0,11.8,11.8,11.8,0
1455577200,11.8,11.8,11.8,11.8,250
1455663600,0,11.8,11.8,11.8,0
1455750000,0,11.8,11.8,11.8,0
1455836400,0,11.8,11.8,11.8,0
1456095600,0,11.8,11.8,11.8,0
1456182000,0,11.8,11.8,11.8,0
1456268400,11,10,11,10,152
1456354800,11,11,11,11,500
1456441200,0,11,11,11,0
1456700400,11,11,11,11,100
1456786800,0,11,11,11,0
1456873200,0,11,11,11,0
1456959600,0,11,11,11,0
1457046000,10.8,10.8,10.8,10.8,126
