t,o,c,h,l,v
1172790000,10.5,10.42,10.78,10.39,30011
1173049200,10.22,9.71,10.22,9.58,18368
1173135600,9.77,9.79,9.8,9.65,10178
1173222000,9.79,9.82,9.99,9.79,6489
1173308400,9.85,10.19,10.19,9.82,21088
1173394800,10.19,10,10.38,9.91,17465
1173654000,10.15,10,10.19,9.9,5007
1173740400,9.99,9.75,9.99,9.61,4047
1173826800,9.65,9.53,9.74,9.51,11401
1173913200,9.6,9.8,9.9,9.51,4393
1173999600,9.75,9.8,9.84,9.6,10523
1174258800,9.8,9.85,9.89,9.7,13769
1174345200,9.99,10,10.29,9.85,14233
1174431600,10.13,10.16,10.3,10.11,11093
1174518000,10.31,10.2,10.36,10.2,7204
1174604400,10.3,10.1,10.3,9.95,8215
1174860000,10.16,10.16,10.4,10.16,26507
1174946400,10.39,11.19,11.95,10.39,129159
1175032800,11.35,10.9,11.35,10.85,22875
1175119200,11,11.17,11.36,10.5,19778
1175205600,11.2,11,11.2,10.95,7362
1175464800,10.9,11.2,11.3,10.9,21118
1175551200,11.4,12,12.5,11.4,123363
1175637600,12.21,12.15,12.4,12,55316
1175724000,12.22,12.17,12.22,11.81,18441
1176156000,12.2,12,12.21,11.85,22843
1176242400,12,11.98,12.1,11.85,12928
1176328800,12.89,12.07,12.89,11.65,196790
1176415200,12.39,13.02,13.15,12.2,106935
1176674400,13.36,14,14.25,13.31,123694
1176760800,14.4,13.86,14.4,13.71,34147
1176847200,13.85,12.8,13.85,12.62,42306
1176933600,12.54,12.47,12.54,11.8,29234
1177020000,12.39,12.18,12.7,11.86,76495
1177279200,12.21,11.81,12.38,11.45,42862
1177365600,11.5,11.81,11.83,11.46,28428
1177452000,11.8,12,12.44,11.58,25770
1177538400,12,11.74,12.5,11.6,29448
1177624800,11.55,11.8,11.93,11.16,31125
1177884000,11.98,11.6,11.98,11.5,9771
1178056800,11.7,11.61,11.7,11.6,6706
1178229600,11.56,11.67,11.67,11.45,10635
1178488800,11.69,11.49,11.69,11.01,11561
1178575200,11.37,11.25,11.6,11.12,13911
1178661600,11.45,11.28,11.45,11.1,1157
1178748000,11.12,10.85,11.2,10.8,10024
1178834400,10.52,11.29,11.29,10.38,25153
1179093600,11.41,11.79,11.98,11.29,13150
1179180000,11.89,11.95,11.99,11.7,20022
1179266400,12.07,12.19,12.19,11.72,27812
1179352800,12.34,11.9,12.35,11.82,10826
1179439200,11.81,12,12,11.29,14520
1179698400,12.02,12.58,12.6,12.02,33644
