t,o,c,h,l,v
1397167200,19.29,18.5,19.29,18.15,136772
1397426400,18.39,18,18.39,17.85,37039
1397512800,18,17.99,18.17,17.9,3312
1397599200,17.99,17.9,18.13,17.9,3257
1397685600,17.8,18,18.2,17.8,3553
1398117600,18.29,18.55,18.59,18.05,2162
1398204000,18.5,18.55,18.6,18.4,7017
1398290400,18.55,18.54,18.55,18.54,910
1398376800,18.38,18.5,18.5,18,8832
1398636000,18.55,18.49,18.55,18.01,817
1398722400,18.49,18.49,18.49,18,1459
1398808800,18.55,18.39,18.55,18,3128
1398981600,18.48,18,18.48,18,3589
1399240800,18.4,18.1,18.46,18.1,691
1399327200,18.1,18.1,18.3,18,1218
1399413600,18,17.94,18.01,17.78,6702
1399500000,17.94,17.91,17.95,17.91,1536
1399586400,17.92,17.7,17.92,17.7,721
1399845600,17.7,17.2,17.79,16.72,58060
1399932000,17.39,17.18,17.39,17,2527
1400018400,17.02,17.02,17.02,16.9,13923
1400104800,17,17.5,17.5,17,303
1400191200,17.49,17.49,17.5,17,2293
1400450400,17.45,17.45,17.45,17.45,10
1400536800,17.11,17.12,17.15,16.68,1514
1400623200,17.11,17.05,17.13,16.65,777
1400709600,17.14,17.94,17.94,17,3188
1400796000,17.85,17.99,17.99,17.85,1011
1401055200,17.99,18.05,18.05,17.99,5
1401141600,18,17.98,18,17.75,669
1401228000,17.99,17.99,17.99,17.99,10
1401314400,17.8,17.7,17.8,17.6,433
1401400800,17.6,18.49,18.49,17.3,5048
1401660000,18.45,17.94,18.45,17.8,1155
1401746400,18,17.85,18,17.04,251
1401832800,17.2,17.8,17.85,17.2,712
1401919200,17.4,17.65,17.65,17.4,387
1402005600,17.8,17.62,18.25,17.62,11675
1402264800,17.94,18.35,18.35,17.5,4039
1402351200,18.47,18.3,18.48,18.3,2820
1402437600,18.3,18.23,18.3,18,1112
1402524000,18.23,18.22,18.23,18.2,314
1402610400,18,18.21,18.21,18,743
1402869600,18.2,18.14,18.2,17.6,965
1402956000,18.21,18.2,18.21,17.82,1649
1403042400,18.19,18.2,18.25,18.19,447
1403215200,18.25,18.25,18.25,18.2,350
1403474400,18.2,18.2,18.2,18.2,33
1403560800,18.28,18.24,18.28,17.9,557
1403647200,18.27,18.2,18.27,18.2,441
1403733600,17.56,18.19,18.19,17.56,2504
1403820000,18.2,18.1,18.2,18.1,15
1404079200,18.18,18,18.18,17.81,437
1404165600,18,17.6,18,17.6,162
1404252000,17.85,17.9,17.9,17.35,3638
1404338400,17.9,17.9,17.9,17.9,10
1404424800,17.9,17.9,17.9,17.9,10
1404684000,17.9,17.89,17.9,17.89,1510
1404770400,17.9,17.87,17.9,17.8,2035
1404856800,17.87,17.86,17.87,17.4,1032
1404943200,17.86,17.83,17.86,17.35,2517
1405029600,17.83,17.7,17.83,17.4,1366
1405288800,17.31,17.77,17.77,17.31,1330
1405375200,17.77,17.65,17.77,17.37,643
1405461600,17.77,17.44,17.77,17.16,1031
1405548000,17.54,17.5,17.54,17,1746
1405634400,17.49,17.77,17.77,17.1,1109
1405893600,17.5,17.35,17.5,17,1830
1405980000,17.39,17.3,17.52,17.3,65
1406066400,17.2,17.3,17.3,17.2,223
1406152800,17.3,17.24,17.3,17.24,1814
1406239200,17.48,17.17,17.48,17.08,9214
1406498400,17.58,17.45,17.58,17.45,3003
1406584800,16.5,16.75,16.95,16.5,8430
1406671200,16.79,16.7,16.79,16.6,254
