t,o,c,h,l,v
900367200,0,9.35,9.35,9.35,5000
900453600,0,9.35,9.35,9.35,665
900540000,0,8.45,8.45,8.45,400
900626400,0,7.7,7.7,7.7,7844
900885600,0,6.95,6.95,6.95,1612
900972000,0,6.3,6.3,6.3,0
901058400,0,5.7,5.7,5.7,1379
901144800,0,5.15,5.15,5.15,0
901231200,0,4.65,4.65,4.65,5658
901490400,0,4.8,4.8,4.8,1605
901576800,0,4.85,4.85,4.85,2198
901663200,0,4.8,4.8,4.8,606
901749600,0,4.35,4.35,4.35,806
901836000,0,4.3,4.3,4.3,1540
902095200,0,4.2,4.2,4.2,1550
902181600,0,4.05,4.05,4.05,1680
902268000,0,3.95,3.95,3.95,2270
902354400,0,3.95,3.95,3.95,1000
902440800,0,3.9,3.9,3.9,30
902700000,0,3.9,3.9,3.9,3248
902786400,0,3.95,3.95,3.95,4000
902872800,0,3.6,3.6,3.6,1149
902959200,0,3.5,3.5,3.5,17858
903045600,0,3.6,3.6,3.6,14814
903304800,0,3.55,3.55,3.55,1500
903391200,0,3.8,3.8,3.8,1454
903477600,0,3.9,3.9,3.9,1111
903564000,0,3.55,3.55,3.55,788
903650400,0,3.3,3.3,3.3,2700
903909600,0,3.6,3.6,3.6,2100
903996000,0,3.5,3.5,3.5,998
904082400,0,3.2,3.2,3.2,5500
904168800,0,2.9,2.9,2.9,3027
904255200,0,2.65,2.65,2.65,3148
904514400,0,2.9,2.9,2.9,920
904600800,0,2.7,2.7,2.7,100
904687200,0,2.95,2.95,2.95,2885
904773600,0,2.9,2.9,2.9,850
904860000,0,2.95,2.95,2.95,100
905119200,0,3.1,3.1,3.1,120
905205600,0,3.1,3.1,3.1,350
905292000,0,3,3,3,400
905378400,0,2.8,2.8,2.8,1740
905464800,0,2.55,2.55,2.55,4352
905724000,0,2.65,2.65,2.65,2659
905810400,0,2.55,2.55,2.55,4509
905896800,0,2.65,2.65,2.65,1341
905983200,0,2.39,2.39,2.39,2212
906069600,0,2.4,2.4,2.4,2609
906328800,0,2.16,2.16,2.16,7112
906415200,0,2.16,2.16,2.16,4891
906501600,0,2.2,2.2,2.2,3084
906588000,0,2.27,2.27,2.27,65
906674400,0,2.25,2.25,2.25,800
906933600,0,2.25,2.25,2.25,2149
907020000,0,2.25,2.25,2.25,1409
907106400,0,2.2,2.2,2.2,450
907192800,0,2.05,2.05,2.05,4000
907279200,0,1.95,1.95,1.95,1200
907538400,0,1.9,1.9,1.9,140
907624800,0,1.9,1.9,1.9,500
907711200,0,1.95,1.95,1.95,430
907797600,0,1.97,1.97,1.97,1150
907884000,0,1.93,1.93,1.93,500
908143200,0,1.95,1.95,1.95,1400
908229600,0,1.99,1.99,1.99,1030
908316000,0,1.9,1.9,1.9,100
908402400,0,1.97,1.97,1.97,120
908488800,0,2,2,2,260
908748000,0,2.03,2.03,2.03,10
908834400,0,2,2,2,10
908920800,0,1.97,1.97,1.97,2201
909007200,0,1.9,1.9,1.9,989
909093600,0,1.95,1.95,1.95,300
909356400,0,2.04,2.04,2.04,1580
909442800,0,2,2,2,10
909529200,0,1.83,1.83,1.83,3332
909615600,0,1.69,1.69,1.69,6160
909702000,0,1.62,1.62,1.62,3041
909961200,0,1.7,1.7,1.7,855
910047600,0,1.83,1.83,1.83,3124
910134000,0,1.85,1.85,1.85,1361
910220400,0,1.83,1.83,1.83,599
