t,o,c,h,l,v
1187820000,8.98,8,9,8,13393
1187906400,8,8,8,7.5,10117
1188165600,8.3,7.99,8.3,7.9,14701
1188252000,7.9,7.9,7.9,7.8,4932
1188338400,7.7,7.94,7.94,7.5,16445
1188424800,7.81,7.7,7.9,7.65,34734
1188511200,7.7,7.85,7.85,7.7,32012
1188770400,7.8,7.79,7.8,7.71,4508
1188856800,7.88,7.75,7.88,7.7,11306
1188943200,7.62,7.7,7.85,7.62,28815
1189029600,7.78,7.8,7.85,7.62,24242
1189116000,7.8,7.81,7.81,7.7,13083
1189375200,7.55,7.6,7.6,7.55,14890
1189461600,7.65,7.7,7.8,7.36,20296
1189548000,7.79,7.5,7.8,7.5,15382
1189634400,7.31,7.59,7.59,7.21,13146
1189720800,7.31,7.59,7.59,7.31,20203
1189980000,7.27,7.4,7.4,7.26,3216
1190066400,7.31,7.5,7.5,7.2,22140
1190152800,7.5,7.62,7.62,7.25,9621
1190239200,7.5,7.5,7.5,7.35,2645
1190325600,7.5,7.58,7.6,7.4,17310
1190584800,7.52,7.5,7.55,7.4,10098
1190671200,7.35,7.02,7.35,7.02,15394
1190757600,7.02,7.09,7.1,6.62,6935
1190844000,7.03,7.05,7.05,6.76,2406
1190930400,6.77,7.09,7.09,6.77,1207
1191189600,6.83,6.9,6.9,6.5,9532
1191276000,6.55,6.88,7,6.45,11470
1191362400,6.51,6.8,6.89,6.47,16019
1191448800,6.46,6.75,6.75,6.46,10301
1191535200,6.65,6.74,6.74,6.52,9799
1191794400,6.52,6.7,6.7,6.4,21436
1191880800,6.7,6.7,6.8,6.7,13182
1191967200,6.72,6.75,6.8,6.71,7120
1192053600,6.74,6.75,6.76,6.74,11181
1192140000,6.48,6.75,6.75,6.48,30175
1192399200,6.7,6.81,6.85,6.7,23960
1192485600,6.82,6.8,6.83,6.55,5686
1192572000,6.8,6.8,6.8,6.8,960
1192658400,6.63,6.8,6.8,6.63,9416
1192744800,6.65,6.8,6.8,6.65,5603
1193004000,6.75,6.79,6.79,6.66,9254
1193090400,6.7,6.77,6.78,6.7,4674
1193176800,6.73,6.78,6.79,6.73,6286
1193263200,6.75,6.79,6.79,6.75,8951
1193349600,6.75,6.9,7,6.7,32428
1193612400,6.97,6.85,6.97,6.8,8581
1193698800,6.5,6.84,6.85,6.01,21613
1193785200,6.71,6.84,6.84,6.7,11113
1193958000,6.33,6.82,6.84,6.33,5716
1194217200,6.8,6.74,6.84,6.42,13036
1194303600,6.7,6.74,6.74,6.4,7082
1194390000,6.7,6.7,6.74,6.35,8901
1194476400,6.05,6.71,6.72,6.05,6365
1194562800,6.7,6.73,6.73,6.25,15561
1194822000,6.69,6.46,6.69,6.2,10589
1194908400,6.45,6.4,6.45,6.1,35205
1194994800,6.25,6.42,6.44,6.25,4719
1195081200,6.39,6.3,6.39,6.06,3723
1195167600,6.07,6.29,6.3,6.05,4179
1195426800,6.29,6.19,6.29,5.98,3000
1195513200,5.95,6.1,6.13,5.95,4282
1195599600,6,5.99,6,5.9,3770
1195686000,5.6,5.99,5.99,5.6,7287
1195772400,6.09,6.09,6.09,6.09,1049
1196031600,6.09,6.29,6.29,5.8,9032
1196118000,6.24,6.21,6.24,5.81,2839
1196204400,6.29,6.48,6.5,6.03,13719
1196290800,6.5,6.75,6.75,6.48,10883
1196377200,6.75,6.95,7,6.75,7287
1196636400,6.95,7,7,6.8,2533
1196722800,6.85,6.98,6.98,6.51,3699
1196809200,6.66,6.99,7,6.66,148
1196895600,6.99,6.95,6.99,6.8,4020
1196982000,0,6.95,6.95,6.95,0
1197241200,6.63,6.88,6.98,6.63,7843
1197327600,6.45,6.5,6.55,6.45,3582
1197414000,6.11,6.66,6.77,6.11,5775
1197500400,6.34,6.63,6.76,6.34,8419
1197586800,6.65,6.76,6.76,6.65,1198
1197846000,6.11,6.69,6.7,6.11,1477
1197932400,6.11,6.7,6.7,6.11,12277
1198018800,6.76,6.8,6.8,6.36,5647
1198105200,6.8,6.7,6.8,6.5,11399
1198191600,6.69,6.5,6.7,6.5,2705
1198710000,6.73,6.73,6.74,6.72,516
1198796400,6.5,6.75,6.75,6.5,3769
1199228400,6.8,6.78,6.8,6.42,2628
1199314800,0,6.78,6.78,6.78,0
1199401200,6.51,6.74,6.74,6.51,79149
1199660400,6.77,6.69,6.77,6.55,2045
1199746800,6.51,6.49,6.51,6.04,8389
1199833200,6.11,6.06,6.11,6.04,26290
1199919600,5.77,6.07,6.08,5.77,9281
1200006000,5.61,6.02,6.02,5.61,994
1200265200,6.35,5.84,6.35,5.5,4174
1200351600,5.87,5.5,5.87,5.2,51860
1200438000,4.95,5,5.34,4.95,14284
1200524400,5.24,4.9,5.24,4.89,5880
1200610800,4.9,4.69,4.94,4.5,24720
1200870000,4.69,4.81,4.89,4.6,8971
1200956400,4.35,5.24,5.24,4.35,52567
1201042800,5.83,5.35,5.87,5.3,9191
1201129200,5.8,5.7,5.8,5.23,3767
1201215600,5.79,5.89,5.9,5.54,3284
1201474800,5.31,5.79,5.8,5.31,211
1201561200,6.1,6,6.1,5.7,2266
1201647600,6.1,6.19,6.25,6.1,176
1201734000,6.1,6.2,6.25,6.1,1980
1201820400,5.85,6.15,6.25,5.85,9839
1202079600,0,6.15,6.15,6.15,0
1202166000,0,6.15,6.15,6.15,0
1202252400,5.54,6,6,5.54,2154
1202338800,6,6,6,5.67,1110
1202425200,5.99,6.06,6.06,5.99,1751
1202684400,5.7,5.7,5.99,5.63,13840
1202770800,5.89,5.99,5.99,5.66,3144
1202857200,5.75,5.89,5.89,5.75,1701
1202943600,5.7,5.7,5.89,5.7,6069
1203030000,5.85,5.99,5.99,5.8,2966
1203289200,5.99,5.76,6,5.76,13981
1203375600,5.97,5.98,5.98,5.96,3241
1203462000,6,6,6,6,1000
1203548400,5.76,6,6,5.76,12839
1203634800,0,6,6,6,0
1203894000,5.77,6,6,5.77,4067
1203980400,5.75,6,6,5.75,11770
1204066800,5.84,6,6,5.84,2100
1204153200,5.81,6,6,5.81,1872
1204239600,5.84,5.72,5.84,5.72,324
1204498800,5.96,5.94,6,5.93,433
1204585200,6,5.96,6,5.8,1234
1204671600,5.98,5.98,5.98,5.98,215
1204758000,5.8,5.89,5.89,5.69,27851
1204844400,5.69,5.87,5.9,5.69,436
1205103600,0,5.87,5.87,5.87,0
1205190000,5.8,5.83,5.83,5.6,12360
1205276400,5.88,5.88,5.88,5.7,1247
1205362800,5.75,5.85,5.85,5.75,31001
1205449200,5.7,5.53,5.7,5.5,4556
1205708400,5.44,5.57,5.61,5.12,10052
1205794800,5.6,5.56,5.6,5.46,3571
1205881200,5.75,5.44,5.75,5.3,9862
1205967600,5.3,5.2,5.3,5.2,10644
1206399600,5.4,5.4,5.4,5.2,200
1206486000,5.4,5.12,5.6,5.07,20915
1206572400,5.15,5.24,5.46,5.02,49388
1206658800,5.24,5.27,5.46,5.14,5043
1206914400,5.17,5.27,5.3,5.13,7301
1207000800,5.13,5.27,5.27,5.13,6750
1207087200,5.15,5.21,5.27,5.15,8166
1207173600,0,5.21,5.21,5.21,0
1207260000,5.21,5.17,5.21,5.13,2491
1207519200,5.11,5.38,5.44,5.1,4571
