t,o,c,h,l,v
1281391200,14.15,13.48,14.15,13.21,64674
1281477600,13.75,13.45,13.75,12.53,16735
1281564000,13.5,13.5,13.54,13.3,13678
1281650400,13.41,13.4,13.51,13.4,3801
1281909600,13.45,13.39,13.45,13.1,18993
1281996000,13.33,13.32,13.4,13.3,9250
1282082400,13,13.18,13.2,12.6,20333
1282168800,13.1,12.9,13.1,12.81,2175
1282255200,12.81,12.9,13.02,12.81,6755
1282514400,12.5,12.8,12.95,12.5,5635
1282600800,12.9,12.94,12.94,12.9,90
1282687200,12.9,12.9,12.9,12.9,373
1282773600,12.96,12.9,12.96,12.9,1390
1282860000,12.95,12.84,12.95,12.8,4538
1283119200,12.95,12.9,12.95,12.9,343
1283205600,12.96,12.9,12.96,12.9,450
1283292000,12.9,12.9,12.9,12.9,1120
1283378400,12.91,12.84,12.91,12.64,3794
1283464800,13,12.87,13,12.87,2655
1283724000,12.6,12.5,12.6,12.35,5971
1283810400,12.87,12.45,12.87,12.3,2356
1283896800,12.2,12.4,12.4,12.2,4526
1283983200,12.5,12.85,12.85,12.5,6227
1284069600,12.85,12.85,12.85,12.85,450
1284328800,12.8,12.78,12.8,12.41,745
1284415200,12.78,13.28,13.37,12.78,3573
1284501600,13.28,13.28,13.28,13.28,289
1284588000,13.05,13.29,13.29,13,1667
1284674400,13.22,13.25,13.29,13.22,2000
1284933600,13.3,13.29,13.3,13.01,602
1285020000,13.15,12.98,13.15,12.7,5079
1285106400,12.8,12.7,12.8,12.7,3839
1285192800,12.42,12.4,12.45,12.4,393
1285279200,12.37,12.8,13.38,12.37,4572
1285538400,12.99,12.85,13.1,12.7,7674
1285624800,12.85,12.88,12.9,12.75,1501
1285711200,13,13,13,12.97,620
1285797600,12.99,13.24,13.25,12.7,40376
1285884000,13.56,14.79,14.8,13.5,66556
1286143200,14.85,16.43,16.93,14.85,34909
1286229600,16.92,16,16.92,15.55,12053
1286316000,16.26,15.8,16.27,15.8,5717
1286402400,16,16,16,15.68,3300
1286488800,16,15.9,16,15,4176
1286748000,16.47,15.99,16.47,15.9,46853
1286834400,15.99,15.98,15.99,15.83,22062
1286920800,16.47,15.7,16.5,15,26760
1287007200,16.39,15.3,16.4,15.3,7001
1287093600,15.29,15.68,15.95,15.2,8275
1287352800,15.95,15.8,16,15.7,26864
1287439200,15.95,15.69,15.95,15.3,10883
1287525600,15.71,15.48,15.95,15.16,9962
1287612000,15.5,15.48,15.69,15.2,5110
1287698400,15.45,15.36,15.46,15.15,6698
1287957600,15.49,15.7,15.87,15.41,2587
1288044000,15.7,15.7,15.9,15.5,21564
1288130400,15.75,15.7,15.95,15.54,10161
1288216800,15.7,15.65,15.9,15.5,11837
1288303200,16.29,15.28,17.91,15.1,177572
1288652400,15.65,15.1,15.65,15.05,83683
1288738800,15.2,15.35,15.48,15.01,47168
1288825200,15.4,15.44,15.48,15.21,41501
1288911600,15.48,15.4,15.48,15.36,65347
