t,o,c,h,l,v
980982000,8,8.95,8.95,7.85,517265
981068400,8.65,8.85,9.35,8.65,255745
981327600,8.5,8.85,8.9,8.5,65965
981414000,8.5,8.85,8.9,8.5,115001
981500400,8.75,8.8,8.85,8.5,83898
981586800,8.85,9.4,9.4,8.85,143081
981673200,9.75,10.75,10.8,9.75,206604
981932400,10.95,10.05,10.95,9.9,136728
982018800,9.8,10,10.2,9.55,130132
982105200,9.7,9.75,9.85,9.7,22326
982191600,9.7,9.4,9.85,9.1,185055
982278000,9.45,9.05,9.5,9,67595
982537200,9,8.75,9.15,8.75,53716
982623600,8.8,8.65,8.8,8.3,55355
982710000,8.4,8.7,8.8,8.4,76955
982796400,8.35,8.75,8.8,8.35,35033
982882800,8.9,8.6,9.5,8.6,28136
983142000,9.1,9,9.2,8.9,24129
983228400,9,9.05,9.1,8.9,8752
983314800,8.6,8.95,8.95,8.6,8154
983401200,8.6,8.7,8.8,8.6,4304
983487600,8.85,8.8,8.85,8.65,23109
983746800,8.8,8.75,8.8,8.45,19054
983833200,8.7,8.6,8.7,8.5,152322
983919600,8.4,8.05,8.5,7.95,35861
984006000,8,7.8,8,7.6,15531
984092400,7.7,7.6,7.75,6.75,19670
984351600,7.5,7.2,7.5,7,35486
984438000,7,7.15,7.5,6.9,68890
984524400,7.1,7.15,7.15,6.95,12488
984610800,7.2,7.2,7.45,7.05,19708
984697200,7.2,7.1,7.2,7.05,15226
984956400,7.45,7.1,7.45,6.95,16802
985042800,7.1,7.2,7.3,7.1,11713
985129200,7.15,7.2,7.2,7.05,3988
985215600,7.15,7.25,7.25,7.05,2215
985302000,7.4,7.75,7.85,7.4,51339
985557600,7.9,7.8,8.5,7.7,65120
985644000,7.65,7.6,7.65,7.45,13148
985730400,7.65,7.7,7.75,7.6,25950
985816800,7.65,7.65,7.7,7.65,29440
985903200,7.7,7.7,7.85,7.7,11862
986162400,7.6,7.5,7.7,7.5,26672
986248800,7.5,7.5,7.5,7.35,13488
986335200,7.45,7.3,7.5,7.3,20707
986421600,7.4,7.35,7.45,7.3,12769
986508000,7.5,7.4,7.5,7.3,16226
986767200,7.4,7.45,7.45,7.3,1953
986853600,7.45,7.3,7.55,7.3,30692
986940000,7.5,7.1,7.5,7.05,28349
987026400,7.2,7.05,7.2,7,21765
987458400,7.2,7,7.2,6.1,9904
987544800,7,7,7.1,6.9,6684
987631200,7.25,7,7.25,6.95,18757
987717600,7,6.8,7.05,6.8,12783
987976800,6.7,6.7,6.9,6.6,7142
988063200,6.6,6.5,6.7,6.2,66487
988149600,6.5,6.45,6.5,6.4,66284
988236000,6.45,6.4,6.55,6.3,21807
988322400,6.45,6.15,6.45,6.15,14633
988581600,6.45,6.15,6.45,5.9,23604
988754400,6,5.8,6,5.6,11003
988927200,5.6,5.45,5.6,5.35,15419
989186400,5.3,5.25,5.3,5.1,24864
989272800,5.05,5,5.1,4.9,13394
989359200,4.8,4.31,4.84,4.27,52054
989445600,4.3,4.75,4.92,4.3,94292
989532000,4.51,5.2,5.2,4.51,130225
989791200,5.4,5.2,5.4,5.15,32212
989877600,5.25,5,5.25,4.98,20210
989964000,4.99,4.9,4.99,4.82,17987
990050400,5.05,4.95,5.1,4.95,25899
990136800,4.88,4.84,4.9,4.8,4852
990396000,4.91,5.1,5.1,4.8,17382
990482400,5.2,5.2,5.35,5.1,43518
990568800,5.2,5.2,5.3,5,17769
990655200,5.05,5.05,5.1,5,11116
990741600,5,4.9,5,4.9,7397
991000800,4.94,4.91,4.95,4.91,17370
991087200,4.98,4.9,4.98,4.9,7692
991173600,4.77,4.94,4.94,4.77,5944
991260000,4.8,4.91,4.93,4.8,7930
991346400,4.75,4.85,4.91,4.74,5119
991605600,4.79,4.75,4.9,4.7,17396
991692000,4.68,4.6,4.79,4.6,3498
991778400,4.6,4.4,4.6,4.4,22872
991864800,4.3,4.3,4.4,4.26,10309
991951200,4.4,4.2,4.48,4.2,7542
992210400,4,4,4.1,3.96,7053
992296800,3.95,3.88,3.99,3.72,26049
992383200,3.9,3.61,3.9,3.61,18452
992556000,3.4,3.4,3.85,3.3,36929
992815200,3.37,3.4,3.44,3.3,60081
992901600,3.35,3.6,3.85,3.3,49011
992988000,3.64,3.49,3.75,3.47,36520
993074400,3.45,3.56,3.6,3.35,48970
993160800,3.64,3.45,3.64,3.45,35165
993420000,3.5,3.54,3.55,3.48,42394
993506400,3.55,3.5,3.6,3.44,45115
993592800,3.54,3.5,3.55,3.45,10823
993679200,3.5,3.35,3.5,3.35,69107
993765600,3.42,3.39,3.55,3.3,73236
994024800,3.3,3.17,3.3,3.1,12436
994111200,3.06,2.81,3.1,2.8,81566
994197600,2.8,2.34,2.8,2.34,189107
994284000,2.38,2.5,2.67,2.3,493064
