t,o,c,h,l,v
1320793200,20,20.49,21.5,19.5,7516
1320879600,21.5,21,21.5,19,2660
1321225200,21,21.5,21.5,21,250
1321311600,22.5,22,23,21.2,924
1321398000,22.5,21.9,22.5,21.9,115
1321484400,22,19.99,22,19.99,5360
1321570800,0,19.99,19.99,19.99,0
1321830000,19.85,19.1,19.85,19.1,117
1321916400,19.1,19.8,19.99,19.1,186
1322002800,19.89,18.5,19.89,18.5,191
1322089200,18.02,17.95,18.45,17.5,2558
1322175600,17.95,18,18,17.95,66
1322434800,18.29,17.5,18.29,17.5,131
1322521200,17.4,17.2,17.4,15.7,195
1322607600,17.44,17.95,17.95,17.25,252
1322694000,18.49,18.49,18.49,18.49,5
1322780400,18.33,17.8,18.33,17.8,135
1323039600,17.8,17.25,17.8,17.2,579
1323126000,17.2,17.1,17.2,16.9,1285
1323212400,17.1,17.2,17.2,16.6,592
1323298800,17,17.6,17.6,17,218
1323385200,0,17.6,17.6,17.6,0
1323644400,0,17.6,17.6,17.6,0
1323730800,17.3,17.3,17.3,17.3,10
1323817200,17.25,17.25,17.25,17.21,1992
1323903600,17.25,17.21,17.25,17.21,47
1323990000,0,17.21,17.21,17.21,0
1324249200,0,17.21,17.21,17.21,0
1324335600,17.2,17.2,17.2,17.2,30
1324422000,17.01,17.6,17.6,17.01,1389
1324508400,17.6,17.6,17.6,17.35,4620
1324594800,17.6,17.6,17.6,17.6,10
1324940400,17.7,19.7,19.7,17.7,5409
1325026800,19.7,19.7,19.7,19.7,600
1325113200,19.7,19.7,19.7,19.7,270
1325199600,19.7,25.5,27,19.7,16902
1325458800,25.5,25.5,27.5,24.1,3605
1325545200,24.51,26.5,27.3,24.1,818
1325631600,27.5,27.49,27.95,27,3168
1325718000,27.5,27.3,27.9,27.3,991
1326063600,27.25,26.5,27.25,26.5,1650
1326150000,26.3,27.5,27.6,25.8,770
1326236400,27.6,31.99,32,27.6,5476
1326322800,33.33,36.5,38.2,33.33,4287
