t,o,c,h,l,v
1537826400,13.02,10.8,13.02,9.01,16440
1537912800,10.78,9.9,11,9.9,5525
1537999200,9.9,9,9.9,8.1,3251
1538085600,9.5,8.7,9.5,8.7,903
1538344800,8.8,8.9,8.9,8.7,410
1538431200,9,7.9,9,7.9,1775
1538517600,7.9,7.7,7.9,7.2,580
1538604000,7.7,7.6,7.7,7,660
1538690400,7.9,8.4,8.5,7.9,1687
1538949600,8.39,8.2,8.39,7.95,149
1539036000,8.2,9,9,8.2,2373
1539122400,9.2,8,9.2,8,3993
1539208800,8.36,8.8,8.8,8.36,20
1539295200,8.8,8.5,8.8,7.7,194
1539554400,8.38,7.66,8.38,7.66,305
1539640800,7.66,7.45,7.7,7.3,839
1539727200,7.5,7.69,7.69,7.5,75
1539813600,7.69,7.69,7.69,7.69,5
1539900000,7.69,7.66,7.69,7.2,259
1540159200,7.3,7.11,7.3,7.11,76
1540245600,7.11,6.6,7.11,6.6,295
1540332000,6.52,6.52,6.52,6.52,10
1540418400,6.55,6.4,6.55,6.4,251
1540504800,6.3,6.25,6.3,6.1,260
1540767600,0,6.25,6.25,6.25,0
1540854000,0,6.25,6.25,6.25,0
1540940400,6.1,6.1,6.1,6.1,3310
1541113200,6.3,6.5,6.5,6.3,17
1541372400,0,6.5,6.5,6.5,0
1541458800,0,6.5,6.5,6.5,0
1541545200,6.3,6.15,6.3,6.15,3587
1541631600,6.15,6.55,6.55,6.15,49
1541718000,6.15,6.2,6.2,6.15,1260
1542063600,6.2,7.44,7.44,5,3376
1542150000,7.3,7.3,7.3,7.3,10
1542236400,7.3,7.3,7.3,7.3,5
1542322800,7.29,7.29,7.29,7.29,5
1542582000,7.19,7.19,7.19,7.19,5
1542668400,7.1,6.8,7.1,6.8,160
1542754800,0,6.8,6.8,6.8,0
1542841200,0,6.8,6.8,6.8,0
1542927600,0,6.8,6.8,6.8,0
1543186800,0,6.8,6.8,6.8,0
1543273200,0,6.8,6.8,6.8,0
1543359600,6.8,6.65,6.8,6.65,140
1543446000,6.6,6.55,6.6,6.2,374
1543532400,6.55,6.55,6.55,6.55,15
1543791600,0,6.55,6.55,6.55,0
1543878000,0,6.55,6.55,6.55,0
1543964400,0,6.55,6.55,6.55,0
1544050800,6.5,6.55,6.55,6.5,200
1544137200,6.5,6.25,6.5,5.6,1215
1544396400,6,6.1,6.1,6,72
1544482800,6.1,6.5,6.7,6.1,455
1544569200,0,6.5,6.5,6.5,0
1544655600,6.4,7.2,7.2,6.4,510
1544742000,7.19,6.85,7.19,6.85,320
1545001200,6.9,6.62,6.9,6.62,670
1545087600,6.6,6.4,6.65,6.4,1455
1545174000,6.45,6.6,6.6,6.35,5020
1545260400,6.5,6.9,7.5,6.5,10910
1545346800,6.8,6.45,6.8,6.4,1310
1545865200,6.45,6.45,6.45,6.45,2
1545951600,6.45,6.4,6.6,6.4,2052
1546383600,0,6.4,6.4,6.4,0
1546470000,6.6,7.6,7.6,6.6,1200
1546556400,6.7,6.5,6.7,6.5,4184
1546815600,0,6.5,6.5,6.5,0
1546902000,0,6.5,6.5,6.5,0
1546988400,6.5,6.4,6.5,6.4,1010
1547074800,6.5,6.3,6.72,6.3,4910
1547161200,6.25,6.21,6.4,6.2,901
1547420400,6.22,6.3,6.5,6.21,826
1547506800,6.46,6.5,6.5,6.46,200
1547593200,6.5,6.5,6.5,6.5,5
1547679600,6.5,6.5,6.5,6.5,2
1547766000,6.5,6.5,6.5,6.5,10
1548025200,6.49,6.44,6.49,6.43,2646
1548111600,6.43,6.4,6.44,6.4,2300
1548198000,6.55,6.78,7.15,6.55,18325
1548284400,6.8,6.8,6.8,6.8,1174
1548370800,6.88,6.64,7.1,6.64,7569
1548630000,6.96,6.8,6.96,6.8,2920
1548716400,6.86,6.86,6.86,6.84,240
1548802800,6.84,6.71,6.84,6.71,6005
1548889200,6.62,6.88,6.88,6.62,445
1548975600,6.7,6.98,7,6.7,2710
1549234800,6.98,6.61,7,6.61,4130
1549321200,6.62,6.62,6.62,6.62,5
1549407600,6.61,6.61,6.61,6.61,800
1549494000,6.52,6.3,6.52,6.3,405
1549580400,0,6.3,6.3,6.3,0
1549839600,6.23,6.23,6.23,6.23,500
1549926000,6.23,6.23,6.25,6.23,1450
1550012400,6.23,6.23,6.23,6.23,505
1550098800,6.3,6.3,6.3,6.3,10
1550185200,6.3,6.5,6.5,6.3,104
1550444400,6.4,6.5,6.5,6.4,20
1550530800,6.5,6.5,6.6,6.5,52
1550617200,0,6.5,6.5,6.5,0
1550703600,0,6.5,6.5,6.5,0
1550790000,6.5,6.5,6.5,6.5,10
1551049200,4.95,6.1,6.1,4.95,1355
1551135600,6.1,6.5,6.5,6.1,500
1551222000,6.7,6.86,6.86,6.7,190
1551308400,7,7.3,8.2,7,1290
1551394800,7.4,8.3,8.3,7.4,315
1551654000,8.35,8.35,8.35,8.35,5
1551740400,8.35,8.35,8.35,8.35,5
1551826800,8.35,8.35,8.35,8.35,5
1551913200,8.35,8.35,8.35,8.35,3
1551999600,8.3,8,8.3,8,11
1552258800,7.9,7.9,7.9,7.9,5
1552345200,7.9,7.9,7.9,7.9,5
1552431600,7.9,7.5,7.9,7.4,300
1552518000,0,7.5,7.5,7.5,0
1552604400,7.5,7.2,7.5,7.2,425
1552863600,7.2,7.2,7.2,7.2,50
1552950000,7.3,7.4,7.5,7.3,70
1553036400,7.4,7.3,7.4,6.7,1575
1553122800,7.1,7.2,7.6,6.5,2692
1553209200,7,6.95,7,6.5,1244
1553468400,6.6,6.4,6.6,5.6,5285
1553554800,0,6.4,6.4,6.4,0
1553641200,6.4,7,7.3,6.4,3702
1553727600,7,7,7,7,80
1553814000,7,7.25,7.5,7,354
1554069600,7.25,6.95,7.25,6.95,170
1554156000,6.95,6.95,6.95,6.95,15
1554242400,6.95,6.95,6.95,6.95,225
1554328800,6.95,6.95,6.95,6.6,420
1554415200,6.95,6.95,6.95,6.95,5
1554674400,6.95,6.95,6.95,6.95,26
1554760800,6.7,6.2,6.7,6,2530
1554847200,6.1,6.2,6.2,6,40
1554933600,6.2,6.25,6.25,6.2,20
1555020000,6.15,5.6,6.15,5.6,5487
1555279200,5.65,5.55,5.8,5.55,3918
1555365600,5.5,5.4,5.5,5.4,2220
1555452000,5.4,5.4,5.5,5.4,953
1555538400,5.45,5.45,5.5,5.45,1841
1555970400,5.5,5.4,5.5,5.4,890
1556056800,5.5,5.4,5.5,5.4,520
1556143200,5.45,5.5,5.5,5.45,600
1556229600,5.5,5.5,5.5,5.5,5
1556488800,5.4,5.4,5.4,5.4,193
1556575200,5.55,6.3,6.3,5.55,422
1556748000,6.3,6.3,6.3,6.3,159
1557093600,6.2,5.6,6.2,5.6,447
1557180000,5.7,5.4,5.8,5.4,3967
1557266400,5.45,5.3,5.45,5.3,3895
1557352800,5.3,5.4,5.4,5.3,218
1557439200,5.4,5.65,5.65,5.4,1940
1557698400,5.65,5.7,5.7,5.6,3095
1557784800,5.6,5.5,5.6,5.5,3185
1557871200,5.5,5.45,5.5,5.4,6540
1557957600,5.55,5.5,5.6,5.5,1607
1558044000,5.5,5.3,5.5,5,2815
1558303200,5.25,5.4,5.4,5,4619
1558389600,5.35,5.1,5.4,5,8719
1558476000,5.25,5.9,5.9,5.25,3890
1558562400,5.9,6.15,6.15,5.9,220
1558648800,6.1,6.1,6.1,6.1,300
1558908000,6.1,6.1,6.1,6.1,10
1558994400,0,6.1,6.1,6.1,0
1559080800,6.15,6.65,7.3,6.15,8093
1559167200,6.75,6.8,6.8,6.75,75
1559253600,6.8,6.45,6.8,6.45,690
1559512800,6.55,6.5,6.8,6.5,563
1559599200,6.7,6.7,7.4,6.7,4952
1559685600,6.85,7,7.4,6.85,3456
1559772000,7.2,7.35,7.35,7.2,838
1559858400,7.4,7.25,7.4,6.9,2196
1560117600,7.2,7.25,7.25,6.85,2647
1560204000,7.25,7.25,7.25,7.25,10
1560290400,7.25,7.25,7.25,7,1667
1560376800,7.2,7.2,7.2,7.2,10
1560463200,7.2,6.95,7.2,6.8,225
1560722400,6.9,6.5,6.95,6.3,2795
1560808800,6.5,6.8,6.8,6.3,2439
1560895200,6.75,6.6,6.75,6.35,2645
1561068000,6.65,6.75,6.75,6.4,3778
1561327200,6.75,6.7,6.75,6.5,644
1561413600,6.6,6.65,6.65,6.5,195
1561500000,6.3,6.75,6.75,6.25,343
1561586400,6.35,6.75,6.75,6.3,832
1561672800,6.85,7.25,7.25,6.85,815
1561932000,7.3,8.4,8.6,7.3,295
1562018400,8,8.3,8.3,8,35
1562104800,7.9,8.7,8.7,7.9,2494
1562191200,6.9,8.4,8.7,6.9,3860
1562277600,8.4,8.35,8.7,8.35,885
1562536800,8.35,8.7,8.7,8.35,95
1562623200,8.7,8.35,8.7,8.35,212
1562709600,8.7,8.5,8.7,8,1656
1562796000,8.5,8.7,8.7,8.5,13859
1562882400,8.7,8.8,8.8,8.7,3422
1563141600,8.8,8.8,8.8,8.6,826
1563228000,8.8,8.6,8.8,8.6,1719
1563314400,8.8,8.8,8.8,8.8,110
1563400800,8.8,8.7,8.8,8.3,780
1563487200,8.8,8.8,8.8,8.8,20
1563746400,8.8,8.8,8.8,8.8,5
1563832800,8.8,8.6,8.8,8.35,160
1563919200,8.6,8.85,8.85,8.6,235
1564005600,8.85,8.85,8.85,8.7,659
1564092000,8.85,8.85,8.85,8.85,5345
1564351200,8.95,8.95,8.95,8.95,2487
1564437600,8.95,8.95,8.95,8.95,1120
1564524000,9,9.7,9.7,9,8496
1564610400,10,10.9,10.9,9.9,9331
1564696800,10.8,12,12,10.8,3422
1564956000,11.6,11,11.6,10,757
1565042400,10.8,12,12,10.5,718
1565128800,12,12.4,12.4,12,855
1565215200,12.6,12.6,12.6,12.6,10
1565301600,12.2,13,13,11.7,628
1565560800,12.9,12.1,13,12,955
1565647200,0,12.1,12.1,12.1,0
1565733600,11.7,11.7,12,10.5,1641
1565906400,0,11.7,11.7,11.7,0
1566165600,11,11.6,11.6,11,260
1566252000,0,11.6,11.6,11.6,0
1566338400,11.3,11.1,11.3,10.5,514
1566424800,11,11,11,10.5,45
1566511200,11,11.2,11.2,11,25
1566770400,0,11.2,11.2,11.2,0
1566856800,11.5,11.5,11.5,11.5,10
1566943200,11.6,11.6,11.6,11.6,5
1567029600,11.6,11.9,11.9,11.5,186
1567116000,11.9,12.3,12.3,11.9,100
1567375200,12,12.3,12.3,12,115
1567461600,12.2,12,12.2,12,15
1567548000,12.1,12.2,12.2,12,655
1567634400,12.2,12.2,12.2,12,110
1567720800,12.2,12.2,12.2,12.2,2
1567980000,12,12,12,12,33
1568066400,12,12,12,12,2
1568152800,12,12.2,12.2,11.6,119
1568239200,0,12.2,12.2,12.2,0
1568325600,12.1,12.1,12.1,12.1,5
1568584800,0,12.1,12.1,12.1,0
1568671200,12.1,11.8,12.1,11.8,9
1568757600,12.1,12,12.1,11.8,513
1568844000,12.1,12.1,12.1,12.1,5
1568930400,12.1,12.1,12.1,12.1,2
1569189600,12.1,11.4,12.1,11,203
1569276000,11.4,11.4,11.4,11.4,1
1569362400,11,10.8,11,10.8,421
1569448800,10.8,11,11,10.5,685
1569535200,10.8,10.7,10.8,10.6,125
1569794400,10.2,10.4,11.2,9.7,2571
1569880800,0,10.4,10.4,10.4,0
1569967200,10,10,10,10,10
1570053600,0,10,10,10,0
1570140000,0,10,10,10,0
1570399200,9.7,9.5,9.7,9.5,150
1570485600,0,9.5,9.5,9.5,0
1570572000,0,9.5,9.5,9.5,0
1570658400,9.5,9.5,9.5,9.5,10
1570744800,9.6,10,10,9.6,2000
1571004000,0,10,10,10,0
1571090400,0,10,10,10,0
1571176800,9.8,9.5,9.8,9.5,2090
1571263200,9.75,9.75,9.75,9.75,1
1571349600,9.75,9.5,9.75,9.5,410
1571608800,9.3,8.9,9.3,8.9,975
1571695200,8.8,9.1,9.1,8.2,1049
1571781600,0,9.1,9.1,9.1,0
1571868000,9.1,9.1,9.1,9.1,9
1571954400,0,9.1,9.1,9.1,0
1572217200,0,9.1,9.1,9.1,0
1572303600,0,9.1,9.1,9.1,0
1572390000,9,9,9,9,5
1572476400,9,9,9,9,5
1572822000,9,9,9,9,2
1572908400,9,9,9,9,2
1572994800,9,9,9,9,2
1573081200,9,9,9,9,3
1573167600,9,9,9,9,2
1573513200,9,9,9,9,142
1573599600,9,9,9,9,2
1573686000,9,8.8,9,8.8,12
1573772400,9,8.9,9,8.7,514
1574031600,0,8.9,8.9,8.9,0
1574118000,8.7,8.9,8.9,8.7,512
1574204400,0,8.9,8.9,8.9,0
1574290800,8.8,8.8,8.9,8.8,167
1574377200,8.95,9,9,8.95,20
1574636400,9,9,9,9,559
1574722800,9,9.5,9.5,9,145
1574809200,9.5,9.55,9.55,9.5,100
1574895600,9.8,9.55,9.95,9.3,197
1574982000,9.55,9.95,9.95,9.55,220
1575241200,9.95,9.85,9.95,9.1,619
1575327600,0,9.85,9.85,9.85,0
1575414000,0,9.85,9.85,9.85,0
1575500400,9.85,9.85,9.85,9.85,53
1575586800,9.85,9.85,9.85,9.85,2
1575846000,9.85,9.85,9.85,9.85,176
1575932400,9.85,9.85,9.85,9.85,3
1576018800,9.6,9.3,9.6,9.3,123
1576105200,9.4,9.4,9.4,9.4,10
1576191600,0,9.4,9.4,9.4,0
1576450800,9.5,9.5,9.5,9.5,150
1576537200,9.5,9.5,9.5,9.5,80
1576623600,0,9.5,9.5,9.5,0
1576710000,0,9.5,9.5,9.5,0
1576796400,0,9.5,9.5,9.5,0
1577055600,9.3,9.2,9.3,9.2,20
1577401200,9.5,9.5,9.5,9.5,2
1577660400,9.5,9.5,9.5,9.5,10
1577919600,0,9.5,9.5,9.5,0
1578006000,9.5,10,10.2,9.5,2312
1578351600,10.2,10.2,10.2,10.2,146
1578438000,10.2,10.2,10.2,10.2,775
1578524400,10.3,10,10.3,10,130
1578610800,9.7,7.65,9.7,7.5,18792
1578870000,7.75,7,7.75,6.8,8847
1578956400,7,7.3,7.3,7,1551
1579042800,7.3,7.65,7.65,7.2,2280
1579129200,7.7,7.6,7.7,7.45,2500
1579215600,7.6,7.5,7.6,7.25,1335
1579474800,7.5,8,8.05,7.5,10131
1579561200,8,8.2,8.3,7.9,9414
1579647600,8,9.6,9.6,8,8427
1579734000,9.65,11.5,12.7,9.65,38627
1579820400,12,11.6,12.2,11.6,10835
1580079600,11.7,11,12,10.6,2297
1580166000,11,10.4,11,10,1046
1580252400,10.6,10.4,11.2,10.4,1871
1580338800,10.7,9.8,10.7,9,6304
1580425200,9.6,9.3,9.6,9.3,5900
1580684400,9.15,10.9,10.9,9.15,1952
1580770800,10.9,10.5,11.3,10.2,9498
1580857200,10.3,10.5,11,10.2,4104
1580943600,10.5,10.8,10.8,9.5,2767
1581030000,10.7,11.2,11.3,10.7,1395
1581289200,11.2,11.8,11.8,11.1,1885
1581375600,11.2,11.4,11.5,10.2,3397
1581462000,11.1,10.9,11.1,10.6,1302
1581548400,10.6,10.7,10.8,10.3,1117
1581634800,10.5,10.5,10.5,10,2610
1581894000,10.7,10,10.7,10,2709
1581980400,10.4,10.3,10.6,10,6929
1582066800,10.3,10.7,10.7,10,1240
1582153200,10.6,10.5,10.6,10,800
1582239600,10.2,10.5,10.5,10,220
1582498800,10.4,10,10.4,9.3,3411
1582585200,9.3,9.7,9.7,9,1966
1582671600,9.5,10.1,10.1,9.3,975
1582758000,9.8,9.5,9.8,9.2,2259
1582844400,9.2,8.4,9.2,7.7,2753
1583103600,8.5,8.5,8.5,8.5,65
1583190000,8.5,9.85,10,8.5,2274
1583276400,9.75,9.75,9.85,9.1,475
1583362800,9.2,9.35,9.35,8.9,2312
1583449200,9.35,9.55,9.55,9.35,55
1583708400,8.9,8.45,8.9,7.15,4688
1583794800,8.45,8.4,8.8,7,1141
1583881200,8.65,8,8.65,7.4,394
1583967600,7.2,7.3,7.8,5.8,3674
1584054000,7,7.8,8.4,7,4683
1584313200,7.6,9.05,9.05,7.1,1682
1584399600,8.4,8.6,9.35,8.3,12977
1584486000,8.3,8.05,8.5,8.05,1378
1584572400,7.9,8.35,8.35,7.45,8480
1584658800,8.2,8.4,8.45,8.2,1074
1584918000,8.1,8.3,8.3,8.1,30
1585004400,8.25,8.25,8.25,8.25,5
1585090800,8,8.15,8.4,8,780
1585177200,7.8,8,8,7.8,1921
1585263600,8.05,8.2,8.2,8,350
1585519200,7.9,8,8.05,7.5,1727
1585605600,8,8,8,8,10
1585692000,8.35,8.35,8.35,8.35,200
1585778400,8.35,8.35,8.35,8.35,15
1585864800,8.3,9.2,10,8.3,6854
1586124000,9.2,8.8,9.4,8.75,4064
1586210400,8.95,8.75,9,8.45,2443
1586296800,8.4,8.4,8.45,8.4,110
1586383200,8.4,8.9,10,8.2,20976
1586815200,9.45,9.05,9.5,8.5,8750
1586901600,9.35,8.95,9.4,8.5,4929
1586988000,8.95,8.35,8.95,8.3,5102
1587074400,9.35,8.55,9.8,8.25,31739
1587333600,8.75,10.4,10.5,8.55,37608
1587420000,10.4,10.1,10.4,9.15,19757
1587506400,10,13,13.9,9.95,31495
1587592800,13.8,13.5,13.8,12,20866
1587679200,13.7,12.9,13.7,12.6,10756
1587938400,13.5,12.4,13.8,12,24221
1588024800,12.8,12,12.9,11.5,12449
1588111200,11.6,11.8,11.9,11.1,10814
1588197600,11.5,11.3,11.9,10.9,7689
1588543200,11,11.3,11.3,10.5,8643
1588629600,11.5,11.2,12.3,11,12727
1588716000,11.2,11.6,12,10.9,8930
1588802400,11.4,11.6,11.7,11.3,2389
1588888800,11.5,11.5,11.8,11.4,3809
1589148000,11.4,11,11.4,10.4,5980
1589234400,11.1,11,11.1,10.5,2086
1589320800,11,10.9,11.2,10.5,3217
1589407200,10.9,10.4,10.9,10,13492
1589493600,10.5,10.9,10.9,10.4,2122
1589752800,10.8,10.9,11.2,10.7,5449
1589839200,11,11,11.2,10.8,3742
1589925600,11,11,11.4,11,2228
1590012000,10.9,10.9,10.9,10.6,5535
1590098400,10.8,10.9,10.9,10.6,1851
1590357600,10.7,10.8,10.9,10.2,5813
1590444000,10.8,10.8,11.3,10.7,3623
1590530400,10.8,10.7,11.1,10.3,5046
1590616800,10.5,10.5,10.6,10.4,1688
1590703200,10.5,10.9,10.9,10.5,1868
1590962400,10.9,10.8,11,10.5,1320
1591048800,10.8,10.7,10.8,10.5,1053
1591135200,10.7,10.8,10.9,10.6,4780
1591221600,10.5,10.7,10.7,10.3,3815
1591308000,10.5,10.3,10.7,9.25,20218
1591567200,9.9,10.3,10.6,9.9,2260
1591653600,10.3,10.5,10.5,9.9,914
1591740000,10.4,10,10.4,10,1400
1591912800,9.6,10.2,10.4,9.6,1473
1592172000,10.5,10.5,10.5,10.5,21
1592258400,10.3,10.4,10.4,10.3,1065
1592344800,10.4,11.1,11.1,10.2,7636
1592431200,11,11,11.4,10.9,3084
1592517600,11,10.7,11,10.4,8201
1592776800,10.6,12,12.2,10.6,22679
1592863200,13,16.9,16.9,13,51156
1592949600,17.3,15.9,17.5,15.4,41858
1593036000,15.8,15.9,15.9,14.2,6651
1593122400,16,17,17.5,16,6696
1593381600,17,16.8,17,15.2,5533
1593468000,16.8,16,16.8,15.5,3296
1593554400,16,16.2,16.5,14.1,23868
1593640800,16.4,16.1,16.6,15.8,6666
1593727200,16.2,15.5,16.2,15.5,3238
1593986400,15.7,15.8,16.4,15.7,4126
1594072800,16.2,15.8,16.2,15.1,4011
1594159200,15.3,15.1,15.8,15.1,4573
1594245600,15.9,16.2,16.5,15.5,8396
1594332000,16,16.6,17,15.6,3819
1594591200,16.1,16.5,16.7,15.7,2196
1594677600,16.5,16.3,17,16,5821
1594764000,16.8,16.8,16.9,16.5,4109
1594850400,16.8,16.4,16.8,16,7154
1594936800,16.4,16.1,16.5,16,2246
1595196000,16.4,16,16.4,16,2709
1595282400,16.1,16.4,16.4,15.8,1599
1595368800,16,16.4,16.6,16,1475
1595455200,16.6,16.8,16.8,16,4363
1595541600,16.5,16.4,16.5,16,1074
1595800800,16.3,19.5,20,15.7,31378
1595887200,20,19,20.8,19,10878
1595973600,18.6,18.6,19,18,4744
1596060000,18.6,16.2,18.6,16.1,17889
1596146400,16.1,17.3,18.5,16.1,6416
1596405600,17.9,20.4,20.4,17.9,9126
1596492000,20.4,20.2,21,17,10250
1596578400,20.2,22.8,24,20.2,17052
1596664800,22.8,22.8,25,21.2,8017
1596751200,22.2,23.4,23.4,21.6,3148
1597010400,23.4,24,24,23,1130
1597096800,24.6,23.2,24.6,21.8,6883
1597183200,22,22.4,22.4,21.8,1870
1597269600,22.2,23.4,24.2,22.2,10793
1597356000,23.6,24,24.2,23.4,3838
1597615200,24.4,24.6,25,23.8,5473
1597701600,25,24.8,25.2,24.2,4940
1597788000,24.6,24,25.2,23.4,9403
1597874400,24.2,23.8,24.2,22.8,1533
1597960800,24,23,24,22.8,2952
1598220000,23,22,24,18.5,17384
1598306400,22.6,22,22.6,21.6,1757
1598392800,22,20.8,22,20.2,4127
1598479200,20.6,21,21.4,20.6,5090
1598565600,21.2,22,23,20.8,14458
1598824800,22,20.8,23,20.8,7834
1598911200,22,21.8,22.6,20.2,3681
1598997600,22,21.8,22,21,2450
1599084000,21.6,22,22.8,21.4,4240
1599170400,21.8,21,22,20.8,3507
1599429600,20.6,21.4,21.4,20.6,1839
1599516000,21.4,20,21.4,17.6,14995
1599602400,18.5,20.4,20.6,18,2484
1599688800,19.2,20.8,21,19.2,519
1599775200,20.6,20.6,20.6,20.2,741
1600034400,20,19,20,18.8,7608
1600120800,18.6,18.7,19,18.1,2740
1600207200,18.8,18.3,18.8,17.8,4698
1600293600,18,17,18,16.6,6408
1600380000,16.1,16,18.5,15.7,30888
1600639200,16,14.5,16.4,14.5,18766
1600725600,14.8,16.9,18,14.8,13226
1600812000,17,18.3,19,17,10958
1600898400,18,18,18.2,17.6,2027
1600984800,18.3,19.5,20,18.3,10701
1601244000,19.8,18,19.8,17.7,10707
1601330400,18.5,17.7,18.6,17.3,12537
1601416800,17.8,16.9,17.8,15.9,44641
1601503200,17.3,16.9,17.4,16.5,7929
1601589600,16.9,16.5,16.9,16.4,14501
1601848800,16.4,16.5,16.7,16,8961
1601935200,16.3,17.6,18.2,16.2,17614
1602021600,17.6,17.5,17.6,17,3740
1602108000,17.8,18,18.2,17.1,14131
1602194400,19.1,19,20,18.1,14174
1602453600,18.3,19.7,19.8,18.3,5600
1602540000,19,19.3,19.7,18.7,4006
1602626400,19.1,18.4,19.1,18.2,8602
1602712800,18.4,16.4,18.4,16.2,19286
1602799200,16.9,17.3,17.6,16.6,3230
1603058400,17.8,18,18.5,17.4,7242
1603144800,17.8,17.5,17.8,17.1,1137
1603231200,17.2,17.6,19,16.6,6871
1603317600,17.3,17.4,17.5,16.5,7974
1603404000,16.8,17,17,16.4,5965
1603666800,16.8,16.8,16.9,16.1,1712
1603753200,16.4,17.4,17.7,16.4,5744
1603839600,17.5,15.5,17.5,15,16800
1603926000,15.7,16.1,16.5,15,7485
1604012400,16,15.6,16,14.9,6027
1604271600,16,17.2,17.2,16,5688
1604358000,17.2,17.3,17.3,16.8,3625
1604444400,17,16.8,17.1,15.6,2605
1604530800,16.4,17,17.3,15.7,3756
1604617200,17.6,19.9,19.9,17,38708
1604876400,21,21.8,24,19.9,46179
1604962800,20.4,19.2,21.8,19,9872
1605135600,19.2,20.2,22,19.2,23442
1605222000,20,19.8,20,18.9,12524
1605481200,19.4,19.8,20.4,19,4315
1605567600,20.4,20,21.8,19.4,21992
1605654000,20,19.9,20.4,19,3340
1605740400,20.2,19.6,20.2,19,2929
1605826800,19.1,18.7,19.1,18.2,9241
1606086000,18.7,18.9,19.5,17.7,16172
1606172400,18.5,18,18.5,17.5,13069
1606258800,17.9,18.1,18.8,17.5,7856
1606345200,18.4,17.6,18.6,17.5,10427
1606431600,18,18,18,17.5,1435
1606690800,17.7,18.9,19.3,17.5,6752
1606777200,18.9,18.5,18.9,18.5,718
1606863600,18.5,18.8,18.8,17.8,2299
1606950000,18.8,19.5,20.8,18.4,10169
1607036400,19.5,18.9,19.6,18.8,4209
1607295600,18.9,18.1,18.9,18.1,3213
1607382000,18.3,18.6,19.6,18,5562
1607468400,18.6,18.6,18.9,18.2,2540
1607554800,18.5,18.2,18.5,18,2797
1607641200,18.2,18,18.2,17.1,6246
1607900400,17.9,17.7,17.9,17.1,2852
1607986800,17.3,17.7,17.7,17.3,396
1608073200,17.9,17.9,18,17.5,4028
1608159600,17.5,17.3,18.1,17.2,2480
1608246000,17.2,17.8,17.9,17.1,1031
1608505200,17.8,17.8,18.3,17.2,12639
1608591600,18,18.3,18.5,18,3612
