t,o,c,h,l,v
1337896800,10.89,10.05,10.89,10.05,710
1338156000,9.99,9.99,9.99,9.99,2
1338242400,0,9.99,9.99,9.99,0
1338328800,0,9.99,9.99,9.99,0
1338415200,9.99,8.1,9.99,8.1,99
1338501600,8.75,8.75,8.75,8.75,22
1338760800,0,8.75,8.75,8.75,0
1338847200,0,8.75,8.75,8.75,0
1338933600,0,8.75,8.75,8.75,0
1339106400,0,8.75,8.75,8.75,0
1339365600,0,8.75,8.75,8.75,0
1339452000,0,8.75,8.75,8.75,0
1339538400,8.7,8.7,8.85,8.35,1785
1339624800,8.7,8.22,8.7,8,2029
1339711200,8.23,8.1,8.23,8.1,19
1339970400,8.11,8.09,8.11,8.09,1019
1340056800,8,7.95,8,7.95,111
1340143200,8,7.7,8,7.7,35
1340229600,8,7.88,8,7.77,1535
1340316000,7.89,7.85,7.89,7.46,580
1340575200,7.89,7.85,7.89,7.85,365
1340661600,7.7,7.7,7.7,7.33,365
1340748000,7.7,7.7,7.7,7.33,991
1340834400,7.7,7.7,7.7,7.7,5
1340920800,7.5,7.45,7.5,7.11,1066
1341180000,7.45,7.45,7.45,7.09,346
1341266400,7.45,7.4,7.45,6.75,1258
1341352800,7.45,7.45,7.45,7.45,5
1341439200,7.45,7.1,7.45,7.05,5265
1341525600,7.05,7.05,7.05,6.7,300
1341784800,7.05,7.05,7.05,7.05,5
1341871200,7.05,7.05,7.05,6.92,7
1341957600,7.05,7.05,7.05,7.05,1
1342044000,7.05,6.95,7.05,6.65,1124
1342130400,6.95,6.95,6.95,6.95,10
1342389600,6.8,6.8,6.8,6.8,5
1342476000,6.85,6.69,6.85,6.69,20
1342562400,0,6.69,6.69,6.69,0
1342648800,6.69,6.69,6.69,6.69,5
1342735200,6.7,6.7,6.7,6.7,5
1342994400,0,6.7,6.7,6.7,0
1343080800,6.28,6.7,6.7,6.28,3
1343167200,0,6.7,6.7,6.7,0
1343253600,6.7,6.7,6.7,6.7,10
1343340000,0,6.7,6.7,6.7,0
1343599200,0,6.7,6.7,6.7,0
1343685600,0,6.7,6.7,6.7,0
1343772000,6.69,6.69,6.69,6.69,5
1343858400,0,6.69,6.69,6.69,0
1343944800,0,6.69,6.69,6.69,0
1344204000,6.37,6.65,6.65,6.37,1125
1344290400,6.65,6.65,6.65,6.65,1
1344376800,6.65,6.65,6.65,6.65,5
1344463200,6.65,6.65,6.65,6.65,10
1344549600,6.65,5.92,6.65,5.92,1255
1344808800,6.65,6.65,6.65,6.65,20
1344895200,6.65,6.65,6.65,6.65,5
1345068000,6.65,6.65,6.65,6.65,5
1345154400,6.55,6.55,6.55,6.55,10
1345413600,6.55,6.55,6.55,6.55,3
1345500000,6.55,6.55,6.55,6.55,5
1345586400,6.55,6.55,6.55,6.55,5
1345672800,6.55,6.55,6.55,6.55,5
1345759200,6.55,6.55,6.55,6.55,5
1346018400,6.55,6.55,6.55,6.55,10
1346104800,6.55,6.55,6.55,6.55,5
1346191200,6.55,6.55,6.55,6.55,5
1346277600,6.55,6.55,6.55,6.55,71
1346364000,6.55,6.55,6.55,6.55,65
1346623200,6.55,6.55,6.55,6.55,10
1346709600,5.9,6.55,6.55,5.9,75
1346796000,6.55,6.55,6.55,6.55,10
1346882400,6.55,6,6.55,6,312
1346968800,5.99,5.98,5.99,5.98,110
1347228000,6,6,6,5.65,44
1347314400,6,5.57,6,5.42,1449
1347400800,5.97,5.97,5.97,5.97,5
1347487200,5.97,5.54,5.97,5.37,2586
1347573600,5.97,5.97,5.97,5.97,3
1347832800,5.45,4.8,5.97,4.8,3928
1347919200,4.84,5.25,5.25,4.84,510
1348005600,5.25,5.25,5.25,5.25,5
1348092000,5.6,5.19,5.6,4.96,1525
1348178400,5.2,5.2,5.2,5.2,13
1348437600,5.2,5.2,5.2,5.2,5
1348524000,5,5,5,4.5,239
1348610400,5,5,5,5,5
1348696800,5.25,5.25,5.25,5.25,1
1348783200,5.25,5.25,5.25,5.25,10
1349042400,5.25,5.25,5.25,5.25,4
