t,o,c,h,l,v
1389222000,11.3,11.5,11.64,11.01,113220
1389308400,11.5,11.62,11.62,11.34,23993
1389567600,11.47,12.37,12.47,11.47,19509
1389654000,12.1,12.24,12.37,12.1,12989
1389740400,11.85,12.15,12.29,11.85,3074
1389826800,12.19,11.75,12.19,11.75,6757
1389913200,11.7,11.65,12.25,11.55,12985
1390172400,12.06,11.9,12.06,11.72,3318
1390258800,11.99,12.27,12.28,11.9,13562
1390345200,12.29,12.44,12.49,12.11,18208
1390431600,12.42,12.45,12.48,12.23,2585
1390518000,12.3,12.25,12.48,12.01,4749
1390777200,12.25,12.45,12.45,11.8,3343
1390863600,12.05,12.3,12.48,12.05,3619
1390950000,12.18,12.4,12.44,12.15,4792
1391036400,12.35,12.4,12.4,12.34,2137
1391122800,12.47,12.96,12.96,12.4,18093
1391382000,12.61,12.7,12.9,12.61,2407
1391468400,12.62,12.89,12.9,12.62,10761
1391554800,12.89,12.94,13,12.89,5769
1391641200,13,13.08,13.2,13,10649
1391727600,13.19,12.85,13.2,12.85,4572
1391986800,13.09,12.8,13.09,12.8,5645
1392073200,13.05,13,13.05,12.8,785
1392159600,12.87,13,13,12.8,11883
1392246000,13,12.5,13.2,12.5,52344
1392332400,12.87,12.85,13.2,12.61,9496
1392591600,12.85,12.86,13,12.85,3669
1392678000,12.86,12.51,12.86,12.51,7214
1392764400,12.51,12.61,12.61,12.45,3307
1392850800,12.88,12.55,12.88,12.51,3332
1392937200,12.51,12.65,12.65,12.4,1309
1393196400,12.88,12.88,12.88,12.79,1750
1393282800,12.88,12.98,12.99,12.88,2600
1393369200,12.98,12.8,12.98,12.8,438
1393455600,12.8,12.79,12.8,12.79,1700
1393542000,12.79,12.85,12.87,12.51,1205
1393801200,12.6,12,12.6,11.4,24226
1393887600,11.9,12.25,12.3,11.9,3408
1393974000,12.35,12.1,12.48,12.1,3400
1394060400,12.5,12,12.5,12,4750
1394146800,12,12,12.2,12,1550
1394406000,12,11.62,12,11.62,4078
1394492400,11.81,11.7,11.81,11.69,707
1394578800,11.7,11.49,11.7,11.15,7451
1394665200,11.49,11.4,12,11.4,511
1394751600,11.41,11.48,11.59,10.95,6758
1395010800,11.48,11.79,11.79,11.48,1398
1395097200,11.7,11.99,11.99,11.51,20765
1395183600,12,12,12.2,11.71,353
1395270000,11.75,11.99,12,11.75,684
1395356400,11.52,11.99,11.99,11.52,45
1395615600,11.61,11.98,11.98,11.61,165
1395702000,11.77,12.03,12.03,11.76,2224
1395788400,12.03,12.2,12.2,12.03,925
1395874800,11.9,11.9,11.9,11.9,204
1395961200,11.83,12.05,12.05,11.83,696
1396216800,12.05,12.19,12.19,11.85,5333
1396303200,12,12.37,12.37,12,1300
1396389600,12,12.29,12.29,12,67
1396476000,12.02,12.02,12.29,12.02,2469
1396562400,12.2,12.19,12.2,12,596
1396821600,12.15,12.15,12.15,12.02,76
1396908000,12.15,12,12.15,12,958
1396994400,11.9,12,12,11.9,54
1397080800,12.01,12,12.01,12,330
1397167200,12.08,12.08,12.08,12.08,1
1397426400,12.1,11.98,12.1,11.6,2185
1397512800,11.6,11.2,12,11.2,1179
1397599200,11.94,11.79,11.94,11.32,652
1397685600,11.89,11.57,11.89,11.57,53
1398117600,11.3,11.8,11.85,11.3,489
1398204000,11.34,11.35,11.35,11.34,113
1398290400,11.36,11.34,11.36,11.34,561
1398376800,11.35,11.59,11.59,11.34,603
1398636000,11.55,11.5,11.55,11.2,936
1398722400,11.5,11.21,11.55,11.21,620
1398808800,0,11.21,11.21,11.21,0
1398981600,11.27,11.54,11.54,11.27,91
1399240800,11.28,10.9,11.28,10.9,2185
1399327200,10.32,10.9,11,10.32,311
1399413600,10.8,10.8,10.8,10.8,2000
1399500000,10.9,11.15,11.15,10.9,2236
1399586400,11.15,11.15,11.15,11.15,20
1399845600,0,11.15,11.15,11.15,0
1399932000,11.15,11.3,11.3,11,1453
1400018400,11.55,11.55,11.55,11,5190
1400104800,11.58,11.5,11.75,11.13,2355
1400191200,11.5,11.5,11.5,11,1460
1400450400,11.12,11.48,11.48,11.11,324
1400536800,11.01,11.45,11.45,11.01,230
1400623200,11.04,11.35,11.35,11.03,1006
1400709600,11.25,11.09,11.25,11.09,992
1400796000,11,11.19,11.2,11,1040
1401055200,11.1,11.04,11.1,11.01,671
1401141600,11,10.85,11,10.61,736
1401228000,10.85,10.85,10.85,10.85,1526
1401314400,10.82,10.5,10.82,10.42,1472
1401400800,11,10.65,11,10.65,1507
1401660000,11,11,11,11,1000
1401746400,11.05,11.13,11.2,10.6,8344
1401832800,11,11,11,11,20
1401919200,11.14,11.4,11.4,11.14,375
1402005600,0,11.4,11.4,11.4,0
1402264800,11.15,11.43,11.43,11.15,733
1402351200,11.15,11.26,11.5,11.15,1525
1402437600,11.26,11.34,11.34,11,1368
1402524000,11.34,11,11.34,11,1200
1402610400,11,10.9,11,10.9,500
1402869600,11.29,11.29,11.29,11.29,5
1402956000,11,11,11,11,172
1403042400,11.27,11.27,11.27,11.27,33
1403215200,10.9,11.28,11.28,10.8,435
1403474400,0,11.28,11.28,11.28,0
1403560800,0,11.28,11.28,11.28,0
1403647200,0,11.28,11.28,11.28,0
1403733600,11.25,11.23,11.25,10.7,338
1403820000,0,11.23,11.23,11.23,0
1404079200,0,11.23,11.23,11.23,0
1404165600,10.84,11.23,11.23,10.84,304
1404252000,11.2,11.2,11.2,11.2,20
1404338400,11.2,11.19,11.2,10.85,1338
1404424800,11.19,11.17,11.19,10.86,56
1404684000,11.16,11.1,11.17,11.1,160
1404770400,11.25,11.2,11.25,11.2,105
1404856800,11.25,11.25,11.25,11.25,397
1404943200,11.25,11,11.25,11,11
1405029600,11.15,10.86,11.15,10.86,42
1405288800,0,10.86,10.86,10.86,0
1405375200,10.9,10.9,10.9,10.9,1000
1405461600,10.9,10.86,10.9,10.86,961
1405548000,10.86,10.85,10.86,10.8,612
1405634400,0,10.85,10.85,10.85,0
1405893600,10.51,10.8,10.8,10.51,34
1405980000,0,10.8,10.8,10.8,0
1406066400,10.46,10.6,10.7,10.46,775
1406152800,10.79,10.46,10.79,10.46,507
1406239200,10.41,10.41,10.41,10.41,12
1406498400,9.92,10.39,10.39,9.92,117
1406584800,10.3,10.8,10.8,10.3,1682
1406671200,10.8,10.8,10.8,10.4,185
1406757600,9.8,10.8,10.8,9.8,11421
1406844000,10.8,10.8,10.8,10.8,10
1407103200,10.92,10.89,10.98,10.89,2498
1407189600,11,11,11,11,5
1407276000,10.7,10.7,10.7,10.7,10
1407362400,10.48,10.98,10.98,10.48,308
1407448800,0,10.98,10.98,10.98,0
1407708000,10.42,10.86,10.86,10.42,160
1407794400,10.98,10.98,10.98,10.98,30
1407880800,10.41,10.37,10.41,10.37,786
1407967200,10.36,10.89,10.89,10.36,1020
1408312800,10.97,10.97,10.97,10.97,505
1408399200,10.92,10.86,10.92,10.47,334
1408485600,10.85,10.7,10.85,10.47,46
