t,o,c,h,l,v
1181080800,10.3,10.38,10.6,10.2,49361
1181253600,10.25,10.08,10.25,10.03,23078
1181512800,10.1,10.25,10.3,10.1,25895
1181599200,10.25,10.2,10.25,10.18,52785
1181685600,10.31,10.3,10.41,10.16,32890
1181772000,10.35,10.3,10.35,10.25,19118
1181858400,10.37,10.2,10.37,10,18821
1182117600,10.28,10.2,10.29,10.16,38882
1182204000,10.2,10.9,10.95,10.16,78197
1182290400,10.85,10.5,11,10.33,65827
1182376800,10.39,10.34,10.5,10.25,45477
1182463200,10.35,10.4,10.48,10.35,51505
1182722400,10.51,10.49,10.51,10.35,39019
1182808800,10.4,10.58,10.58,10.4,9906
1182895200,10.64,10.38,10.64,10.38,16875
1182981600,10.38,10.4,10.75,10.38,33547
1183068000,10.4,10.32,10.4,10.3,14427
1183327200,10.26,10.22,10.26,10.22,10557
1183413600,10.2,10.67,10.7,10.2,99897
1183500000,10.65,10.6,10.65,10.5,11459
1183586400,10.65,10.52,10.65,10.5,16529
1183672800,10.6,10.59,10.6,10.55,8170
1183932000,10.65,10.55,10.65,10.5,24475
1184018400,10.5,10.42,10.55,10.4,11720
1184104800,10.4,10.35,10.4,10.01,6150
1184191200,10.45,10.43,10.52,10.34,13250
1184277600,10.32,10.45,10.45,10.32,10343
1184536800,10.34,10.25,10.34,10.1,9974
1184623200,10.14,10.35,10.35,10.11,5252
1184709600,10.25,10.32,10.32,10.2,6595
1184796000,10.22,10.49,10.49,10.22,7619
1184882400,10.5,10.07,10.5,10.07,11435
1185141600,10.18,10.05,10.18,10.04,47547
1185228000,10.16,10.16,10.18,10.16,5251
1185314400,10.05,10,10.05,9.5,11448
1185400800,9.9,9.45,9.9,9.4,97559
1185487200,9,9.25,9.25,8.9,38287
1185746400,9.35,9.35,9.6,9.26,12253
1185832800,9.36,9.35,9.5,9.2,19654
1185919200,9.25,9,9.25,9,12850
1186005600,9.03,9.22,9.22,9,5490
1186092000,9.31,9.2,9.31,9.13,3179
1186351200,9.29,9.28,9.4,9.12,12884
1186437600,9.34,9.6,9.8,9.34,24678
