t,o,c,h,l,v
1530136800,27,27.4,27.5,26.5,17684
1530223200,27.4,28,28,26.5,4201
1530482400,28.4,28,28.5,28,1378
1530568800,28,27.95,28,27.5,391
1530655200,28,28,28,28,4589
1530741600,28,28,28,28,351
1530828000,28.5,27.3,28.5,27.3,562
1531087200,28,28,28,28,6
1531173600,27,28,28,26,651
1531260000,28,27.9,28,27,58197
1531346400,27,28,28,26.2,2387
1531432800,27.5,29,29,27.5,2500
1531692000,29,28,29,28,119
1531778400,28.15,28.45,28.45,27.35,774
1531864800,28.4,28.4,28.4,27.4,685
1531951200,0,28.4,28.4,28.4,0
1532037600,28.42,28.42,28.42,28.42,40
1532296800,28.3,28.4,28.4,27.5,605
1532383200,27.01,29,29,27.01,2191
1532469600,29,29.6,29.6,28.4,1430
1532556000,29.9,29.8,29.9,28.2,555
1532642400,29.8,32,32,29,4045
1532901600,31.8,32.3,33,31.8,992
1532988000,32.2,32,32.2,29,4166
1533074400,32,32.1,32.1,32,1015
1533160800,32.3,32.3,32.3,32.3,1285
1533247200,32.4,32,32.6,32,935
1533506400,32,32.09,32.19,31.8,330
1533592800,32.24,32.98,32.98,32.24,400
1533679200,32.98,34.5,35,32,1360
1533765600,36.5,34.6,39,34.5,3030
1533852000,34.5,34.35,34.5,34.2,296
1534111200,34.35,33.97,34.5,33.5,1243
1534197600,34.1,34,34.1,33.97,864
1534370400,34,34,34.5,34,875
1534456800,33.5,33.5,33.6,33.5,1744
1534716000,33.2,33.3,33.3,33.2,231
1534802400,33.3,33.8,33.8,33.3,315
1534888800,33.8,33.5,33.8,30.6,583
1534975200,33.3,33.3,33.5,33.3,579
1535061600,33.3,33.3,33.33,33.3,239
1535320800,33.3,33.5,33.5,33.3,170
1535407200,33.4,33.4,33.4,33.4,15
1535493600,33.3,33.5,33.5,32,786
1535580000,33.4,33.2,33.4,32.25,247
1535666400,32.35,30.4,32.35,30.3,2847
1535925600,30,26.02,30,26.02,1330
1536012000,26.95,24.4,26.95,22.02,2842
1536098400,25,25.4,25.5,23.8,944
1536184800,25.4,24.9,25.4,24.22,1053
1536271200,24.8,24.3,24.9,23.9,1887
1536530400,24.3,24.03,24.9,24.03,1052
1536616800,24,24,24,23.85,496
1536703200,24,24.19,24.19,24,85
1536789600,24.19,24.2,24.2,24.19,130
1536876000,24.46,24,24.46,24,116
1537135200,24.46,24.7,24.7,24.46,100
1537221600,24.7,23.8,24.7,23.8,35
1537308000,24.6,24.6,24.6,24.6,40
