t,o,c,h,l,v
891900000,0,31.4,31.4,31.4,61554
891986400,0,30.4,30.4,30.4,30954
892072800,0,29,29,29,20988
892504800,0,28,28,28,16101
892591200,0,28.5,28.5,28.5,12113
892677600,0,29.4,29.4,29.4,7633
892764000,0,29,29,29,7874
893023200,0,30,30,30,8648
893109600,0,28,28,28,7107
893196000,0,28.1,28.1,28.1,9118
893282400,0,28.5,28.5,28.5,6388
893368800,0,29.7,29.7,29.7,11567
893628000,0,29,29,29,11882
893714400,0,28,28,28,11943
893800800,0,28,28,28,6372
893887200,0,28,28,28,4329
894232800,0,28,28,28,4396
894319200,0,28,28,28,8314
894405600,0,27,27,27,3740
894492000,0,27,27,27,4004
894578400,0,25.9,25.9,25.9,14891
894837600,0,26.1,26.1,26.1,9033
894924000,0,26,26,26,6438
895010400,0,23.5,23.5,23.5,11497
895096800,0,23.5,23.5,23.5,13581
895183200,0,23.5,23.5,23.5,12195
895442400,0,23.4,23.4,23.4,3682
895528800,0,23,23,23,7562
895615200,0,20.7,20.7,20.7,15723
895701600,0,22.5,22.5,22.5,26049
895788000,0,23.4,23.4,23.4,26637
896047200,0,22,22,22,4047
896133600,0,21.9,21.9,21.9,8893
896220000,0,21,21,21,11880
896306400,0,20,20,20,16049
896392800,0,20.6,20.6,20.6,9990
896652000,0,19.9,19.9,19.9,8464
896738400,0,18.5,18.5,18.5,11469
896824800,0,18.7,18.7,18.7,16333
896911200,0,19.5,19.5,19.5,16682
896997600,0,19.3,19.3,19.3,14918
897256800,0,19.5,19.5,19.5,8267
897343200,0,19.5,19.5,19.5,13047
897429600,0,18.9,18.9,18.9,10425
897861600,0,17.1,17.1,17.1,11718
897948000,0,17,17,17,21188
898034400,0,18.6,18.6,18.6,7515
898120800,0,19,19,19,19933
898207200,0,19.6,19.6,19.6,18402
898466400,0,20.5,20.5,20.5,16954
898552800,0,21.4,21.4,21.4,13779
898639200,0,21,21,21,13816
898725600,0,22,22,22,11915
898812000,0,22.5,22.5,22.5,12579
899071200,0,23,23,23,9033
899157600,0,23,23,23,7154
899244000,0,23.5,23.5,23.5,8581
899330400,0,23,23,23,4203
899416800,0,22,22,22,6382
899676000,0,22.7,22.7,22.7,10698
899762400,0,23.2,23.2,23.2,14946
899848800,0,23,23,23,7541
899935200,0,23,23,23,4059
900021600,0,21.5,21.5,21.5,4352
900280800,0,23.4,23.4,23.4,6997
900367200,0,23.8,23.8,23.8,13460
900453600,0,23.5,23.5,23.5,10885
900540000,0,23,23,23,6033
900626400,0,23.6,23.6,23.6,4879
900885600,0,24.4,24.4,24.4,12277
900972000,0,24,24,24,11869
901058400,0,22.5,22.5,22.5,7285
901144800,0,22,22,22,4972
901231200,0,22.6,22.6,22.6,8177
901490400,0,22,22,22,7302
901576800,0,21,21,21,7929
901663200,0,20,20,20,10759
901749600,0,21,21,21,10364
901836000,0,20.5,20.5,20.5,4890
902095200,0,19.4,19.4,19.4,12086
902181600,0,18.7,18.7,18.7,10174
902268000,0,18.7,18.7,18.7,15478
