t,o,c,h,l,v
1171321200,28,28,28,27.1,26487
1171407600,28,28.1,28.3,28,37239
1171494000,28.2,28.86,28.86,28.2,27365
1171580400,28.8,29,29.3,28.1,24671
1171839600,29.05,28.74,29.15,28.5,11478
1171926000,28.9,28.6,29,28.5,22839
1172012400,28.5,28.75,28.8,28.5,3732
1172098800,28.5,28.6,28.65,28.5,3956
1172185200,28.6,30,31,28.6,104041
1172444400,30.45,30,30.5,29.71,19707
1172530800,30,28.5,30,27.5,37436
1172617200,27,29.5,29.7,27,27467
1172703600,29,29.6,29.98,29,22993
1172790000,29.9,29.85,29.9,29.06,3658
1173049200,28.9,28.9,29,28.51,7188
1173135600,29.5,29.98,29.99,28.9,8498
1173222000,29.99,34,34.5,29.99,71458
1173308400,35.86,36.96,38.9,35.5,89191
1173394800,36.8,36.2,36.89,35.1,27536
1173654000,36.2,38.4,38.49,36.2,44970
1173740400,38.4,40.4,43.49,38,52200
1173826800,38.6,42,42,38.36,49207
1173913200,44.8,44.72,45,43,43866
1173999600,44.95,44.81,45.2,43.2,34378
1174258800,45,44.85,45,42.81,14879
1174345200,44.85,44.55,45,44.03,16318
1174431600,44.55,43.99,44.55,43.01,15193
1174518000,44,44.2,44.9,42.8,23262
1174604400,43.75,43,44,40.1,15911
1174860000,41.91,41.7,42.4,41.6,12880
1174946400,41.8,41.5,42.5,41,9459
1175032800,41.5,40.1,42,40.1,18729
1175119200,40.16,39.5,40.79,39.04,15112
1175205600,39.6,40.1,40.2,39.6,10733
1175464800,40.4,43,43.75,40,23550
1175551200,43,42.2,43.49,41.5,15117
1175637600,42.3,45.5,46.5,41.01,57951
1175724000,46,45.5,46.48,45.1,26398
1176156000,47,45.29,49.5,44.15,62500
1176242400,45,44,45,42.8,29915
1176328800,42.6,41.5,43.05,41.1,25728
1176415200,41.55,43.5,44,41.5,14050
1176674400,42.8,43.3,43.55,42.5,14597
1176760800,43.29,42.9,43.29,41.6,10249
1176847200,42.6,41.8,42.6,41.6,16036
1176933600,41.69,41.6,41.69,40.3,11335
1177020000,41,42,42.75,41,5879
1177279200,41.22,41.02,41.5,40.5,15663
1177365600,40.61,42.5,42.5,40.61,8523
1177452000,42.54,43.7,43.79,42.1,17340
1177538400,45,43.99,45.5,43.41,18140
1177624800,44,44.01,44.18,43,15672
1177884000,43.5,44.18,44.18,41.74,12566
1178056800,44.4,44,44.5,43.95,4305
1178229600,43.5,43.6,43.89,42.2,2189
1178488800,43.85,44.05,44.15,43.8,6387
1178575200,44.14,42,44.76,42,14697
1178661600,41.5,40.5,41.9,40.05,9191
1178748000,40,38.2,40.5,38.2,30168
1178834400,35.2,37,37.98,35.2,19391
1179093600,37.25,36.85,39.44,36.82,6860
1179180000,37.2,36.1,38.48,36,11936
1179266400,36.3,35.9,37,35.8,8218
1179352800,35.91,34.31,36.8,34,48412
1179439200,34.21,35.4,35.5,34.01,6223
1179698400,37,35.7,37,35.4,11882
1179784800,36,35.5,36,34.02,6739
1179871200,36.66,36,38.5,35.5,24764
1179957600,36.69,37.79,38.49,36.6,12465
1180044000,38.3,37.79,38.3,37,17186
1180303200,38.14,37.8,38.3,36.5,5166
1180389600,37.55,37.49,37.9,36.6,8113
1180476000,37.09,37.8,38,37,15657
1180562400,38,39.07,40.45,37.32,36818
1180648800,40.4,39.7,40.45,39.1,8720
1180908000,40.49,39.4,40.49,38.21,4102
1180994400,40.13,39.7,40.13,39,4744
1181080800,39.5,38.32,39.5,38.21,107263
1181253600,37.05,36.85,37.5,36.81,15325
1181512800,37.49,37,37.49,36.2,11597
1181599200,36.36,37,37.29,36.36,12352
1181685600,36.4,36.99,37,36.21,768
1181772000,36.45,36.5,37.37,36.45,4194
1181858400,36.45,37.2,37.35,36.45,6257
1182117600,38,36.85,38,36.6,6004
1182204000,36.8,36.99,36.99,36.67,2379
1182290400,37,36.7,37.27,36.6,1945
1182376800,36.7,37,37,36.7,6057
1182463200,37.01,37,37.99,36.9,5563
1182722400,37.1,37.2,37.49,36.9,4583
1182808800,37,38.9,38.9,37,6658
1182895200,38.5,37.21,38.9,37.21,5179
1182981600,37.11,37,37.77,36.8,3179
1183068000,37.3,36.7,37.3,35.5,2572
1183327200,36.7,35.8,36.7,35.55,953
1183413600,35.3,36,37,35.3,2602
1183500000,35.81,35.69,35.81,35.02,3948
1183586400,36.35,35.28,36.35,35.21,5308
1183672800,35.26,33.95,35.26,33.9,28250
1183932000,34.3,33.9,34.5,33.55,21693
1184018400,33.8,33.71,35,33.2,17784
1184104800,33.51,35,35,33.51,131179
1184191200,35,37.2,37.2,34.9,19929
1184277600,38,35.6,39,35.5,13410
1184536800,36,35,36.4,34.11,30305
1184623200,35.32,37.3,37.8,34.6,5210
1184709600,37.55,37.4,37.6,36.11,3345
