t,o,c,h,l,v
1281391200,0,103,103,103,0
1281477600,105,115,115.6,105,146
1281564000,0,115,115,115,0
1281650400,99,105,113,98,593
1281909600,105,105,105,105,50
1281996000,0,105,105,105,0
1282082400,110,110,110,110,2
1282168800,0,110,110,110,0
1282255200,0,110,110,110,0
1282514400,110,115,115,110,591
1282600800,115,115,115,115,101
1282687200,0,115,115,115,0
1282773600,0,115,115,115,0
1282860000,0,115,115,115,0
1283119200,115,115,115,115,8
1283205600,0,115,115,115,0
1283292000,115,115,115.1,114.5,202
1283378400,115,117.5,117.5,114.9,902
1283464800,117.5,117.4,117.5,116,1750
1283724000,117.5,117.4,117.5,117.4,1475
1283810400,117.4,118,118,117.4,1843
1283896800,118,118.7,118.7,118,1442
1283983200,118.7,119.5,119.5,118.7,3693
1284069600,119.5,119.5,119.5,119.5,1210
1284328800,120,120,120,120,860
1284415200,120,125,125,120,41
1284501600,129.3,129.3,129.3,129.3,30
1284588000,129.5,129.5,129.5,129.5,1
1284674400,0,129.5,129.5,129.5,0
1284933600,129,129,129,129,15
1285020000,0,129,129,129,0
1285106400,128.5,127.5,128.5,127.5,810
1285192800,127.5,127.5,127.5,127.5,1600
1285279200,125,125,126,124,1518
1285538400,129,129,129,129,579
1285624800,127,129.9,130,127,3647
1285711200,129,129,129,128,59
1285797600,130,130,130,129,5110
1285884000,130.3,130.3,130.3,130.2,4965
1286143200,130.3,130.3,130.3,130.3,3
1286229600,128.5,128.5,128.5,128.5,3
1286316000,130.4,131.5,131.5,130.4,2080
1286402400,131.8,131.5,132,131.5,8085
1286488800,126,131.6,131.6,125,4981
1286748000,132.4,133.1,133.1,131,5951
1286834400,133.5,134.2,134.2,133.5,2105
1286920800,135.7,138.9,139.2,135.7,2057
1287007200,139,139.2,139.9,135.2,411
1287093600,139.5,139.9,139.9,139.5,70
1287352800,135,135,139.5,134,232
1287439200,135,135,135,134.1,1807
1287525600,133,135,135,130,647
1287612000,135,136.9,136.9,135,386
1287698400,135,135,135,135,250
1287957600,139,137,139,137,46
1288044000,138.8,138.8,138.8,138.8,1
1288130400,139,135,139,135,31
1288216800,139,139,139,139,1
1288303200,137.5,137.5,137.5,133,45
1288652400,135,137,137,135,1298
1288738800,135,136.8,137,133,31
1288825200,132,137.4,137.4,132,5546
1288911600,135,137.4,137.4,134.5,80
1289170800,137.45,138.8,138.8,134,3076
1289257200,138.8,138.8,138.8,138.8,601
1289343600,138.45,138.9,138.9,135,522
1289516400,138.8,139,139,135,439
1289775600,139,139,139,139,3
1289862000,139,139,139,139,100
1289948400,139,139,139,139,102
1290034800,141.4,141.85,141.85,141.4,87
1290121200,141,141.5,141.5,141,108
1290380400,0,141.5,141.5,141.5,0
1290466800,140,146,146,139,10110
1290553200,149.85,150,150,149.85,55
1290639600,162,162,162,162,1
1290726000,161,162,162,161,10000
1290985200,162,162,162,162,10000
1291071600,161.9,162,167,161.9,341
1291158000,162,162,162,162,6
1291244400,162,162,162,162,1
1291330800,162,162,162,162,1
1291590000,0,162,162,162,0
1291676400,162,162,162,162,15
1291762800,162,162,162,162,1
1291849200,159.9,160,160,159.9,4
1291935600,0,160,160,160,0
1292194800,150,159.9,159.9,150,12
1292281200,138,159.85,159.85,137.5,9
1292367600,0,159.85,159.85,159.85,0
1292454000,158.95,158.95,158.95,158.95,1
1292540400,158.95,158.95,158.95,158.95,3
1292799600,158.9,158.9,158.9,158.9,2
1292886000,158.9,158.9,158.9,158.9,1
1292972400,158.8,158.8,158.8,139.01,405
1293058800,158.8,158,158.8,139,8
1293404400,150,157.95,157.95,150,52
1293490800,158,156.45,158,139.01,31
1293577200,156,156.4,156.4,156,63
1293663600,155,155,155,155,5
1293750000,155,155,155,155,5
1294009200,148,155,155,148,13
1294095600,155,155,155,155,1
1294182000,155,155,155,155,31
1294354800,150,154,154,149,51
1294614000,150,150,150,150,5
1294700400,150,150,150,150,1
1294786800,149,149,149,149,1
1294873200,137,144.4,144.9,132,225
1294959600,144,144,144,144,1
1295218800,0,144,144,144,0
1295305200,143.5,143.5,143.5,143.5,4
1295391600,144,140,144,130,86
1295478000,0,140,140,140,0
1295564400,130,139,139.5,130,55
1295823600,139,138.8,139,130,34
1295910000,0,138.8,138.8,138.8,0
1295996400,138.5,138.5,138.5,138.5,5
1296082800,138.5,138.5,138.5,138.5,3
1296169200,138.5,138.5,138.5,138.5,2
1296428400,130.5,136,136,120,1518
1296514800,125,128,130,120,269
1296601200,126,130,130,126,229
1296687600,125,127,127,120,127
1296774000,120.2,127,127,120,89
