t,o,c,h,l,v
1187042400,6.18,6,6.18,5.96,11121
1187215200,5.9,5.1,5.9,4.76,41408
1187301600,5.5,5.5,5.5,4.9,28955
1187560800,5.39,5.83,6.07,5.39,11895
1187647200,5.75,5.68,5.75,5.5,5277
1187733600,5.5,5.69,5.69,5.5,5548
1187820000,5.64,5.55,5.69,5.45,31049
1187906400,5.5,5.37,5.57,5.35,13544
1188165600,5.55,5.68,5.97,5.35,77927
1188252000,5.46,5.3,5.75,5.3,51944
1188338400,5.2,5,5.25,4.98,121021
1188424800,5.12,5,5.25,4.9,72903
1188511200,5.1,5.06,5.15,5.03,15665
1188770400,5.1,5.08,5.19,5,27146
1188856800,5.06,5.09,5.1,4.97,17876
1188943200,5.05,4.95,5.09,4.95,11960
1189029600,5.05,5.04,5.05,4.85,13905
1189116000,5.03,4.99,5.05,4.9,11208
1189375200,4.8,4.93,4.98,4.72,6395
1189461600,4.93,4.89,4.93,4.77,20084
1189548000,4.75,4.7,4.76,4.5,13462
1189634400,4.7,4.85,4.85,4.7,6696
1189720800,4.84,4.82,4.84,4.65,2432
1189980000,4.71,4.65,4.79,4.6,8177
1190066400,4.65,4.43,4.65,4.43,44751
1190152800,4.53,4.57,4.75,4.5,51832
1190239200,4.53,4.57,4.62,4.5,11593
1190325600,4.5,4.6,4.6,4.41,27709
1190584800,4.6,4.54,4.6,4.5,17193
1190671200,4.6,4.58,4.65,4.45,46556
1190757600,4.65,4.64,4.7,4.56,13692
1190844000,4.65,4.65,4.69,4.54,16304
1190930400,4.54,4.55,4.6,4.45,14667
1191189600,4.45,4.49,4.58,4.4,25541
1191276000,4.5,4.43,4.5,4.35,15335
1191362400,4.42,4.47,4.48,4.36,28108
1191448800,4.59,4.45,4.59,4.36,8948
1191535200,4.45,4.89,5.08,4.4,87728
1191794400,4.99,4.93,5.09,4.9,41377
1191880800,4.98,4.86,5,4.8,13608
1191967200,5,4.91,5,4.82,12920
1192053600,4.94,5.01,5.06,4.85,20382
1192140000,5.04,5.13,5.23,4.87,30609
1192399200,5.14,5.02,5.18,4.95,20913
1192485600,5.05,5.27,5.35,5.05,63044
1192572000,5.35,7.03,7.03,5.19,380257
1192658400,7,6.65,7.48,6.45,574792
1192744800,6.74,6.7,7.1,6.26,176255
1193004000,6.4,6.58,6.85,6.25,76772
1193090400,6.6,6.69,7,6.49,77188
1193176800,6.51,6.35,6.79,6.3,48206
1193263200,6.2,5.93,6.35,5.81,42134
1193349600,5.95,6.21,6.35,5.95,42601
1193612400,6.21,6.5,6.75,6,75597
1193698800,6.55,6.46,6.59,6.31,26665
1193785200,6.46,6.5,6.5,6.25,26748
1193958000,6.3,6.39,6.45,6.27,27672
1194217200,6.3,6.28,6.3,6.1,20427
1194303600,6.26,6.09,6.39,6,15468
1194390000,6.15,5.9,6.2,5.54,35443
1194476400,5.5,5.85,5.85,5.3,26866
1194562800,5.99,5.68,5.99,5.5,12686
1194822000,5.4,5.55,5.68,5.4,14201
1194908400,5.68,5.85,5.95,5.47,33775
1194994800,5.99,5.75,5.99,5.66,16746
1195081200,5.73,4.98,5.73,4.7,144056
1195167600,4.95,4.99,5.2,4.6,17451
1195426800,4.95,4.65,4.95,4.65,52785
1195513200,4.56,4.7,4.83,4.45,26372
1195599600,4.6,3.9,4.66,3.9,20989
1195686000,3.86,4.6,4.67,3.6,103399
1195772400,4.7,4.68,4.7,4.42,33559
1196031600,4.76,4.7,4.88,4.59,20149
1196118000,4.67,4.7,4.7,4.6,4523
1196204400,5.4,5.06,5.4,4.9,57170
1196290800,5.27,4.95,5.27,4.8,30261
1196377200,4.99,5.04,5.12,4.8,21312
1196636400,5.05,4.62,5.05,4.6,31620
1196722800,4.8,4.62,4.83,4.6,26540
1196809200,4.8,4.75,4.8,4.54,27813
1196895600,4.75,4.7,4.85,4.7,13891
1196982000,4.6,4.8,4.85,4.6,10947
1197241200,4.85,4.84,4.9,4.7,6485
1197327600,4.71,4.75,4.75,4.7,8963
1197414000,4.51,4.7,4.7,4.47,8528
1197500400,4.89,4.69,4.89,4.55,3480
1197586800,4.69,4.64,4.69,4.51,6869
1197846000,4.45,4.34,4.5,4.2,23602
1197932400,4.4,4.15,4.4,4,18075
1198018800,4.16,4.1,4.17,4.06,12452
1198105200,4.07,4.09,4.13,4,28692
1198191600,4.12,4.05,4.13,4.01,62074
1198710000,4.06,4.16,4.21,4.05,4190
1198796400,4.24,4.16,4.25,4.1,11780
1199228400,4.3,4.36,4.55,4.25,12075
1199314800,4.33,4.4,4.4,4.26,3685
1199401200,4.48,4.59,4.8,4.35,17464
1199660400,4.55,4.33,4.55,4.27,6957
1199746800,4.5,4.49,4.5,4.39,10942
1199833200,4.38,4.41,4.49,4.15,5253
1199919600,4.3,4.39,4.54,4.3,9082
1200006000,4.3,4.3,4.46,4.3,8569
1200265200,4.11,4.04,4.11,3.8,32325
1200351600,4.1,3.93,4.1,3.9,7355
1200438000,3.8,3.7,3.8,3.36,14950
1200524400,3.7,3.88,3.88,3.55,3786
1200610800,3.9,4.35,4.35,3.8,12555
1200870000,4.38,4.24,4.38,3.92,4752
1200956400,3.92,4.1,4.2,3.8,4605
1201042800,4.24,4.05,4.25,4,2217
1201129200,4.14,4.18,4.24,3.95,10209
1201215600,4.27,4.2,4.27,4.1,5825
1201474800,4,4.18,4.2,4,5896
1201561200,4.03,4.18,4.19,4.03,15111
1201647600,4.25,4.09,4.27,4,8146
1201734000,4.05,4.09,4.09,3.99,3235
1201820400,4.09,4.16,4.16,4.09,4349
1202079600,3.75,3.92,4.19,3.75,21362
1202166000,4.1,3.95,4.17,3.71,2369
1202252400,3.8,4.1,4.15,3.65,3530
1202338800,3.95,4.05,4.05,3.85,6589
1202425200,3.9,3.95,4,3.9,1212
1202684400,3.98,4.05,4.05,3.98,2674
1202770800,4.05,4.1,4.1,3.99,3370
1202857200,4.15,4.04,4.15,3.9,16400
1202943600,4.05,4.09,4.09,3.95,4669
1203030000,4,3.85,4,3.82,39261
1203289200,3.84,3.81,3.84,3.81,5539
1203375600,3.82,3.84,3.84,3.67,8209
1203462000,3.75,3.75,3.84,3.61,6710
1203548400,3.8,3.84,3.84,3.7,2902
1203634800,3.75,3.84,3.84,3.75,10520
