t,o,c,h,l,v
1184796000,47,56,59.5,47,1251586
1184882400,56,52,56,52,138335
1185141600,50.5,51,53,50.15,36236
1185228000,50.95,52,52.95,50,33952
1185314400,52.5,50,52.5,49.5,99701
1185400800,50.5,49.01,50.5,48.6,13508
1185487200,49,49,49,46.2,17064
1185746400,48,48,48.4,47,4144
1185832800,48,50.6,51.5,48,78246
1185919200,50.6,49.75,50.6,47.2,8515
1186005600,50,49.1,50.3,49.1,88773
1186092000,49.9,49,49.95,49,1301
1186351200,48,46,48,46,6076
1186437600,47,47.6,48.4,46,65650
1186524000,48,47.8,48.8,47.7,1524
1186610400,48.4,47.45,48.4,47.4,6152
1186696800,45.7,46,47.1,43.5,10213
1186956000,46,47.9,48,46,1157
1187042400,48.1,46.35,48.1,46.35,333
1187215200,43.44,40,43.7,39.11,16797
1187301600,40,40,41.2,39,12043
1187560800,43,40,43,40,3722
1187647200,41,39,41,37.78,2236
1187733600,39,43,44,39,27201
1187820000,46.5,44.7,46.5,44.7,70703
1187906400,46.5,45.9,46.5,45.8,1244
1188165600,45.8,46,47.8,45,2750
1188252000,47,45.8,47,44,496
1188338400,43,44.7,44.99,43,7946
1188424800,45,45.1,45.12,45,5749
1188511200,44.1,45.11,45.5,44.1,599
1188770400,46,46.5,46.5,45.7,2263
1188856800,46.6,46.5,46.6,46,1963
1188943200,45.7,46.4,46.4,45.7,2645
1189029600,46.5,46.9,46.9,45,49410
1189116000,47,47,47,43.5,2496
1189375200,43.11,46.5,46.5,43.11,1681
1189461600,46.8,46.8,46.8,46.8,590
1189548000,45.01,46.39,46.39,45,51
1189634400,46.69,46.48,46.69,45.49,619
1189720800,46,45.5,46,44.2,389
1189980000,45,45.99,45.99,45,171
1190066400,45.2,46.4,46.4,45.2,538
1190152800,46.4,45.5,46.48,44.55,1948
1190239200,44.7,45.35,45.39,44.1,283
1190325600,45,46,46.1,45,1920
1190584800,46,46.2,47.5,46,5480
1190671200,46.5,46.49,46.5,46.2,618
1190757600,46.49,46.5,47,46.1,1016
1190844000,46.99,46.2,47,46.2,819
1190930400,46.5,46.7,47.2,46.5,53839
1191189600,46.5,47,47.4,46.5,1547
