t,o,c,h,l,v
1513638000,8.15,7.7,8.6,7,142317
1513724400,7.85,7.35,7.88,7.07,79847
1513810800,7.35,7.05,7.45,7,37429
1513897200,7.35,7.2,7.35,6.86,37635
1514329200,7.13,6.93,7.13,6.85,24452
1514415600,6.93,7.07,7.07,6.85,27407
1514502000,7.07,6.9,7.07,6.8,34800
1514934000,6.9,6.92,7.09,6.85,7115
1515020400,6.99,6.94,6.99,6.9,3886
1515106800,6.94,6.89,6.97,6.85,19036
1515366000,6.87,6.59,6.89,6.25,27903
1515452400,6.6,6.31,6.6,6.31,221918
1515538800,6.44,6.5,6.5,6.25,25603
1515625200,6.5,6.58,6.58,6.45,13894
1515711600,6.59,6.5,6.62,6.45,4886
1515970800,6.4,6.45,6.5,6.26,9735
1516057200,6.26,6.4,6.44,6.26,6484
1516143600,6.4,6.24,6.4,5.92,49195
1516230000,6.11,6.2,6.25,5.76,74795
1516316400,6.2,6.22,6.31,5.98,20858
1516575600,6.22,6.48,6.54,6.19,18584
1516662000,6.7,6.65,6.7,6.5,18151
1516748400,6.65,6.65,6.65,6.57,12974
1516834800,6.65,6.59,6.65,6.59,2890
1516921200,6.52,6.54,6.54,6.42,6444
1517180400,6.59,6.6,6.6,6.42,11533
1517266800,6.6,6.88,6.9,6.6,12832
1517353200,6.92,6.94,7,6.67,8343
1517439600,6.96,7,7.19,6.96,11406
1517526000,6.9,6.9,6.9,6.87,440
1517785200,6.8,6.9,7,6.61,5367
1517871600,6.61,6.75,6.78,6.6,5738
1517958000,6.65,6.85,6.85,6.65,2489
1518044400,6.9,6.9,6.9,6.7,2632
1518130800,6.6,6.58,6.78,6.5,7523
1518390000,6.8,6.8,6.8,6.79,7879
1518476400,6.86,6.8,6.86,6.8,1425
1518562800,6.86,6.8,6.86,6.75,315
1518649200,6.86,6.8,6.86,6.8,10011
1518735600,6.84,6.81,6.86,6.76,5198
1518994800,6.8,6.8,6.86,6.8,2678
1519081200,6.86,6.8,6.86,6.8,915
1519167600,6.79,6.78,6.79,6.65,1993
1519254000,6.73,6.85,6.85,6.65,1345
1519340400,6.86,6.8,6.86,6.8,499
1519599600,6.7,6.74,6.74,6.55,1665
1519686000,6.7,6.55,6.7,6.55,2088
1519772400,6.55,6.68,6.75,6.55,1898
1519858800,6.56,6.5,6.63,6.5,1829
1519945200,6.5,6.2,6.5,5.9,6888
1520204400,5.92,6.1,6.3,5.92,4820
1520290800,6.1,6.25,6.29,6.02,434
1520377200,6.29,6.29,6.29,6.29,1
1520463600,6.29,6.25,6.29,6.25,283
1520550000,6.3,6.3,6.3,6.1,2130
1520809200,6.15,6.15,6.15,6.13,2550
1520895600,6.16,5.97,6.2,5.95,2388
1520982000,6.2,6.15,6.2,6.15,31
1521068400,6.3,6.05,6.3,6.04,771
1521154800,6.06,6.16,6.16,6.02,345
1521414000,6.02,6.25,6.3,6.02,1443
1521500400,6.04,6.3,6.3,6,5490
1521586800,6,6.2,6.2,6,2225
1521673200,0,6.2,6.2,6.2,0
1521759600,6.01,5.88,6.15,5.87,3479
1522015200,5.88,6.05,6.15,5.88,10326
1522101600,6.18,5.95,6.18,5.95,6279
1522188000,6.18,5.75,6.18,5.7,2923
1522274400,5.9,5.74,5.9,5.74,5555
1522706400,5.74,5.7,5.89,5.69,12369
1522792800,5.5,5.74,5.79,5.16,8474
1522879200,5.73,5.74,5.74,5.48,1849
1522965600,5.6,5.64,5.64,5.6,1550
1523224800,5.63,5.7,5.7,5.63,1665
1523311200,5.73,5.8,5.8,5.73,718
1523397600,5.79,5.73,5.79,5.73,1764
1523484000,5.74,5.73,5.74,5.73,833
1523570400,5.6,5.69,5.7,5.5,4914
1523829600,5.56,5.56,5.7,5.5,15163
1523916000,5.56,5.74,5.74,5.56,8666
1524002400,5.73,5.72,5.73,5.65,2556
1524088800,5.73,5.73,5.73,5.73,1535
1524175200,5.7,5.63,5.7,5.5,14152
1524434400,5.5,5.65,5.74,5.5,4148
1524520800,5.65,5.65,5.72,5.65,1638
1524607200,5.65,5.74,5.74,5.58,20887
1524693600,5.7,5.73,5.73,5.7,201
1524780000,5.74,5.82,5.82,5.61,16281
1525039200,5.7,5.89,5.89,5.5,6771
1525212000,5.88,5.74,5.88,5.61,843
1525384800,5.71,5.84,5.85,5.6,4421
1525644000,5.68,5.8,5.8,5.68,3982
1525730400,0,5.8,5.8,5.8,0
1525816800,5.73,5.72,5.73,5.72,972
1525903200,5.62,5.81,5.81,5.62,783
1525989600,5.79,5.73,5.8,5.63,948
1526248800,5.73,5.61,5.75,5.61,5364
1526335200,5.61,5.6,5.8,5.55,1350
1526421600,5.52,5.7,5.7,5.52,241
1526508000,5.6,5.64,5.64,5.52,1396
1526594400,5.5,5.74,5.74,5.2,15169
1526853600,5.4,5.6,5.6,5.4,3741
1526940000,5.45,5.72,5.72,5.45,9544
1527026400,5.71,5.6,5.71,5.6,4047
1527112800,5.7,5.4,5.7,5.4,718
1527199200,5.5,5.79,5.79,5.3,5160
1527458400,5.33,5.5,5.6,5.33,52410
1527544800,5.75,5.75,5.75,5.5,498
1527631200,5.34,5.68,5.68,5.34,1144
1527804000,5.6,5.6,5.6,5.6,173
1528063200,5.65,5.64,5.65,5.64,1813
1528149600,5.37,5.3,5.38,5.25,3767
1528236000,5.55,5.3,5.55,5.3,580
1528322400,5.3,5.46,5.46,5.25,355
1528408800,5.44,5.35,5.44,5.3,604
1528668000,5.35,5.04,5.35,4.82,2868
1528754400,5.24,5.25,5.4,5.24,12140
1528840800,5.15,5.15,5.19,5.15,1169
1528927200,5.04,5.02,5.1,5.02,3132
1529013600,4.86,4.85,4.86,4.8,6602
1529272800,4.8,4.8,4.8,4.74,3313
1529359200,4.74,4.8,4.8,4.74,230
1529445600,4.74,4.78,4.79,4.5,3178
1529532000,4.78,4.78,4.78,4.78,342
1529618400,4.78,4.78,4.78,4.78,500
1529877600,4.51,4.75,4.75,4.51,1171
1529964000,4.51,4.75,4.75,4.51,900
1530050400,4.54,4.5,4.75,4.26,11489
1530136800,4.6,4.52,4.6,4.52,1850
1530223200,4.79,4.78,4.79,4.78,289
1530482400,4.52,4.55,4.6,4.4,3176
1530568800,4.65,4.7,4.7,4.4,2800
1530655200,4.77,4.76,4.77,4.7,3590
1530741600,4.77,4.77,4.77,4.77,308
