t,o,c,h,l,v
905810400,0,18,18,18,52766
905896800,0,17.8,17.8,17.8,22898
905983200,0,16.1,16.1,16.1,5197
906069600,0,14.5,14.5,14.5,50449
906328800,0,14.5,14.5,14.5,36119
906415200,0,14.8,14.8,14.8,23552
906501600,0,15.8,15.8,15.8,8566
906588000,0,16,16,16,17262
906674400,0,15.3,15.3,15.3,6185
906933600,0,15.6,15.6,15.6,6072
907020000,0,15.7,15.7,15.7,6242
907106400,0,16,16,16,3053
907192800,0,14.6,14.6,14.6,11200
907279200,0,14.1,14.1,14.1,6268
907538400,0,14.4,14.4,14.4,4189
907624800,0,13.2,13.2,13.2,4140
907711200,0,13.3,13.3,13.3,9000
907797600,0,12.6,12.6,12.6,3729
907884000,0,12,12,12,7327
908143200,0,12.1,12.1,12.1,13992
908229600,0,12.2,12.2,12.2,9339
908316000,0,12.4,12.4,12.4,4855
908402400,0,13,13,13,3157
908488800,0,13.4,13.4,13.4,7195
908748000,0,13.7,13.7,13.7,3950
908834400,0,13.6,13.6,13.6,3827
908920800,0,14,14,14,1256
909007200,0,14.7,14.7,14.7,4116
909093600,0,15,15,15,4825
909356400,0,15,15,15,6034
909442800,0,15,15,15,10966
909529200,0,15,15,15,12913
909615600,0,15,15,15,8195
909702000,0,15.9,15.9,15.9,1850
909961200,0,15.8,15.8,15.8,1430
910047600,0,15.6,15.6,15.6,2310
910134000,0,15.5,15.5,15.5,1800
910220400,0,15.8,15.8,15.8,3399
910306800,0,14.6,14.6,14.6,1249
910566000,0,15.3,15.3,15.3,9278
910652400,0,15.5,15.5,15.5,2508
910825200,0,15.5,15.5,15.5,5250
910911600,0,15.8,15.8,15.8,5970
911170800,0,16.1,16.1,16.1,8332
911257200,0,16.5,16.5,16.5,6005
911343600,0,16.5,16.5,16.5,3465
911430000,0,15.9,15.9,15.9,4383
911516400,0,15.4,15.4,15.4,3207
911775600,0,15.5,15.5,15.5,395
911862000,0,15.5,15.5,15.5,2000
911948400,0,15,15,15,240
912034800,0,16,16,16,9699
912121200,0,16.1,16.1,16.1,6835
912380400,0,16,16,16,7788
912466800,0,16.5,16.5,16.5,11828
912553200,0,16.9,16.9,16.9,15502
912639600,0,16.9,16.9,16.9,7132
912726000,0,17.4,17.4,17.4,9830
912985200,0,18,18,18,10460
913071600,0,17.9,17.9,17.9,2168
913158000,0,17.9,17.9,17.9,6647
913244400,0,16.2,16.2,16.2,2160
913330800,0,16.2,16.2,16.2,2624
913590000,0,15.8,15.8,15.8,1630
913676400,0,16.1,16.1,16.1,555
913762800,0,16.3,16.3,16.3,500
913849200,0,16.5,16.5,16.5,200
913935600,0,16.1,16.1,16.1,650
914194800,0,16.2,16.2,16.2,539
914281200,0,16,16,16,200
914367600,0,16.2,16.2,16.2,3301
914799600,0,16.5,16.5,16.5,398
914886000,0,17,17,17,2080
914972400,0,16.8,16.8,16.8,1659
915058800,0,16.4,16.4,16.4,751
915404400,0,17,17,17,1907
915490800,0,16.9,16.9,16.9,1775
915577200,0,16.4,16.4,16.4,620
915663600,0,17,17,17,3343
915750000,0,16.9,16.9,16.9,2341
916009200,0,16.8,16.8,16.8,1263
916095600,0,16.5,16.5,16.5,997
916182000,0,15.9,15.9,15.9,903
916268400,0,14.4,14.4,14.4,2441
916354800,0,14.1,14.1,14.1,5983
916614000,0,15.5,15.5,15.5,1635
916700400,0,15.9,15.9,15.9,2327
916786800,0,15.7,15.7,15.7,1873
916873200,0,15.7,15.7,15.7,2500
916959600,0,15.1,15.1,15.1,800
917218800,0,15.6,15.6,15.6,1250
917305200,0,15.6,15.6,15.6,1400
917391600,0,15.5,15.5,15.5,869
917478000,0,14.3,14.3,14.3,3000
917564400,0,15.1,15.1,15.1,1476
917823600,0,15.1,15.1,15.1,2135
917910000,0,14.9,14.9,14.9,2180
917996400,0,15,15,15,1550
918082800,0,15.4,15.4,15.4,1490
918169200,0,15.1,15.1,15.1,3195
918428400,0,15.4,15.4,15.4,813
918514800,0,15.7,15.7,15.7,2556
918601200,0,15.3,15.3,15.3,630
918687600,0,15.3,15.3,15.3,217
918774000,0,15.6,15.6,15.6,2397
919033200,0,15.8,15.8,15.8,1860
919119600,0,15.7,15.7,15.7,5044
919206000,0,15.7,15.7,15.7,2579
919292400,0,15.9,15.9,15.9,3718
919378800,0,16,16,16,11074
919638000,0,16.5,16.5,16.5,6730
919724400,0,17,17,17,10842
919810800,0,17.1,17.1,17.1,8296
919897200,0,16.9,16.9,16.9,4809
919983600,0,16.7,16.7,16.7,4606
920242800,0,16.7,16.7,16.7,3325
920329200,0,15.7,15.7,15.7,2511
920415600,0,16,16,16,780
920502000,0,16.1,16.1,16.1,2845
920588400,0,16.7,16.7,16.7,3350
920847600,0,16.8,16.8,16.8,1302
920934000,0,16.8,16.8,16.8,1927
921020400,0,16.7,16.7,16.7,877
921106800,0,16.4,16.4,16.4,1749
921193200,0,16.7,16.7,16.7,1232
921452400,0,16.7,16.7,16.7,396
921538800,0,16.3,16.3,16.3,1931
921625200,0,16,16,16,1280
921711600,0,16.2,16.2,16.2,140
921798000,0,16,16,16,2750
922057200,0,16.5,16.5,16.5,4272
922143600,0,16.2,16.2,16.2,1520
922230000,0,15.8,15.8,15.8,3990
922316400,0,15.6,15.6,15.6,1895
922402800,0,15.8,15.8,15.8,1667
922658400,0,15.8,15.8,15.8,4193
922744800,0,16,16,16,4081
922831200,0,15.9,15.9,15.9,3600
922917600,0,16,16,16,1200
923349600,0,16.2,16.2,16.2,1865
923436000,0,16.2,16.2,16.2,2456
923522400,0,16,16,16,1565
923608800,0,15.9,15.9,15.9,4168
923868000,0,15.9,15.9,15.9,5170
923954400,0,16.2,16.2,16.2,6000
924040800,0,16.2,16.2,16.2,3540
924127200,0,16.2,16.2,16.2,8379
924213600,0,16.2,16.2,16.2,7610
924472800,0,16.3,16.3,16.3,3238
924559200,0,16,16,16,4626
924645600,0,16.4,16.4,16.4,3903
924732000,0,16.5,16.5,16.5,14354
924818400,0,16.6,16.6,16.6,4379
925077600,0,17.1,17.1,17.1,18650
925164000,0,17.3,17.3,17.3,6151
925250400,0,17.4,17.4,17.4,4111
925336800,0,17,17,17,2920
925423200,0,17.1,17.1,17.1,15081
925768800,0,17.3,17.3,17.3,2570
925855200,0,17.1,17.1,17.1,1714
925941600,0,17,17,17,12339
926028000,0,17,17,17,4828
926287200,0,17,17,17,2232
926373600,0,16.8,16.8,16.8,1795
926460000,0,16.9,16.9,16.9,4080
926546400,0,16.9,16.9,16.9,1158
