t,o,c,h,l,v
750553200,0,96,96,96,15181
750898800,0,105,105,105,15627
750985200,0,110,110,110,5991
751158000,0,108,108,108,5289
751590000,0,97,97,97,2236
751762800,0,105,105,105,3284
752194800,0,96,96,96,2110
752367600,0,105,105,105,7046
752713200,0,104,104,104,2633
752799600,0,100,100,100,2166
752886000,0,104,104,104,1444
753318000,0,100,100,100,2535
753404400,0,104,104,104,4653
753577200,0,100,100,100,6100
753922800,0,99,99,99,3057
754009200,0,95,95,95,1197
754182000,0,101,101,101,6615
754527600,0,105,105,105,8392
754614000,0,101,101,101,782
754786800,0,102,102,102,2318
755132400,0,97,97,97,1666
755218800,0,102,102,102,3014
755391600,0,98,98,98,2281
755737200,0,98,98,98,2946
755823600,0,98,98,98,3092
755996400,0,100,100,100,3986
756342000,0,100,100,100,2219
756428400,0,98,98,98,1719
756601200,0,91,91,91,4443
756946800,0,100,100,100,0
757033200,0,110,110,110,0
757206000,0,121,121,121,13762
757551600,0,133,133,133,7529
757638000,0,146,146,146,4467
757810800,0,160,160,160,6860
758156400,0,144,144,144,7103
758242800,0,151,151,151,5780
758415600,0,136,136,136,5628
758761200,0,145,145,145,9943
758847600,0,137,137,137,4674
759020400,0,137,137,137,10740
759366000,0,150,150,150,29891
759452400,0,165,165,165,16681
759625200,0,182,182,182,15264
759970800,0,170,170,170,18150
760057200,0,153,153,153,5806
760230000,0,168,168,168,5687
760575600,0,184,184,184,4178
760662000,0,190,190,190,8531
760834800,0,199,199,199,13323
761180400,0,205,205,205,10035
761266800,0,225,225,225,8229
761439600,0,248,248,248,8862
761785200,0,247,247,247,19996
761871600,0,240,240,240,5759
762044400,0,240,240,240,13680
762390000,0,249,249,249,6167
762476400,0,265,265,265,6057
762649200,0,265,265,265,9344
762994800,0,265,265,265,3723
763081200,0,260,260,260,2097
763254000,0,275,275,275,8644
763599600,0,277,277,277,4338
763686000,0,275,275,275,6304
763858800,0,270,270,270,7071
764204400,0,243,243,243,5762
764290800,0,245,245,245,2932
764463600,0,269,269,269,6079
764805600,0,269,269,269,9157
764892000,0,242,242,242,0
765064800,0,218,218,218,3588
765496800,0,197,197,197,9551
765669600,0,199,199,199,6832
765756000,0,18,18,18,25687
766015200,0,16,16,16,0
766101600,0,14,14,14,0
766274400,0,11,11,11,16993
766620000,0,11,11,11,46923
766706400,0,12,12,12,59237
766879200,0,14,14,14,39665
767224800,0,16,16,16,115522
767311200,0,16,16,16,134941
767484000,0,15,15,15,28157
768088800,0,16,16,16,33998
768175200,0,14,14,14,21749
768434400,0,15,15,15,14562
768520800,0,14,14,14,8957
768693600,0,15,15,15,46125
769039200,0,17,17,17,30118
769125600,0,16,16,16,23099
769298400,0,17,17,17,49407
769644000,0,17,17,17,22756
769730400,0,18,18,18,24045
769903200,0,17,17,17,30629
770248800,0,18,18,18,29788
770335200,0,18,18,18,39544
770421600,0,16,16,16,32639
770853600,0,16,16,16,30618
770940000,0,15,15,15,22839
771112800,0,14,14,14,54362
771458400,0,12,12,12,17657
771544800,0,10,10,10,14539
771717600,0,11,11,11,35352
772063200,0,10,10,10,31692
772149600,0,9,9,9,32792
772322400,0,8,8,8,48972
772668000,0,9,9,9,26298
772754400,0,9,9,9,32148
772927200,0,9,9,9,27443
773272800,0,9,9,9,34370
773359200,0,10,10,10,21678
773445600,0,10,10,10,16368
773532000,0,10,10,10,20020
773877600,0,11,11,11,35704
773964000,0,12,12,12,34893
774050400,0,13,13,13,23572
774136800,0,13,13,13,43539
774482400,0,14,14,14,52563
774568800,0,15,15,15,30138
774655200,0,15,15,15,59892
774741600,0,15,15,15,24842
775087200,0,15,15,15,27073
