t,o,c,h,l,v
891986400,0,22.7,22.7,22.7,62967
892072800,0,21.1,21.1,21.1,8473
892504800,0,20.5,20.5,20.5,16651
892591200,0,20.4,20.4,20.4,6374
892677600,0,20.3,20.3,20.3,3165
892764000,0,19.2,19.2,19.2,3746
893023200,0,19.3,19.3,19.3,10114
893109600,0,19.7,19.7,19.7,8236
893196000,0,20.2,20.2,20.2,10235
893282400,0,19.9,19.9,19.9,10012
893368800,0,19.9,19.9,19.9,11562
893628000,0,19.8,19.8,19.8,5784
893714400,0,19.3,19.3,19.3,2147
893800800,0,19.1,19.1,19.1,4773
893887200,0,19.3,19.3,19.3,2102
894232800,0,19,19,19,1916
894319200,0,18.9,18.9,18.9,2740
894405600,0,18,18,18,1118
894492000,0,18,18,18,3769
894578400,0,17,17,17,5377
894837600,0,17,17,17,4688
894924000,0,16.6,16.6,16.6,690
895010400,0,15.6,15.6,15.6,2652
895096800,0,15.4,15.4,15.4,9938
895183200,0,15.2,15.2,15.2,8817
895442400,0,15.2,15.2,15.2,3944
895528800,0,14.5,14.5,14.5,13711
895615200,0,14.4,14.4,14.4,5395
895701600,0,15,15,15,6599
895788000,0,15,15,15,2207
896047200,0,13.5,13.5,13.5,3740
896133600,0,13.6,13.6,13.6,16679
896220000,0,13.2,13.2,13.2,2031
896306400,0,12.9,12.9,12.9,4891
896392800,0,12.8,12.8,12.8,6762
896652000,0,12.1,12.1,12.1,5158
896738400,0,11.6,11.6,11.6,4653
896824800,0,11.6,11.6,11.6,9610
896911200,0,11.6,11.6,11.6,7425
896997600,0,11.5,11.5,11.5,10954
897256800,0,11.3,11.3,11.3,8689
897343200,0,11,11,11,3983
897429600,0,10.7,10.7,10.7,2945
897861600,0,10.3,10.3,10.3,14956
897948000,0,10.2,10.2,10.2,31314
898034400,0,10.6,10.6,10.6,4238
898120800,0,11.2,11.2,11.2,8340
898207200,0,11,11,11,8200
898466400,0,11.6,11.6,11.6,9271
898552800,0,11.3,11.3,11.3,2114
898639200,0,11.1,11.1,11.1,1700
898725600,0,11.4,11.4,11.4,13507
898812000,0,11.6,11.6,11.6,6550
899071200,0,11.6,11.6,11.6,2436
899157600,0,11.6,11.6,11.6,13970
899244000,0,12.1,12.1,12.1,7550
899330400,0,12.4,12.4,12.4,4280
899416800,0,12,12,12,12400
899676000,0,12.1,12.1,12.1,13253
899762400,0,12,12,12,1800
899848800,0,11.5,11.5,11.5,7470
899935200,0,11,11,11,2736
900021600,0,10.8,10.8,10.8,2997
900280800,0,10.9,10.9,10.9,1930
900367200,0,11,11,11,5248
900453600,0,10.5,10.5,10.5,2460
900540000,0,10.6,10.6,10.6,4341
900626400,0,11,11,11,2260
900885600,0,11.3,11.3,11.3,4152
900972000,0,11,11,11,3912
901058400,0,9.9,9.9,9.9,6979
901144800,0,9.6,9.6,9.6,2976
901231200,0,9.6,9.6,9.6,9392
901490400,0,9.65,9.65,9.65,9299
901576800,0,9.5,9.5,9.5,1100
901663200,0,9.3,9.3,9.3,3511
901749600,0,9.2,9.2,9.2,3685
901836000,0,9.5,9.5,9.5,3554
902095200,0,8.55,8.55,8.55,1940
902181600,0,8.3,8.3,8.3,4202
902268000,0,7.8,7.8,7.8,18589
902354400,0,8,8,8,6156
902440800,0,7.5,7.5,7.5,10418
902700000,0,7.75,7.75,7.75,2525
902786400,0,7.85,7.85,7.85,4768
902872800,0,7.5,7.5,7.5,4442
902959200,0,7.7,7.7,7.7,3416
903045600,0,7.75,7.75,7.75,8383
903304800,0,8.15,8.15,8.15,6535
903391200,0,8.5,8.5,8.5,2000
903477600,0,8.1,8.1,8.1,5422
903564000,0,8,8,8,5294
903650400,0,7.75,7.75,7.75,5953
903909600,0,7.75,7.75,7.75,21
903996000,0,8.2,8.2,8.2,1500
904082400,0,8.5,8.5,8.5,1234
904168800,0,7.95,7.95,7.95,443
904255200,0,7.2,7.2,7.2,2289
904514400,0,6.9,6.9,6.9,5380
904600800,0,6.8,6.8,6.8,5137
904687200,0,7.3,7.3,7.3,1100
904773600,0,7.1,7.1,7.1,9796
904860000,0,6.95,6.95,6.95,890
905119200,0,7.1,7.1,7.1,1283
905205600,0,7.35,7.35,7.35,1700
905292000,0,7.45,7.45,7.45,3270
905378400,0,7.35,7.35,7.35,2418
905464800,0,6.8,6.8,6.8,685
905724000,0,7.1,7.1,7.1,400
905810400,0,7.2,7.2,7.2,551
905896800,0,6.85,6.85,6.85,500
905983200,0,7,7,7,1197
906069600,0,6.8,6.8,6.8,2708
906328800,0,6.5,6.5,6.5,500
906415200,0,6.5,6.5,6.5,1500
906501600,0,6.7,6.7,6.7,300
906588000,0,6.85,6.85,6.85,1700
906674400,0,6.5,6.5,6.5,845
906933600,0,6.55,6.55,6.55,300
907020000,0,6.5,6.5,6.5,425
907106400,0,6.5,6.5,6.5,243
907192800,0,6.05,6.05,6.05,550
907279200,0,5.95,5.95,5.95,658
907538400,0,5.5,5.5,5.5,1669
907624800,0,5.3,5.3,5.3,554
907711200,0,5.5,5.5,5.5,700
907797600,0,5.25,5.25,5.25,450
907884000,0,5.2,5.2,5.2,450
908143200,0,5,5,5,3029
908229600,0,5.5,5.5,5.5,4522
908316000,0,6.05,6.05,6.05,8251
908402400,0,6,6,6,3643
908488800,0,6.45,6.45,6.45,1405
908748000,0,6.15,6.15,6.15,1000
908834400,0,6.3,6.3,6.3,3126
908920800,0,6.75,6.75,6.75,15691
909007200,0,6.6,6.6,6.6,2758
909093600,0,6.8,6.8,6.8,9518
909356400,0,7.05,7.05,7.05,18397
909442800,0,7.3,7.3,7.3,16368
909529200,0,7.1,7.1,7.1,11120
909615600,0,7.1,7.1,7.1,7743
909702000,0,7.1,7.1,7.1,4412
909961200,0,7.4,7.4,7.4,17162
910047600,0,7.2,7.2,7.2,5473
910134000,0,7.5,7.5,7.5,8572
910220400,0,8.1,8.1,8.1,46553
910306800,0,8.1,8.1,8.1,14223
910566000,0,7.8,7.8,7.8,9700
910652400,0,8,8,8,6927
910825200,0,8.1,8.1,8.1,13200
910911600,0,8,8,8,21375
911170800,0,7.25,7.25,7.25,6491
911257200,0,7.85,7.85,7.85,20450
911343600,0,7.6,7.6,7.6,12867
911430000,0,7.6,7.6,7.6,7698
911516400,0,7.6,7.6,7.6,8918
911775600,0,7.8,7.8,7.8,10477
911862000,0,8.05,8.05,8.05,15312
911948400,0,7.8,7.8,7.8,10640
912034800,0,7.8,7.8,7.8,6964
912121200,0,7.85,7.85,7.85,3085
912380400,0,7.7,7.7,7.7,9196
912466800,0,7.5,7.5,7.5,5306
912553200,0,7.65,7.65,7.65,5940
912639600,0,7.75,7.75,7.75,1231
912726000,0,7.75,7.75,7.75,9828
912985200,0,8,8,8,5309
913071600,0,8.25,8.25,8.25,7434
913158000,0,8.2,8.2,8.2,4185
913244400,0,8.15,8.15,8.15,4223
913330800,0,8.1,8.1,8.1,6337
913590000,0,7.7,7.7,7.7,5366
913676400,0,7.65,7.65,7.65,6070
913762800,0,7.85,7.85,7.85,1720
913849200,0,7.55,7.55,7.55,672
913935600,0,7.75,7.75,7.75,2600
914194800,0,7.4,7.4,7.4,13500
914281200,0,7.35,7.35,7.35,3931
914367600,0,7.55,7.55,7.55,3670
914799600,0,7.5,7.5,7.5,9700
914886000,0,7.6,7.6,7.6,2565
914972400,0,7.6,7.6,7.6,2600
915058800,0,7.5,7.5,7.5,2849
915404400,0,7.75,7.75,7.75,5000
915490800,0,7.7,7.7,7.7,6100
915577200,0,7.7,7.7,7.7,16350
915663600,0,7.9,7.9,7.9,5530
915750000,0,7.9,7.9,7.9,7264
916009200,0,7.9,7.9,7.9,17360
916095600,0,7.9,7.9,7.9,6500
916182000,0,7.7,7.7,7.7,5310
916268400,0,7.3,7.3,7.3,7446
916354800,0,7,7,7,7670
916614000,0,7.4,7.4,7.4,4795
916700400,0,7.5,7.5,7.5,2060
916786800,0,7.5,7.5,7.5,2540
916873200,0,7.3,7.3,7.3,4870
916959600,0,7.15,7.15,7.15,2100
917218800,0,7.1,7.1,7.1,1700
917305200,0,7.15,7.15,7.15,3300
917391600,0,6.8,6.8,6.8,1168
917478000,0,6.8,6.8,6.8,3780
917564400,0,7,7,7,2550
917823600,0,6.95,6.95,6.95,1205
917910000,0,6.8,6.8,6.8,1078
917996400,0,6.75,6.75,6.75,1124
918082800,0,6.8,6.8,6.8,1927
918169200,0,6.8,6.8,6.8,1810
918428400,0,6.8,6.8,6.8,1400
918514800,0,6.8,6.8,6.8,3155
918601200,0,6.8,6.8,6.8,1300
918687600,0,6.8,6.8,6.8,1013
918774000,0,6.8,6.8,6.8,7700
919033200,0,6.75,6.75,6.75,600
919119600,0,6.75,6.75,6.75,2128
919206000,0,6.75,6.75,6.75,4413
919292400,0,6.75,6.75,6.75,5300
919378800,0,6.75,6.75,6.75,4271
919638000,0,6.75,6.75,6.75,8302
919724400,0,6.95,6.95,6.95,25264
919810800,0,7.3,7.3,7.3,14965
919897200,0,7.2,7.2,7.2,13270
919983600,0,6.9,6.9,6.9,8934
920242800,0,6.9,6.9,6.9,7517
920329200,0,6.9,6.9,6.9,4450
920415600,0,7.05,7.05,7.05,1384
920502000,0,7,7,7,1000
920588400,0,7.1,7.1,7.1,3244
920847600,0,7.2,7.2,7.2,1613
920934000,0,7.3,7.3,7.3,13272
921020400,0,7.3,7.3,7.3,4372
921106800,0,7.5,7.5,7.5,11019
921193200,0,7.3,7.3,7.3,9004
921452400,0,7.6,7.6,7.6,4358
921538800,0,7.5,7.5,7.5,5590
921625200,0,7.2,7.2,7.2,13200
921711600,0,7.3,7.3,7.3,13620
921798000,0,7.6,7.6,7.6,23850
922057200,0,7.6,7.6,7.6,6674
922143600,0,7.5,7.5,7.5,2550
922230000,0,7.2,7.2,7.2,9203
922316400,0,7.3,7.3,7.3,3650
922402800,0,7.1,7.1,7.1,4775
922658400,0,7.05,7.05,7.05,8706
922744800,0,7.05,7.05,7.05,10150
922831200,0,7,7,7,5433
922917600,0,7.05,7.05,7.05,4300
923349600,0,7.05,7.05,7.05,6892
923436000,0,7.1,7.1,7.1,4647
923522400,0,7.1,7.1,7.1,4983
923608800,0,7,7,7,3689
923868000,0,6.95,6.95,6.95,6069
923954400,0,6.95,6.95,6.95,3621
924040800,0,6.9,6.9,6.9,6127
924127200,0,6.9,6.9,6.9,3531
924213600,0,6.9,6.9,6.9,1821
924472800,0,7,7,7,9620
924559200,0,7.05,7.05,7.05,3185
924645600,0,6.9,6.9,6.9,2350
924732000,0,6.9,6.9,6.9,3564
924818400,0,7,7,7,2370
925077600,0,7,7,7,28492
925164000,0,7.2,7.2,7.2,24068
925250400,0,7.5,7.5,7.5,71924
925336800,0,7.4,7.4,7.4,27515
925423200,0,7.5,7.5,7.5,17931
925768800,0,7.65,7.65,7.65,2315
925855200,0,7.4,7.4,7.4,10405
925941600,0,7.45,7.45,7.45,7125
926028000,0,7.3,7.3,7.3,15802
926287200,0,7.35,7.35,7.35,3000
926373600,0,7.5,7.5,7.5,12129
926460000,0,7.5,7.5,7.5,8708
926546400,0,7.4,7.4,7.4,7530
926632800,0,7.65,7.65,7.65,15772
926892000,0,7.55,7.55,7.55,7387
926978400,0,7.55,7.55,7.55,4828
927064800,0,7.65,7.65,7.65,14441
927151200,0,7.8,7.8,7.8,11949
927237600,0,7.65,7.65,7.65,16712
927496800,0,7.8,7.8,7.8,8878
927583200,0,7.85,7.85,7.85,19369
927669600,0,8,8,8,14438
927756000,0,8.4,8.4,8.4,16665
927842400,0,8.4,8.4,8.4,39323
928101600,0,8.6,8.6,8.6,11695
928188000,0,8.45,8.45,8.45,7972
928274400,0,8.35,8.35,8.35,10340
928706400,0,8.25,8.25,8.25,4955
928792800,0,8.1,8.1,8.1,19948
928879200,0,8.1,8.1,8.1,8140
928965600,0,8.3,8.3,8.3,3536
929052000,0,8.4,8.4,8.4,7087
929311200,0,8.1,8.1,8.1,7692
929397600,0,7.9,7.9,7.9,5644
