t,o,c,h,l,v
1545087600,21.5,20,25,19,29503
1545174000,21,18.19,21,18.18,6439
1545260400,18.19,17.8,18.19,16.4,2741
1545346800,17,19.44,19.44,17,2030
1545865200,19.9,18.44,19.9,18.1,1293
1545951600,18.35,18.8,18.9,17.8,1621
1546383600,19.15,18.9,19.15,18,365
1546470000,18.89,18.69,18.89,18,740
1546556400,18.69,18,18.69,18,1048
1546815600,18,18.46,18.48,18,992
1546902000,18.46,18.44,18.46,17.8,318
1546988400,18.4,18.69,18.69,18,523
1547074800,18.46,18.68,18.68,18.46,35
1547161200,18.03,18.63,18.63,17.9,797
1547420400,18.1,18.55,18.55,18.03,873
1547506800,18.57,18.84,18.88,18.3,1836
1547593200,18.83,18.9,18.9,18.5,1153
1547679600,18.7,19,19,18.7,2330
1547766000,19,20.43,20.8,19,8457
1548025200,20.5,21.28,21.5,20.43,1880
1548111600,21.1,20.8,21.3,20.44,1015
1548198000,20.8,21,21.08,19.16,2920
1548284400,21.05,22.2,22.5,21.05,1799
1548370800,22,24.9,26.4,22,6678
1548630000,24.88,25.9,27.2,23.55,8326
1548716400,25.98,28,28,25,10702
1548802800,27.8,27,28.5,26.65,3936
1548889200,26.65,26.5,26.75,25,5192
1548975600,26.5,25.99,26.5,25.5,2774
1549234800,26,25.99,26.9,25.99,2770
1549321200,25.7,26.79,26.8,25.5,1079
1549407600,27.25,27.25,27.3,26.45,1719
1549494000,27.25,26.99,27.25,25.5,1308
1549580400,25.44,26.29,26.29,25.4,773
1549839600,26.29,26,26.29,25.45,828
1549926000,25.4,26.68,26.68,25,925
1550012400,26.68,26.19,26.68,22.27,946
1550098800,26.59,26.6,28.54,26.15,12788
1550185200,26.6,28.22,28.22,26.2,3808
1550444400,28.62,27.75,28.62,27.7,1413
1550530800,28,28.5,28.5,27,2387
1550617200,28.2,29,29.6,28.1,8137
1550703600,28.83,28.83,28.83,28.06,480
1550790000,28.2,29,29,28.2,222
1551049200,28.99,28.99,28.99,28.5,371
1551135600,28.96,28.4,28.96,28,631
1551222000,28.12,28,28.3,27.32,362
1551308400,28,28,28,27.21,462
1551394800,28,28.38,28.38,27.62,2190
1551654000,28.38,28,30,28,2035
1551740400,28.4,28.5,28.5,28,975
1551826800,28.5,28.6,28.66,28.15,878
1551913200,28.4,28,28.4,27.57,243
1551999600,28.15,27.99,28.15,27.5,1033
1552258800,28,29.99,30.9,27.95,18200
1552345200,30.4,32.8,33.34,30,13185
1552431600,33.5,31.32,33.5,31,4434
1552518000,31.4,31,33.2,30.6,6945
1552604400,31.8,32.975,33.195,31.25,6872
1552863600,32.5,32.88,32.88,32,1523
1552950000,32.88,32.4,32.88,30.55,5151
1553036400,32,30.96,32,30.24,2488
1553122800,30.97,31.4,31.4,30.97,708
1553209200,30.81,30.695,30.81,29.5,2844
1553468400,30.98,30,30.98,29.16,1141
1553554800,30,31.6,31.6,29.21,1697
1553641200,31.3,29.99,31.3,29.45,1106
1553727600,29.9,30.2,30.78,29.51,1477
1553814000,30.3,30.2,31.2,29.78,1056
1554069600,30.2,29.3,30.2,28.8,4530
1554156000,29.6,28.5,29.6,28.1,5760
1554242400,31,28.3,31,27,15758
1554328800,28.7,28.4,28.7,27.5,4370
1554415200,28.4,28.4,28.4,27.6,3916
1554674400,28,28.3,28.6,27.6,2859
1554760800,27.8,29,29.9,27.8,4408
1554847200,29.5,29.2,29.5,29,406
1554933600,29.4,28.5,29.5,28.5,3139
1555020000,28.6,28.2,28.8,27,2395
1555279200,27.7,28.2,28.2,27.7,407
1555365600,27.8,28.1,28.1,27.6,1043
1555452000,28,27.6,28,27.6,2181
1555538400,27.7,28,28,27.3,1419
1555970400,28,28.8,28.8,28,1640
1556056800,28.5,28.6,28.6,28.4,381
1556143200,28.7,27.5,29.5,27.5,1040
1556229600,29.4,29.3,30,28.5,2516
1556488800,29.5,29.6,29.6,29,566
1556575200,29.6,30.7,30.7,29,1677
1556748000,30,30,30.7,29.1,637
1557093600,30,31.2,31.2,29,2707
1557180000,31.2,30.2,31.8,29.9,3616
1557266400,30.2,31,31.3,30.1,1294
1557352800,31.5,31.3,31.5,30.5,1932
1557439200,31.5,30.4,31.8,30.4,835
1557698400,31,31,31.3,31,614
1557784800,30.2,30.9,31.5,30,1932
1557871200,30.9,30.2,30.9,28.8,1653
1557957600,31,30.1,31,29,1061
1558044000,29.8,29.7,29.8,29,313
1558303200,30,28.7,30,28.2,1114
1558389600,28.8,28.4,28.8,26.6,1266
1558476000,28.2,28.9,28.9,27.4,596
1558562400,27.6,27.8,28,26.7,1041
