t,o,c,h,l,v
1196118000,7.5,7.49,7.5,7.49,410
1196204400,7.5,8.5,8.5,7.5,15895
1196290800,8.9,9,9,8.4,15165
1196377200,8.94,9.5,9.5,8.5,30962
1196636400,9.85,9.7,9.85,9.61,2765
1196722800,9.59,9.27,9.59,9.27,780
1196809200,8.85,9.26,9.26,8.81,559
1196895600,9.3,9.35,9.4,9.3,1770
1196982000,9.59,9.4,9.6,9.4,1264
1197241200,9.52,9.7,9.75,9.52,2892
1197327600,9.69,9.6,9.69,9.6,815
1197414000,9.5,9.15,9.5,9.1,1917
1197500400,9.5,9.5,9.5,9.5,1315
1197586800,9.4,9.39,9.4,9.1,650
1197846000,9.3,8.99,9.3,8.8,1383
1197932400,8.61,8.75,8.9,8.61,3850
1198018800,8.72,8.72,8.72,8.72,33
1198105200,0,8.72,8.72,8.72,0
1198191600,8.88,8.02,8.88,7.56,1955
1198710000,8.5,8.11,8.5,8.11,425
1198796400,8.2,8.2,8.2,8.2,500
1199228400,8.59,8.84,8.84,8.35,4250
1199314800,8.74,8.8,8.84,8.7,1891
1199401200,8.72,8.5,8.81,8.5,1441
1199660400,8.45,8.49,8.49,8.2,979
1199746800,8.38,8.01,8.38,8.01,1783
1199833200,8.11,7.7,8.11,7.7,1604
1199919600,7.7,7.2,7.7,7.2,848
1200006000,7.1,8,8,7.1,1380
1200265200,7.97,7.94,7.97,7.94,2650
1200351600,7.6,7.6,7.6,7.6,3000
1200438000,7.21,7.15,7.21,7.1,1282
1200524400,7,6.89,7.6,6.85,9644
1200610800,6.89,6.99,6.99,6.75,8063
1200870000,6.99,6.8,7.6,6.8,5705
1200956400,6.2,6.8,6.98,6.2,18255
1201042800,7,6.98,7,6.98,1059
1201129200,7.1,7.12,7.19,7.1,912
1201215600,7.15,7.12,7.15,7.12,1128
1201474800,7.45,7.45,7.45,7.45,500
1201561200,7.3,7.39,7.39,7.3,1770
1201647600,7.4,7.4,7.4,7.4,80
1201734000,7.49,7.49,7.49,7.49,387
1201820400,7.5,7.62,7.62,7.4,1364
1202079600,7.52,7.72,7.73,7.3,1185
1202166000,6.7,7.55,7.55,6.7,225
1202252400,7.1,7.5,7.5,7.1,200
1202338800,7.54,7.6,7.6,7.54,2346
1202425200,7.4,7.68,7.68,7.1,1394
1202684400,7.33,7.3,7.35,7.3,1452
1202770800,7.5,7,7.5,6.88,275
1202857200,7,7.29,7.29,7,551
1202943600,7.2,7.54,7.54,7.2,1770
1203030000,7.6,7.4,7.6,7.3,1050
1203289200,7.4,7.65,7.65,7.25,914
1203375600,7.65,7.58,7.65,7.2,1851
1203462000,7.2,7.2,7.2,7.2,223
1203548400,0,7.2,7.2,7.2,0
1203634800,7.25,7.25,7.25,7.25,10
