t,o,c,h,l,v
1513810800,5,4.5,5.3,4.27,52940
1513897200,4.75,4.1,4.75,3.86,18499
1514329200,4.1,3,4.1,3,27208
1514415600,3.13,3.1,3.13,2.75,17359
1514502000,3.1,3.2,3.29,2.95,9284
1514934000,3.2,3.4,3.48,3.2,6878
1515020400,3.64,4,4,3.64,13991
1515106800,4.28,4.94,5.17,4.28,56103
1515366000,4.94,4.85,5.2,4.61,47615
1515452400,4.88,4.7,4.9,4.65,5308
1515538800,4.67,4.67,4.67,4.59,1180
1515625200,4.7,4.85,4.85,4.67,770
1515711600,4.85,4.8,4.85,4.61,1115
1515970800,4.8,4.8,4.8,4.62,2370
1516057200,4.75,4.8,4.8,4.75,1630
1516143600,4.75,4.62,4.75,4.62,1742
1516230000,4.55,4.1,4.55,4.1,6811
1516316400,4.1,4.1,4.1,4.07,1403
1516575600,4.1,4.1,4.1,4.1,495
1516662000,4.1,4.47,4.47,4.1,2170
1516748400,4.45,4.48,4.49,4.45,1400
1516834800,4.5,4.4,4.5,4.4,2850
1516921200,4.54,4.5,4.55,4.5,3890
1517180400,4.52,4.52,4.52,4.52,10
1517266800,4.49,4.49,4.49,4.4,211
1517353200,0,4.49,4.49,4.49,0
1517439600,4.4,4.4,4.45,4.4,2651
1517526000,0,4.4,4.4,4.4,0
1517785200,4.38,4.35,4.38,4.05,1545
1517871600,4.3,4.5,4.5,4.2,6661
1517958000,4.11,4.3,4.34,4.05,6350
1518044400,0,4.3,4.3,4.3,0
1518130800,4.29,4.3,4.3,4.29,320
1518390000,4.4,4.4,4.4,4.4,120
1518476400,4.4,4.34,4.4,4,1654
1518562800,4.34,4.34,4.34,4.34,30
1518649200,4.3,4.28,4.3,4,649
1518735600,4.28,4.28,4.28,4.28,2475
1518994800,4.27,4.27,4.27,4.27,75
1519081200,4.28,4.28,4.28,4,2842
1519167600,4.28,4.28,4.28,4.28,155
1519254000,0,4.28,4.28,4.28,0
1519340400,0,4.28,4.28,4.28,0
1519599600,4.25,4.25,4.25,4.25,500
