t,o,c,h,l,v
1184796000,5.4,5.15,5.4,5.15,37899
1184882400,5.2,5.15,5.2,5.12,27959
1185141600,5.18,5.12,5.2,5.1,43684
1185228000,5.12,5.11,5.15,5.06,41991
1185314400,5.01,5.03,5.08,4.85,55996
1185400800,5.03,4.9,5.03,4.82,37522
1185487200,4.75,4.9,4.93,4.71,56709
1185746400,4.97,4.9,5,4.7,17221
1185832800,4.92,4.99,5.04,4.82,27302
1185919200,4.98,4.89,4.98,4.8,20921
1186005600,4.97,4.82,4.97,4.71,36785
1186092000,4.9,4.61,4.9,4.5,62821
1186351200,4.6,4.45,4.6,4.36,19881
1186437600,4.74,4.6,4.74,4.57,9871
1186524000,4.7,4.7,4.74,4.62,50944
1186610400,4.75,4.53,4.79,4.4,81039
1186696800,4.4,4.34,4.5,4.2,49549
1186956000,4.2,4.16,4.3,4.07,111155
1187042400,4.16,4.38,4.48,3.92,138307
1187215200,4.28,4.01,4.28,3.81,118069
1187301600,4,4.1,4.19,4,126222
1187560800,4.31,4.25,4.38,4.11,26572
1187647200,4.15,4.25,4.28,4.05,12466
1187733600,4.29,4.28,4.4,4.15,40658
1187820000,4.4,4.32,4.4,4.25,25463
1187906400,4.24,4.28,4.29,4.12,26421
1188165600,4.25,4.28,4.34,4.21,27779
1188252000,4.28,4.2,4.28,4.16,21663
1188338400,4,4.15,4.15,3.96,54911
1188424800,4.25,4.1,4.31,4.1,39922
1188511200,4.27,4.18,4.27,4.17,11946
1188770400,4.29,4.24,4.29,4.18,40945
1188856800,4.24,4.2,4.27,4.2,34640
1188943200,4.2,4.15,4.27,4.06,23867
1189029600,4.18,4.08,4.18,4.03,34701
1189116000,4.08,4.02,4.15,3.9,38840
1189375200,3.9,3.96,3.99,3.82,23149
1189461600,4.02,3.94,4.02,3.79,38528
1189548000,3.94,3.93,4.02,3.84,10041
1189634400,3.97,3.96,3.97,3.85,21092
1189720800,3.97,3.94,4,3.8,52040
1189980000,3.98,3.94,3.98,3.85,8730
1190066400,3.94,4.02,4.02,3.85,75257
1190152800,4.19,4.1,4.19,4.04,110169
