t,o,c,h,l,v
889657200,0,6.05,6.05,6.05,53420
889743600,0,6.1,6.1,6.1,124209
890002800,0,6.1,6.1,6.1,72685
890089200,0,6.1,6.1,6.1,31605
890175600,0,6,6,6,11774
890262000,0,6.1,6.1,6.1,20926
890348400,0,6.1,6.1,6.1,26067
890607600,0,6.05,6.05,6.05,30575
890694000,0,6.05,6.05,6.05,41787
890780400,0,6.2,6.2,6.2,38065
890866800,0,6.6,6.6,6.6,161595
890953200,0,6.9,6.9,6.9,226074
891208800,0,6.75,6.75,6.75,82078
891295200,0,6.35,6.35,6.35,47153
891381600,0,5.9,5.9,5.9,41561
891468000,0,5.8,5.8,5.8,35265
891813600,0,5.95,5.95,5.95,21786
891900000,0,6,6,6,27371
891986400,0,5.9,5.9,5.9,27287
892072800,0,5.75,5.75,5.75,58423
892504800,0,5.8,5.8,5.8,28839
892591200,0,5.7,5.7,5.7,15610
892677600,0,5.65,5.65,5.65,12898
892764000,0,5.5,5.5,5.5,23392
893023200,0,5.6,5.6,5.6,10073
893109600,0,5.4,5.4,5.4,14452
893196000,0,5.6,5.6,5.6,10140
893282400,0,5.7,5.7,5.7,19031
893368800,0,5.7,5.7,5.7,16761
893628000,0,5.85,5.85,5.85,33786
893714400,0,5.65,5.65,5.65,4560
893800800,0,5.15,5.15,5.15,36795
893887200,0,5.55,5.55,5.55,22623
894232800,0,5.8,5.8,5.8,13147
894319200,0,5.75,5.75,5.75,10739
894405600,0,5.7,5.7,5.7,11009
894492000,0,5.6,5.6,5.6,16600
894578400,0,5.8,5.8,5.8,10000
894837600,0,5.8,5.8,5.8,13300
894924000,0,5.7,5.7,5.7,16591
895010400,0,5.5,5.5,5.5,12383
895096800,0,5.2,5.2,5.2,14800
895183200,0,5.5,5.5,5.5,18000
895442400,0,5.4,5.4,5.4,16400
895528800,0,5.3,5.3,5.3,22020
895615200,0,5.4,5.4,5.4,26425
895701600,0,5.55,5.55,5.55,22381
895788000,0,5.7,5.7,5.7,21367
896047200,0,5.65,5.65,5.65,18198
896133600,0,5.6,5.6,5.6,25200
896220000,0,5.5,5.5,5.5,20570
896306400,0,5.3,5.3,5.3,35826
896392800,0,5.35,5.35,5.35,37228
896652000,0,5.35,5.35,5.35,25000
896738400,0,4.85,4.85,4.85,19001
896824800,0,5.2,5.2,5.2,37638
896911200,0,5.05,5.05,5.05,24450
896997600,0,5,5,5,35163
897256800,0,5.25,5.25,5.25,33170
897343200,0,5.25,5.25,5.25,30000
897429600,0,5.3,5.3,5.3,42000
897861600,0,5.3,5.3,5.3,30200
897948000,0,5.2,5.2,5.2,49800
898034400,0,5.3,5.3,5.3,46046
898120800,0,5.45,5.45,5.45,52463
898207200,0,5.55,5.55,5.55,44764
898466400,0,5.7,5.7,5.7,43014
898552800,0,5.7,5.7,5.7,35500
898639200,0,5.7,5.7,5.7,37630
898725600,0,5.7,5.7,5.7,39150
898812000,0,5.8,5.8,5.8,60560
899071200,0,6,6,6,62586
899157600,0,5.9,5.9,5.9,43919
899244000,0,5.8,5.8,5.8,52513
899330400,0,5.8,5.8,5.8,60940
899416800,0,5.8,5.8,5.8,78330
899676000,0,5.85,5.85,5.85,76411
899762400,0,5.9,5.9,5.9,134685
899848800,0,6,6,6,72537
899935200,0,5.5,5.5,5.5,75895
900021600,0,5.85,5.85,5.85,87402
900280800,0,5.9,5.9,5.9,69038
900367200,0,6.3,6.3,6.3,70088
900453600,0,6.3,6.3,6.3,66130
900540000,0,6.2,6.2,6.2,79000
900626400,0,6.2,6.2,6.2,92354
900885600,0,6.2,6.2,6.2,96285
900972000,0,6.4,6.4,6.4,99300
901058400,0,6.3,6.3,6.3,89451
901144800,0,6.2,6.2,6.2,94005
901231200,0,6.2,6.2,6.2,80508
901490400,0,6.3,6.3,6.3,103521
901576800,0,6.3,6.3,6.3,75182
901663200,0,6.25,6.25,6.25,58512
901749600,0,6.3,6.3,6.3,83135
901836000,0,6.35,6.35,6.35,86982
902095200,0,6.3,6.3,6.3,94389
902181600,0,6.3,6.3,6.3,95933
902268000,0,6.3,6.3,6.3,88612
902354400,0,6.45,6.45,6.45,116912
902440800,0,6.5,6.5,6.5,77393
902700000,0,6.5,6.5,6.5,59513
902786400,0,6.35,6.35,6.35,76267
902872800,0,6.2,6.2,6.2,69971
902959200,0,6.1,6.1,6.1,58300
903045600,0,6.25,6.25,6.25,52360
903304800,0,6.25,6.25,6.25,49605
903391200,0,6.4,6.4,6.4,56387
903477600,0,6.4,6.4,6.4,43897
903564000,0,6.25,6.25,6.25,53210
903650400,0,6.25,6.25,6.25,76191
903909600,0,6.05,6.05,6.05,45202
903996000,0,6.15,6.15,6.15,58417
904082400,0,6.05,6.05,6.05,54987
904168800,0,5.8,5.8,5.8,42934
904255200,0,5.25,5.25,5.25,67496
904514400,0,5.75,5.75,5.75,54229
904600800,0,6,6,6,60240
904687200,0,6.2,6.2,6.2,48019
904773600,0,6.05,6.05,6.05,63746
904860000,0,6.1,6.1,6.1,79512
905119200,0,6.3,6.3,6.3,48285
905205600,0,6.4,6.4,6.4,38531
905292000,0,6.3,6.3,6.3,67611
905378400,0,6.2,6.2,6.2,94727
905464800,0,6.15,6.15,6.15,42811
905724000,0,6.2,6.2,6.2,53019
905810400,0,6.3,6.3,6.3,60383
905896800,0,6.35,6.35,6.35,107405
905983200,0,6.3,6.3,6.3,52911
906069600,0,6.2,6.2,6.2,63597
906328800,0,6.2,6.2,6.2,55457
906415200,0,6.2,6.2,6.2,83430
906501600,0,6.4,6.4,6.4,49366
906588000,0,6.8,6.8,6.8,68426
906674400,0,6.65,6.65,6.65,60012
906933600,0,6.65,6.65,6.65,73815
907020000,0,6.5,6.5,6.5,40885
907106400,0,6.4,6.4,6.4,82916
907192800,0,6.4,6.4,6.4,85134
907279200,0,6.4,6.4,6.4,91100
907538400,0,6.5,6.5,6.5,53515
907624800,0,6.55,6.55,6.55,71003
907711200,0,6.6,6.6,6.6,94672
907797600,0,6.6,6.6,6.6,93975
907884000,0,6.6,6.6,6.6,71000
908143200,0,6.75,6.75,6.75,72466
908229600,0,6.7,6.7,6.7,62780
908316000,0,6.7,6.7,6.7,96303
908402400,0,6.65,6.65,6.65,70976
908488800,0,6.8,6.8,6.8,78498
908748000,0,6.75,6.75,6.75,74745
908834400,0,6.6,6.6,6.6,89168
908920800,0,6.7,6.7,6.7,88844
909007200,0,6.05,6.05,6.05,56559
909093600,0,6.45,6.45,6.45,87670
909356400,0,6.65,6.65,6.65,107360
909442800,0,6.85,6.85,6.85,99035
909529200,0,6.75,6.75,6.75,72278
909615600,0,6.75,6.75,6.75,54800
909702000,0,7,7,7,68477
909961200,0,6.3,6.3,6.3,97249
910047600,0,6.6,6.6,6.6,80381
910134000,0,6.7,6.7,6.7,66550
910220400,0,6.6,6.6,6.6,66017
910306800,0,6.4,6.4,6.4,94731
910566000,0,6.4,6.4,6.4,83177
910652400,0,6.6,6.6,6.6,66068
910825200,0,6.65,6.65,6.65,58067
910911600,0,6.65,6.65,6.65,59514
911170800,0,6.8,6.8,6.8,84213
911257200,0,6.75,6.75,6.75,76646
911343600,0,6.8,6.8,6.8,81573
911430000,0,6.75,6.75,6.75,84937
911516400,0,6.75,6.75,6.75,95303
911775600,0,6.8,6.8,6.8,89047
911862000,0,6.9,6.9,6.9,78889
911948400,0,6.85,6.85,6.85,51000
912034800,0,6.85,6.85,6.85,53004
912121200,0,6.8,6.8,6.8,83654
912380400,0,6.85,6.85,6.85,50721
912466800,0,6.8,6.8,6.8,52300
912553200,0,6.8,6.8,6.8,51092
912639600,0,6.8,6.8,6.8,55806
912726000,0,6.8,6.8,6.8,59087
912985200,0,6.85,6.85,6.85,59338
913071600,0,6.8,6.8,6.8,55992
913158000,0,6.8,6.8,6.8,64906
913244400,0,6.8,6.8,6.8,61300
913330800,0,6.8,6.8,6.8,64039
913590000,0,6.8,6.8,6.8,61734
913676400,0,6.15,6.15,6.15,61431
913762800,0,6.65,6.65,6.65,74698
913849200,0,6.6,6.6,6.6,68540
913935600,0,6.85,6.85,6.85,74080
914194800,0,6.8,6.8,6.8,75286
914281200,0,6.8,6.8,6.8,82932
914367600,0,6.9,6.9,6.9,105187
914799600,0,7,7,7,64870
914886000,0,6.35,6.35,6.35,64462
914972400,0,5.75,5.75,5.75,25573
915058800,0,5.2,5.2,5.2,125577
915404400,0,4.85,4.85,4.85,360659
915490800,0,5.3,5.3,5.3,161580
915577200,0,5.3,5.3,5.3,68619
915663600,0,5.15,5.15,5.15,29282
915750000,0,5.1,5.1,5.1,83988
916009200,0,5.05,5.05,5.05,42445
916095600,0,4.95,4.95,4.95,42769
916182000,0,4.9,4.9,4.9,144103
916268400,0,4.6,4.6,4.6,34050
916354800,0,4.4,4.4,4.4,49143
916614000,0,4.5,4.5,4.5,30886
916700400,0,4.4,4.4,4.4,18476
916786800,0,4.35,4.35,4.35,33198
916873200,0,4.2,4.2,4.2,32912
916959600,0,4.15,4.15,4.15,31579
917218800,0,3.75,3.75,3.75,22700
917305200,0,3.7,3.7,3.7,103635
917391600,0,3.8,3.8,3.8,34087
917478000,0,3.5,3.5,3.5,78755
917564400,0,3.45,3.45,3.45,84563
917823600,0,3.6,3.6,3.6,114971
917910000,0,3.95,3.95,3.95,52671
917996400,0,4.3,4.3,4.3,122355
918082800,0,3.9,3.9,3.9,69635
918169200,0,3.85,3.85,3.85,54983
