t,o,c,h,l,v
1377813600,206.05,206.05,206.05,206.05,7
1378072800,206,206,206,206,10
1378159200,206,203.55,211.9,202.05,678
1378245600,204.05,204.05,204.05,204.05,70
1378332000,204.05,204,204.5,204,124
1378418400,204.5,204.5,204.5,204.5,5
1378677600,205,205,207,205,40
1378764000,205,205,205,205,30
1378850400,204.05,204.05,204.05,204.05,15
1378936800,205,204.05,205,204.05,95
1379023200,204,207,207,204,145
1379282400,207,209,209,207,55
1379368800,209,210,211,208.6,415
1379455200,205,215,216,205,565
1379541600,214,218,218,214,91
1379628000,216,217.5,217.5,216,10
1379887200,217.5,220,221,217.5,247
1379973600,220,220,220,220,24
1380060000,0,220,220,220,0
1380146400,220.2,219,220.2,219,103
1380232800,219,219,219,219,12
1380492000,220,220,220,220,10
1380578400,0,220,220,220,0
1380664800,220,222,222,220,471
1380751200,222,222,222,222,6
1380837600,222,222,222,222,10
1381096800,0,222,222,222,0
1381183200,0,222,222,222,0
1381269600,0,222,222,222,0
1381356000,0,222,222,222,0
1381442400,217,222,222,216.8,166
1381701600,221.8,225,225,221.8,251
1381788000,226.1,231,231,226.1,157
1381874400,231,238,240,231,116
1381960800,240,235,244,235,137
1382047200,0,235,235,235,0
1382306400,238,238,238,238,4
1382392800,234.95,234.95,234.95,234.95,12
1382479200,0,234.95,234.95,234.95,0
1382565600,0,234.95,234.95,234.95,0
1382652000,238,238,238,238,40
1382914800,238,228.05,238,228.05,32
1383001200,226.65,234.95,234.95,226.65,45
1383087600,238.5,250.85,250.85,238.5,304
1383174000,260,280.05,281,260,95
1383519600,270,282,284,270,87
1383606000,280,280,280,280,20
1383692400,280,290,290,280,103
1383778800,290.2,275,298,275,130
1383865200,278,280,280,278,35
1384210800,276,280,280,276,69
1384297200,280,295,295,277,310
1384383600,295,281,298,271,204
1384470000,285,275,285,275,19
1384729200,265.75,264,268.5,242.05,228
1384815600,264,280,280,264,434
1384902000,280,284,284,280,191
1384988400,276.2,276.2,276.2,276.2,28
1385074800,0,276.2,276.2,276.2,0
1385334000,0,276.2,276.2,276.2,0
1385420400,282,282,282,282,27
1385506800,276.2,276.2,276.2,276.2,2
1385593200,276,275,276,275,18
1385679600,281,284,284,281,72
1385938800,0,284,284,284,0
1386025200,276.3,276.3,276.3,276.3,20
1386111600,0,276.3,276.3,276.3,0
1386198000,271.95,271.95,271.95,271.95,28
1386284400,0,271.95,271.95,271.95,0
1386543600,259,260,260,259,7
1386630000,260,260,260,260,5
1386716400,260,256,260,255,47
1386802800,0,256,256,256,0
1386889200,0,256,256,256,0
1387148400,240,264,264,240,330
1387234800,264,264,264,264,2
1387321200,0,264,264,264,0
1387407600,0,264,264,264,0
1387494000,0,264,264,264,0
1387753200,266,280,280.05,266,103
1388098800,280,285,285,280,29
1388358000,284,290.15,294.9,284,70
1388617200,0,290.15,290.15,290.15,0
1388703600,0,290.15,290.15,290.15,0
1389049200,285.75,284,285.75,284,35
1389135600,284,283.8,284,283.8,34
1389222000,273.35,273.35,273.35,273.35,28
1389308400,0,273.35,273.35,273.35,0
1389567600,261.05,261,261.05,261,8
1389654000,0,261,261,261,0
1389740400,0,261,261,261,0
1389826800,0,261,261,261,0
1389913200,0,261,261,261,0
1390172400,265,279.95,279.95,265,17
1390258800,279.95,290,290,279.95,59
1390345200,291.95,292,292,291.95,50
1390431600,0,292,292,292,0
1390518000,0,292,292,292,0
1390777200,0,292,292,292,0
1390863600,0,292,292,292,0
1390950000,0,292,292,292,0
1391036400,285,295,295,279.05,78
1391122800,297.5,294.95,297.5,284.8,136
1391382000,0,294.95,294.95,294.95,0
1391468400,290,290,290,290,4
1391554800,0,290,290,290,0
1391641200,0,290,290,290,0
1391727600,281,281,281,281,26
1391986800,0,281,281,281,0
1392073200,0,281,281,281,0
1392159600,0,281,281,281,0
1392246000,0,281,281,281,0
1392332400,0,281,281,281,0
1392591600,273.35,273.35,273.35,273.35,5
1392678000,273.35,273.35,273.35,273.35,5
1392764400,0,273.35,273.35,273.35,0
1392850800,271.45,271.45,271.45,271.45,28
1392937200,0,271.45,271.45,271.45,0
1393196400,273.5,275,275,273.5,8
1393282800,0,275,275,275,0
1393369200,0,275,275,275,0
1393455600,0,275,275,275,0
1393542000,0,275,275,275,0
1393801200,241,246,249,241,44
1393887600,248.7,245,248.7,245,48
1393974000,246.2,241,246.2,241,120
1394060400,240,240,240,240,5
1394146800,241,241,241,241,10
1394406000,0,241,241,241,0
1394492400,220,213,229,198,279
1394578800,208.75,208.75,208.75,208.75,13
1394665200,202.5,201.4,202.5,200,104
1394751600,200,194.95,201,194.95,112
1395010800,195,195.5,195.5,195,45
1395097200,196.5,202,202,196.5,53
1395183600,207,205.35,207,205.35,50
1395270000,203,205,205,202,81
1395356400,209,228.8,228.8,209,70
1395615600,228.5,229.7,229.7,228.5,37
1395702000,229.7,231.8,231.8,229.7,30
1395788400,231.8,240.35,240.35,224.1,81
1395874800,241,265,265,241,113
1395961200,250,273.9,273.9,250,57
1396216800,270,290,290,270,132
1396303200,290,289,290,289,57
1396389600,280,289,289,270,25
1396476000,286,274.35,286,274.35,92
1396562400,270,268.95,270,268.95,73
1396821600,271.45,270,271.45,268.95,14
1396908000,271.45,271.45,271.45,271.45,4
1396994400,269,271.5,271.5,269,15
1397080800,0,271.5,271.5,271.5,0
1397167200,270,270,270,270,2
1397426400,264.8,262,264.8,262,69
1397512800,257,250,257,250,120
1397599200,0,250,250,250,0
1397685600,0,250,250,250,0
1398117600,0,250,250,250,0
1398204000,0,250,250,250,0
1398290400,239.1,241,241,239.1,36
1398376800,240.05,240.05,240.05,240.05,8
1398636000,240.5,237,240.5,237,53
1398722400,236,236,236,236,20
1398808800,0,236,236,236,0
1398981600,0,236,236,236,0
1399240800,0,236,236,236,0
1399327200,0,236,236,236,0
