t,o,c,h,l,v
1524088800,30.9,29,32,27.2,18751
1524175200,29,28.99,29,28.5,2489
1524434400,28.99,28.85,28.99,28.85,1092
1524520800,28.85,27.9,28.85,27.11,1863
1524607200,27.7,27.13,28.85,26.95,1576
1524693600,28.85,27,28.85,27,331
1524780000,28.85,27,28.85,26.9,982
1525039200,27,25,28.6,25,1955
1525212000,25.01,26.3,27.1,25.01,1520
1525384800,27.1,27,27.1,25.85,244
1525644000,26.97,27,27,26.96,627
1525730400,26.91,26.5,26.91,26.5,448
1525816800,26.79,26.77,26.79,26.77,82
1525903200,26.77,27,27,26.2,645
1525989600,26.97,26.69,26.97,26.69,863
1526248800,26.68,27.2,28.5,26.61,114489
1526335200,28.49,29.89,29.89,26.94,15122
1526421600,29.99,30.8,32.8,29.56,10195
1526508000,30.8,29.86,30.8,29.5,1205
1526594400,29.86,29.25,29.86,28.5,180
1526853600,29.25,29.57,29.89,29,2051
1526940000,29.79,28.68,29.79,28.4,5587
1527026400,28.68,28.55,28.68,27.75,273
1527112800,29.5,29.5,29.5,28,14038
1527199200,29.5,28.5,29.5,28.5,106
1527458400,29.49,28,29.49,27.02,1526
1527544800,29,28,29,27.5,62
1527631200,28,28.5,29,27,3049
1527804000,29.2,30.95,30.95,28,1912
1528063200,30.9,29.9,30.9,29.25,681
1528149600,30.5,29.9,30.5,29.3,42
1528236000,30.49,29.8,30.49,29.3,62
1528322400,28.9,28,28.9,28,1126
1528408800,28.85,28.2,29,28,1697
1528668000,29.4,28.5,29.4,28.5,842
1528754400,28.79,28.79,28.79,28.22,662
1528840800,28.79,29.4,29.4,28.79,3
1528927200,29.4,29.4,29.4,29.4,2
1529013600,29.4,27.98,29.4,27.6,4734
1529272800,29,27.99,29,27,1664
1529359200,26.07,27.29,27.29,26.07,1912
1529445600,26.5,27.48,27.63,26.5,1181
1529532000,27.3,27.3,27.3,27.29,971
1529618400,28.98,27.63,28.98,27.63,2
1529877600,27.5,27.5,27.5,26.5,1036
1529964000,27.5,27.5,27.5,27.5,247
1530050400,28.5,25.7,28.5,24.7,2813
1530136800,26.5,25.2,26.5,24.5,1977
1530223200,25,25.5,26.39,25,3052
1530482400,25.8,26,26.5,25.8,1791
1530568800,26,26.5,28.6,25.75,2975
1530655200,26,26,26,25.9,14
1530741600,25.5,25.5,25.5,25.5,30
1530828000,26,26,26,24.5,1292
1531087200,28.48,26,28.48,25.7,2065
1531173600,26,26.4,26.4,25.4,3331
1531260000,28.4,26,28.4,25.6,582
1531346400,26,28,28,26,178211
1531432800,28.48,27.9,28.48,27,16591
1531692000,27.8,28.47,28.47,27.28,5813
1531778400,28.47,28.39,28.47,28.39,21
1531864800,28.39,28.38,28.39,28,52
1531951200,28.38,28.38,28.38,28.38,1
1532037600,28.37,28.25,28.37,27.14,951
1532296800,28.25,26.34,28.25,26.34,3213
1532383200,27.5,27.55,27.55,26.8,1566
1532469600,28.24,28.24,28.24,27.8,1051
1532556000,28.37,28,28.37,28,88
1532642400,28.3,27.38,28.3,27,1242
1532901600,27.37,27.8,28.5,26,3266
1532988000,28.48,28.47,28.49,28.3,3213
1533074400,28.48,27.99,28.48,27.6,5063
1533160800,27.99,28.25,28.25,27.99,1031
1533247200,28.25,28.31,28.31,28.25,152
1533506400,28.31,28.31,28.31,28.31,101
1533592800,28.31,28.28,28.31,28.28,41
1533679200,28.26,28.24,28.26,28.24,256
1533765600,28.24,27.5,28.26,27.5,1969
1533852000,28,26,28,26,863
1534111200,26,26.7,27.3,26,883
1534197600,27.29,27.19,27.29,26.8,81
1534370400,27.19,27.19,27.19,27.19,11
1534456800,27.19,27.19,27.19,27.1,330
1534716000,27.19,27.19,27.19,26.01,102
1534802400,27.19,28.4,29,27.19,121276
1534888800,28.9,28.8,28.9,28.8,759
1534975200,28.8,28.8,28.8,28.8,2
1535061600,28.8,28.7,28.8,28.7,146
1535320800,28.8,28.45,28.8,27.2,105
1535407200,28.45,28.45,28.45,28.45,2
1535493600,28.45,28.45,28.45,27,302
1535580000,28,28.4,28.4,28,57
1535666400,28.45,28.3,28.45,28.3,2
1535925600,28.45,28.45,28.45,27.25,128
1536012000,28.75,27.25,28.75,27.25,971
1536098400,28.25,27.18,28.25,26.1,165
1536184800,27.18,25.99,27.18,24.55,2243
1536271200,25.8,22.5,25.8,21.2,6790
1536530400,23.5,21,23.5,20,1085
1536616800,20.99,20,20.99,19.7,849
1536703200,21,19,22,18.9,13888
1536789600,20,19,20,18.88,1267
1536876000,19,19,19,18.8,4729
1537135200,19,19,19,17.1,3972
1537221600,19.25,19,19.93,19,3417
1537308000,19.98,19.42,19.98,19.42,161
1537394400,19.2,19,19.4,19,323
1537480800,19.28,19,19.28,19,1012
1537740000,20,18.51,20.2,18.51,4300
1537826400,19.39,19.01,19.79,19,9561
1537912800,19.78,19.1,19.78,18.62,962
1537999200,19.1,20,20,19.1,1311
1538085600,20,20,20.8,19.8,7257
1538344800,20.8,19.9,20.8,19.9,1532
1538431200,20.25,20,20.25,19.9,647
1538517600,20.8,20.24,20.8,20.24,380
1538604000,20.24,20.08,20.24,20.07,194
1538690400,20.79,19.5,20.79,19.1,1217
1538949600,19.5,19.11,19.99,19.11,1483
1539036000,19.99,19.88,19.99,19.88,22
1539122400,19.88,19,19.88,19,1591
1539208800,19.19,18.5,19.19,18.29,1438
1539295200,18.7,19.98,19.98,18,1400
1539554400,20.8,20,20.89,19,822
1539640800,20,19.01,20,18.49,316
1539727200,20,19.5,20,18.89,620
1539813600,20,19,20,19,31
1539900000,18.5,18.5,18.5,18.1,6595
1540159200,18.5,17.9,18.5,17.9,1025
1540245600,18.39,18.39,18.39,17.5,4625
1540332000,18.39,18.3,18.39,17.4,221
1540418400,18.5,17.47,18.5,17.01,1846
1540504800,17.47,17.05,17.47,17.05,301
1540767600,17.49,16.55,17.49,16.55,512
1540854000,16.56,16.8,17.4,16.56,328
1540940400,17.3,17,17.88,16.6,1610
1541113200,17.1,18,18.5,17.1,594
1541372400,18.81,18.81,18.81,18.36,629
1541458800,19.4,19,19.5,19,628
1541545200,19,19.2,19.2,18.12,976
1541631600,19.2,19.2,19.2,19.2,1
1541718000,19.2,19.2,19.2,19.2,92
1542063600,19.98,19.4,19.98,19.18,609
1542150000,19.9,19.15,21.88,19.15,4331
1542236400,19.15,19.15,19.15,19.15,50
1542322800,19.5,19.5,19.5,19,3062
1542582000,19.5,19.5,19.5,19.5,2
1542668400,19,18.6,19,18.6,296
1542754800,19,19,19,19,501
1542841200,19.9,19.9,19.9,19.9,1
1542927600,19.9,19.7,19.9,19.7,4
1543186800,19.9,19.5,19.9,18.4,1792
1543273200,19.9,19.34,19.9,19.34,26
1543359600,19.5,19.29,19.5,18.38,252
1543446000,19.5,19,19.5,18.99,32
1543532400,19,18.99,19,18.99,128
1543791600,19.9,19.8,19.9,18.99,733
1543878000,19.8,19.4,19.8,18.87,536
1543964400,19.8,19.39,19.8,19.39,6
1544050800,19.8,19.39,19.8,19.39,54
1544137200,19.8,18.5,19.8,18.5,10
1544396400,19,19,19,19,1
1544482800,18.5,18.45,18.5,18.45,631
1544569200,18.2,18.2,18.2,18,201
1544655600,18,17.9,18,17.1,1182
1544742000,17.6,17.58,17.6,17.58,231
1545001200,17.59,17.2,17.59,17.11,22
1545087600,17.21,17.1,17.21,16.5,2727
1545174000,17.98,17,17.98,16.6,879
1545260400,16,15,17,15,6381
1545346800,15.9,14,15.9,14,3660
1545865200,14.4,14.01,15.4,13.62,6540
1545951600,13.8,14.3,15,13.8,3628
1546383600,14.5,15,15,14.5,282
1546470000,14.99,14.9,14.99,14.9,310
1546556400,14.9,16.14,16.39,14.9,2778
1546815600,16.14,16.12,16.14,16.12,775
1546902000,16.12,16.12,16.12,16.12,23
1546988400,16.12,15,16.12,15,2649
1547074800,15.49,15.1,15.8,15.1,1201
1547161200,15.4,15.3,15.4,15.1,1471
1547420400,15.4,15.5,15.5,15.3,633
1547506800,15.5,15.45,15.95,15,2644
1547593200,15.38,15.28,15.38,15.28,303
1547679600,15.3,15.24,15.3,15.24,2
1547766000,15.2,15.2,15.2,15.2,203
1548025200,15.2,14.49,15.2,14.49,2039
1548111600,15,14.01,15,14.01,47
1548198000,14.48,13.73,14.48,13.1,10523
1548284400,13.3,13.65,13.65,13.12,1209
1548370800,13.3,13.39,13.65,13.12,1148
