t,o,c,h,l,v
1626645600,30,28.08,31,26.605,265014
1626732000,28.5,27.52,29.5,27,52756
1626818400,28.08,27,28.08,27,30318
1626904800,27.02,26.8,27.39,26.61,11581
1626991200,26.8,26.9,27.46,26.75,13891
1627250400,27.9,27.3,27.9,26.99,13598
1627336800,27.595,26.91,27.595,26.91,1873
1627423200,26.91,26.5,26.975,26.2,24481
1627509600,26.9,26.87,27.5,26.52,55609
1627596000,27,28.08,28.385,26.35,29235
1627855200,28.395,27.75,29,27.75,15610
1627941600,28.2,27.69,28.45,27.005,4798
1628028000,28,27.6,28,26.845,10238
1628114400,27.595,27.455,27.595,26.995,505
1628200800,27.6,27.095,27.6,26.8,3730
1628460000,27.49,27.48,27.49,27,26411
1628546400,27.2,26.9,27.62,26.7,13088
1628632800,27.78,27.37,27.78,26.8,3230
1628719200,27.03,26.81,27.445,26.75,9101
1628805600,27,27,27,26.75,825
1629064800,27,26.79,27,26.4,119317
1629151200,26.99,26.7,26.99,26.41,1178
1629237600,26.51,26.79,26.79,26.4,4546
1629324000,26.99,26.5,26.99,26.5,254
1629410400,26.6,27.15,27.15,26.5,9234
1629669600,27.4,27.36,27.4,27.005,1775
1629756000,27.4,27.49,27.49,26.525,745
1629842400,27.7,26.7,27.7,26.625,1912
1629928800,26.7,26.51,26.7,26.425,12155
1630015200,26.45,26.62,27.36,26.45,6214
1630274400,26.9,26.95,27.005,26.6,2939
1630360800,27,26.5,27,26.42,12067
1630447200,26.6,26.47,26.6,26.35,9573
1630533600,26.89,26.31,26.9,26.08,78684
1630620000,26.45,26.265,26.48,26.22,17082
1630879200,26.4,25.99,26.4,25.8,27052
1630965600,25.95,24.94,25.95,24.9,39870
1631052000,25,24,25.005,23.9,25950
1631138400,23.995,24.795,25,23.9,5134
1631224800,24.995,24.675,25,24.6,3867
1631484000,25,25.7,26.09,24.7,14500
1631570400,25.995,25.95,26.38,25.8,10344
1631656800,26.29,26.18,26.29,25.82,4272
1631743200,26,25.81,26.5,25.2,12688
1631829600,26,26.195,26.4,25.2,5002
1632088800,26.19,24.99,26.19,24.4,13979
1632175200,24.98,24.5,25.495,24.47,6179
1632261600,25.6,24.5,26.15,24.5,23346
1632348000,24.88,25.145,25.5,24.64,2727
1632434400,25.17,25,25.835,24.95,2284
1632693600,25,25.4,25.575,24.94,4076
1632780000,25.02,25.26,25.3,24.96,1051
1632866400,25,24.67,25.035,24.6,9782
1632952800,24.67,24.5,24.8,24,13398
1633039200,24.29,24.835,24.85,24.1,1774
1633298400,24.5,25,25.1,24.5,2470
1633384800,25,25.07,25.1,24.515,2941
1633471200,24.83,24.48,25,24,10400
1633557600,24.5,24.6,24.87,24,11240
1633644000,24.4,24.1,24.6,24,16076
1633903200,24.3,24,24.49,23.91,9175
1633989600,24.235,23.8,24.235,23.625,12068
1634076000,23.8,23.5,24.4,23.49,290326
1634162400,23.875,23.5,24.22,23.4,9826
1634248800,23.5,24.4,24.5,23.4,45031
1634508000,24.5,24.7,24.75,24.4,11653
1634594400,24.67,23.8,24.67,23.495,30518
1634680800,23.65,23.21,23.69,22.98,114909
1634767200,23.22,23,23.4,22.9,20249
1634853600,23,22.455,23,22.45,16766
1635112800,22.715,21.81,22.715,21.81,19219
1635199200,21.81,21.495,22.185,21.3,12339
1635285600,21.495,21.24,21.495,20.55,20738
1635372000,21.1,20.1,21.1,20,44782
1635458400,20.2,20.015,21.48,20,43128
1635807600,20.02,20.12,20.96,20.02,13574
1635894000,20.12,20.355,20.68,20.01,11389
1635980400,20.35,20.8,20.95,20.35,7313
1636066800,21,20.41,21.3,20.3,10977
1636326000,20.59,19,20.59,18.69,156308
1636412400,19,18.838,19.136,18.4,10522
1636498800,18.89,18.4,18.896,18.06,22366
1636671600,18.07,17.5,18.602,17.4,37354
1636930800,17.5,17.44,17.85,17.44,27134
