t,o,c,h,l,v
1194908400,9.1,9,9.1,8.62,264
1194994800,9.58,9.1,9.58,9.1,33633
1195081200,9.28,8.8,9.28,8.5,32105
1195167600,8.63,9.3,9.3,8.63,9312
1195426800,9.42,8.8,9.42,8.8,10792
1195513200,8.8,8.99,8.99,8.6,3873
1195599600,8.91,8.6,8.91,8.4,13791
1195686000,8.78,8.9,8.9,8.5,6806
1195772400,8.8,9.09,9.09,8.8,2930
1196031600,9.25,9.08,9.35,8.9,8538
1196118000,9.25,9,9.25,8.8,4873
1196204400,8.8,9,9.08,8.8,1270
1196290800,9,9,9.05,9,10723
1196377200,9.18,9.75,9.75,9.18,10475
1196636400,9.7,9.7,9.7,9.5,1849
1196722800,9.69,9.68,9.69,9.68,420
1196809200,9.79,10,10.4,9.67,1977
1196895600,9.97,10,10,9.89,12797
1196982000,9.99,10,10,9.81,5633
1197241200,10,9.95,10.28,9.7,13557
1197327600,9.94,9.93,9.94,9.93,2758
1197414000,9.73,9.54,9.73,9.21,15051
1197500400,9.58,9.24,9.58,9,7090
1197586800,9,8.82,9,8.61,21050
1197846000,8.82,8.57,8.82,8.07,26167
1197932400,8.39,8.13,8.39,8,36769
1198018800,8.13,8.2,8.2,7.55,68731
1198105200,8.34,8.57,8.57,8.21,10573
1198191600,8.54,8.5,8.78,8.3,24834
1198710000,8.5,8.5,8.5,8.5,1662
1198796400,8.38,8.5,8.5,8.38,52265
1199228400,8.5,8.7,8.79,8.5,3587
1199314800,8.52,8.7,8.7,8.3,9365
1199401200,8.7,8.4,8.7,8.3,4759
1199660400,8.4,8.39,8.54,7.81,3807
1199746800,8.37,8.55,8.55,8.03,7650
1199833200,8.21,8.48,8.5,8.2,8548
1199919600,8.4,8.38,8.4,8.11,6339
1200006000,8.35,8.7,8.7,8.35,5320
1200265200,8.69,8.24,8.7,8.1,9650
1200351600,8.02,8.22,8.22,8,4750
1200438000,8.2,7.65,8.2,7.5,13334
1200524400,7.99,7.89,7.99,7.67,800
1200610800,7.85,7.7,7.85,7.5,32227
1200870000,7.54,7.55,7.85,7.5,9458
1200956400,7.69,7.8,7.93,7.01,23463
1201042800,8.16,7.75,8.16,7.73,18480
1201129200,7.89,9,9,7.85,48974
1201215600,8.98,8.9,9,8.7,22306
1201474800,8.89,8.85,8.89,8.5,11563
1201561200,9.05,9,9.1,8.7,17101
1201647600,9,9.12,9.17,9,35185
1201734000,9.11,9.5,9.5,8.9,47515
1201820400,9.49,9.8,9.98,9.11,7011
1202079600,9.6,9.99,9.99,9.6,14811
1202166000,9.99,10.5,11.89,9.99,137382
1202252400,10.24,10.73,11,10,24343
1202338800,10.73,10.49,10.74,10,18265
1202425200,10.68,10.65,10.68,10.3,9845
1202684400,10.69,10.99,11.1,10.65,6127
1202770800,11.05,11.1,11.1,10.65,29521
1202857200,11.1,10.99,11.1,10.92,6938
1202943600,11.1,11.4,11.42,10.91,56291
1203030000,11.52,11.34,11.52,11.2,21204
1203289200,11.33,11.45,11.45,10.61,31278
1203375600,11.46,11.7,11.8,11.44,40919
1203462000,11.56,11.49,11.56,11.3,20409
1203548400,11.49,11.35,11.49,11.35,41145
1203634800,11.35,11.34,11.35,11.07,17230
1203894000,11.15,11.35,11.48,11.15,7687
1203980400,11.38,11.68,11.8,11.38,8287
1204066800,11.5,11.88,11.99,11.5,3959
1204153200,11.8,11.93,11.93,11.69,1049
1204239600,11.91,11.88,11.91,11.6,1825
1204498800,11.91,12.38,12.4,11.32,34748
1204585200,12.4,13.5,14.69,12.4,89717
1204671600,13.5,14.67,16,13.5,38378
1204758000,15.49,14.3,15.49,14.08,37620
1204844400,14.01,14.24,14.24,13.8,4146
1205103600,14.45,15.24,15.3,14.45,10014
1205190000,14.33,15.25,15.65,14.33,41787
1205276400,15.5,15.34,15.5,14.82,15069
1205362800,15,15.29,15.3,14.6,5093
1205449200,15.25,15.4,15.5,15.25,4305
1205708400,15.4,16,16,15.09,21799
1205794800,16,17,17.48,16,35339
1205881200,17.37,17.4,17.98,17.2,24832
1205967600,17.3,18.8,19,17.3,64654
1206399600,18.8,16.61,19.3,16.15,108490
1206486000,16.55,15.14,16.6,15.06,125110
1206572400,15.3,16.34,16.5,15.3,41740
1206658800,16.67,17.05,17.6,15.52,42980
1206914400,17.09,16.93,17.09,16.52,11767
1207000800,16.95,16.7,16.95,16.55,27658
1207087200,16.8,16.7,16.8,16.16,13562
1207173600,16.36,16.24,16.36,15.75,9605
1207260000,15.92,16.15,16.19,15.32,14397
1207519200,16.15,16.6,17.09,16.15,21490
1207605600,16.6,16.55,16.6,16.31,8523
1207692000,16.4,16.6,16.6,16.11,8686
1207778400,16.6,16.59,16.6,16.27,4978
1207864800,16.62,16.43,16.64,16.22,15946
