t,o,c,h,l,v
1348092000,2.1,2.1,2.1,2.09,115
1348178400,2.1,2.1,2.1,2.01,950
1348437600,2.11,2.12,2.12,2.11,460
1348524000,2.12,2.1,2.12,2.1,50
1348610400,2.08,2.15,2.15,2.03,8900
1348696800,2.15,2.14,2.15,2.12,870
1348783200,2.14,2.19,2.19,2.14,200
1349042400,2.19,2.19,2.19,2.18,325
1349128800,2.2,2.2,2.2,2.12,9948
1349215200,2.2,2.23,2.25,2.17,3145
1349301600,2.25,2.25,2.25,2.24,2750
1349388000,2.25,2.25,2.26,2.24,2600
1349647200,2.25,2.3,2.3,2.2,1950
1349733600,2.3,2.3,2.3,2.29,400
1349820000,2.3,2.25,2.3,2.25,670
1349906400,2.27,2.32,2.33,2.27,1290
1349992800,2.33,2.7,2.7,2.31,16036
1350252000,2.75,2.75,2.75,2.7,2721
1350338400,2.75,2.9,2.9,2.74,7665
1350424800,3,3.24,3.25,3,33090
1350511200,3.24,3.4,3.4,3.2,16805
1350597600,3.4,3.27,3.4,3.27,7600
1350856800,3.18,3.6,3.6,3.18,20507
1350943200,3.6,3.72,3.72,3.25,24974
1351029600,3.67,3.78,3.8,3.67,22380
1351116000,3.8,3.82,3.83,3.79,6052
1351202400,3.85,3.97,3.97,3.84,24608
1351465200,3.97,4.03,4.03,3.96,19773
1351551600,4.05,4.12,4.12,4.05,15819
1351638000,4.12,4.27,4.27,4.11,22768
1351810800,4.27,4.33,4.33,4.26,16539
1352070000,4.33,4.45,4.45,4.33,55022
1352156400,4.45,4.48,4.49,4.41,12681
1352242800,4.48,4.1,4.5,4.09,20715
1352329200,4.08,4.44,4.45,3.45,31983
1352415600,4.44,4.2,4.44,4.15,3831
1352674800,4.01,4,4.1,3.99,5350
1352761200,3.95,3.99,3.99,3.81,588
1352847600,3.99,4.03,4.03,3.99,3150
1352934000,4.01,4.03,4.04,3.85,1429
1353020400,4.03,4.09,4.09,4,125
1353279600,4.08,4.07,4.09,3.99,725
1353366000,4.07,4.05,4.07,3.9,3500
1353452400,4,4.04,4.05,3.8,8897
1353538800,4,3.76,4,3.6,7660
1353625200,3.85,3.75,3.85,3.62,992
1353884400,3.69,3.64,3.69,3.58,1590
1353970800,3.64,3.48,3.64,3.3,8020
1354057200,3.55,3.54,3.55,3,12520
1354143600,3.64,3.63,3.64,3.63,25
1354230000,3.57,3.54,3.57,3.5,2695
1354489200,3.6,3.42,3.6,3.42,520
1354575600,3.48,3.37,3.48,3.31,1760
1354662000,3.4,3.31,3.4,3.31,426
1354748400,3.4,3.59,3.59,3.2,16467
1354834800,3.59,3.94,3.94,3.59,13082
1355094000,4,3.99,4,3.9,4760
1355180400,4,3.98,4,3.98,750
1355266800,4,3.95,4,3.8,1157
1355353200,3.95,3.95,3.95,3.95,15
1355439600,3.95,3.92,3.95,3.76,1155
1355698800,3.93,4,4.1,3.7,9323
1355785200,4,3.9,4,3.85,2486
1355871600,3.9,3.9,3.9,3.88,2005
1355958000,3.89,3.95,3.95,3.77,650
1356044400,4,3.99,4,3.8,2105
1356562800,4,4,4,3.7,750
1356649200,3.99,4,4,3.8,840
1357081200,3.88,3.77,3.88,3.71,6261
1357167600,3.76,3.76,3.76,3.76,25
1357254000,3.78,3.55,3.78,3.5,5710
1357513200,3.55,3.46,3.55,3.41,4650
1357599600,3.46,3.9,3.9,3.4,8133
1357686000,3.92,3.84,3.92,3.84,630
1357772400,3.84,3.82,3.84,3.79,155
1357858800,3.77,3.81,3.82,3.7,680
1358118000,3.77,3.7,3.77,3.7,20
1358204400,3.7,3.75,3.75,3.65,395
1358290800,3.65,3.61,3.7,3.61,50
1358377200,3.57,3.67,3.67,3.57,910
1358463600,3.6,3.67,3.68,3.6,770
1358722800,3.69,3.69,3.69,3.65,130
1358809200,3.69,3.68,3.69,3.61,85
1358895600,3.68,3.68,3.68,3.61,110
1358982000,3.68,3.55,3.68,3.52,2260
1359068400,3.5,3.42,3.55,3.39,3416
1359327600,3.42,3.54,3.54,3.35,750
1359414000,3.5,3.55,3.55,3.47,931
1359500400,3.48,3.55,3.55,3.48,16
1359586800,3.48,3.55,3.55,3.48,65
1359673200,3.48,3.5,3.55,3.48,160
1359932400,3.48,3.51,3.51,3.4,959
1360018800,3.46,3.4,3.46,3.3,730
1360105200,3.4,3.3,3.4,3.27,345
1360191600,3.27,3.33,3.33,3.27,25
1360278000,3.25,3.3,3.3,3.25,15
1360537200,3.3,3.3,3.3,3.3,5
1360623600,0,3.3,3.3,3.3,0
1360710000,3.29,3.29,3.29,3.29,2450
1360796400,3.28,3.28,3.28,3.28,5
1360882800,3.29,3.29,3.29,3.29,130
1361142000,3.28,3.28,3.28,3.28,5
1361228400,3.3,3.3,3.3,3.3,5
1361314800,3.29,3.3,3.3,3.29,100
1361401200,3.28,3.4,3.4,3.28,1205
1361487600,3.38,3.45,3.45,3.38,200
1361746800,3.45,3.45,3.45,3.45,10
1361833200,3.4,3.44,3.44,3.4,200
1361919600,3.44,3.44,3.44,3.44,45
1362006000,3.44,3.9,3.9,3.29,11330
1362092400,4.05,4.1,4.15,3.67,40178
1362351600,4.1,4.1,4.1,4.1,10
1362438000,4.1,4.05,4.1,4.05,330
1362524400,4,3.99,4,3.99,55
1362610800,0,3.99,3.99,3.99,0
1362697200,4,4.05,4.09,4,2075
1362956400,4.1,4.1,4.1,4.1,10
1363042800,4.1,4.05,4.1,4.05,25
