t,o,c,h,l,v
1403647200,36,33.16,36,33.16,84521
1403733600,33.26,34.38,35.3,33.26,14169
1403820000,34.46,34.54,35,34.45,2061
1404079200,34.56,34.8,34.99,34.56,1800
1404165600,34.91,34.5,34.91,34.49,328
1404252000,34.65,34,34.65,33.86,33412
1404338400,34,34,34,33.71,4920
1404424800,34,35,35,34,187
1404684000,34.99,34,34.99,34,28271
1404770400,34,34,34,33.99,1178
1404856800,33.93,33.86,33.93,33.86,100
1404943200,33.86,33.61,33.86,33.61,76
1405029600,33.6,33.6,33.6,33.5,94
1405288800,33.79,33.8,33.8,33.79,5891
1405375200,33.61,34,34,33.61,110
1405461600,34,33.7,34,33.7,15
1405548000,33.62,33.8,33.8,33.4,456
1405634400,33.31,33.3,33.31,33.3,5322
1405893600,33.57,33.35,33.69,33.35,3994
1405980000,33.35,33.69,33.69,33.35,11
1406066400,33.7,33.3,33.7,33.3,2666
1406152800,0,33.3,33.3,33.3,0
1406239200,33.59,33,33.59,32.9,4098
1406498400,33.2,33.59,33.59,33.2,505
1406584800,33.69,33.69,33.7,33.55,1343
1406671200,33.59,33.6,33.6,33.59,740
1406757600,33.6,33.6,33.6,33.59,302
1406844000,33.58,33.54,33.58,33.3,1604
1407103200,33.6,33.57,33.6,33.45,3760
1407189600,33.55,33.4,33.55,33.35,3859
1407276000,33.4,33.12,33.4,33,8071
1407362400,32.99,33,33.08,32.7,5934
1407448800,32.99,33.06,33.06,32.5,3427
1407708000,32.75,33.27,33.3,32.6,1620
1407794400,33.29,33.29,33.29,33.07,6539
1407880800,33.29,33.19,33.29,33.08,8118
1407967200,33.4,33.28,33.4,33.07,2063
1408312800,33.4,33.3,33.4,33.23,4023
1408399200,33.09,33.3,33.3,33.09,5351
1408485600,33.3,33.08,33.3,33.08,667
1408572000,33.28,33.2,33.28,33.07,1179
1408658400,33.2,33.07,33.2,33.07,616
1408917600,33.24,33.3,33.3,33.23,2420
1409004000,33.29,33.2,33.29,33.11,1102
1409090400,33.18,33.18,33.2,33.07,781
1409176800,33.07,31.85,33.07,30,7737
1409263200,31.83,32.25,32.25,31,5054
1409522400,32.25,31.5,32.25,31.2,3064
1409608800,31.85,31.77,31.85,31.2,700
1409695200,31.78,32.79,32.86,31.26,1835
1409781600,32.79,32.7,32.79,32.7,25
1409868000,32.67,32.67,32.67,32.67,2
1410127200,32,32.5,32.5,32,1242
1410213600,32.65,32.59,32.65,32.03,394
1410300000,32.59,32.57,32.59,32.21,185
1410386400,32.57,32.29,32.57,32,2088
1410472800,32.19,32,32.19,31.8,2501
1410732000,32.19,32,32.19,32,196
1410818400,32.19,32.09,32.19,31.7,729
1410904800,32,32.17,32.17,31.8,1414
1410991200,32,32,32,31.9,1035
1411077600,31.8,32.4,32.4,31.8,12695
1411336800,32.01,32.53,32.53,32,8425
1411423200,32.5,32.5,32.5,32.5,2
1411509600,32.5,32.01,32.5,32.01,5658
1411596000,32.01,32.49,32.5,32.01,896
1411682400,32.5,32.49,32.5,32.02,29
1411941600,32.5,32.5,32.5,32.12,402
1412028000,32.5,32.49,32.5,32.4,592
1412114400,32.05,32.06,32.06,32.05,114
1412200800,32.06,33.39,33.4,32.06,9526
1412287200,33.4,33.31,33.4,33.01,545
1412546400,33.31,33.97,33.97,33.31,7015
1412632800,33.9,33.85,33.9,33.84,365
1412719200,33.85,33.9,33.9,33.8,1566
1412805600,33.9,33.9,33.9,33.65,2136
1412892000,33.8,33.79,33.8,33.51,2460
