t,o,c,h,l,v
1608246000,85,74.98,85,65.2,783054
1608505200,75,69.49,77,67.5,125497
1608591600,69.95,72.78,74.78,67.51,48218
1608678000,73,71,73.51,70.01,23787
1609110000,72,70.56,73.4,68.5,71729
1609196400,71,71.39,72.44,70.02,41119
1609282800,71.85,70.21,71.85,70.2,29871
1609714800,71.99,74.2,75,71,19146
1609801200,75.2,80,81,75,53682
1609974000,75,80,86.69,74.65,123623
1610060400,81.4,76.99,81.5,76.92,34954
1610319600,77,77.9,79.77,77,15812
1610406000,78.9,78.5,80.27,78,13637
1610492400,78.6,77.5,78.7,77.06,10304
1610578800,77.99,78.3,79.13,77.96,9524
1610665200,79.36,78.5,79.36,77.77,6025
1610924400,79.4,78.5,79.5,77.9,9153
1611010800,78.4,77.84,78.4,77.2,6280
1611097200,78,77.9,78.5,77.5,7959
1611183600,78.1,77,78.2,76.76,12444
1611270000,76.6,76.25,76.92,75.2,6390
1611529200,76.26,76.3,77.29,76,6974
1611615600,76.28,76.78,77.56,75.8,3854
1611702000,76.32,74.61,77.12,74.4,19211
1611788400,75,75,75,72.2,19296
1611874800,75.4,74.5,75.65,74.12,12384
1612134000,75,72,75.5,72,18717
1612220400,73,71.5,74,71.5,41937
1612306800,72.6,72,73,71.6,24814
1612393200,72.59,78,78,72,152375
1612479600,78.23,79,81.4,75.2,60908
1612738800,79.5,80.8,83,78.05,91880
1612825200,80.78,77.52,80.78,77.21,33322
1612911600,77.52,76.51,78.88,76.2,34295
1612998000,76.78,77.39,77.39,75.25,40109
1613084400,77.5,75.5,78.78,75.5,24980
1613343600,76.5,77.5,77.91,75.7,9409
1613430000,77.5,77.12,78.29,77,22773
1613516400,78,75.7,78,75.63,23979
1613602800,76,77.7,78.29,75.7,64686
1613689200,78.28,77,78.29,77,39369
1613948400,77.98,77.48,77.98,76.4,7768
1614034800,77.35,74.99,77.38,72.85,29639
1614121200,74.9,77.9,77.9,74.9,11426
1614207600,79.7,80.79,82,78.7,81772
1614294000,82,80.75,82.8,78.81,86630
1614553200,81.5,78.3,82.32,77.77,41068
1614639600,78.78,78.21,79.49,76.07,28156
1614726000,78,76.2,78.32,75.53,24133
1614812400,75,74.6,75.59,73.52,23214
1614898800,75.96,76.5,77.74,75.6,23209
1615158000,76.99,79.1,79.24,76.99,15275
1615244400,79.3,79.2,79.83,78,21871
1615330800,79.69,77.61,79.69,77.61,16630
1615417200,78.56,78.3,78.83,77.12,7559
1615503600,78.78,78.4,78.9,77.16,10682
1615762800,78.66,79.78,80,78,18165
1615849200,79.91,77.6,80.8,77.6,35834
1615935600,78.47,76.8,78.47,76,17789
1616022000,77.2,76.8,77.8,76.4,11507
1616108400,76.5,77.2,77.5,75.8,7329
1616367600,78,77.7,78,77,7039
1616454000,77.98,79,79.3,77.12,18296
1616540400,78.99,78.9,78.99,78,10016
1616626800,78.51,76.6,78.88,76.42,14985
1616713200,76.99,80.99,82.3,76.7,77400
1616968800,81.62,80,83,79.01,40790
1617055200,81.4,79.9,81.5,79.12,17338
1617141600,80,76.53,80,76.53,91302
1617228000,76.9,77.6,80,75.1,53337
1617660000,82,81.3,82.7,78.1,135582
1617746400,81,78.1,81,75.85,103593
1617832800,78.1,77.05,78.8,76.05,49748
1617919200,77.1,76.6,77.85,76,31995
1618178400,76.05,74.4,77,73.3,30860
1618264800,74.5,74.9,76.25,74.25,21782
1618351200,74.9,74.1,74.9,73.5,19591
1618437600,73.9,71.6,73.9,70.6,36614
1618524000,70.7,67.8,71.4,66.4,57223
1618783200,67.8,69.8,70.3,67.8,24392
1618869600,70,69,71.5,68,25913
1618956000,69,68,70.7,67.2,17839
1619042400,68.6,68.35,70,68.2,13196
1619128800,69,67.9,69.1,67.9,11662
1619388000,68,70.3,70.6,67.9,27891
1619474400,70.9,72,72,70.35,27278
1619560800,72,69.7,72.8,69.4,19759
1619647200,69.8,69.75,69.95,68,17159
1619733600,69.75,71.6,71.75,66.4,17417
1620079200,71.55,69.7,71.55,69,55916
1620165600,69.7,68.1,69.7,67.5,23583
1620252000,68.5,65.5,68.55,65,35760
1620338400,65.4,67.45,68.4,62.6,82603
1620597600,66.95,66.85,69,65.55,17399
1620684000,66.85,65.3,66.85,64.3,9347
1620770400,65.3,64.45,65.45,63.5,9304
1620856800,63.05,60.8,63.9,58.55,182106
1620943200,60.7,59,60.7,58.5,50324
1621202400,59,57.4,59.95,56.75,32717
1621288800,57.05,58.1,59,57.05,85876
1621375200,57.05,58.6,59.5,56.65,158372
1621461600,59.65,57.55,59.65,56.7,74167
1621548000,57.55,58,58.85,56.5,71312
1621807200,58.2,64.85,64.85,58,36921
1621893600,64,57.6,64.65,57.6,112729
1621980000,58.75,60.2,60.5,58,20963
1622066400,59.95,61.2,61.9,59,19151
1622152800,61.75,58,61.75,56.5,37902
1622412000,56.6,56.5,57,55.2,24334
1622498400,56.65,57,58.2,55.2,12738
1622584800,56.4,57.1,58,56.4,11447
1622757600,57.1,57.9,59,56,19450
1623016800,58,59.15,59.4,57,14360
1623103200,58.2,59,59.15,58,2105
1623189600,58.1,58.95,59,57.9,7636
1623276000,58.95,58.8,58.95,58,3119
1623362400,58.25,58.6,58.75,58,6812
1623621600,59,59.75,59.8,58.6,8293
1623708000,59.3,60.5,60.5,59.25,9128
1623794400,60.6,61.4,61.7,60.6,8440
1623880800,61.1,61,61.45,58.7,10410
1623967200,61.35,60.6,61.35,60,3449
1624226400,60.5,58.5,61,58.15,3249
1624312800,57.5,59.95,60.05,57.3,4238
1624399200,60,60.65,61.2,59.95,5784
1624485600,60.65,59.6,61,59.45,41909
1624572000,58,60.5,60.8,58,3126
1624831200,60.5,60,60.5,59.2,31261
1624917600,60,61.3,61.5,58.65,17853
1625004000,62,61.4,62.3,60,17220
1625090400,62,61.9,62.1,61.05,3733
1625176800,61.5,62,62,61.5,4830
1625436000,62.3,61.9,62.6,61.45,3000
1625522400,60.8,60,62.45,57.7,7855
1625608800,60,60.3,60.4,59.35,4527
1625695200,60.3,59.4,60.35,58.3,8908
1625781600,60,60.5,60.5,59.4,3443
1626040800,59.25,59.4,61,59.1,8787
1626127200,61,59.3,61,59,2437
1626213600,60.6,61.35,61.35,59.55,4813
1626300000,61.35,60.3,61.35,60.05,695
1626386400,61.3,60,61.3,59.05,1708
1626645600,60,58.75,60,57.8,2567
1626732000,57.8,58.9,59,57.8,3733
1626818400,58.9,58.2,58.9,57.5,4826
1626904800,59,59,59.9,58,7773
1626991200,60,59.95,60,58.25,5499
1627250400,59.8,59.9,59.95,58.1,982
1627336800,59.9,59.45,59.9,58.3,743
1627423200,59.2,58.85,59.35,58.3,1764
1627509600,58.85,58.1,58.85,58.1,1780
1627596000,58.75,59.95,59.95,58,2550
1627855200,59.95,59.45,59.95,58.4,2380
1627941600,59.45,58.55,59.45,58.45,717
1628028000,59.3,58.45,59.3,58.05,915
1628114400,58.45,58,58.45,57.1,3461
1628200800,58.45,58.05,58.45,57.3,2001
1628460000,58.05,57.4,58.05,57,2866
1628546400,57,57.3,57.4,57,2062
1628632800,57,57.35,57.5,57,1810
1628719200,58.35,56.85,58.35,56.7,3911
1628805600,56.7,57,57.15,56.6,2635
1629064800,57.55,55.3,57.55,55.2,6767
1629151200,51,47.88,52.05,47.6,141777
1629237600,47.9,45.5,48.48,44.54,104296
1629324000,46.2,47,47.6,46,53626
1629410400,47.92,47.76,48.06,47.2,54318
1629669600,48.1,47.38,49,46.8,13671
1629756000,48,47.1,48.4,47,7783
1629842400,47.74,46,47.76,45.62,15448
1629928800,45.52,45.56,45.94,44.8,22351
1630015200,45.5,45.3,45.5,44.6,12762
1630274400,45.1,45.6,45.84,45.02,8211
1630360800,46.2,46,47,45.7,13222
1630447200,46.74,45.98,46.74,44.98,22355
