t,o,c,h,l,v
819586800,0,16,16,16,66043
820018800,0,18,18,18,54069
820105200,0,17,17,17,29618
820191600,0,17,17,17,35887
820537200,0,18,18,18,15135
820623600,0,17,17,17,32043
820710000,0,17,17,17,47744
820796400,0,18,18,18,63971
821055600,0,19,19,19,31094
821142000,0,20,20,20,57989
821228400,0,19,19,19,30063
821314800,0,21,21,21,41913
821401200,0,20,20,20,28779
821660400,0,20,20,20,15427
821746800,0,20,20,20,17566
821833200,0,20,20,20,21726
821919600,0,19,19,19,13248
822006000,0,19,19,19,20583
822265200,0,19,19,19,11936
822351600,0,18,18,18,7858
822438000,0,19,19,19,22515
822524400,0,20,20,20,15342
822610800,0,20,20,20,38002
822870000,0,19,19,19,14684
822956400,0,19,19,19,32144
823042800,0,19,19,19,58149
823129200,0,19,19,19,26200
823215600,0,19,19,19,38296
823474800,0,19,19,19,17856
823561200,0,19,19,19,24322
823647600,0,19,19,19,19498
823734000,0,19,19,19,6253
823820400,0,20,20,20,28634
824079600,0,22,22,22,53581
824166000,0,21,21,21,31481
824252400,0,21,21,21,45164
824338800,0,21,21,21,34430
824425200,0,21,21,21,20868
824684400,0,22,22,22,15447
824770800,0,22,22,22,36161
824857200,0,22,22,22,26750
824943600,0,24,24,24,47171
825030000,0,24,24,24,19906
825289200,0,25,25,25,16229
825375600,0,25,25,25,25366
825462000,0,25,25,25,15168
825548400,0,26,26,26,52650
825634800,0,27,27,27,26516
825894000,0,27,27,27,20317
825980400,0,27,27,27,22689
826066800,0,26,26,26,48476
826153200,0,25,25,25,19937
826239600,0,24,24,24,27231
826498800,0,24,24,24,20749
826585200,0,24,24,24,12938
826671600,0,24,24,24,7502
826758000,0,24,24,24,12220
826844400,0,24,24,24,9428
827103600,0,24,24,24,37740
827190000,0,24,24,24,18818
827276400,0,23,23,23,14232
827362800,0,23,23,23,10737
827449200,0,22,22,22,24300
827708400,0,22,22,22,5047
827794800,0,22,22,22,5224
827881200,0,23,23,23,6830
827967600,0,22,22,22,2544
828054000,0,22,22,22,10918
828309600,0,22,22,22,6928
828396000,0,22,22,22,5198
828482400,0,22,22,22,7039
828568800,0,22,22,22,8919
828655200,0,23,23,23,8741
829000800,0,22,22,22,10255
829087200,0,23,23,23,11351
829173600,0,23,23,23,11354
829260000,0,23,23,23,1873
829519200,0,23,23,23,10087
829605600,0,24,24,24,19969
829692000,0,24,24,24,14855
829778400,0,24,24,24,20432
829864800,0,24,24,24,41764
830124000,0,25,25,25,50048
830210400,0,26,26,26,29480
830296800,0,25,25,25,21963
830383200,0,25,25,25,18397
830469600,0,24,24,24,18132
830728800,0,24,24,24,10142
830815200,0,24,24,24,14692
831333600,0,25,25,25,12888
831420000,0,25,25,25,18695
831506400,0,25,25,25,13924
831592800,0,26,26,26,30830
831679200,0,26,26,26,13583
831938400,0,26,26,26,43536
832024800,0,26,26,26,18426
832111200,0,26,26,26,10222
832197600,0,27,27,27,19643
832284000,0,27,27,27,36758
832543200,0,26,26,26,11595
832629600,0,25,25,25,15298
832716000,0,24,24,24,27075
832802400,0,23,23,23,16918
832888800,0,23,23,23,13232
833148000,0,23,23,23,7341
833234400,0,23,23,23,4957
833320800,0,23,23,23,15626
833407200,0,22,22,22,3085
833493600,0,23,23,23,10321
833752800,0,23,23,23,24994
833839200,0,24,24,24,27056
833925600,0,23,23,23,38804
834098400,0,23,23,23,11678
834357600,0,23,23,23,13686
834444000,0,22,22,22,18707
834530400,0,23,23,23,11651
834616800,0,22,22,22,7844
834703200,0,22,22,22,8027
834962400,0,22,22,22,7639
835048800,0,23,23,23,19210
835135200,0,22,22,22,4854
835221600,0,23,23,23,9259
835308000,0,22,22,22,23618
835567200,0,23,23,23,22261
835653600,0,23,23,23,12660
835740000,0,23,23,23,9910
835826400,0,23,23,23,20754
835912800,0,23,23,23,12302
836172000,0,23,23,23,9824
836258400,0,23,23,23,7084
836344800,0,23,23,23,8860
836431200,0,23,23,23,3332
836517600,0,23,23,23,7416
836776800,0,23,23,23,6838
836863200,0,23,23,23,16321
836949600,0,23,23,23,14743
837036000,0,23,23,23,15363
837122400,0,23,23,23,19169
837381600,0,23,23,23,5866
837468000,0,23,23,23,16694
837554400,0,23,23,23,4386
837640800,0,22,22,22,5310
837727200,0,22,22,22,13679
837986400,0,21,21,21,7362
838072800,0,21,21,21,7418
838159200,0,21,21,21,9232
838245600,0,21,21,21,14452
838332000,0,21,21,21,7362
838591200,0,21,21,21,14669
838677600,0,21,21,21,7235
838764000,0,21,21,21,3813
838850400,0,20,20,20,10261
838936800,0,20,20,20,1484
839196000,0,20,20,20,9020
839282400,0,20,20,20,5558
839368800,0,20,20,20,16916
