t,o,c,h,l,v
864252000,0,114,114,114,9598
864338400,0,105,105,105,15211
864597600,0,95,95,95,18456
864684000,0,90,90,90,13523
864770400,0,90,90,90,9798
865202400,0,92,92,92,13066
865288800,0,88,88,88,11397
865375200,0,79.5,79.5,79.5,20222
865461600,0,75.5,75.5,75.5,19400
865548000,0,77.5,77.5,77.5,10210
865807200,0,75,75,75,9512
865893600,0,70,70,70,8912
865980000,0,69,69,69,8009
866066400,0,73,73,73,12788
866152800,0,78,78,78,10282
866412000,0,78,78,78,5615
866498400,0,77,77,77,7412
866584800,0,75,75,75,4557
866671200,0,73,73,73,6533
866757600,0,72.5,72.5,72.5,6645
867016800,0,69,69,69,6699
867103200,0,67,67,67,8647
867189600,0,65,65,65,7503
867276000,0,63,63,63,8076
867362400,0,65,65,65,10910
867621600,0,66,66,66,4388
867708000,0,63.5,63.5,63.5,4584
867794400,0,64,64,64,4001
867880800,0,68,68,68,7812
867967200,0,73.5,73.5,73.5,6319
868226400,0,72,72,72,5270
868312800,0,73.5,73.5,73.5,4627
868399200,0,76.5,76.5,76.5,9942
868485600,0,77,77,77,6175
868572000,0,74,74,74,4924
868831200,0,67,67,67,3475
868917600,0,64.5,64.5,64.5,14358
869004000,0,67,67,67,8402
869090400,0,67,67,67,8084
869176800,0,66,66,66,3028
869436000,0,61,61,61,10486
869522400,0,61,61,61,6462
869608800,0,62,62,62,6449
869695200,0,58,58,58,4810
869781600,0,58,58,58,10684
870040800,0,55.5,55.5,55.5,9139
870127200,0,54.5,54.5,54.5,5851
870213600,0,56.5,56.5,56.5,7626
870300000,0,57.5,57.5,57.5,3774
870386400,0,54,54,54,4242
870645600,0,56.5,56.5,56.5,5409
870732000,0,56,56,56,7541
870818400,0,57,57,57,5811
870904800,0,58,58,58,9826
870991200,0,60,60,60,11194
871250400,0,63,63,63,17849
871336800,0,62,62,62,9592
871423200,0,63,63,63,16297
871509600,0,64,64,64,18428
871855200,0,63,63,63,13441
871941600,0,60,60,60,4168
872028000,0,62,62,62,6522
872114400,0,61,61,61,6873
872200800,0,61.5,61.5,61.5,4871
872460000,0,62,62,62,7518
872546400,0,62.5,62.5,62.5,6992
872632800,0,63,63,63,10426
872719200,0,65,65,65,8253
872805600,0,68,68,68,21174
873064800,0,66.5,66.5,66.5,11271
873151200,0,68,68,68,13829
873237600,0,70,70,70,17979
873324000,0,71.5,71.5,71.5,23070
873410400,0,72,72,72,10007
873669600,0,75,75,75,14654
873756000,0,78,78,78,17660
873842400,0,78,78,78,15887
873928800,0,75,75,75,6330
874015200,0,75,75,75,12193
874274400,0,73,73,73,8120
874360800,0,72,72,72,7288
874447200,0,70.5,70.5,70.5,12997
874533600,0,70.5,70.5,70.5,12723
874620000,0,71,71,71,8682
874879200,0,71,71,71,4749
874965600,0,72.5,72.5,72.5,5907
875052000,0,70.5,70.5,70.5,3680
875138400,0,67,67,67,10406
875224800,0,64,64,64,4706
875484000,0,66,66,66,4941
875570400,0,64.5,64.5,64.5,4262
875656800,0,64,64,64,3784
875743200,0,67,67,67,6490
875829600,0,65,65,65,1324
876088800,0,63,63,63,1774
876175200,0,63,63,63,3299
876261600,0,64,64,64,8832
876348000,0,66,66,66,7301
876434400,0,65,65,65,11538
876693600,0,65,65,65,0
876780000,0,66,66,66,6330
876866400,0,66,66,66,5999
876952800,0,67,67,67,4962
877039200,0,66,66,66,5808
877298400,0,64,64,64,7168
877384800,0,63,63,63,4195
877471200,0,64,64,64,2751
877557600,0,62,62,62,5498
877644000,0,60,60,60,5929
877906800,0,59.5,59.5,59.5,8774
877993200,0,54,54,54,0
878079600,0,59,59,59,7889
878166000,0,55.5,55.5,55.5,5834
878252400,0,54,54,54,5953
878511600,0,56.5,56.5,56.5,3400
878598000,0,57,57,57,9753
878684400,0,57,57,57,5026
878770800,0,56,56,56,3303
878857200,0,56,56,56,5538
879289200,0,55,55,55,4653
879375600,0,55,55,55,5873
879462000,0,56,56,56,3979
879721200,0,57,57,57,8087
879807600,0,57,57,57,7070
879894000,0,57,57,57,9060
879980400,0,58,58,58,2336
880066800,0,59,59,59,3110
880326000,0,59,59,59,2562
880412400,0,56,56,56,5133
