t,o,c,h,l,v
1219615200,30,27.5,30,27,1233
1219701600,27.62,27.62,27.62,27.62,100
1219788000,27.15,27.15,27.15,27.15,100
1219874400,27.6,27.6,27.6,27.6,5
1219960800,0,27.6,27.6,27.6,0
1220220000,0,27.6,27.6,27.6,0
1220306400,27.7,27.51,27.7,26.67,222
1220392800,0,27.51,27.51,27.51,0
1220479200,27,27,27,27,90
1220565600,27.7,27.7,27.7,27.7,100
1220824800,0,27.7,27.7,27.7,0
1220911200,0,27.7,27.7,27.7,0
1220997600,0,27.7,27.7,27.7,0
1221084000,27.2,27.15,27.2,27.15,105
1221170400,0,27.15,27.15,27.15,0
1221429600,27.25,27.25,27.25,27.25,10
1221516000,27.35,27.35,27.35,27.35,5
1221602400,0,27.35,27.35,27.35,0
1221688800,0,27.35,27.35,27.35,0
1221775200,0,27.35,27.35,27.35,0
1222034400,0,27.35,27.35,27.35,0
1222120800,0,27.35,27.35,27.35,0
1222207200,0,27.35,27.35,27.35,0
1222293600,0,27.35,27.35,27.35,0
1222380000,0,27.35,27.35,27.35,0
1222639200,27.37,27.37,27.37,27.37,5
1222725600,0,27.37,27.37,27.37,0
1222812000,27.37,27.45,27.45,27.37,40
1222898400,0,27.45,27.45,27.45,0
1222984800,27.41,27.5,27.5,27.41,36
1223244000,27.01,26.3,27.3,26.3,241
1223330400,26.3,25.53,26.3,25.53,199
1223416800,25.7,25.7,25.7,25.7,59
1223503200,0,25.7,25.7,25.7,0
1223589600,25.1,25.1,25.1,25.1,100
1223848800,25.3,25.3,25.3,25.3,100
1223935200,25.3,25.3,25.3,25.3,100
1224021600,0,25.3,25.3,25.3,0
1224108000,0,25.3,25.3,25.3,0
1224194400,0,25.3,25.3,25.3,0
1224453600,0,25.3,25.3,25.3,0
1224540000,0,25.3,25.3,25.3,0
1224626400,0,25.3,25.3,25.3,0
1224712800,0,25.3,25.3,25.3,0
1224799200,24.28,24.26,24.28,24.26,105
1225062000,0,24.26,24.26,24.26,0
1225148400,0,24.26,24.26,24.26,0
1225234800,24.3,24.35,24.35,24.3,50
1225321200,24.36,24.38,24.38,24.36,313
1225407600,24.4,24.4,24.4,24.4,15
1225666800,24.5,24.65,24.65,24.5,335
1225753200,0,24.65,24.65,24.65,0
1225839600,0,24.65,24.65,24.65,0
1225926000,24.81,25.2,25.2,24.2,360
1226012400,25.2,25.2,25.2,25.2,90
