t,o,c,h,l,v
1345413600,4.5,6.6,6.6,4.5,414
1345500000,0,6.6,6.6,6.6,0
1345586400,7,7,7,7,42
1345672800,7.4,7.4,7.4,7.4,416
1345759200,7.95,8,8,7.95,450
1346018400,8.88,8.9,8.9,8.88,540
1346104800,9.3,9,9.5,9,171
1346191200,8.5,6.5,8.5,6.5,972
1346277600,6.5,5.9,6.5,5.9,200
1346364000,6.5,5.61,6.5,5.61,400
1346623200,0,5.61,5.61,5.61,0
1346709600,5,5,5,5,10
1346796000,6,6,6,6,645
1346882400,6,6,6,6,490
1346968800,5.05,6,6,5.05,300
1347228000,6.06,6.05,6.06,6.05,1500
1347314400,6.11,7,7,6.11,200
1347400800,7.5,7.3,8,7.3,2700
1347487200,8,8.6,8.6,8,67
1347573600,0,8.6,8.6,8.6,0
1347832800,0,8.6,8.6,8.6,0
1347919200,8,6.9,8,6.9,900
1348005600,6.6,6,6.6,6,751
1348092000,0,6,6,6,0
1348178400,0,6,6,6,0
1348437600,6,5.9,6,5,2109
1348524000,0,5.9,5.9,5.9,0
1348610400,6,6,6,6,100
1348696800,6,5.11,6,5,211
1348783200,5.6,5.5,5.6,5.5,4400
1349042400,5.5,5.5,5.5,5.5,1189
1349128800,0,5.5,5.5,5.5,0
1349215200,6,6,6,6,13
1349301600,5.35,5.35,5.35,5.35,255
1349388000,5.3,5.1,5.3,5.1,705
1349647200,5.15,5.4,5.4,5.15,912
1349733600,5.16,4.8,5.16,4.8,1850
1349820000,4.2,4.2,4.2,4.2,1200
1349906400,4.21,4.21,4.21,4.21,20
1349992800,0,4.21,4.21,4.21,0
1350252000,4.9,4.9,4.9,4.9,1
1350338400,0,4.9,4.9,4.9,0
1350424800,4.9,4.99,4.99,4.9,299
1350511200,0,4.99,4.99,4.99,0
1350597600,5,5,5,5,100
1350856800,5,5.2,5.2,5,200
1350943200,0,5.2,5.2,5.2,0
1351029600,5.01,5,5.01,5,310
1351116000,0,5,5,5,0
1351202400,0,5,5,5,0
1351465200,0,5,5,5,0
1351551600,0,5,5,5,0
1351638000,0,5,5,5,0
1351810800,5.49,5.49,5.49,5.49,2
1352070000,0,5.49,5.49,5.49,0
1352156400,4.6,4.41,4.6,4.41,900
1352242800,3.8,3.6,3.99,3.53,500
1352329200,0,3.6,3.6,3.6,0
1352415600,3.8,4.3,4.3,3.01,688
1352674800,5,5,5,5,100
1352761200,0,5,5,5,0
1352847600,5.8,5.8,5.8,5.8,2
1352934000,0,5.8,5.8,5.8,0
1353020400,0,5.8,5.8,5.8,0
1353279600,5.45,4.8,5.45,4.8,200
1353366000,4.01,4,4.01,4,1100
1353452400,4.01,4,4.01,4,400
1353538800,4.01,4.3,4.3,4.01,1300
1353625200,0,4.3,4.3,4.3,0
1353884400,4.2,5,5,4.2,2400
1353970800,5.41,5.4,5.65,4.9,6621
1354057200,5.88,7,7,5.88,7188
1354143600,7,5.6,7,5.6,1902
1354230000,5.56,5.1,6.49,5.1,7154
1354489200,6.12,6.12,6.12,6.12,2
1354575600,5.5,5.51,5.52,5.5,18522
1354662000,0,5.51,5.51,5.51,0
1354748400,5.41,5.5,5.5,5.41,2189
1354834800,0,5.5,5.5,5.5,0
1355094000,5.5,5.5,5.5,5.5,3000
1355180400,5.5,5.9,5.9,5.5,8100
1355266800,0,5.9,5.9,5.9,0
1355353200,6.6,7.08,7.08,6.6,200
1355439600,6.8,8.15,8.15,6.8,490
1355698800,8.5,8.5,8.5,8.5,300
1355785200,9,9,9,9,50
1355871600,0,9,9,9,0
1355958000,9.99,9,9.99,9,229
1356044400,8,7.2,8,7.2,200
1356562800,7.5,7.85,7.85,7.5,200
1356649200,8,9.4,9.4,8,300
1357081200,9,9,9,8.99,990
1357167600,8.6,8.99,8.99,8.6,306
1357254000,0,8.99,8.99,8.99,0
1357513200,0,8.99,8.99,8.99,0
1357599600,0,8.99,8.99,8.99,0
1357686000,0,8.99,8.99,8.99,0
1357772400,8.99,9,9.9,8.99,1492
1357858800,9,8.2,9,8,790
1358118000,8.01,9.15,9.15,8.01,1791
1358204400,8.21,8.21,8.21,8.21,4
1358290800,9.2,9.1,9.2,9.1,549
1358377200,9.69,10.92,10.92,9.69,1071
1358463600,11.5,9.9,11.5,9.9,250
1358722800,10,10,10,10,100
1358809200,10.85,10.85,10.85,10.85,10
1358895600,0,10.85,10.85,10.85,0
1358982000,0,10.85,10.85,10.85,0
1359068400,0,10.85,10.85,10.85,0
1359327600,9.9,9.9,9.9,9.9,100
1359414000,0,9.9,9.9,9.9,0
1359500400,0,9.9,9.9,9.9,0
1359586800,9.01,9.01,9.01,9.01,501
1359673200,0,9.01,9.01,9.01,0
1359932400,0,9.01,9.01,9.01,0
1360018800,0,9.01,9.01,9.01,0
1360105200,9.01,9.01,9.01,9.01,599
1360191600,10,10,10,10,100
1360278000,10,9.21,10,9.21,595
1360537200,10,9.31,10.05,9.31,1300
1360623600,10,10,10,10,186
1360710000,0,10,10,10,0
1360796400,10.01,9.31,10.01,9.31,148
1360882800,10,10,10,10,100
1361142000,0,10,10,10,0
1361228400,10.55,11.15,11.15,10.55,500
1361314800,11.4,10.55,11.4,10.55,263
1361401200,10.5,10.5,10.5,10.5,5
1361487600,10.9,9.22,10.9,9.22,208
1361746800,9.6,9.6,9.6,9.6,3
1361833200,9.55,9.6,9.6,9.55,200
1361919600,10,10,10,10,50
1362006000,10,9.5,10,9.5,515
1362092400,10,10,10,10,40
1362351600,0,10,10,10,0
1362438000,0,10,10,10,0
1362524400,10.3,10.3,10.3,10.3,70
1362610800,10,10,10,10,150
