t,o,c,h,l,v
1476828000,51.7,50,51.8,47.02,56298
1476914400,49.8,50,50,48.06,6598
1477000800,49.1,49.95,50,49.08,1220
1477260000,50,52.44,53,49.94,9121
1477346400,52.5,52.2,52.5,51,7637
1477432800,52,50.5,52,50.5,1475
1477519200,51,50.99,51,49.5,269
1477605600,50.11,50.8,50.8,50.11,199
1477868400,50,51.98,51.99,50,1482
1478041200,51.99,51.9,52,50.86,523
1478127600,51.9,51.5,51.9,50.85,473
1478214000,51.4,51,51.4,50.25,124
1478473200,51,50.97,51,50.5,426
1478559600,50.97,50.6,50.97,50.27,47
1478646000,50.9,51,51,50.3,645
1478732400,51,50.7,51,49.8,1003
1479078000,51,50.9,51,50.9,119
1479164400,50.89,50.5,50.89,49.8,1298
1479250800,50.5,50.5,50.5,49.01,365
1479337200,50.9,48.8,50.9,48.8,838
1479423600,49,47.03,49,47.03,1633
1479682800,46.91,45.99,46.91,45.15,1470
1479769200,45.15,45.22,45.99,45.15,1154
1479855600,45.22,45.15,45.22,44.9,635
1479942000,45.2,44.5,45.2,41.11,6845
1480028400,45.22,46.99,47,44.5,812
1480287600,46.99,46.88,46.99,46.88,224
1480374000,46.9,48.5,48.7,46,5493
1480460400,48.5,50,50.5,47.5,3059
1480546800,50,50,50,47.8,341
1480633200,50,49.94,50,48.4,336
1480892400,49.95,48.55,49.95,48.5,109
1480978800,49.96,49.65,49.96,48.3,787
1481065200,49.65,49.59,49.65,48.41,183
1481151600,48.4,49.5,49.5,48.4,576
1481238000,49.59,49.49,49.59,48.38,538
1481497200,49.49,48.38,49.55,48.38,745
1481583600,48.38,49.49,49.98,48.38,849
1481670000,49.7,49,49.7,49,89
1481756400,49,49,49,48.4,270
1481842800,49,48,49,47.31,710
1482102000,46.31,48.4,48.79,46.06,4503
1482188400,46.9,47.99,48.5,46.9,310
1482274800,47.99,46.11,47.99,46.11,1478
1482361200,47.49,46.02,47.49,46.02,54
1482447600,46.49,46.25,46.49,46,922
1482793200,46.3,47.26,47.27,45.65,1595
1482879600,47,46.4,47,45.65,651
1482966000,47.2,48.5,49,46.9,2493
1483052400,48,49.65,49.65,48,1826
1483311600,49.78,49.48,49.78,47.65,2376
1483398000,49.78,46.99,49.78,46.99,975
1483484400,47.98,47,47.98,47,77
1483570800,47,46,47.84,46,2463
1483916400,46,46.03,46.5,46,684
1484002800,46.03,46,46.08,45.4,2193
1484089200,46,45.47,46,45.41,906
1484175600,45.9,45.3,45.9,44.5,1094
1484262000,45.9,45,45.9,44.52,635
1484521200,44.52,44.51,44.94,44,899
1484607600,44.55,43.75,44.55,43.7,1795
1484694000,43.75,43.9,43.9,43.6,283
1484780400,44,43.75,44,43,1916
1484866800,43.99,43.89,43.99,43,406
1485126000,43.98,43.88,43.98,43,394
1485212400,44.05,43.5,44.05,43,557
1485298800,43.02,43.1,43.5,42.8,1414
1485385200,44.1,44.49,44.49,43.13,335
