t,o,c,h,l,v
1257807600,1.05,1.05,1.05,1.05,500
1257980400,0.9,1.23,1.26,0.9,49423
1258066800,1.18,1.12,1.18,1.1,2771
1258326000,1.11,1.12,1.15,1.01,10420
1258412400,1.02,0.98,1.09,0.95,12790
1258498800,1.08,1.08,1.08,1.08,500
1258585200,0.96,1.04,1.04,0.95,3280
1258671600,0,1.04,1.04,1.04,0
1258930800,1,1,1.03,1,995
1259017200,0.98,0.9,1,0.9,15889
1259103600,0.94,0.93,0.94,0.85,2450
1259190000,0.9,0.85,0.9,0.85,5826
1259276400,0.86,0.9,0.9,0.86,1749
1259535600,0.86,0.86,0.86,0.76,7239
1259622000,0.86,0.85,0.86,0.81,4501
1259708400,0.85,0.76,0.85,0.76,6754
1259794800,0.76,0.85,0.85,0.76,200
1259881200,0.84,0.77,0.84,0.77,2055
1260140400,0.83,0.78,0.83,0.78,4389
1260226800,0.78,0.78,0.78,0.78,430
1260313200,0.78,0.71,0.78,0.69,1338
1260399600,0.78,0.69,0.78,0.64,4147
1260486000,0.7,0.74,0.82,0.69,5597
1260745200,0.78,0.78,0.78,0.78,10
1260831600,0.63,0.75,0.75,0.63,2622
1260918000,0,0.75,0.75,0.75,0
1261004400,0.71,0.75,0.8,0.71,10501
1261090800,0.65,0.74,0.74,0.65,432
1261350000,0.67,0.64,0.67,0.64,930
1261436400,0.72,0.72,0.72,0.65,217
1261522800,0,0.72,0.72,0.72,0
1261954800,0.65,0.65,0.65,0.65,1
1262041200,0.68,0.78,0.78,0.68,2784
1262127600,0.79,0.8,0.85,0.79,1010
1262214000,0,0.8,0.8,0.8,0
1262559600,0,0.8,0.8,0.8,0
1262646000,0.82,0.86,0.86,0.82,438
1262732400,0.87,0.72,0.9,0.72,1030
1262818800,0.86,0.86,0.86,0.86,1020
1262905200,0.86,0.86,0.86,0.86,103
1263164400,0.88,0.9,0.9,0.88,9
1263250800,0,0.9,0.9,0.9,0
1263337200,0.85,0.85,0.85,0.85,1000
1263423600,0.85,0.85,0.85,0.85,1700
1263510000,0.8,0.81,0.84,0.8,3431
1263769200,0.7,0.79,0.79,0.7,1127
1263855600,0.71,0.83,0.83,0.71,1956
1263942000,0,0.83,0.83,0.83,0
1264028400,0.79,0.87,0.9,0.79,19301
1264114800,0.76,1.09,1.22,0.76,139277
1264374000,1.08,0.97,1.17,0.88,53853
1264460400,0.99,1,1.05,0.9,8091
1264546800,0.99,0.95,0.99,0.86,9500
1264633200,0.96,0.96,0.96,0.96,160
1264719600,0.95,0.86,0.95,0.82,16478
1264978800,0.88,0.9,0.92,0.84,6389
1265065200,0.9,0.87,0.9,0.82,26735
1265151600,0.83,0.81,0.84,0.81,12140
1265238000,0.83,0.81,0.87,0.76,22617
1265324400,0.81,0.79,0.81,0.75,4862
1265583600,0.81,0.8,0.81,0.73,2727
1265670000,0.78,0.78,0.8,0.74,3682
1265756400,0.78,0.83,0.86,0.78,6164
1265842800,0.8,0.8,0.8,0.8,500
1265929200,0.81,0.82,0.82,0.81,1650
1266188400,0.76,0.79,0.8,0.73,8144
1266274800,0.79,0.82,0.9,0.76,21520
1266361200,0.84,0.96,0.96,0.84,38095
1266447600,0,0.96,0.96,0.96,0
1266534000,0.95,0.92,0.95,0.85,2160
1266793200,0.94,0.88,0.94,0.81,7570
1266879600,0.76,0.9,0.9,0.76,193
1266966000,0.88,0.89,0.93,0.79,7494
1267052400,0.86,0.93,0.93,0.86,3113
1267138800,0.88,0.93,0.93,0.88,1400
1267398000,0.93,0.99,1.06,0.93,10517
1267484400,0.99,0.94,0.99,0.88,9065
1267570800,0.88,0.86,0.88,0.8,39409
1267657200,0.81,0.87,0.87,0.81,4350
1267743600,0.87,0.84,0.87,0.82,4754
1268002800,0.82,0.81,0.82,0.81,7400
1268089200,0.84,0.81,0.84,0.76,9697
1268175600,0.78,0.8,0.81,0.75,17719
1268262000,0.8,0.84,0.84,0.78,13748
1268348400,0.83,0.84,0.84,0.8,18928
1268607600,0.8,0.9,0.9,0.8,22752
1268694000,0.9,0.96,0.97,0.9,40589
1268780400,0.95,0.95,0.95,0.92,21709
1268866800,0.87,0.92,0.92,0.85,17315
1268953200,0.85,0.95,0.96,0.85,12389
1269212400,0.85,0.89,0.89,0.82,15974
1269298800,0.83,0.85,0.85,0.82,12569
1269385200,0.81,0.84,0.84,0.81,1603
