t,o,c,h,l,v
1115935200,7,7.2,7.4,7,46082
1116194400,7.1,7.2,7.3,7.1,14600
1116280800,7.2,7.3,7.3,7.15,19016
1116367200,7.4,7.25,7.4,7.15,14861
1116453600,7.15,7.25,7.25,7.15,8044
1116540000,7.2,7.2,7.25,7.15,2934
1116799200,7.25,7.1,7.25,7.1,16261
1116885600,7.1,7.2,7.2,7.1,18101
1116972000,7.1,7.15,7.15,7.05,11500
1117144800,7.15,7.15,7.15,7.1,510
1117404000,7.05,7.15,7.2,7.05,20907
1117490400,7.2,7.2,7.2,7.2,5
1117576800,7.15,7.1,7.15,7.1,4610
1117663200,7.2,7.15,7.2,7.1,6901
1117749600,7.15,7.2,7.2,7.15,12777
1118008800,7.15,7.25,7.25,7.1,16802
1118095200,7.25,7.3,7.3,7.2,23379
1118181600,7.25,7.5,7.5,7.25,5645
1118268000,7.4,7.5,7.5,7.3,1321
1118354400,7.5,7.65,7.65,7.5,16935
1118613600,7.7,7.65,7.7,7.4,8614
1118700000,7.7,7.7,7.7,7.6,18620
1118786400,7.6,7.7,7.7,7.4,5945
1118872800,7.7,7.7,7.75,7.7,12529
1118959200,7.75,7.8,7.85,7.75,21797
1119218400,7.8,7.8,7.8,7.8,10692
1119304800,7.7,7.8,7.8,7.7,8500
1119391200,7.55,7.75,7.75,7.55,2506
1119477600,7.35,7.5,7.7,7.35,3267
1119564000,7.4,7.55,7.55,7.4,400
1119823200,7.6,7.55,7.6,7.4,844
1119909600,7.5,7.5,7.55,7.5,21765
1119996000,7.5,7.55,7.55,7.5,130
1120082400,7.45,7.55,7.55,7.45,900
1120168800,7.45,7.55,7.55,7.45,700
1120428000,7.5,7.5,7.5,7.45,1130
1120514400,7.5,7.5,7.5,7.5,5032
1120600800,0,7.5,7.5,7.5,0
1120687200,7.45,7.3,7.45,7.1,3815
1120773600,7.3,7.2,7.3,7.1,1790
1121032800,7.2,7.3,7.4,7.1,4130
1121119200,7.3,7.3,7.3,7.2,1800
1121205600,7.3,7.4,7.4,7.3,515
1121292000,7.4,7.35,7.4,7.2,8204
1121378400,7.1,7.45,7.45,7.1,1699
1121637600,7.4,7.45,7.45,7.1,2094
1121724000,7.25,7.35,7.45,7.1,6087
1121810400,7.2,7.15,7.2,7.15,1673
1121896800,6.95,7.1,7.1,6.9,585
1121983200,7,7.1,7.1,6.8,5792
1122242400,6.95,6.9,7.15,6.9,1013
1122328800,7,7.1,7.1,7,2867
1122415200,7.15,7.05,7.2,7,3410
1122501600,7.1,7.1,7.1,7.1,5
1122588000,7.15,7.2,7.2,7,13539
1122847200,7.05,7.15,7.15,7,1701
1122933600,7.2,7.15,7.2,7,2323
1123020000,7.15,7.15,7.2,7,440
1123106400,7,7.2,7.2,6.85,4451
1123192800,7,7.2,7.2,7,1871
1123452000,7,7.2,7.2,7,301
1123538400,7,7.15,7.15,7,829
1123624800,7,7.2,7.2,7,1645
1123711200,7,7.2,7.2,7,11481
1123797600,7.1,7,7.1,7,3779
1124143200,7.1,7.1,7.1,7.1,805
1124229600,7.05,7.05,7.05,6.9,2530
1124316000,7,7,7,6.9,3749
1124402400,7,7.05,7.05,7,14050
1124661600,6.85,7.05,7.05,6.85,16123
1124748000,6.95,7.05,7.05,6.85,1711
1124834400,7.05,7,7.05,6.45,5956
1124920800,6.8,7,7,6.7,4336
1125007200,6.8,7,7,6.8,11394
1125266400,6.8,7,7,6.7,11706
1125352800,6.85,6.9,6.9,6.8,10654
1125439200,6.8,6.85,6.9,6.55,22735
1125525600,6.8,6.7,6.8,6.65,2575
1125612000,6.6,6.65,6.65,6.55,7445
1125871200,6.6,6.55,6.6,6.5,1093
1125957600,6.55,6.65,6.65,6.55,10966
1126044000,6.5,6.75,6.9,6.5,10518
1126130400,6.7,6.8,6.8,6.7,944
1126216800,6.8,6.8,6.8,6.8,500
1126476000,6.7,6.8,6.8,6.7,500
1126562400,6.7,6.9,6.9,6.6,1044
1126648800,6.85,6.85,6.85,6.8,1085
1126735200,6.65,6.65,6.85,6.5,3604
