t,o,c,h,l,v
1154988000,14.7,13.95,14.7,13.65,2721
1155074400,13.65,13.9,13.9,13.35,5167
1155160800,13.9,13.85,13.9,13.6,1449
1155247200,13.55,14,14,13.55,1034
1155506400,13.75,13.75,13.75,13.5,2920
1155679200,13.95,13.8,14,13.75,7319
1155765600,14.1,13.8,14.35,13.8,48017
1155852000,13.5,13.5,13.8,13.5,101459
1156111200,13.5,13.95,13.95,13.5,59829
1156197600,13.95,13.9,13.95,13.9,586
1156284000,13.9,13.95,13.95,13.9,44150
1156370400,13.7,13.7,13.7,13.7,140
1156456800,13.7,13.8,13.9,13.7,3833
1156716000,13.7,13.7,13.7,13.7,1912
1156802400,13.7,13.8,13.8,13.7,2634
1156888800,13.8,13.8,13.8,13.8,2053
1156975200,13.85,13.9,14.05,13.85,10724
1157061600,13.9,13.9,13.9,13.65,233
1157320800,13.9,14,14,13.9,8190
1157407200,13.8,13.9,14,13.75,12595
1157493600,13.9,14,14,13.9,52951
1157580000,14,14.1,14.15,14,2692
1157666400,14.15,13.62,14.15,13.62,53428
1157925600,13.9,14.1,14.1,13.63,2860
1158012000,14.1,14,14.1,14,2001
1158098400,14.15,14.13,14.15,14.1,1650
1158184800,14.15,14.15,14.4,14.15,2600
1158271200,14.15,14.4,14.4,14.15,3563
1158530400,14.3,14.3,14.3,14.3,350
1158616800,14.11,14.69,15.68,14,322801
1158703200,15.67,14.99,15.68,14.52,8939
1158789600,14.7,15.1,15.1,14.7,9952
1158876000,14.79,15.4,15.4,14.4,5923
1159135200,15.5,15.12,16.44,15.1,11158
1159221600,15.39,15.39,15.4,15,12986
1159308000,15.99,15.4,15.99,15.01,10520
1159394400,15.71,15.4,16.1,15.35,12778
1159480800,15.71,15.79,16.01,15.1,12008
1159740000,15.5,15.2,15.5,15.2,5209
1159826400,15.45,15.49,15.74,15.3,10002
1159912800,15.49,15.46,15.49,15.35,376
1159999200,15.5,15.55,15.8,15.5,7925
1160085600,15.8,15.6,15.95,15.6,17247
1160344800,15.85,15.5,16.17,15.5,16310
1160431200,15.55,15.55,15.87,15.55,7391
1160517600,15.87,15.85,15.87,15.55,5679
1160604000,16,16,16,15.7,31114
1160690400,15.86,16.35,16.45,15.86,145541
1160949600,16.51,17.2,17.2,16.51,11034
1161036000,17.2,17.65,17.65,17.2,27053
1161122400,17.85,17.69,17.85,17.3,6974
1161208800,17.86,17.75,17.86,17.44,4414
1161295200,17.8,17.8,17.86,17.75,4874
1161554400,17.5,17.8,17.86,17.3,9717
1161640800,17.81,17.8,17.81,17.8,1135
1161727200,17.86,17.8,18.24,17.3,29015
1161813600,18,17.8,18,17.6,5911
1161900000,17.98,17.8,17.98,17.44,31224
1162162800,17.8,18,18,17.8,22934
1162249200,18,18.5,19.6,18,31256
1162422000,18.5,19,19.9,18.2,11367
1162508400,19.2,19,19.2,18.8,16278
1162767600,19.05,19.03,19.5,19,24808
1162854000,18.85,19.2,19.2,18.8,8344
1162940400,19.17,19.8,19.8,19.17,6621
1163026800,19.8,20.9,20.99,19.8,7121
1163113200,21.32,21.5,22,21.11,22997
1163372400,21.9,21.38,22.6,20.5,56372
1163458800,21.1,21.3,22.34,21.1,7727
