t,o,c,h,l,v
885164400,0,35,35,35,7734
885250800,0,32,32,32,4495
885337200,0,31.9,31.9,31.9,3140
885423600,0,28.8,28.8,28.8,1679
885510000,0,29.2,29.2,29.2,929
885769200,0,29.8,29.8,29.8,887
885855600,0,29.8,29.8,29.8,2337
885942000,0,30.2,30.2,30.2,1530
886028400,0,32.4,32.4,32.4,1880
886114800,0,33.4,33.4,33.4,5322
886374000,0,35,35,35,3420
886460400,0,34.6,34.6,34.6,2881
886546800,0,31.2,31.2,31.2,1642
886633200,0,32.2,32.2,32.2,1152
886719600,0,33.1,33.1,33.1,1185
886978800,0,34,34,34,2403
887065200,0,34,34,34,3015
887151600,0,33.5,33.5,33.5,2189
887238000,0,30.2,30.2,30.2,1538
887324400,0,30.7,30.7,30.7,638
887583600,0,32,32,32,1557
887670000,0,33.4,33.4,33.4,2541
887756400,0,34.5,34.5,34.5,1599
887842800,0,34,34,34,2392
887929200,0,32.1,32.1,32.1,464
888188400,0,33,33,33,805
888274800,0,33,33,33,2136
888361200,0,32.4,32.4,32.4,5904
888447600,0,32.7,32.7,32.7,2799
888534000,0,33,33,33,934
888793200,0,32.8,32.8,32.8,348
888879600,0,32.5,32.5,32.5,450
888966000,0,31.8,31.8,31.8,1658
889052400,0,31.4,31.4,31.4,928
889138800,0,31.5,31.5,31.5,1638
889398000,0,32,32,32,600
889484400,0,32.5,32.5,32.5,1730
889570800,0,30.4,30.4,30.4,373
889657200,0,31,31,31,405
889743600,0,32.5,32.5,32.5,1329
890002800,0,32,32,32,5706
890089200,0,31.4,31.4,31.4,766
890175600,0,31,31,31,581
890262000,0,31.9,31.9,31.9,854
890348400,0,32,32,32,680
890607600,0,30.8,30.8,30.8,487
890694000,0,29.8,29.8,29.8,537
890780400,0,30.5,30.5,30.5,675
890866800,0,28.1,28.1,28.1,800
890953200,0,29,29,29,769
891208800,0,29,29,29,1096
891295200,0,28.5,28.5,28.5,1130
891381600,0,29,29,29,1092
891468000,0,28.5,28.5,28.5,182
891813600,0,28.1,28.1,28.1,72
891900000,0,28.5,28.5,28.5,407
891986400,0,28.8,28.8,28.8,1090
892072800,0,28,28,28,500
892504800,0,28,28,28,533
892591200,0,28,28,28,500
892677600,0,27.4,27.4,27.4,50
892764000,0,26.9,26.9,26.9,261
893023200,0,26,26,26,2707
893109600,0,27,27,27,2960
893196000,0,27,27,27,2900
893282400,0,26.3,26.3,26.3,1265
893368800,0,26.8,26.8,26.8,440
893628000,0,27.5,27.5,27.5,5149
893714400,0,27.5,27.5,27.5,1971
893800800,0,28,28,28,300
893887200,0,30,30,30,500
894232800,0,30,30,30,270
894319200,0,29.8,29.8,29.8,1364
894405600,0,26.9,26.9,26.9,499
894492000,0,27.9,27.9,27.9,1000
894578400,0,27.9,27.9,27.9,500
894837600,0,27.8,27.8,27.8,2700
894924000,0,27.3,27.3,27.3,1100
895010400,0,27.3,27.3,27.3,500
895096800,0,27.2,27.2,27.2,669
895183200,0,27,27,27,344
895442400,0,25.9,25.9,25.9,148
895528800,0,27,27,27,152
895615200,0,24.3,24.3,24.3,546
895701600,0,22,22,22,60
895788000,0,24.2,24.2,24.2,440
896047200,0,25,25,25,502
896133600,0,25,25,25,122
896220000,0,25,25,25,123
896306400,0,25,25,25,297
896392800,0,25,25,25,200
896652000,0,24,24,24,110
896738400,0,24,24,24,239
896824800,0,23.9,23.9,23.9,180
896911200,0,21.6,21.6,21.6,1602
896997600,0,19.5,19.5,19.5,1431
897256800,0,17.6,17.6,17.6,5703
897343200,0,17.9,17.9,17.9,815
897429600,0,17.8,17.8,17.8,177
897861600,0,16.5,16.5,16.5,69
897948000,0,16.5,16.5,16.5,280
898034400,0,17.6,17.6,17.6,520
898120800,0,17.6,17.6,17.6,700
898207200,0,16.1,16.1,16.1,525
898466400,0,16.1,16.1,16.1,393
898552800,0,16.5,16.5,16.5,10
898639200,0,16,16,16,192
898725600,0,16,16,16,440
898812000,0,16.9,16.9,16.9,1316
899071200,0,16.9,16.9,16.9,175
899157600,0,16.9,16.9,16.9,332
899244000,0,17.2,17.2,17.2,100
899330400,0,17.7,17.7,17.7,201
899416800,0,18.4,18.4,18.4,526
899676000,0,20.2,20.2,20.2,1826
899762400,0,21,21,21,7123
899848800,0,19.5,19.5,19.5,450
899935200,0,18,18,18,400
900021600,0,19,19,19,400
900280800,0,19,19,19,100
900367200,0,19.7,19.7,19.7,256
900453600,0,20,20,20,620
900540000,0,19,19,19,324
900626400,0,19,19,19,350
900885600,0,19,19,19,311
900972000,0,19,19,19,152
901058400,0,17.1,17.1,17.1,261
901144800,0,17,17,17,344
901231200,0,17.5,17.5,17.5,120
901490400,0,19.2,19.2,19.2,500
901576800,0,19.5,19.5,19.5,962
901663200,0,17.6,17.6,17.6,566
901749600,0,17.8,17.8,17.8,100
901836000,0,16.2,16.2,16.2,50
902095200,0,14.6,14.6,14.6,1252
902181600,0,14,14,14,678
902268000,0,15,15,15,230
902354400,0,15.9,15.9,15.9,1029
902440800,0,15.5,15.5,15.5,80
902700000,0,16.4,16.4,16.4,50
902786400,0,15.3,15.3,15.3,185
902872800,0,14.3,14.3,14.3,50
902959200,0,15,15,15,200
903045600,0,14.4,14.4,14.4,76
903304800,0,14.9,14.9,14.9,300
903391200,0,14.6,14.6,14.6,21
903477600,0,13.2,13.2,13.2,56
903564000,0,13.9,13.9,13.9,100
903650400,0,13.2,13.2,13.2,415
903909600,0,13.7,13.7,13.7,20
903996000,0,13.9,13.9,13.9,100
904082400,0,13.5,13.5,13.5,1500
904168800,0,12.2,12.2,12.2,85
904255200,0,11,11,11,38
904514400,0,10.6,10.6,10.6,697
904600800,0,9.55,9.55,9.55,214
904687200,0,8.6,8.6,8.6,2919
904773600,0,9,9,9,1866
904860000,0,9.4,9.4,9.4,1203
905119200,0,9.5,9.5,9.5,691
905205600,0,9.4,9.4,9.4,623
905292000,0,9.7,9.7,9.7,1440
905378400,0,9.6,9.6,9.6,468
905464800,0,9.8,9.8,9.8,769
905724000,0,8.85,8.85,8.85,494
905810400,0,9.4,9.4,9.4,210
905896800,0,9.2,9.2,9.2,225
905983200,0,8.95,8.95,8.95,100
906069600,0,8.5,8.5,8.5,1090
906328800,0,8.5,8.5,8.5,100
906415200,0,8.7,8.7,8.7,350
906501600,0,8.7,8.7,8.7,300
906588000,0,8.9,8.9,8.9,1195
906674400,0,9,9,9,10
906933600,0,9,9,9,8
907020000,0,9,9,9,50
907106400,0,8.55,8.55,8.55,186
907192800,0,8.1,8.1,8.1,260
907279200,0,7.3,7.3,7.3,360
907538400,0,6.6,6.6,6.6,75
907624800,0,6.75,6.75,6.75,90
907711200,0,6.7,6.7,6.7,2758
907797600,0,7,7,7,495
907884000,0,6.3,6.3,6.3,505
908143200,0,6.55,6.55,6.55,320
908229600,0,6.75,6.75,6.75,147
908316000,0,6.65,6.65,6.65,300
908402400,0,6.55,6.55,6.55,200
908488800,0,6.8,6.8,6.8,522
908748000,0,7.4,7.4,7.4,346
908834400,0,6.8,6.8,6.8,350
908920800,0,7,7,7,888
909007200,0,7.2,7.2,7.2,360
909093600,0,7.4,7.4,7.4,480
909356400,0,7.9,7.9,7.9,300
909442800,0,8.2,8.2,8.2,325
909529200,0,7.8,7.8,7.8,150
909615600,0,7.7,7.7,7.7,339
909702000,0,7.6,7.6,7.6,84
909961200,0,7.2,7.2,7.2,52
910047600,0,7,7,7,351
910134000,0,7.4,7.4,7.4,159
910220400,0,7.1,7.1,7.1,140
910306800,0,7.1,7.1,7.1,123
910566000,0,7.35,7.35,7.35,100
910652400,0,6.9,6.9,6.9,121
910825200,0,6.9,6.9,6.9,205
910911600,0,6.8,6.8,6.8,380
911170800,0,7.2,7.2,7.2,1543
911257200,0,7.9,7.9,7.9,1920
911343600,0,8,8,8,500
911430000,0,7.65,7.65,7.65,50
911516400,0,7.05,7.05,7.05,310
911775600,0,7.4,7.4,7.4,410
911862000,0,7.8,7.8,7.8,1299
911948400,0,7.5,7.5,7.5,912
912034800,0,7.55,7.55,7.55,150
912121200,0,7.9,7.9,7.9,456
912380400,0,8.2,8.2,8.2,2573
912466800,0,8.4,8.4,8.4,447
912553200,0,8.4,8.4,8.4,480
912639600,0,8.6,8.6,8.6,1011
912726000,0,7.75,7.75,7.75,541
912985200,0,8.5,8.5,8.5,1339
913071600,0,8.55,8.55,8.55,500
913158000,0,8.55,8.55,8.55,317
913244400,0,8.5,8.5,8.5,602
913330800,0,7.65,7.65,7.65,550
913590000,0,7.45,7.45,7.45,1200
913676400,0,7.2,7.2,7.2,1208
913762800,0,7.2,7.2,7.2,450
913849200,0,7.8,7.8,7.8,775
913935600,0,7.6,7.6,7.6,386
914194800,0,7.6,7.6,7.6,294
914281200,0,7.8,7.8,7.8,656
914367600,0,8.55,8.55,8.55,2188
914799600,0,9,9,9,1200
914886000,0,9,9,9,1000
914972400,0,8.7,8.7,8.7,912
915058800,0,9,9,9,795
915404400,0,8.8,8.8,8.8,1790
915490800,0,9.1,9.1,9.1,600
915577200,0,9,9,9,711
915663600,0,9.5,9.5,9.5,1224
915750000,0,10.2,10.2,10.2,1350
916009200,0,9.9,9.9,9.9,1010
916095600,0,9.8,9.8,9.8,1932
916182000,0,9.8,9.8,9.8,520
916268400,0,9.1,9.1,9.1,1217
916354800,0,9,9,9,350
916614000,0,9.4,9.4,9.4,200
916700400,0,9.9,9.9,9.9,550
916786800,0,9.9,9.9,9.9,774
916873200,0,9.7,9.7,9.7,261
916959600,0,9.2,9.2,9.2,450
917218800,0,9.2,9.2,9.2,1700
917305200,0,9.5,9.5,9.5,1660
917391600,0,10.2,10.2,10.2,1000
917478000,0,9.5,9.5,9.5,269
917564400,0,9.8,9.8,9.8,553
917823600,0,9.45,9.45,9.45,600
917910000,0,9.3,9.3,9.3,1664
917996400,0,9.3,9.3,9.3,550
918082800,0,9.25,9.25,9.25,300
918169200,0,9.3,9.3,9.3,400
918428400,0,9,9,9,68
918514800,0,9,9,9,531
918601200,0,8.45,8.45,8.45,30
918687600,0,8.5,8.5,8.5,650
918774000,0,8.7,8.7,8.7,500
919033200,0,8.9,8.9,8.9,200
919119600,0,9.15,9.15,9.15,600
919206000,0,9.2,9.2,9.2,700
919292400,0,9.5,9.5,9.5,1100
919378800,0,9.6,9.6,9.6,695
919638000,0,9.85,9.85,9.85,1253
919724400,0,10.1,10.1,10.1,2192
