t,o,c,h,l,v
1544482800,29.08,22.9,29.08,22,17022
1544569200,22.8,16.4,22.8,15,9574
1544655600,16.9,16.5,17.39,16.5,1505
1544742000,17.34,17.81,17.85,16.95,337
1545001200,17.84,19.31,20.35,17.84,3817
1545087600,19.47,20.38,20.38,18.4,966
1545174000,20,21.7,22,20,2054
1545260400,22,21,22,20.5,1033
1545346800,21.99,20.9,21.99,20.4,141
1545865200,21.65,20.99,21.65,20,416
1545951600,20.99,20.3,20.99,19.91,1118
1546383600,20.7,19.49,20.7,18.98,1045
1546470000,19.48,19.49,19.49,18.61,23
1546556400,20,20.49,20.99,19.1,393
1546815600,20.49,20.48,20.49,19.65,141
1546902000,20.48,19.8,20.48,19,259
1546988400,19.8,19.84,20.48,18.4,306
1547074800,19.84,18.1,19.84,16.5,609
1547161200,18.9,18.23,18.9,18.05,36
1547420400,18.25,17.85,18.25,16.2,332
1547506800,17.85,16,17.85,16,1297
1547593200,16.2,18.03,18.04,16.2,633
1547679600,18.02,18.03,18.04,18.02,22
1547766000,18.04,18.05,18.05,18.04,4
1548025200,18.05,17,18.05,17,83
1548111600,18.04,17,18.04,16.1,262
1548198000,17.08,18,18,17,159
1548284400,17.99,18.05,18.05,17.83,118
1548370800,18.05,18.05,18.05,17.5,71
1548630000,18.05,17.5,18.05,17.31,224
1548716400,17.9,17.5,17.9,17.5,189
1548802800,17.62,18.03,18.03,17.6,21
1548889200,18.03,20.49,25.8,18,6031
1548975600,21.49,20.5,21.49,20,333
1549234800,20.76,19.39,20.76,18.6,223
1549321200,19.38,19,20.09,18.6,323
1549407600,19.99,20,20.19,19,343
1549494000,20.02,19.6,20.02,19,456
1549580400,19.6,20.09,20.3,18.51,2820
1549839600,20.48,20.36,20.7,20,3780
1549926000,20.35,19.2,20.35,18.13,2293
1550012400,19.66,20,20,19.6,345
1550098800,20.19,20.33,20.4,20.1,148
1550185200,20.49,20.5,20.5,20.39,25
1550444400,20.49,21,21.7,20.3,1157
1550530800,21.5,20.99,21.5,20.9,115
1550617200,20.51,20.42,20.51,20.01,227
1550703600,20.6,20.6,20.6,20.6,75
1550790000,20.8,20,20.99,20,346
1551049200,20.01,19.5,20.3,19.5,112
1551135600,19.4,21,21.6,19.4,3079
1551222000,20.95,23,23,20.7,17802
1551308400,23.7,22.8,23.7,22.14,1288
1551394800,23.59,23.4,23.59,22.9,3477
1551654000,23,23.9,24,23,522
1551740400,23.8,23.9,23.9,23.5,309
1551826800,24,23.5,24.21,23,1694
1551913200,23.88,23.655,23.88,22.9,305
1551999600,23.68,23.65,23.68,22.9,574
1552258800,23.5,23.05,23.5,23.05,143
1552345200,23.32,22.75,23.32,22.75,695
1552431600,22.5,22,22.5,21.89,1595
1552518000,22.03,22.59,22.59,21.6,183
1552604400,23,22.65,23,22.2,1097
1552863600,23,22.9,23,20.8,1025
1552950000,23,22,23,22,1940
1553036400,22.4,21.5,23,21.5,3112
1553122800,22.02,22,22.1,20.8,2096
1553209200,21.5,22.5,22.5,21.5,1120
1553468400,22.6,22.575,22.6,22.1,111
1553554800,22.495,23.59,23.59,22.46,1412
1553641200,23.59,23,24.74,23,10099
1553727600,23.75,22.88,23.75,22.69,2980
1553814000,22.88,25.4,25.4,22.01,7521
1554069600,24.6,27,27.5,24.6,9892
1554156000,26.3,27.1,27.8,26,4796
1554242400,26.5,26.2,26.5,26,1506
1554328800,26.5,27.1,27.1,25.6,6292
1554415200,27.2,33.7,33.7,27.2,9186
1554674400,34.1,34.2,37.2,31.7,4912
1554760800,33.8,28.2,33.8,24.6,16225
1554847200,26.9,28.1,28.4,26.8,814
1554933600,28,29.4,30.2,28,7558
1555020000,29.7,30.7,30.7,29,2758
1555279200,30.8,29.8,30.8,29.4,308
1555365600,29.8,28.9,29.8,28.2,1350
1555452000,28.9,28.8,28.9,28.1,92
1555538400,27.9,27.2,27.9,25.5,2068
1555970400,28,28,28,27.2,48
1556056800,28.4,29.9,34,28,1231
