t,o,c,h,l,v
772927200,0,50,50,50,16980
773272800,0,47,47,47,18214
773359200,0,50,50,50,22906
773445600,0,55,55,55,19051
773532000,0,60,60,60,0
773877600,0,66,66,66,14472
773964000,0,73,73,73,0
774050400,0,80,80,80,25130
774136800,0,75,75,75,18600
774482400,0,82,82,82,25735
774568800,0,80,80,80,9045
774655200,0,75,75,75,12696
774741600,0,80,80,80,21426
775087200,0,72,72,72,12368
775173600,0,70,70,70,5898
775260000,0,74,74,74,5641
775346400,0,72,72,72,5681
775692000,0,72,72,72,5085
775778400,0,75,75,75,12887
775864800,0,78,78,78,11227
775951200,0,80,80,80,21869
776296800,0,80,80,80,7320
776383200,0,78,78,78,8131
776469600,0,76,76,76,5527
776556000,0,75,75,75,6565
776988000,0,78,78,78,4709
777074400,0,77,77,77,8266
777160800,0,76,76,76,3071
777506400,0,76,76,76,3240
777592800,0,73,73,73,4728
777679200,0,71,71,71,5892
777765600,0,70,70,70,3616
778111200,0,68,68,68,4480
778197600,0,70,70,70,7546
778284000,0,65,65,65,3733
778370400,0,64,64,64,2083
778716000,0,64,64,64,2453
778802400,0,58,58,58,5197
778888800,0,53,53,53,8410
778975200,0,58,58,58,10822
779320800,0,62,62,62,8736
779407200,0,56,56,56,24117
779493600,0,55,55,55,7601
779580000,0,50,50,50,5029
779925600,0,53,53,53,11510
780012000,0,55,55,55,8490
780098400,0,50,50,50,9407
780184800,0,55,55,55,10174
780534000,0,54,54,54,3686
780620400,0,53,53,53,4376
780706800,0,54,54,54,6173
780793200,0,57,57,57,7900
781138800,0,60,60,60,9734
781225200,0,63,63,63,10235
781311600,0,65,65,65,6485
781398000,0,62,62,62,6981
781484400,0,60,60,60,4650
781743600,0,58,58,58,7838
781830000,0,56,56,56,7086
781916400,0,56,56,56,6455
782002800,0,55,55,55,7366
782089200,0,56,56,56,1839
782348400,0,55,55,55,1719
782434800,0,56,56,56,2460
782521200,0,58,58,58,7343
782607600,0,58,58,58,5413
782694000,0,52,52,52,8717
782953200,0,52,52,52,5216
783039600,0,50,50,50,6863
783126000,0,48,48,48,4975
783212400,0,47,47,47,3144
783298800,0,45,45,45,3043
783730800,0,47,47,47,4549
783817200,0,48,48,48,5034
783903600,0,45,45,45,3917
784162800,0,45,45,45,1841
784249200,0,46,46,46,3021
784335600,0,46,46,46,4337
784422000,0,45,45,45,2587
784767600,0,44,44,44,3540
784854000,0,40,40,40,3723
784940400,0,38,38,38,5106
785026800,0,39,39,39,3682
785113200,0,41,41,41,10047
785372400,0,39,39,39,3185
785458800,0,38,38,38,4099
785545200,0,38,38,38,1100
785631600,0,38,38,38,2483
785718000,0,40,40,40,3428
785977200,0,42,42,42,6375
786063600,0,45,45,45,7622
786150000,0,49,49,49,17386
786236400,0,49,49,49,6961
786322800,0,44,44,44,4003
786582000,0,48,48,48,3638
786668400,0,43,43,43,4356
786754800,0,43,43,43,3725
786841200,0,39,39,39,5532
786927600,0,38,38,38,6127
787186800,0,41,41,41,4884
787273200,0,38,38,38,7950
787359600,0,38,38,38,2211
787446000,0,39,39,39,2688
787532400,0,42,42,42,3752
787791600,0,43,43,43,4277
787878000,0,40,40,40,1757
787964400,0,40,40,40,1336
788050800,0,41,41,41,2535
788137200,0,42,42,42,2271
788482800,0,42,42,42,892
788569200,0,41,41,41,1775
788655600,0,40,40,40,1031
789001200,0,43,43,43,3165
789087600,0,46,46,46,4246
789174000,0,43,43,43,728
789260400,0,44,44,44,4305
789346800,0,41,41,41,1758
789606000,0,43,43,43,1753
789692400,0,42,42,42,981
789778800,0,41,41,41,754
789865200,0,43,43,43,1899
789951600,0,43,43,43,2490
790210800,0,43,43,43,1575
790297200,0,42,42,42,1746
790383600,0,42,42,42,2811
790470000,0,42,42,42,1681
790556400,0,42,42,42,3593
790815600,0,41,41,41,2085
790902000,0,38,38,38,3616
790988400,0,39,39,39,3856
791074800,0,39,39,39,2872
791161200,0,39,39,39,1025
791420400,0,36,36,36,2585
791506800,0,34,34,34,6346
791679600,0,35,35,35,4551
791766000,0,33,33,33,2168
792025200,0,36,36,36,2885
792111600,0,37,37,37,3955
792198000,0,37,37,37,3617
792284400,0,37,37,37,1229
792370800,0,36,36,36,890
792630000,0,35,35,35,177
792716400,0,35,35,35,3861
792802800,0,36,36,36,2212
792889200,0,7,7,7,6966
792975600,0,7,7,7,6413
793234800,0,7,7,7,5598
793321200,0,6,6,6,27757
793407600,0,6,6,6,10712
793494000,0,7,7,7,10186
