t,o,c,h,l,v
1211925600,7.44,7.44,7.44,7.44,10
1212012000,7.42,7.3,7.42,7.1,270
1212098400,0,7.3,7.3,7.3,0
1212357600,7.1,7.4,7.4,6.93,1750
1212444000,7.01,7.01,7.02,7.01,3000
1212530400,7,7.3,7.3,6.8,1350
1212616800,6.9,7.3,7.3,6.9,220
1212703200,7.3,7.3,7.3,7.3,10
1212962400,7.29,7.25,7.29,6.9,820
1213048800,7.29,7.29,7.29,7.29,20
1213135200,7.29,7.05,7.29,6.96,1020
1213221600,7,7,7,6.7,410
1213308000,7,7,7,6.7,1320
1213567200,7,7,7,7,10
1213653600,7,7,7,7,10
1213740000,6.71,7.07,7.07,6.71,520
1213826400,6.8,7.13,7.13,6.8,500
1213912800,6.8,7.1,7.1,6.8,440
1214172000,7.1,7.1,7.1,6.81,2040
1214258400,7.09,7,7.09,6.8,420
1214344800,7.05,7.05,7.05,7.05,10
1214431200,6.7,6.7,6.7,6.7,400
1214517600,6.7,6.7,6.7,6.26,1230
1214776800,6.65,7,7,6.4,2670
1214863200,6.72,6.7,6.72,6.4,1500
1214949600,6.7,6.5,6.7,6.3,1000
1215036000,6.5,6.5,6.5,6.5,100
1215122400,6.5,6.5,6.5,6.2,3600
1215381600,0,6.5,6.5,6.5,0
1215468000,6.3,6.4,6.4,6.3,510
1215554400,6.4,6.2,6.4,6,470
1215640800,6.4,6.45,6.6,5.75,2966
1215727200,6.15,6.25,6.4,6.15,1445
1215986400,6.4,6.45,6.45,6.4,750
1216072800,0,6.45,6.45,6.45,0
1216159200,6.2,6.2,6.2,6.05,1020
1216245600,6.2,6.1,6.2,6.05,560
1216332000,6.05,6.3,6.3,6.05,810
1216591200,6.3,6.3,6.51,6,3122
1216677600,6.2,6.2,6.2,6.2,500
1216764000,6.4,6.4,6.4,6.4,500
1216850400,6.6,6.6,6.6,6.6,50
1216936800,6.65,6.65,6.65,6.65,200
1217196000,6.65,6.65,6.65,6.65,100
1217282400,6.65,6.65,6.65,6.65,10
1217368800,6.65,6.82,6.82,6.65,1390
1217455200,7.05,7.05,7.05,7.05,300
1217541600,7.3,7.19,7.5,7.19,1120
1217800800,0,7.19,7.19,7.19,0
1217887200,7.56,7.56,7.56,7.56,1
1217973600,0,7.56,7.56,7.56,0
1218060000,0,7.56,7.56,7.56,0
1218146400,0,7.56,7.56,7.56,0
1218405600,7.55,7.55,7.55,7.55,10
1218492000,7.55,7.55,7.55,7.55,10
1218578400,7.55,7.55,7.55,7.55,10
1218664800,7.55,7.55,7.56,7.55,98
1219010400,7.35,7.35,7.35,7.35,500
1219096800,0,7.35,7.35,7.35,0
1219183200,0,7.35,7.35,7.35,0
1219269600,0,7.35,7.35,7.35,0
1219356000,0,7.35,7.35,7.35,0
1219615200,7.45,7.3,7.45,7.3,900
1219701600,7.3,7.3,7.3,7.3,10
1219788000,7.3,7.3,7.3,7.3,2373
1219874400,0,7.3,7.3,7.3,0
1219960800,0,7.3,7.3,7.3,0
1220220000,0,7.3,7.3,7.3,0
1220306400,0,7.3,7.3,7.3,0
1220392800,0,7.3,7.3,7.3,0
1220479200,7.3,7.3,7.3,7.3,5
1220565600,7.4,7.5,7.5,7.4,275
1220824800,7.5,7.5,7.5,7.5,30
1220911200,7.5,7.5,7.5,7.5,10
1220997600,7.5,7.5,7.5,7.5,10
1221084000,7.5,7.5,7.5,7.5,10
1221170400,7.5,7.5,7.5,7.5,10
1221429600,7.5,7.5,7.5,7.5,5
1221516000,7.5,7.5,7.5,7.5,5
1221602400,7.5,7.5,7.5,7.5,5
1221688800,7.65,7.65,7.65,7.65,5
1221775200,7.65,7.65,7.65,7.65,10
1222034400,7.71,7.71,7.71,7.71,250
1222120800,7.4,7.4,7.4,7.4,400
1222207200,7.76,7.77,7.77,7.76,140
1222293600,0,7.77,7.77,7.77,0
1222380000,7.8,8,8,7.8,1250
1222639200,7.7,7.7,7.7,7.7,400
1222725600,7.98,7.98,7.98,7.98,10
1222812000,7.98,7.98,7.98,7.98,60
1222898400,7.9,7.9,7.9,7.9,10
1222984800,7.9,7.9,7.9,7.9,10
1223244000,7.9,7.55,7.9,7.55,410
1223330400,7.4,7.4,7.4,7.4,10
1223416800,7.1,7.3,7.3,7.1,410
1223503200,7.1,7.1,7.1,7.1,10
1223589600,7,7,7,7,10
1223848800,7,7,7,7,10
1223935200,7.3,7.3,7.3,7.3,400
1224021600,7.2,7.2,7.2,7.2,400
1224108000,7.5,7.5,7.5,7.5,10
1224194400,0,7.5,7.5,7.5,0
1224453600,7.55,7.55,7.55,7.55,10
1224540000,7.55,7.6,7.6,7.55,210
1224626400,7,7.05,7.92,7,3600
1224712800,6.6,7.49,7.49,6.01,1972
1224799200,0,7.49,7.49,7.49,0
1225062000,7.5,7.5,7.5,7.5,84
1225148400,7.49,7.5,7.5,7.49,1300
1225234800,7.5,7.1,7.5,7.1,605
1225321200,7.49,7.5,7.5,7.49,1010
1225407600,7.5,7.5,7.5,7.5,100
1225666800,7.49,7.49,7.49,7.49,10
1225753200,7.48,7.1,7.48,7.1,510
1225839600,0,7.1,7.1,7.1,0
1225926000,7.49,7.49,7.49,7.49,10
1226012400,7.49,7,7.49,7,410
1226271600,0,7,7,7,0
1226444400,7,7,7,7,150
1226530800,7.49,7,7.49,7,310
1226617200,7,6.95,7.06,6.95,3384
1226876400,7,7,7,7,500
1226962800,7,7,7,6.95,1223
1227049200,7,7,7,7,510
1227135600,7,7,7,7,97
1227222000,7,7,7,7,400
